timestep,zone,mean_ps2,n,scenario,mode,rep
44,mid,0.0,4,official_zones,sys1_only,0
45,mid,0.0,3,official_zones,sys1_only,0
46,mid,0.0,4,official_zones,sys1_only,0
47,mid,0.0,3,official_zones,sys1_only,0
48,mid,0.0,5,official_zones,sys1_only,0
49,mid,0.0,4,official_zones,sys1_only,0
50,mid,0.0,4,official_zones,sys1_only,0
51,mid,0.0,3,official_zones,sys1_only,0
52,mid,0.0,4,official_zones,sys1_only,0
53,mid,0.0,2,official_zones,sys1_only,0
54,mid,0.0,4,official_zones,sys1_only,0
55,mid,0.0,4,official_zones,sys1_only,0
56,mid,0.0,3,official_zones,sys1_only,0
57,mid,0.0,3,official_zones,sys1_only,0
58,mid,0.0,4,official_zones,sys1_only,0
59,mid,0.0,3,official_zones,sys1_only,0
60,mid,0.0,3,official_zones,sys1_only,0
61,mid,0.0,3,official_zones,sys1_only,0
62,mid,0.0,2,official_zones,sys1_only,0
63,mid,0.0,2,official_zones,sys1_only,0
64,mid,0.0,2,official_zones,sys1_only,0
65,mid,0.0,2,official_zones,sys1_only,0
66,mid,0.0,2,official_zones,sys1_only,0
67,mid,0.0,2,official_zones,sys1_only,0
68,mid,0.0,2,official_zones,sys1_only,0
69,mid,0.0,1,official_zones,sys1_only,0
70,mid,0.0,1,official_zones,sys1_only,0
72,mid,0.0,2,official_zones,sys1_only,0
0,outer,0.0,144,official_zones,sys1_only,0
1,outer,0.0,134,official_zones,sys1_only,0
2,outer,0.0,108,official_zones,sys1_only,0
3,outer,0.0,99,official_zones,sys1_only,0
4,outer,0.0,81,official_zones,sys1_only,0
5,outer,0.0,62,official_zones,sys1_only,0
6,outer,0.0,58,official_zones,sys1_only,0
7,outer,0.0,56,official_zones,sys1_only,0
8,outer,0.0,45,official_zones,sys1_only,0
9,outer,0.0,40,official_zones,sys1_only,0
10,outer,0.0,32,official_zones,sys1_only,0
11,outer,0.0,21,official_zones,sys1_only,0
12,outer,0.0,18,official_zones,sys1_only,0
13,outer,0.0,17,official_zones,sys1_only,0
14,outer,0.0,12,official_zones,sys1_only,0
15,outer,0.0,11,official_zones,sys1_only,0
16,outer,0.0,5,official_zones,sys1_only,0
17,outer,0.0,7,official_zones,sys1_only,0
18,outer,0.0,7,official_zones,sys1_only,0
19,outer,0.0,9,official_zones,sys1_only,0
20,outer,0.0,8,official_zones,sys1_only,0
21,outer,0.0,7,official_zones,sys1_only,0
22,outer,0.0,6,official_zones,sys1_only,0
23,outer,0.0,7,official_zones,sys1_only,0
24,outer,0.0,5,official_zones,sys1_only,0
25,outer,0.0,6,official_zones,sys1_only,0
26,outer,0.0,5,official_zones,sys1_only,0
27,outer,0.0,2,official_zones,sys1_only,0
28,outer,0.0,1,official_zones,sys1_only,0
32,outer,0.0,1,official_zones,sys1_only,0
33,outer,0.0,1,official_zones,sys1_only,0
34,outer,0.0,2,official_zones,sys1_only,0
35,outer,0.0,1,official_zones,sys1_only,0
36,outer,0.0,1,official_zones,sys1_only,0
37,outer,0.0,2,official_zones,sys1_only,0
38,outer,0.0,4,official_zones,sys1_only,0
39,outer,0.0,3,official_zones,sys1_only,0
40,outer,0.0,4,official_zones,sys1_only,0
41,outer,0.0,3,official_zones,sys1_only,0
42,outer,0.0,2,official_zones,sys1_only,0
43,outer,0.0,2,official_zones,sys1_only,0
44,outer,0.0,1,official_zones,sys1_only,0
45,outer,0.0,2,official_zones,sys1_only,0
46,outer,0.0,2,official_zones,sys1_only,0
47,outer,0.0,3,official_zones,sys1_only,0
48,outer,0.0,1,official_zones,sys1_only,0
49,outer,0.0,2,official_zones,sys1_only,0
50,outer,0.0,1,official_zones,sys1_only,0
51,outer,0.0,3,official_zones,sys1_only,0
52,outer,0.0,2,official_zones,sys1_only,0
53,outer,0.0,3,official_zones,sys1_only,0
54,outer,0.0,1,official_zones,sys1_only,0
55,outer,0.0,1,official_zones,sys1_only,0
