scenario,mode,rep,hayano_t4,mid_ps2_dip,mid_ps2_trough,mid_ps2_recovery,corridor_inland_pct,inner_clearance_t7,mean_path_length,iitate_clearance_t4,iitate_ps2_mean_t2
official_zones,sys1_only,0,0.22321428571428573,0.0,0.0,0.0,0.33707865168539325,0.56,83.13851351351352,0.625,0.0
official_zones,sys1_only,1,0.20535714285714285,0.0,0.0,0.0,0.3409090909090909,0.36,81.35333333333334,0.5555555555555556,0.0
official_zones,sys1_only,3,0.19642857142857142,0.0,0.0,0.0,0.4069767441860465,0.36,88.56565656565657,0.4444444444444444,0.0
official_zones,sys1_only,4,0.2857142857142857,0.0,0.0,0.0,0.2765957446808511,0.48,86.20945945945945,0.5,0.0
official_zones,sys1_only,2,0.21428571428571427,0.0,0.0,0.0,0.4,0.28,83.72108843537416,0.5714285714285714,0.0
official_zones,sys1_only,7,0.15178571428571427,0.0,0.0,0.0,0.27472527472527475,0.32,88.33892617449665,0.6,0.0
official_zones,sys1_only,5,0.25892857142857145,0.0,0.0,0.0,0.3563218390804598,0.48,81.22895622895624,0.7272727272727273,0.0
official_zones,sys1_only,8,0.24107142857142858,0.0,0.0,0.0,0.3146067415730337,0.32,84.97986577181209,0.6363636363636364,0.0
official_zones,sys1_only,6,0.19642857142857142,0.0,0.0,0.0,0.3368421052631579,0.32,87.09030100334448,0.4444444444444444,0.0
official_zones,sys1_only,10,0.25892857142857145,0.0,0.0,0.0,0.3258426966292135,0.44,89.28523489932886,0.42857142857142855,0.0
official_zones,sys1_only,9,0.24107142857142858,0.0,0.0,0.0,0.4,0.28,82.74402730375427,0.8461538461538461,0.0
official_zones,sys1_only,11,0.26785714285714285,0.0,0.0,0.0,0.3563218390804598,0.56,85.46979865771812,0.5555555555555556,0.0
official_zones,sys1_only,13,0.23214285714285715,0.0,0.0,0.0,0.3181818181818182,0.28,89.08695652173913,0.5,0.0
official_zones,sys1_only,12,0.25892857142857145,0.0,0.0,0.0,0.367816091954023,0.44,82.98648648648648,0.875,0.0
official_zones,sys1_only,16,0.22321428571428573,0.0,0.0,0.0,0.28421052631578947,0.4,90.79264214046823,0.4166666666666667,0.0
official_zones,sys1_only,14,0.20535714285714285,0.0,0.0,0.0,0.34523809523809523,0.52,83.98986486486487,0.5,0.0
official_zones,sys1_only,15,0.3125,0.0,0.0,0.0,0.35294117647058826,0.48,88.91304347826087,0.5,0.0
official_zones,sys1_only,17,0.23214285714285715,0.0,0.0,0.0,0.39325842696629215,0.36,88.27181208053692,0.8,0.0
official_zones,sys1_only,18,0.32142857142857145,0.0,0.0,0.0,0.34065934065934067,0.4,81.43097643097643,0.5454545454545454,0.0
official_zones,sys1_only,19,0.25,0.0,0.0,0.0,0.3894736842105263,0.4,91.04666666666667,0.5,0.0
official_zones,blend,1,0.5,0.30751023653571813,0.11137288350323667,0.12713914894498862,0.4090909090909091,0.76,95.46822742474916,0.46153846153846156,0.11475311763148105
official_zones,blend,0,0.3125,0.3212231359697135,0.1023148455229399,0.09296268701624638,0.34065934065934067,0.72,96.95333333333333,0.4,0.11825835554464068
official_zones,blend,5,0.45535714285714285,0.2937860315547376,0.11161086587184396,0.023580141444822234,0.32967032967032966,0.68,93.40333333333334,0.375,0.09183493963582245
