kappa,rep,mid_ps2_dip,mid_ps2_trough,corridor_inland_pct,blend_inner_t7,mean_path_length,s2_signal_mean
12.0,0,0.3149689240562014,0.10645777437884842,0.33707865168539325,0.2826666666666666,90.58666666666667,0.009492596718685837
12.0,1,0.31680619963583256,0.11008947870231892,0.41237113402061853,0.3626666666666666,92.24666666666667,0.010374120227470404
12.0,2,0.3280090055343983,0.09804027911220364,0.3707865168539326,0.32266666666666655,87.46333333333334,0.010500171718403433
12.0,3,0.3231158099736604,0.11581934515146973,0.3979591836734694,0.32266666666666655,92.14,0.011283843219210074
12.0,4,0.31703091106704556,0.12047855881178386,0.3888888888888889,0.3626666666666666,95.47,0.010426489072939726
12.0,5,0.2796432211694113,0.10426299882124518,0.43157894736842106,0.32266666666666655,91.33666666666667,0.010666899285979992
12.0,6,0.3133368731527853,0.11530080189590348,0.3176470588235294,0.5226666666666666,96.03678929765886,0.010677740797180058
12.0,7,0.30782345352649565,0.12267296744266193,0.32222222222222224,0.12266666666666659,100.37333333333333,0.01076400691358504
12.0,8,0.30171778992547377,0.10712752624580146,0.38372093023255816,0.32266666666666655,94.02333333333333,0.01035211520960333
12.0,9,0.3123840687215189,0.11082581526046102,0.3548387096774194,0.2826666666666666,93.46333333333334,0.010559603030676356
12.0,10,0.3372333471526734,0.11124757222616571,0.3157894736842105,0.2426666666666666,96.04,0.011011082407880797
12.0,11,0.2971071282887921,0.11208772897805247,0.3333333333333333,0.3626666666666666,93.53177257525084,0.00971491616247443
12.0,12,0.3135279097727259,0.10998366813238653,0.3300970873786408,0.3626666666666666,96.76666666666667,0.01117785906117108
12.0,13,0.3056912805805403,0.12202671586431565,0.3563218390804598,0.2826666666666666,95.51666666666667,0.012197906217087107
12.0,14,0.30849712100947635,0.09642284944622749,0.30526315789473685,0.4826666666666666,90.12,0.011916284323563871
15.0,0,0.3063311564297257,0.08103542446625733,0.43333333333333335,0.3626666666666666,94.28,0.010718301621662967
15.0,1,0.34603068310190194,0.08603407113053663,0.33,0.2426666666666666,92.65656565656566,0.01119775896213294
15.0,2,0.31767381140317774,0.11533657458405826,0.2978723404255319,0.5226666666666666,90.5886287625418,0.010931633369887577
15.0,3,0.3501858147469985,0.07825639088210731,0.358695652173913,0.2426666666666666,89.34,0.010162027169870306
15.0,4,0.32269803358538457,0.11754067553840601,0.3023255813953488,0.20266666666666655,89.0,0.010894256515000502
15.0,5,0.30516899644278866,0.11258252862814694,0.2736842105263158,0.3626666666666666,91.24080267558529,0.010550399678489183
15.0,6,0.3209018604430004,0.11064139982924287,0.3157894736842105,0.2826666666666666,89.26086956521739,0.01003836210480382
15.0,7,0.2998514460136057,0.10563828639384779,0.4166666666666667,0.44266666666666654,91.55666666666667,0.010893360840839833
15.0,8,0.34523471929539185,0.11326819009012183,0.29347826086956524,0.3626666666666666,88.20401337792642,0.010844341165166936
15.0,9,0.2925015191678213,0.11560489568781437,0.4787234042553192,0.2826666666666666,104.78929765886288,0.010838196559904228
15.0,10,0.29629837901229134,0.10470244252723321,0.3804347826086957,0.2426666666666666,94.21476510067114,0.011141818287925419
15.0,11,0.31821419871591733,0.10332970543265896,0.3855421686746988,0.3626666666666666,90.98333333333333,0.010686808801841866
15.0,12,0.3175721649777808,0.11630270995009395,0.38202247191011235,0.12266666666666659,95.16333333333333,0.011324464440475558
15.0,13,0.3133602288936905,0.12250013278337064,0.31958762886597936,0.2826666666666666,90.95666666666666,0.011370859025831721
15.0,14,0.30826983005276437,0.10147386100341348,0.36363636363636365,0.042666666666666575,94.86666666666666,0.010353020934619305
18.407,0,0.31574389466779285,0.11240912919218142,0.3473684210526316,0.20266666666666655,97.83333333333333,0.010305926483874621
18.407,1,0.2948783616613291,0.11750935478447261,0.24444444444444444,0.20266666666666655,95.87333333333333,0.01103627057193693
18.407,2,0.3253012140521624,0.10575676319334917,0.36363636363636365,0.3626666666666666,97.87,0.010951449148544155
18.407,3,0.31366321279680576,0.11665624837421742,0.30337078651685395,0.16266666666666663,93.27090301003345,0.010523204066677888
18.407,4,0.3187758481725523,0.11161524375446231,0.3333333333333333,0.32266666666666655,94.45,0.011780571184440623
18.407,5,0.32934935962561873,0.11137160305065597,0.34375,0.20266666666666655,98.12709030100335,0.009623667389301014
18.407,6,0.321816112902956,0.11609134174406113,0.4044943820224719,0.32266666666666655,97.46666666666667,0.01041411141853731
18.407,7,0.3194852048719659,0.11482420268292041,0.4489795918367347,0.3626666666666666,92.79,0.011365786721463876
18.407,8,0.2935180018171625,0.0992389629630225,0.4235294117647059,0.32266666666666655,99.31333333333333,0.00974037686884465
18.407,9,0.3301694100759058,0.10403930807419313,0.3763440860215054,0.32266666666666655,92.1638795986622,0.012141363538422363
18.407,10,0.3185447138739144,0.09307617576500153,0.36904761904761907,0.32266666666666655,92.31666666666666,0.009903328028014103
18.407,11,0.3227891270167957,0.10947160844195902,0.3522727272727273,0.44266666666666654,92.08,0.010908174166797511
18.407,12,0.3105796603131748,0.11291172738875667,0.3939393939393939,0.4026666666666666,93.7324414715719,0.010570018435826164
18.407,13,0.3184370529081145,0.1080448729351561,0.3229166666666667,0.32266666666666655,92.61073825503355,0.011275654452988693
18.407,14,0.333537803906212,0.09317923032856298,0.2871287128712871,0.2826666666666666,93.22333333333333,0.011090403439858777
22.0,0,0.3094331956744475,0.10341030054152194,0.3838383838383838,0.32266666666666655,94.43333333333334,0.010521088086786451
22.0,1,0.3178891169239263,0.10744704893637888,0.35789473684210527,0.4026666666666666,92.59197324414716,0.011146335543597908
22.0,2,0.316286441503242,0.11717902162407441,0.35353535353535354,0.20266666666666655,96.69666666666667,0.011011149897655356
22.0,3,0.29747056292109536,0.11060936714296649,0.35051546391752575,0.2426666666666666,92.05016722408027,0.009949076877633405
22.0,4,0.31902621782593005,0.12185008922395511,0.375,0.3626666666666666,97.53846153846153,0.011584720283832898
22.0,5,0.31894297967589247,0.11467349022436014,0.34444444444444444,0.2426666666666666,94.83333333333333,0.010184648192975619
22.0,6,0.31375309338490087,0.11719537958229134,0.3333333333333333,0.3626666666666666,88.8,0.010152550486524956
22.0,7,0.33527324751697285,0.10886525697185798,0.36082474226804123,0.3626666666666666,100.55666666666667,0.011231089521442599
22.0,8,0.32539151175239917,0.10532522667156892,0.4329896907216495,0.2426666666666666,93.17333333333333,0.011176257900180158
22.0,9,0.3149633705808582,0.11230997106575041,0.3058823529411765,0.2826666666666666,92.15666666666667,0.009704761435703455
22.0,10,0.32713563819054253,0.06695696659097462,0.3626373626373626,0.3626666666666666,90.78,0.010045090499418572
22.0,11,0.29985361949914724,0.11147097145419771,0.3804347826086957,0.3626666666666666,88.97324414715719,0.010267920904900314
22.0,12,0.3259405180581624,0.10488493688991407,0.35555555555555557,0.32266666666666655,95.58,0.011456523205493122
22.0,13,0.32318594548431434,0.11504340782618694,0.32608695652173914,0.2826666666666666,97.79,0.010931070459287472
22.0,14,0.3151420340053029,0.11509815288888166,0.36046511627906974,0.32266666666666655,88.57333333333334,0.010590783288569458
28.0,0,0.33781336356342545,0.11569350508201755,0.38636363636363635,0.4826666666666666,91.12333333333333,0.009871937588441375
28.0,1,0.3183308726316627,0.10191601902364597,0.2988505747126437,0.2826666666666666,94.57666666666667,0.00935778192080365
28.0,2,0.30549313487095664,0.10665956190175338,0.2736842105263158,0.3626666666666666,96.26666666666667,0.010512629072101123
28.0,3,0.3136666245749437,0.10606227409269013,0.2840909090909091,0.32266666666666655,90.79933110367892,0.008894957978276547
28.0,4,0.2904567615675392,0.11498364126727287,0.32222222222222224,0.20266666666666655,90.86,0.011181465558434025
28.0,5,0.2951553290055234,0.11432977966325009,0.3804347826086957,0.2826666666666666,89.01333333333334,0.010238976298896729
28.0,6,0.33013151519732675,0.10336279793769171,0.4024390243902439,0.2426666666666666,90.41333333333333,0.010547112779331716
28.0,7,0.3043580812375307,0.12143179380478067,0.35789473684210527,0.2426666666666666,99.28,0.01073422103168682
28.0,8,0.30799291601500367,0.10576322108384555,0.29347826086956524,0.4026666666666666,94.25,0.011309476303892112
28.0,9,0.311195180719782,0.11419622934617084,0.3333333333333333,0.4826666666666666,93.44816053511705,0.010686191605177003
28.0,10,0.3474533470637482,0.07124227990279425,0.30851063829787234,0.4026666666666666,94.36577181208054,0.010581880967433142
28.0,11,0.34812470534372025,0.10440335383167394,0.4,0.4026666666666666,94.9933110367893,0.010622231753176052
28.0,12,0.32634785447025916,0.09873533976011348,0.4431818181818182,0.2826666666666666,99.15824915824916,0.010448287994915848
28.0,13,0.32149991616241314,0.10573424480435414,0.31521739130434784,0.3626666666666666,89.70568561872909,0.010576638636505807
28.0,14,0.29842526925124646,0.11601353319191793,0.36363636363636365,0.20266666666666655,95.93979933110369,0.010641585752215183
