Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,1,11,0.9091,0,0,0.0,0,34,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,4,1.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,1.0,1.16,59,24,50,1,0
2,2,23,0.913,0,0,0.0,0,69,1.0,0,5,1.0,0,0,0.0,0,0,0.0,0,9,1.0,0,0,0.0,1,3,0.6667,0,0,0.0,0,0,0.0,0,0,0.0,0,15,1.0,1.21,124,48,100,3,0
3,4,34,0.8824,0,0,0.0,0,103,1.0,0,8,1.0,0,0,0.0,0,0,0.0,0,14,1.0,0,0,0.0,2,4,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,23,1.0,1.5385,186,63,117,6,0
4,9,46,0.8043,0,0,0.0,0,138,1.0,0,11,1.0,1,0,0.0,0,0,0.0,2,19,0.8947,0,0,0.0,2,6,0.6667,0,0,0.0,0,0,0.0,0,0,0.0,0,31,1.0,1.7836,251,81,134,14,0
5,13,58,0.7759,0,1,1.0,0,172,1.0,0,14,1.0,1,0,0.0,0,0,0.0,5,24,0.7917,0,0,0.0,3,8,0.625,0,0,0.0,0,0,0.0,0,0,0.0,0,39,1.0,1.9603,316,94,151,22,0
6,16,69,0.7681,0,1,1.0,1,207,0.9952,0,17,1.0,2,0,0.0,0,0,0.0,11,28,0.6071,0,0,0.0,5,9,0.4444,0,0,0.0,0,0,0.0,0,0,0.0,0,47,1.0,2.0655,378,118,168,35,0
7,18,81,0.7778,0,1,1.0,1,242,0.9959,1,20,0.95,2,0,0.0,0,0,0.0,15,33,0.5455,0,0,0.0,6,11,0.4545,0,0,0.0,0,0,0.0,0,0,0.0,0,55,1.0,2.1838,443,135,185,43,0
8,21,92,0.7717,0,1,1.0,2,276,0.9928,1,23,0.9565,2,0,0.0,0,0,0.0,18,38,0.5263,0,0,0.0,7,13,0.4615,0,0,0.0,0,0,0.0,0,0,0.0,0,62,1.0,2.2673,505,150,202,51,0
9,26,104,0.75,0,1,1.0,2,311,0.9936,1,26,0.9615,2,0,0.0,0,0,0.0,20,43,0.5349,0,0,0.0,9,14,0.3571,0,0,0.0,0,0,0.0,0,0,0.0,0,70,1.0,2.3318,569,163,220,60,0
10,28,116,0.7586,0,2,1.0,3,345,0.9913,2,28,0.9286,2,0,0.0,0,0,0.0,23,48,0.5208,0,0,0.0,9,16,0.4375,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,2.3077,633,186,247,67,0
11,31,127,0.7559,0,2,1.0,6,380,0.9842,2,31,0.9355,2,0,0.0,0,0,0.0,27,53,0.4906,0,0,0.0,9,17,0.4706,0,0,0.0,0,0,0.0,0,0,0.0,0,86,1.0,2.2655,696,201,275,77,0
12,33,139,0.7626,0,2,1.0,8,415,0.9807,3,34,0.9118,5,0,0.0,0,0,0.0,30,57,0.4737,0,0,0.0,12,19,0.3684,0,0,0.0,0,0,0.0,0,0,0.0,0,94,1.0,2.2483,760,219,302,91,0
13,36,151,0.7616,0,2,1.0,10,449,0.9777,3,37,0.9189,5,0,0.0,0,0,0.0,32,62,0.4839,0,0,0.0,12,21,0.4286,0,0,0.0,0,0,0.0,0,0,0.0,0,102,1.0,2.2303,824,238,330,98,0
14,43,162,0.7346,0,3,1.0,13,484,0.9731,6,40,0.85,7,0,0.0,0,0,0.0,41,67,0.3881,0,0,0.0,15,22,0.3182,0,0,0.0,0,0,0.0,0,0,0.0,0,110,1.0,1.6891,888,304,460,125,0
15,52,174,0.7011,1,3,0.6667,14,518,0.973,7,43,0.8372,8,0,0.0,0,0,0.0,46,72,0.3611,0,0,0.0,17,24,0.2917,0,0,0.0,0,0,0.0,1,0,0.0,0,115,1.0,1.5788,949,336,520,146,0
16,65,185,0.6486,1,3,0.6667,17,553,0.9693,10,46,0.7826,9,0,0.0,0,0,0.0,54,77,0.2987,0,0,0.0,19,26,0.2692,0,0,0.0,0,0,0.0,1,0,0.0,0,120,1.0,1.4724,1010,404,580,176,0
