Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,0,11,1.0,0,0,0.0,0,34,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,4,1.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,1.0,1.18,59,22,50,0,0
2,2,23,0.913,0,0,0.0,1,69,0.9855,0,5,1.0,0,0,0.0,0,0,0.0,0,9,1.0,0,0,0.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,15,1.0,1.21,124,48,100,3,0
3,2,34,0.9412,0,0,0.0,1,103,0.9903,0,8,1.0,0,0,0.0,0,0,0.0,1,14,0.9286,0,0,0.0,0,4,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,23,1.0,1.5556,186,60,117,4,0
4,4,46,0.913,0,0,0.0,1,138,0.9928,0,11,1.0,0,0,0.0,0,0,0.0,4,19,0.7895,0,0,0.0,1,6,0.8333,0,0,0.0,0,0,0.0,0,0,0.0,0,31,1.0,1.7985,251,81,134,10,0
5,4,58,0.931,0,1,1.0,1,172,0.9942,0,14,1.0,1,0,0.0,0,0,0.0,4,24,0.8333,0,0,0.0,4,8,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,39,1.0,2.0132,316,89,151,14,0
6,11,69,0.8406,0,1,1.0,2,207,0.9903,0,17,1.0,1,0,0.0,0,0,0.0,7,28,0.75,0,0,0.0,4,9,0.5556,0,0,0.0,0,0,0.0,0,0,0.0,0,47,1.0,2.1131,378,110,168,25,0
7,15,81,0.8148,0,1,1.0,4,242,0.9835,1,20,0.95,1,0,0.0,0,0,0.0,7,33,0.7879,0,0,0.0,4,11,0.6364,0,0,0.0,0,0,0.0,0,0,0.0,0,55,1.0,2.2324,443,135,185,32,0
8,19,92,0.7935,0,1,1.0,6,276,0.9783,1,23,0.9565,1,0,0.0,0,0,0.0,11,38,0.7105,0,0,0.0,6,13,0.5385,0,0,0.0,0,0,0.0,0,0,0.0,0,62,1.0,2.2921,505,142,202,44,0
9,22,104,0.7885,0,1,1.0,8,311,0.9743,1,26,0.9615,2,0,0.0,0,0,0.0,15,43,0.6512,0,0,0.0,7,14,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,70,1.0,2.3545,569,157,220,55,0
10,24,116,0.7931,0,2,1.0,8,345,0.9768,1,28,0.9643,3,0,0.0,0,0,0.0,18,48,0.625,0,0,0.0,11,16,0.3125,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,2.3239,633,178,247,65,0
11,24,127,0.811,0,2,1.0,11,380,0.9711,2,31,0.9355,3,0,0.0,0,0,0.0,20,53,0.6226,0,0,0.0,12,17,0.2941,0,0,0.0,0,0,0.0,0,0,0.0,0,86,1.0,2.2909,696,203,275,72,0
