sep=;
2014-01-08;20
2014-01-12;200
2014-01-14;10200
2014-01-16;10220
2014-01-29;10371
2014-01-30;23667
2014-02-04;23808
2014-02-10;23816
2014-02-11;24979
2014-02-19;27054
2014-02-23;31665
2014-02-26;35017
2014-03-02;39847
2014-03-05;42011
2014-03-12;44111
2014-03-16;47558
2014-03-19;58242
2014-03-23;58865
2014-04-01;61889
2014-04-09;68458
2014-04-27;65158
2014-04-29;33362
2014-05-06;44524
2014-05-14;45554
2014-05-21;46640
2014-05-28;46725
2014-06-04;47277
2014-06-11;48023
2014-06-12;49387
2014-06-18;72248
2014-06-25;72688
2014-07-02;73442
2014-07-09;74050
2014-07-16;77779
2014-07-24;78724
2014-07-31;80213
2014-08-06;81608
2014-08-13;84825
2014-08-27;84750
2014-09-03;85045
2014-09-11;85531
2014-09-18;84156
2014-09-25;87789
2014-10-01;89533
2014-10-08;91679
2014-10-15;93658
2014-10-22;94706
2014-10-28;94848
2014-10-30;96058
2014-11-09;97108
2014-11-14;98077
2014-11-20;100916
2014-11-27;102368
2014-12-04;104641
2014-12-12;106992
2014-12-18;106871
2015-01-08;106964
2015-01-15;110699
2015-01-18;111365
2015-01-22;111631
2015-01-29;111953
2015-02-05;112059
2015-02-12;112251
2015-02-19;112815
2015-02-26;113169
2015-03-05;113474
2015-03-18;114114
2015-03-19;118163
2015-04-01;121044
2015-04-15;121734
2015-04-22;132825
2015-04-27;133626
2015-04-29;134244
2015-05-10;146101
2015-05-17;146493
2015-05-21;143363
2015-05-27;149436
2015-06-07;157961
2015-06-14;159309
2015-06-17;172784
2015-06-24;180506
2015-07-05;187747
2015-07-08;191584
2015-07-15;193843
2015-07-23;198283
2015-07-27;198657
2015-07-29;199828
2015-08-05;189720
2015-08-19;191624
2015-09-02;189809
2015-09-16;192281
2015-09-30;193049
2015-10-14;197942
2015-10-27;197635
2015-11-11;198448
2015-11-25;198314
2015-12-09;198707
2015-12-10;197821
2015-12-24;193622
2015-12-31;194404
2016-01-13;194888
2016-01-20;197824
2016-02-01;199608
2016-02-16;167811
2016-02-29;173834
2016-03-14;221221
2016-03-31;222665
2016-04-15;221383
2016-04-28;225340
2016-05-12;227670
2016-05-26;231736
2016-06-15;231638
2016-07-15;233244
2016-07-31;244904
2016-08-15;244942
2016-08-31;247440
2016-10-16;255815
2016-11-15;260561
2016-11-16;263245
