sep=;
2013-12-15;25000
2014-01-31;88572
2014-02-28;98758
2014-03-31;119485
2014-04-30;127903
2014-05-27;137045
2014-05-31;138117
2014-06-10;139293
2014-06-20;140580
2014-06-27;142360
2014-07-04;143423
2014-07-13;144003
2014-07-17;144707
2014-07-25;145063
2014-07-31;145663
2014-08-07;146577
2014-08-14;147514
2014-08-22;148149
2014-08-29;149321
2014-08-31;146804
2014-09-05;147399
2014-09-12;148024
2014-09-19;148479
2014-09-26;148764
2014-10-02;149429
2014-10-10;150909
2014-10-16;151447
2014-10-23;151299
2014-10-30;151611
2014-11-05;151812
2014-11-13;152048
2014-11-20;152396
2014-11-26;152687
2014-12-05;153875
2014-12-12;155779
2014-12-18;156754
2015-01-06;159003
2015-01-08;159078
2015-01-15;160475
2015-01-22;161759
2015-01-29;162945
2015-02-05;163590
2015-02-12;165052
2015-02-26;166289
2015-03-05;167085
2015-03-12;167483
2015-03-26;166938
2015-04-09;168734
2015-04-23;169718
2015-04-30;169867
2015-05-21;176727
2015-05-28;177900
2015-06-02;173900
2015-06-04;175014
2015-06-11;175899
2015-06-18;176617
2015-06-25;177323
2015-07-09;179245
2015-07-23;181608
2015-08-05;182783
2015-08-18;183679
2015-08-31;185328
2015-09-16;188095
2015-09-22;189137
2015-09-29;190855
2015-10-06;191512
2015-10-13;192103
2015-10-27;194137
2015-11-03;194454
2015-11-10;194615
2015-11-17;194683
2015-12-01;194980
2015-12-10;195569
2015-12-16;195930
2016-01-12;194894
2016-01-19;198809
2016-01-28;203068
2016-02-04;205889
2016-02-09;207988
2016-02-24;210214
2016-03-08;212664
2016-03-15;221661
2016-03-29;222321
2016-04-12;228820
2016-04-19;228894
2016-04-26;224748
2016-05-31;224420
2016-06-14;229006
2016-06-29;231259
2016-07-26;239758
2016-08-01;242268
2016-08-16;252868
2016-08-23;290661
2016-08-30;292316
2016-09-08;358064
2016-09-21;392630
2016-10-11;441392
2016-10-24;503977
2016-11-14;564440
2016-11-23;589380
2016-12-05;602212
