sep=;
2013-12-15;57044
2014-01-12;74168
2014-01-14;76168
2014-01-21;76827
2014-01-23;77372
2014-01-24;78495
2014-01-25;82996
2014-01-26;83092
2014-01-27;83713
2014-01-28;83880
2014-01-29;83960
2014-01-30;84079
2014-01-31;84039
2014-02-06;84474
2014-02-07;84995
2014-02-08;85422
2014-02-10;97246
2014-02-11;97388
2014-02-12;98388
2014-02-13;98406
2014-02-14;98484
2014-02-18;98517
2014-02-20;98545
2014-02-24;98630
2014-02-25;108522
2014-02-28;135221
2014-03-01;136929
2014-03-02;137446
2014-03-03;138229
2014-03-04;139406
2014-03-05;143574
2014-03-06;144889
2014-03-07;145618
2014-03-08;146887
2014-03-15;148055
2014-03-16;149740
2014-03-17;151549
2014-03-18;153219
2014-03-19;154566
2014-03-20;155360
2014-03-21;156748
2014-03-22;158390
2014-03-24;159855
2014-03-25;161366
2014-03-26;162388
2014-03-27;163371
2014-03-28;164227
2014-03-29;164910
2014-03-31;167222
2014-04-01;168834
2014-04-02;169353
2014-04-03;169886
2014-04-04;170570
2014-04-05;171435
2014-04-08;172637
2014-04-28;173608
2014-05-06;192843
2014-05-19;194726
2014-05-23;195756
2014-05-30;195752
2014-06-06;205433
2014-06-12;208529
2014-06-16;211569
2014-06-18;211556
2014-06-19;212453
2014-06-25;212881
2014-06-27;245775
2014-07-18;228481
2014-07-24;229337
2014-07-25;242055
2014-07-28;242049
2014-07-29;244306
2014-08-01;245986
2014-08-05;247554
2014-08-08;248694
2014-08-12;249692
2014-08-14;250943
2014-08-15;250965
2014-08-19;251685
2014-08-22;252090
2014-08-26;252453
2014-08-29;252993
2014-09-01;253483
2014-09-04;253670
2014-09-09;253819
2014-09-12;253965
2014-09-16;254100
2014-09-19;254179
2014-09-22;254609
2014-09-23;254717
2014-09-26;254853
2014-09-30;254954
2014-10-03;255365
2014-10-10;255595
2014-10-14;255904
2014-10-16;256147
2014-10-21;256331
2014-10-23;256641
2014-10-24;256640
2014-10-28;256839
2014-11-04;256854
2014-11-07;256975
2014-11-11;257248
2014-11-18;257270
2014-11-25;257280
2014-11-28;257277
2014-11-30;257294
2014-12-02;257297
2014-12-05;257303
2014-12-12;257465
2014-12-16;257575
2014-12-26;257602
2014-12-30;257629
2014-12-31;257641
2015-01-06;257887
2015-01-16;258188
2015-01-23;258294
2015-01-27;258558
2015-01-30;258677
2015-01-31;258794
2015-02-03;258878
2015-02-06;259611
2015-02-10;259621
2015-02-13;259806
2015-02-17;260109
2015-02-20;260266
2015-02-24;260281
2015-02-27;260122
2015-03-06;260332
2015-03-10;261189
2015-03-13;261219
2015-03-17;261262
2015-03-20;261343
2015-03-24;261355
2015-03-27;261272
2015-03-31;261332
2015-04-03;261663
2015-04-07;263248
2015-04-10;263150
2015-04-14;263356
2015-04-17;263697
2015-04-21;265092
2015-04-24;265257
2015-04-28;265545
2015-05-01;266770
2015-05-05;268173
2015-05-12;271237
2015-05-15;272526
2015-05-19;272759
2015-05-22;272923
2015-05-26;272955
2015-05-29;272964
2015-06-05;273302
2015-06-09;273591
2015-06-16;273794
2015-06-19;275604
2015-06-23;275639
2015-06-26;274424
2015-06-30;274912
2015-07-03;275162
2015-07-07;275217
2015-07-10;276444
2015-07-14;278464
2015-07-17;279738
2015-07-21;281514
2015-07-24;282142
2015-07-28;282314
2015-07-31;282715
2015-08-04;282728
2015-08-08;282293
2015-08-11;282456
2015-08-14;282566
2015-08-18;284407
2015-08-21;285787
2015-08-25;289065
2015-08-28;287056
2015-09-02;287063
2015-09-04;287139
2015-09-08;287544
2015-09-11;287649
2015-09-15;287749
2015-09-18;287939
2015-09-22;289020
2015-09-25;289050
2015-10-02;289071
2015-10-06;289250
2015-10-09;289252
2015-10-13;289254
2015-10-16;289290
2015-10-23;289191
2015-10-30;289227
2015-11-09;279245
2015-11-19;279488
2015-11-20;280153
2015-11-27;281119
2015-12-04;280574
2015-12-18;280621
2015-12-25;281121
2015-12-31;281202
2016-01-15;281471
2016-01-22;282094
2016-01-29;282211
2016-01-31;282264
2016-02-05;282490
2016-02-12;282476
2016-02-19;281984
2016-02-26;282017
2016-02-29;282999
2016-03-04;283046
2016-03-11;283200
2016-03-18;283067
2016-03-31;283209
2016-04-01;284016
2016-04-08;284997
2016-04-15;285115
2016-04-20;285232
2016-04-22;285183
2016-04-29;285377
2016-04-30;284424
2016-05-06;284582
2016-05-20;284280
2016-05-27;285051
2016-05-31;285395
2016-06-03;285574
2016-06-10;285699
2016-06-24;285891
2016-06-30;285874
2016-07-01;285816
2016-07-08;285958
2016-07-15;279808
2016-07-22;280211
2016-07-29;280207
2016-07-31;280252
2016-08-19;281342
2016-08-26;281430
2016-08-31;281481
2016-09-05;281995
2016-09-30;282072
2016-10-31;282133
2016-11-01;321292
2016-11-11;323144
