sep=;
2013-12-15;127283
2013-12-16;127395
2013-12-17;127450
2013-12-18;127467
2013-12-19;127479
2013-12-20;127529
2013-12-21;127542
2013-12-23;127643
2013-12-24;127651
2013-12-25;127757
2013-12-26;127964
2013-12-27;128019
2013-12-28;128037
2013-12-29;128202
2013-12-30;128368
2013-12-31;128642
2014-01-01;128943
2014-01-02;129382
2014-01-03;129486
2014-01-04;129874
2014-01-05;130357
2014-01-06;131019
2014-01-07;131669
2014-01-08;132323
2014-01-09;133095
2014-01-10;133631
2014-01-11;134213
2014-01-12;151891
2014-01-13;152342
2014-01-14;165103
2014-01-15;165501
2014-01-16;165997
2014-01-17;166268
2014-01-18;166746
2014-01-19;167058
2014-01-20;167534
2014-01-21;168282
2014-01-22;168699
2014-01-23;169716
2014-01-24;170997
2014-01-25;175868
2014-01-26;176271
2014-01-27;177129
2014-01-28;177576
2014-01-29;178141
2014-01-30;191863
2014-01-31;255744
2014-02-01;256177
2014-02-02;256375
2014-02-03;256563
2014-02-04;257171
2014-02-05;257474
2014-02-06;258190
2014-02-07;259096
2014-02-08;259845
2014-02-09;260236
2014-02-10;272313
2014-02-11;273794
2014-02-12;275045
2014-02-13;275214
2014-02-14;275672
2014-02-15;275818
2014-02-16;276070
2014-02-17;276381
2014-02-18;276551
2014-02-19;279101
2014-02-20;279441
2014-02-21;279815
2014-02-22;279949
2014-02-23;284931
2014-02-24;285309
2014-02-25;295390
2014-02-26;299028
2014-02-27;299307
2014-02-28;336549
2014-03-01;338730
2014-03-02;344358
2014-03-03;345470
2014-03-04;347077
2014-03-05;353764
2014-03-06;355303
2014-03-07;356544
2014-03-08;358183
2014-03-09;358559
2014-03-10;359085
2014-03-11;359475
2014-03-12;361976
2014-03-13;362254
2014-03-14;362602
2014-03-15;364082
2014-03-16;369605
2014-03-17;371771
2014-03-18;373699
2014-03-19;386087
2014-03-20;387144
2014-03-21;388888
2014-03-22;390766
2014-03-23;391498
2014-03-24;393235
2014-03-25;394904
2014-03-26;396107
2014-03-27;397310
2014-03-28;398277
2014-03-29;399094
2014-03-30;399588
2014-03-31;422846
2014-04-01;427836
2014-04-02;428426
2014-04-03;428816
2014-04-04;430098
2014-04-05;431105
2014-04-06;431165
2014-04-08;432367
2014-04-09;438936
2014-04-27;435636
2014-04-28;436607
2014-04-29;404811
2014-04-30;414882
2014-05-06;445279
2014-05-07;446359
2014-05-14;447389
2014-05-15;448419
2014-05-19;450302
2014-05-21;451388
2014-05-23;452418
2014-05-27;461560
2014-05-28;461645
2014-05-29;462085
2014-05-30;462081
2014-05-31;463153
2014-06-04;463705
2014-06-05;464121
2014-06-06;473802
2014-06-10;474978
2014-06-11;475724
2014-06-12;480771
2014-06-16;483811
2014-06-18;506659
2014-06-19;507556
2014-06-20;509326
2014-06-22;510751
2014-06-25;511619
2014-06-26;510568
2014-06-27;545242
2014-07-02;545996
2014-07-04;547059
2014-07-07;548994
2014-07-09;549602
2014-07-13;550182
2014-07-14;550381
2014-07-16;554110
2014-07-17;554814
2014-07-18;537520
2014-07-21;538217
2014-07-24;540018
2014-07-25;553092
2014-07-28;553086
2014-07-29;555772
2014-07-31;557861
2014-08-01;559541
2014-08-04;559812
2014-08-05;561380
2014-08-06;562775
2014-08-07;563689
2014-08-08;564829
2014-08-12;565827
2014-08-13;569044
2014-08-14;571232
2014-08-15;570433
2014-08-19;571153
2014-08-21;571491
2014-08-22;572531
2014-08-26;572894
2014-08-27;572819
2014-08-29;574713
2014-08-31;572286
2014-09-01;572776
2014-09-03;573071
2014-09-04;573258
2014-09-05;574033
2014-09-09;574182
2014-09-11;574668
2014-09-12;575439
2014-09-16;575574
2014-09-18;574199
2014-09-19;575306
2014-09-22;575736
2014-09-23;575844
2014-09-25;579709
2014-09-26;580130
2014-09-30;580231
2014-10-01;581975
2014-10-02;582640
2014-10-03;583051
2014-10-07;583153
2014-10-08;585299
2014-10-10;587009
2014-10-14;587318
2014-10-15;589297
2014-10-16;590078
2014-10-21;590262
2014-10-22;591310
2014-10-23;591472
2014-10-24;591471
2014-10-27;591824
2014-10-28;592165
2014-10-30;593687
2014-11-04;593702
2014-11-05;593903
2014-11-07;594024
2014-11-09;595074
2014-11-10;595265
