sep=;
2012-01-27;6290
2012-02-10;6133
2012-02-17;6522
2012-02-24;6916
2012-03-02;7058
2012-03-07;7088
2012-03-16;7913
2012-03-22;8610
2012-03-29;9106
2012-04-18;10532
2012-04-20;10704
2012-04-23;10804
2012-04-24;11174
2012-04-26;12309
2012-04-27;12671
2012-04-30;13405
2012-05-03;13582
2012-05-08;13672
2012-05-11;14514
2012-05-16;15074
2012-05-17;15466
2012-05-24;15873
2012-05-31;17041
2012-06-01;17267
2012-06-07;19068
2012-06-14;20702
2012-06-21;22530
2012-06-27;24024
2012-06-29;25411
2012-07-05;26183
2012-07-06;26905
2012-07-12;28477
2012-07-18;29986
2012-07-20;31004
2012-07-24;31004
2012-07-25;31596
2012-07-30;32796
2012-07-31;33382
2012-08-01;33664
2012-08-03;33871
2012-08-06;34358
2012-08-07;34742
2012-08-08;35141
2012-08-09;35686
2012-08-10;36040
2012-08-14;36927
2012-08-15;37240
2012-08-16;37541
2012-08-21;38239
2012-08-22;39194
2012-08-23;39506
2012-08-24;39826
2012-08-27;40232
2012-08-28;41090
2012-08-29;41949
2012-08-30;42947
2012-08-31;43760
2012-09-03;44629
2012-09-04;45321
2012-09-05;46177
2012-09-06;46509
2012-09-07;46628
2012-09-10;47330
2012-09-11;48072
2012-09-12;48925
2012-09-13;49653
2012-09-14;50440
2012-09-17;51121
2012-09-18;51665
2012-09-19;52410
2012-09-20;53233
2012-09-21;53731
2012-09-24;54456
2012-09-25;55298
2012-09-26;56225
2012-09-27;56947
2012-09-28;57335
2012-10-01;58318
2012-10-02;59172
2012-10-03;60089
2012-10-04;61003
2012-10-05;61341
2012-10-08;62109
2012-10-09;62997
2012-10-10;63916
2012-10-11;64836
2012-10-12;65801
2012-10-15;66660
2012-10-16;67848
2012-10-17;69095
2012-10-18;70440
2012-10-19;71592
2012-10-23;72301
2012-10-24;73393
2012-10-25;74090
2012-10-29;74720
2012-10-30;75668
2012-10-31;77014
2012-11-01;77734
2012-11-02;79356
2012-11-05;80357
2012-11-06;81605
2012-11-07;82690
2012-11-08;83860
2012-11-09;84772
2012-11-12;85661
2012-11-13;87021
2012-11-14;88794
2012-11-16;90292
2012-11-19;91836
2012-11-20;93110
2012-11-21;94603
2012-11-23;95452
2012-11-26;97152
2012-11-27;99063
2012-11-28;100726
2012-11-29;102369
2012-11-30;103160
2012-12-03;104583
2012-12-04;106130
2012-12-05;107506
2012-12-06;109081
2012-12-07;110236
2012-12-10;111865
2012-12-11;113545
2012-12-12;115212
2012-12-13;116686
2012-12-14;118020
2012-12-18;119596
2012-12-19;120989
2012-12-20;122366
2012-12-24;123224
2012-12-26;124945
2012-12-27;126724
2012-12-28;128314
2012-12-31;129106
2013-01-02;130799
2013-01-03;132354
2013-01-04;133876
2013-01-07;135361
2013-01-08;137065
2013-01-09;138213
2013-01-10;139275
2013-01-11;140650
2013-01-14;142360
2013-01-15;143898
2013-01-16;145689
2013-01-17;147658
2013-01-18;149606
2013-01-21;151602
2013-01-22;153505
2013-01-23;155390
2013-01-25;157139
2013-01-28;158973
2013-01-29;161067
2013-01-30;163036
2013-01-31;165003
2013-02-01;166173
2013-02-04;168092
2013-02-05;170273
2013-02-06;172361
2013-02-07;174462
2013-02-08;176849
2013-02-11;178994
2013-02-12;181117
2013-02-13;182938
2013-02-14;185081
2013-02-15;187094
2013-02-18;188990
2013-02-19;190954
2013-02-20;193093
2013-02-21;195098
2013-02-22;309997
2013-02-25;314602
2013-02-26;317229
2013-02-27;321714
2013-02-28;325873
2013-03-01;327896
2013-03-04;329823
2013-03-05;332297
2013-03-06;335280
2013-03-07;336997
2013-03-08;339187
2013-03-11;348539
2013-03-12;351683
2013-03-13;354316
2013-03-14;357334
2013-03-15;359419
2013-03-18;367061
2013-03-19;370923
2013-03-20;373265
2013-03-21;375236
2013-03-22;376547
2013-03-25;389915
2013-03-26;391777
2013-03-27;394127
2013-03-28;396931
2013-03-29;398478
2013-04-02;403199
2013-04-03;403766
2013-04-04;406311
2013-04-05;408654
2013-04-08;412483
2013-04-09;412663
2013-04-10;414781
2013-04-11;416623
2013-04-12;417827
2013-04-15;421632
2013-04-16;424141
2013-04-17;425995
2013-04-18;428649
2013-04-20;431110
2013-04-22;433467
2013-04-23;438190
2013-04-24;441394
2013-04-25;444045
2013-04-26;445304
2013-04-29;450639
2013-04-30;453495
2013-05-02;455665
2013-05-03;455415
2013-05-07;457186
2013-05-08;460995
2013-05-09;463409
2013-05-10;462661
2013-05-13;465970
2013-05-14;469217
2013-05-15;470457
2013-05-16;474461
2013-05-17;476838
2013-05-20;482313
2013-05-21;485283
2013-05-22;486163
2013-05-23;488516
2013-05-24;490193
2013-05-27;492976
2013-05-28;495776
2013-05-29;496627
2013-05-30;499656
2013-05-31;500654
2013-06-03;503558
2013-06-04;506941
2013-06-05;509152
2013-06-06;511418
2013-06-07;513560
2013-06-10;517380
2013-06-11;521040
2013-06-12;525008
2013-06-13;530410
2013-06-14;535204
2013-06-17;541676
2013-06-18;545795
2013-06-19;549911
2013-06-20;553623
2013-06-21;556181
2013-06-24;560620
2013-06-25;564039
2013-06-26;568733
2013-06-27;572224
2013-06-28;575061
2013-07-01;576463
2013-07-02;582854
2013-07-03;584584
2013-07-04;587795
2013-07-08;592668
2013-07-09;596936
2013-07-10;603226
2013-07-11;604954
2013-07-12;607908
2013-07-15;610922
2013-07-16;615881
2013-07-17;620241
2013-07-18;625940
2013-07-19;629569
2013-07-22;633813
2013-07-23;639982
2013-07-24;645780
2013-07-25;651011
2013-07-26;653329
2013-07-29;658831
2013-07-30;663010
2013-07-31;665978
2013-08-01;668720
2013-08-02;671207
2013-08-05;672942
2013-08-06;675363
2013-08-08;677702
2013-08-09;677965
2013-08-12;680843
2013-08-13;684219
2013-08-14;688414
2013-08-15;690765
2013-08-16;692675
2013-08-19;696195
2013-08-20;699485
2013-08-21;700961
2013-08-22;702966
2013-08-23;704877
2013-08-26;708046
2013-08-27;711920
2013-08-28;714069
2013-08-29;716284
2013-08-31;718104
2013-09-02;720003
2013-09-03;720341
2013-09-04;722871
2013-09-05;726340
2013-09-06;728252
2013-09-09;731675
2013-09-12;739823
2013-09-14;742209
2013-09-16;746200
2013-09-17;748608
2013-09-18;752120
2013-09-21;756630
2013-09-23;759932
2013-09-24;763097
2013-09-27;769742
2013-09-30;773281
2013-10-01;775991
2013-10-02;776902
2013-10-03;779038
2013-10-04;782084
2013-10-07;784878
2013-10-08;786294
2013-10-09;788275
2013-10-10;789954
2013-10-14;794450
2013-10-16;794041
2013-10-17;793690
2013-10-19;793615
2013-10-21;795984
2013-10-22;798293
2013-10-23;798885
2013-10-24;800873
2013-10-25;801711
2013-10-28;802253
2013-10-29;805741
2013-10-31;812268
2013-11-01;812299
2013-11-02;812505
2013-11-05;815022
2013-11-06;812321
2013-11-07;805647
2013-11-08;806437
2013-11-11;810109
2013-11-12;814002
2013-11-13;816396
2013-11-14;816811
2013-11-15;818085
2013-11-18;821339
2013-11-19;823438
2013-11-20;824288
2013-11-21;823791
2013-11-25;825938
2013-11-26;829869
2013-11-27;831457
2013-11-28;832005
2013-11-30;833685
2013-12-02;831367
2013-12-03;833382
2013-12-04;834199
2013-12-05;835735
2013-12-06;835921
2013-12-09;836688
2013-12-10;838189
2013-12-11;841243
2013-12-12;842540
2013-12-14;842482
2013-12-16;845858
2013-12-18;849340
2013-12-19;848803
2013-12-23;851915
2013-12-26;854777
2013-12-27;856230
2013-12-30;857780
2013-12-31;858641
2014-01-02;860160
2014-01-03;860764
2014-01-06;862374
2014-01-07;864032
2014-01-08;866378
2014-01-09;868224
2014-01-10;962204
2014-01-14;873291
2014-01-15;877059
2014-01-16;880063
2014-01-18;882241
2014-01-20;881674
2014-01-21;884017
2014-01-22;887208
2014-01-23;890136
2014-01-24;892115
2014-01-27;895483
2014-01-28;897613
2014-01-29;900554
2014-01-30;902247
