sep=;
2013-04-03;27561
2013-04-04;28418
2013-04-05;29001
2013-04-08;29863
2013-04-09;30925
2013-04-10;31787
2013-04-11;32618
2013-04-12;33509
2013-04-15;34647
2013-04-16;35917
2013-04-17;36973
2013-04-18;38035
2013-04-20;40257
2013-04-22;42180
2013-04-23;42732
2013-04-24;43905
2013-04-25;45097
2013-04-26;46001
2013-04-29;47249
2013-04-30;48143
2013-05-02;49207
2013-05-03;49995
2013-05-07;51007
2013-05-08;51853
2013-05-09;53081
2013-05-10;54167
2013-05-13;55188
2013-05-14;56306
2013-05-15;57316
2013-05-16;58212
2013-05-17;59213
2013-05-20;60276
2013-05-21;61257
2013-05-22;62331
2013-05-23;63290
2013-05-24;64111
2013-05-27;64942
2013-05-28;66005
2013-05-29;66982
2013-05-30;68009
2013-05-31;69125
2013-06-03;70089
2013-06-04;71019
2013-06-05;72006
2013-06-06;72982
2013-06-07;74068
2013-06-10;75754
2013-06-11;75807
2013-06-12;76697
2013-06-13;77570
2013-06-14;78599
2013-06-17;79663
2013-06-18;80794
2013-06-19;81909
2013-06-20;83038
2013-06-21;83963
2013-06-24;84503
2013-06-25;85175
2013-06-26;86352
2013-06-27;87457
2013-06-28;88428
2013-07-01;89571
2013-07-02;90376
2013-07-03;91154
2013-07-04;92142
2013-07-08;93105
2013-07-09;93825
2013-07-10;94612
2013-07-11;95346
2013-07-12;96169
2013-07-15;96873
2013-07-16;97565
2013-07-17;98053
2013-07-18;98502
2013-07-19;99212
2013-07-22;99905
2013-07-23;100578
2013-07-24;101384
2013-07-25;102113
2013-07-26;102420
2013-07-29;102904
2013-07-30;103830
2013-07-31;104596
2013-08-01;105196
2013-08-02;105786
2013-08-05;106511
2013-08-06;107196
2013-08-08;107933
2013-08-09;108254
2013-08-12;109128
2013-08-13;109987
2013-08-14;110809
2013-08-15;111535
2013-08-16;112100
2013-08-19;113010
2013-08-20;113850
2013-08-21;114659
2013-08-22;115509
2013-08-23;116244
2013-08-26;117018
2013-08-27;117921
2013-08-28;118816
2013-08-29;119781
2013-08-31;121757
2013-09-02;122645
2013-09-03;123431
2013-09-04;124286
2013-09-05;125226
2013-09-06;125882
2013-09-09;126940
2013-09-12;130008
2013-09-14;131002
2013-09-16;132114
2013-09-17;133047
2013-09-18;133714
2013-09-21;136228
2013-09-23;137102
2013-09-24;138108
2013-09-27;140740
2013-09-30;141666
2013-10-01;142596
2013-10-02;143484
2013-10-03;144258
2013-10-04;145156
2013-10-07;146011
2013-10-08;146883
2013-10-09;147727
2013-10-10;148632
2013-10-14;149451
2013-10-16;150313
2013-10-17;151066
2013-10-19;152545
2013-10-21;153402
2013-10-22;154235
2013-10-23;155085
2013-10-24;156033
2013-10-25;156745
2013-10-28;157502
2013-10-29;158453
2013-10-31;160068
2013-11-02;161536
2013-11-05;162380
2013-11-06;158042
2013-11-07;158533
2013-11-08;159343
2013-11-11;160107
2013-11-12;161779
2013-11-13;162610
2013-11-14;163440
2013-11-15;164595
2013-11-18;165315
2013-11-19;166064
2013-11-20;166847
2013-11-21;167772
2013-11-25;168436
2013-11-26;169122
2013-11-27;169905
2013-11-28;170794
2013-11-30;172075
2013-12-02;172081
2013-12-03;172872
2013-12-04;173507
2013-12-05;174333
2013-12-06;175114
2013-12-09;175783
2013-12-10;176896
2013-12-11;177717
2013-12-12;178444
2013-12-14;179849
2013-12-16;180972
2013-12-18;182801
2013-12-19;182048
2013-12-23;184576
2013-12-26;185802
2013-12-27;186646
2013-12-30;187349
2013-12-31;187801
2014-01-02;188673
2014-01-03;189473
2014-01-06;190331
2014-01-07;191094
2014-01-08;192018
2014-01-09;192956
2014-01-10;193834
2014-01-14;194779
2014-01-15;195918
2014-01-16;196941
2014-01-18;198136
2014-01-20;198915
2014-01-21;199698
2014-01-22;200833
2014-01-23;201818
2014-01-24;202625
2014-01-27;203607
2014-01-28;204731
2014-01-29;205621
2014-01-30;206393
2014-01-31;207614
2014-02-03;208691
2014-02-04;209805
2014-02-05;211032
2014-02-06;212195
2014-02-07;212750
2014-02-10;213975
2014-02-11;215028
2014-02-12;216179
2014-02-13;217260
2014-02-14;218036
2014-02-17;217794
2014-02-18;218819
2014-02-19;219895
2014-02-20;220897
2014-02-21;221771
2014-02-24;222910
2014-02-26;225248
2014-02-27;226480
2014-02-28;227228
2014-03-03;228116
2014-03-04;229003
2014-03-05;229778
2014-03-06;230477
2014-03-07;231297
2014-03-10;232189
2014-03-11;233180
2014-03-12;234141
2014-03-13;235206
2014-03-15;236059
2014-03-17;236913
2014-03-18;237698
2014-03-19;238756
2014-03-20;239683
2014-03-22;240573
2014-03-24;241571
2014-03-25;242663
2014-03-26;243661
2014-03-27;244679
2014-03-28;245233
2014-03-31;246285
2014-04-01;247107
2014-04-02;249227
2014-04-03;250142
2014-04-05;251111
2014-04-07;252100
2014-04-08;253066
2014-04-09;254021
2014-04-10;254895
2014-04-12;255852
2014-04-14;256736
2014-04-15;257710
2014-04-16;258194
2014-04-17;259153
2014-04-22;260127
2014-04-26;262487
2014-04-28;263389
2014-04-30;265168
2014-05-02;265813
2014-05-05;266487
2014-05-06;267179
2014-05-07;267822
2014-05-08;268452
2014-05-10;269018
2014-05-12;266978
2014-05-13;267833
2014-05-14;268572
2014-05-15;269228
