Day,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Meri sim,Meri data,Meri error,Kakuma sim,Kakuma data,Kakuma error,Alwaral sim,Alwaral data,Alwaral error,East_Darfur sim,East_Darfur data,East_Darfur error,Khartoum sim,Khartoum data,Khartoum error,South_Darfur sim,South_Darfur data,South_Darfur error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,52,53.0,0.018867924528301883,0,0.0,0.0,0,0.0,0.0,9,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.24528301886792453,53,101,53,64,0
1,1,3,0.6666666666666667,0,0,0.0,12,0,0.0,0,64,1.0,0,1,1.0,0,1,1.0,0,5,1.0,52,53.0,0.018867924528301883,0,15,1.0,0,1,1.0,101,25,3.04,4,264,0.9848484848484849,0,8,1.0,1.0136363636363637,440,455,440,170,0
2,3,6,0.5,0,0,0.0,21,0,0.0,1,128,0.9921875,0,2,1.0,0,2,1.0,0,11,1.0,52,53.0,0.018867924528301883,0,30,1.0,0,3,1.0,140,51,1.7450980392156863,12,264,0.9545454545454546,3,16,0.8125,0.9787985865724381,566,560,566,232,0
3,6,10,0.4,0,0,0.0,25,1,24.0,3,192,0.984375,0,3,1.0,0,3,1.0,0,17,1.0,52,53.0,0.018867924528301883,0,45,1.0,0,5,1.0,177,76,1.3289473684210527,16,265,0.939622641509434,8,24,0.6666666666666667,0.946685878962536,694,680,694,287,0
4,8,13,0.3846153846153846,0,1,1.0,32,1,31.0,4,257,0.9844357976653697,0,4,1.0,0,5,1.0,0,23,1.0,52,53.0,0.018867924528301883,0,61,1.0,0,6,1.0,219,102,1.1470588235294117,19,265,0.9283018867924528,11,32,0.65625,0.9404617253948967,823,819,823,345,0
5,11,17,0.3529411764705882,1,1,0.0,39,2,18.5,4,321,0.9875389408099688,0,5,1.0,0,6,1.0,0,29,1.0,52,53.0,0.018867924528301883,0,76,1.0,0,8,1.0,272,127,1.1417322834645671,23,266,0.9135338345864662,15,41,0.6341463414634146,0.944327731092437,952,947,952,417,0
6,18,20,0.09999999999999998,1,1,0.0,51,2,24.5,6,385,0.9844155844155844,0,6,1.0,0,7,1.0,0,35,1.0,51,53.0,0.037735849056603765,0,91,1.0,0,10,1.0,314,153,1.0522875816993462,25,266,0.9060150375939849,17,49,0.653061224489796,0.9415584415584416,1078,1057,1078,483,0
7,25,24,0.04166666666666674,1,1,0.0,59,3,18.666666666666668,12,449,0.9732739420935412,0,7,1.0,0,9,1.0,0,41,1.0,51,53.0,0.037735849056603765,0,107,1.0,0,12,1.0,365,178,1.0505617977528088,28,267,0.8951310861423221,18,57,0.6842105263157895,0.9412251655629139,1208,1190,1208,559,0
8,31,27,0.14814814814814814,2,2,0.0,72,3,23.0,14,514,0.9727626459143969,0,8,1.0,1,10,0.9,0,47,1.0,51,53.0,0.037735849056603765,0,122,1.0,0,13,1.0,414,204,1.0294117647058822,31,267,0.8838951310861423,18,65,0.7230769230769231,0.949063670411985,1335,1307,1335,634,0
9,40,30,0.33333333333333326,2,2,0.0,81,4,19.25,16,578,0.972318339100346,0,9,1.0,1,11,0.9090909090909091,0,53,1.0,51,53.0,0.037735849056603765,0,137,1.0,0,15,1.0,451,229,0.9694323144104804,33,268,0.8768656716417911,23,74,0.6891891891891893,0.9453178400546821,1463,1440,1463,698,0
10,48,34,0.41176470588235303,3,2,0.5,88,4,21.0,21,642,0.9672897196261683,0,10,1.0,1,13,0.9230769230769231,0,59,1.0,51,53.0,0.037735849056603765,0,152,1.0,0,17,1.0,497,255,0.9490196078431372,38,269,0.8587360594795539,26,82,0.6829268292682926,0.9428391959798995,1592,1554,1592,773,0
11,58,37,0.5675675675675675,3,3,0.0,99,5,18.8,27,707,0.9618104667609618,0,11,1.0,1,14,0.9285714285714286,0,65,1.0,51,53.0,0.037735849056603765,0,168,1.0,0,18,1.0,541,281,0.9252669039145907,42,269,0.8438661710037174,29,90,0.6777777777777778,0.9413131900058106,1721,1675,1721,851,0
12,65,41,0.5853658536585367,4,3,0.33333333333333326,111,5,21.2,36,771,0.9533073929961089,0,12,1.0,1,15,0.9333333333333333,0,71,1.0,51,53.0,0.037735849056603765,0,183,1.0,0,20,1.0,591,306,0.9313725490196079,46,270,0.8296296296296296,32,98,0.6734693877551021,0.9431818181818182,1848,1794,1848,937,0
13,74,44,0.6818181818181819,4,3,0.33333333333333326,120,6,19.0,47,835,0.9437125748502994,0,13,1.0,1,17,0.9411764705882353,0,77,1.0,51,53.0,0.037735849056603765,0,198,1.0,0,22,1.0,631,332,0.9006024096385543,49,270,0.8185185185185185,34,107,0.6822429906542056,0.9377845220030349,1977,1926,1977,1011,0
14,80,48,0.6666666666666667,4,3,0.33333333333333326,127,6,20.166666666666668,60,836,0.9282296650717703,0,14,1.0,2,18,0.8888888888888888,0,83,1.0,51,53.0,0.037735849056603765,0,214,1.0,0,24,1.0,676,357,0.8935574229691876,50,271,0.8154981549815499,37,115,0.6782608695652175,0.9309500489715965,2042,1981,2042,1087,0
15,88,51,0.7254901960784315,4,4,0.0,133,7,18.0,68,836,0.9186602870813397,0,15,1.0,2,19,0.8947368421052632,0,89,1.0,51,53.0,0.037735849056603765,0,214,1.0,0,25,1.0,709,383,0.8511749347258486,58,271,0.7859778597785978,40,123,0.6747967479674797,0.916267942583732,2090,2032,2090,1153,0
16,100,54,0.8518518518518519,4,4,0.0,143,7,19.428571428571427,76,837,0.9091995221027479,0,16,1.0,2,21,0.9047619047619048,0,95,1.0,51,53.0,0.037735849056603765,0,214,1.0,0,27,1.0,738,408,0.8088235294117647,63,272,0.7683823529411764,41,131,0.6870229007633588,0.9093034128097242,2139,2075,2139,1218,0
17,108,58,0.8620689655172413,4,4,0.0,146,8,17.25,87,838,0.89618138424821,0,17,1.0,2,22,0.9090909090909091,0,101,1.0,51,53.0,0.037735849056603765,0,214,1.0,0,29,1.0,779,434,0.7949308755760369,65,272,0.7610294117647058,44,140,0.6857142857142857,0.8995433789954338,2190,2124,2190,1286,0
18,114,61,0.8688524590163935,7,5,0.3999999999999999,154,8,18.25,92,838,0.8902147971360381,0,18,1.0,2,23,0.9130434782608696,0,107,1.0,52,53.0,0.018867924528301883,0,214,1.0,0,30,1.0,805,459,0.7538126361655773,66,273,0.7582417582417582,47,148,0.6824324324324325,0.8904783191774698,2237,2169,2237,1339,0
19,119,65,0.8307692307692307,8,5,0.6000000000000001,159,9,16.666666666666668,102,839,0.8784266984505363,0,19,1.0,2,25,0.92,0,113,1.0,53,53.0,0.0,0,214,1.0,0,32,1.0,831,485,0.71340206185567,66,274,0.7591240875912408,49,156,0.6858974358974359,0.8763652249890782,2289,2212,2289,1389,0
20,133,68,0.9558823529411764,8,5,0.6000000000000001,168,9,17.666666666666668,111,840,0.8678571428571429,0,20,1.0,2,26,0.9230769230769231,0,119,1.0,52,53.0,0.018867924528301883,0,215,1.0,0,34,1.0,860,510,0.6862745098039216,70,274,0.7445255474452555,49,164,0.7012195121951219,0.8720581942661532,2337,2264,2337,1453,0
21,139,72,0.9305555555555556,10,5,1.0,170,10,16.0,122,840,0.8547619047619047,0,21,1.0,2,27,0.9259259259259259,0,124,1.0,52,53.0,0.018867924528301883,0,215,1.0,0,36,1.0,898,536,0.6753731343283582,71,275,0.7418181818181818,51,173,0.7052023121387283,0.8630079597821533,2387,2296,2387,1515,0
22,144,75,0.9199999999999999,10,6,0.6666666666666667,174,10,16.4,130,841,0.845422116527943,0,22,1.0,2,29,0.9310344827586207,0,130,1.0,52,53.0,0.018867924528301883,0,215,1.0,0,37,1.0,925,562,0.6459074733096086,71,275,0.7418181818181818,53,181,0.7071823204419889,0.8518062397372742,2436,2344,2436,1561,0
23,151,78,0.9358974358974359,10,6,0.6666666666666667,179,10,16.9,143,842,0.830166270783848,0,23,1.0,2,30,0.9333333333333333,0,136,1.0,52,53.0,0.018867924528301883,1,215,0.9953488372093023,0,39,1.0,951,587,0.6201022146507666,72,276,0.7391304347826086,55,189,0.7089947089947091,0.8405797101449275,2484,2385,2484,1616,0
24,157,82,0.9146341463414633,11,6,0.8333333333333333,187,11,16.0,153,842,0.8182897862232779,0,24,1.0,2,31,0.935483870967742,0,142,1.0,52,53.0,0.018867924528301883,2,215,0.9906976744186047,0,41,1.0,980,613,0.598694942903752,73,276,0.7355072463768115,58,197,0.7055837563451777,0.8306356099486775,2533,2440,2533,1675,0
25,159,85,0.8705882352941177,11,6,0.8333333333333333,195,11,16.727272727272727,165,843,0.8042704626334519,0,26,1.0,2,33,0.9393939393939394,0,148,1.0,52,53.0,0.018867924528301883,2,215,0.9906976744186047,0,43,1.0,993,638,0.5564263322884013,74,277,0.7328519855595668,60,206,0.7087378640776699,0.8154024767801857,2584,2482,2584,1713,0
26,164,89,0.8426966292134832,12,7,0.7142857142857142,201,12,15.75,172,844,0.7962085308056872,0,27,1.0,2,34,0.9411764705882353,0,154,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,0,44,1.0,1018,664,0.5331325301204819,76,277,0.7256317689530686,64,214,0.7009345794392523,0.8037950664136623,2635,2526,2635,1763,0
27,170,92,0.8478260869565217,12,7,0.7142857142857142,204,12,16.0,183,844,0.783175355450237,0,28,1.0,2,35,0.9428571428571428,0,160,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,0,46,1.0,1041,689,0.5108853410740204,81,278,0.7086330935251799,64,222,0.7117117117117118,0.7923191648023863,2682,2553,2682,1811,0
28,177,96,0.84375,13,7,0.8571428571428572,208,13,15.0,189,844,0.7760663507109005,0,29,1.0,3,36,0.9166666666666666,0,166,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,0,48,1.0,1065,715,0.4895104895104896,84,279,0.6989247311827957,65,230,0.7173913043478262,0.7825768667642753,2732,2608,2732,1858,0
29,188,99,0.898989898989899,13,8,0.625,212,13,15.307692307692307,198,844,0.7654028436018957,0,30,1.0,3,38,0.9210526315789473,0,172,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,0,49,1.0,1094,740,0.4783783783783784,85,279,0.6953405017921147,67,239,0.7196652719665272,0.7769784172661871,2780,2659,2780,1914,0
30,193,100,0.9299999999999999,15,8,0.875,214,14,14.285714285714286,206,844,0.7559241706161137,0,31,1.0,3,39,0.9230769230769231,0,178,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,0,51,1.0,1116,766,0.4569190600522193,89,280,0.6821428571428572,67,247,0.728744939271255,0.7675981605942696,2827,2698,2827,1957,0
31,196,101,0.9405940594059405,15,8,0.875,215,14,14.357142857142858,210,844,0.7511848341232228,0,32,1.0,3,40,0.925,0,184,1.0,52,53,0.018867924528301883,2,216,0.9907407407407407,1,53,0.9811320754716981,1134,791,0.4336283185840708,89,280,0.6821428571428572,70,255,0.7254901960784313,0.7579240682688958,2871,2751,2871,1987,0
32,204,101,1.0198019801980198,15,8,0.875,218,15,13.533333333333333,218,844,0.7417061611374407,0,33,1.0,3,42,0.9285714285714286,0,190,1.0,52,53,0.018867924528301883,2,217,0.9907834101382489,1,55,0.9818181818181818,1167,817,0.4283965728274173,93,281,0.6690391459074734,72,263,0.7262357414448669,0.7536827680712572,2919,2789,2919,2045,0
33,210,102,1.0588235294117645,15,8,0.875,221,15,13.733333333333333,227,845,0.7313609467455622,0,34,1.0,4,43,0.9069767441860466,0,196,1.0,52,53,0.018867924528301883,2,217,0.9907834101382489,1,56,0.9821428571428571,1191,843,0.4128113879003559,98,281,0.6512455516014235,73,272,0.7316176470588236,0.7450252951096121,2965,2836,2965,2094,0
34,213,103,1.0679611650485437,15,8,0.875,227,16,13.1875,229,845,0.7289940828402367,0,35,1.0,5,44,0.8863636363636364,0,202,1.0,52,53,0.018867924528301883,2,217,0.9907834101382489,1,58,0.9827586206896551,1211,868,0.39516129032258074,102,282,0.6382978723404256,78,280,0.7214285714285714,0.7366323480571239,3011,2862,3011,2135,0
35,223,104,1.1442307692307692,15,8,0.875,232,16,13.5,233,845,0.7242603550295859,0,36,1.0,6,46,0.8695652173913043,0,208,1.0,52,53,0.018867924528301883,2,217,0.9907834101382489,1,60,0.9833333333333333,1239,894,0.38590604026845643,103,282,0.6347517730496454,79,288,0.7256944444444444,0.7347072293097808,3057,2904,3057,2185,0
36,226,104,1.173076923076923,15,8,0.875,236,17,12.882352941176471,244,846,0.7115839243498818,0,37,1.0,6,47,0.8723404255319149,0,214,1.0,55,53,0.037735849056603765,2,217,0.9907834101382489,1,61,0.9836065573770492,1259,919,0.36996735582154505,106,283,0.6254416961130742,79,296,0.7331081081081081,0.7263056092843327,3102,2941,3102,2229,0
37,233,105,1.2190476190476192,15,8,0.875,239,17,13.058823529411764,253,846,0.7009456264775413,0,38,1.0,7,48,0.8541666666666666,0,220,1.0,55,53,0.037735849056603765,2,217,0.9907834101382489,1,63,0.9841269841269842,1285,945,0.35978835978835977,109,284,0.6161971830985915,81,305,0.7344262295081967,0.7199110828834551,3149,3002,3149,2280,0
