day,total_agents
0,0
1,0
2,15
3,4
4,11
5,6
6,12
7,6
8,12
9,8
10,7
11,6
12,7
13,8
14,7
15,7
16,6
17,9
18,8
19,7
20,7
21,10
22,5
23,8
24,6
25,6
26,4
27,4
28,3
29,4
30,4
31,3
32,3
33,4
34,4
35,3
36,3
37,1
38,2
39,2
40,2
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,2
50,3
51,3
52,2
53,3
54,2
55,4
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,5
82,8
83,6
84,8
85,5
86,1
87,1
88,1
89,1
90,1
91,1
92,6
93,1
94,1
95,1
96,1
97,1
98,9
99,13
100,13
101,2
102,3
103,3
104,3
105,3
106,3
107,3
108,4
109,5
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,3
124,3
125,2
126,3
127,2
128,4
129,3
130,4
131,2
132,3
133,4
134,4
135,3
136,3
137,3
138,3
139,5
140,7
141,7
142,10
143,7
144,6
145,6
146,6
147,4
148,4
149,6
150,7
151,7
152,5
153,9
154,21
155,10
156,9
157,8
158,7
159,6
160,6
161,6
162,6
163,6
164,5
165,11
166,13
167,11
168,8
169,7
170,7
171,6
172,7
173,8
174,9
175,10
176,7
177,6
178,6
179,6
180,5
181,6
182,4
183,4
184,5
185,4
186,5
187,5
188,5
189,4
190,5
191,7
192,6
193,4
194,4
195,4
196,4
197,4
198,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,6
208,7
209,7
210,7
211,7
212,5
213,8
214,10
215,8
216,10
217,9
218,9
219,5
220,5
221,6
222,7
223,6
224,4
225,6
226,7
227,5
228,5
229,7
230,7
231,7
232,6
233,6
234,7
235,7
236,7
237,8
238,7
239,7
240,7
241,8
242,8
243,8
244,7
245,8
246,8
247,8
248,9
249,8
250,8
251,8
252,9
253,9
254,8
255,8
256,8
257,8
258,8
259,8
260,8
261,8
262,9
263,9
264,10
265,10
266,11
267,10
268,11
269,10
270,10
271,11
272,11
273,32
274,26
275,31
276,33
277,32
278,29
279,29
280,28
281,27
282,29
283,27
284,27
285,26
286,26
287,26
288,24
289,24
290,24
291,24
292,23
293,23
294,23
295,22
296,22
297,21
298,21
299,20
300,20
301,20
302,20
303,20
304,24
305,24
306,22
307,22
308,22
309,22
310,22
311,21
312,20
313,20
314,21
315,22
316,20
317,21
318,21
319,20
320,23
321,24
322,22
323,23
324,22
325,24
326,23
327,25
328,25
329,29
330,30
331,31
332,31
333,33
334,31
335,30
336,31
337,30
338,29
339,29
340,28
341,28
342,28
343,27
344,27
345,27
346,27
347,30
348,33
349,35
350,36
351,35
352,35
353,35
354,34
355,33
356,33
357,33
358,32
359,32
360,33
361,34
362,36
363,38
364,37
365,40
366,41
367,41
368,41
369,41
370,41
371,39
372,39
373,37
374,37
375,37
376,37
377,37
378,37
379,37
380,38
381,38
382,38
383,38
384,38
385,38
386,38
387,38
388,38
389,37
390,37
391,38
392,37
393,37
394,36
395,36
396,37
397,37
398,37
399,37
400,37
401,37
402,37
403,37
404,37
405,36
406,36
407,36
408,36
409,36
410,36
411,37
412,37
413,40
414,40
415,42
416,45
417,46
418,45
419,45
420,46
421,45
422,45
423,45
424,45
425,44
