day,total_agents
0,806
1,705
2,689
3,688
4,678
5,772
6,769
7,774
8,767
9,764
10,764
11,764
12,768
13,767
14,765
15,759
16,760
17,755
18,757
19,758
20,756
21,753
22,753
23,749
24,750
25,751
26,752
27,748
28,751
29,747
30,748
31,747
32,749
33,750
34,749
35,747
36,744
37,748
38,746
39,748
40,745
41,745
42,741
43,743
44,743
45,742
46,743
47,746
48,744
49,746
50,745
51,743
52,744
53,743
54,743
55,743
56,743
57,743
58,743
59,743
60,744
61,742
62,742
63,743
64,742
65,742
66,743
67,743
68,742
69,742
70,744
71,743
72,743
73,744
74,745
75,745
76,746
77,746
78,745
79,745
80,753
81,758
82,763
83,770
84,768
85,767
86,768
87,769
88,769
89,768
90,769
91,784
92,772
93,776
94,777
95,776
96,774
97,798
98,805
99,819
100,808
101,814
102,818
103,817
104,819
105,820
106,821
107,825
108,825
109,824
110,825
111,828
112,827
113,827
114,828
115,827
116,828
117,828
118,827
119,827
120,828
121,828
122,831
123,831
124,837
125,839
126,840
127,845
128,846
129,849
130,852
131,854
132,861
133,855
134,857
135,859
136,859
137,858
138,864
139,867
140,873
141,879
142,881
143,888
144,892
145,897
146,895
147,900
148,902
149,907
150,907
151,910
152,911
153,950
154,922
155,931
156,931
157,930
158,932
159,932
160,932
161,931
162,932
163,933
164,952
165,956
166,962
167,955
168,958
169,960
170,963
171,968
172,971
173,972
174,973
175,972
176,973
177,973
178,972
179,974
180,975
181,973
182,976
183,978
184,979
185,980
186,983
187,982
188,984
189,987
190,987
191,989
192,993
193,994
194,993
195,992
196,993
197,992
198,993
199,993
200,993
201,991
202,992
203,994
204,993
205,994
206,1003
207,1005
208,1009
209,1016
210,1018
211,1020
212,1029
213,1034
214,1033
215,1035
216,1035
217,1042
218,1043
219,1047
220,1047
221,1049
222,1049
223,1051
224,1052
225,1055
226,1056
227,1058
228,1060
229,1059
230,1059
231,1060
232,1063
233,1066
234,1067
235,1068
236,1070
237,1073
238,1073
239,1078
240,1078
241,1079
242,1080
243,1079
244,1080
245,1081
246,1084
247,1085
248,1081
249,1082
250,1083
251,1083
252,1084
253,1086
254,1084
255,1083
256,1085
257,1085
258,1084
259,1083
260,1084
261,1086
262,1086
263,1088
264,1088
265,1089
266,1088
267,1089
268,1087
269,1087
270,1089
271,1090
272,1168
273,1106
274,1118
275,1122
276,1124
277,1129
278,1130
279,1130
280,1131
281,1130
282,1130
283,1130
284,1130
285,1129
286,1131
287,1130
288,1130
289,1130
290,1131
291,1131
292,1127
293,1128
294,1129
295,1130
296,1129
297,1131
298,1130
299,1130
300,1132
301,1131
302,1132
303,1148
304,1137
305,1137
306,1138
307,1137
308,1139
309,1138
310,1138
311,1140
312,1141
313,1145
314,1145
315,1143
316,1148
317,1147
318,1149
319,1150
320,1154
321,1155
322,1160
323,1160
324,1166
325,1166
326,1168
327,1174
328,1176
329,1177
330,1180
331,1180
332,1184
333,1187
334,1187
335,1188
336,1190
337,1189
338,1189
339,1193
340,1194
341,1194
342,1193
343,1193
344,1196
345,1197
346,1206
347,1209
348,1213
349,1209
350,1209
351,1214
352,1212
353,1212
354,1214
355,1210
356,1212
357,1212
358,1220
359,1218
360,1222
361,1228
362,1230
363,1236
364,1240
365,1236
366,1239
367,1238
368,1238
369,1240
370,1240
371,1239
372,1239
373,1238
374,1240
375,1242
376,1245
377,1244
378,1245
379,1249
380,1249
381,1250
382,1250
383,1253
384,1253
385,1251
386,1250
387,1250
388,1249
389,1252
390,1258
391,1256
392,1259
393,1262
394,1266
395,1262
396,1265
397,1266
398,1265
399,1266
400,1266
401,1265
402,1266
403,1265
404,1266
405,1267
406,1268
407,1268
408,1270
409,1277
410,1284
411,1287
412,1296
413,1305
414,1312
415,1305
416,1312
417,1320
418,1321
419,1322
420,1319
421,1321
422,1320
423,1319
424,1322
425,1321
