day,new_refs
0,806
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,2
29,-18
30,-18
31,-18
32,-18
33,-18
34,-18
35,-18
36,-18
37,-18
38,-19
39,-20
40,-20
41,-21
42,-21
43,-22
44,-22
45,-22
46,-22
47,-22
48,-22
49,-22
50,-22
51,-22
52,-20
53,-18
54,-16
55,-13
56,-13
57,-13
58,-13
59,-10
60,-6
61,-3
62,-3
63,-2
64,-1
65,-1
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,0
79,1
80,9
81,10
82,9
83,10
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,16
92,0
93,0
94,0
95,0
96,0
97,22
98,22
99,22
100,2
101,3
102,3
103,2
104,3
105,3
106,2
107,3
108,3
109,2
110,3
111,3
112,3
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,4
123,4
124,5
125,4
126,4
127,5
128,4
129,4
130,5
131,4
132,5
133,1
134,2
135,2
136,2
137,2
138,7
139,8
140,8
141,8
142,7
143,8
144,8
145,8
146,4
147,5
148,4
149,5
150,4
151,5
152,5
153,39
154,0
155,0
156,0
157,0
158,1
159,0
160,0
161,0
162,0
163,1
164,20
165,20
166,20
167,4
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,2
184,3
185,2
186,3
187,3
188,2
189,2
190,2
191,2
192,2
193,3
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,9
207,10
208,9
209,10
210,10
211,9
212,10
213,10
214,2
215,3
216,3
217,2
218,3
219,3
220,2
221,3
222,3
223,3
224,2
225,3
226,3
227,2
228,3
229,3
230,3
231,2
232,3
233,3
234,2
235,3
236,3
237,3
238,2
239,3
240,3
241,2
242,3
243,3
244,3
245,1
246,1
247,2
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,2
264,1
265,2
266,1
267,2
268,1
269,2
270,1
271,2
272,80
273,2
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,1
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,15
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,1
313,5
314,6
315,5
316,6
317,5
318,6
319,5
320,6
321,5
322,6
323,5
324,6
325,5
326,6
327,5
328,6
329,5
330,6
331,5
332,6
333,6
334,1
335,1
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,2
346,12
347,12
348,12
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,0
357,1
358,7
359,8
360,7
361,8
362,7
363,8
364,8
365,0
366,0
367,0
368,1
369,0
370,0
371,1
372,0
373,0
374,1
375,3
376,3
377,3
378,3
379,3
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,1
390,5
391,6
392,6
393,6
394,6
395,-8
396,-15
397,-14
398,-12
399,-10
400,-8
401,-6
402,-5
403,-3
404,-1
405,1
406,2
407,2
408,2
409,9
410,14
411,15
412,14
413,15
414,15
415,0
416,0
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
