day,total_agents
0,806
1,720
2,712
3,711
4,707
5,788
6,785
7,787
8,778
9,778
10,765
11,771
12,767
13,770
14,770
15,767
16,771
17,767
18,768
19,768
20,761
21,764
22,763
23,758
24,761
25,758
26,766
27,766
28,769
29,769
30,768
31,769
32,766
33,767
34,767
35,763
36,766
37,766
38,765
39,765
40,766
41,766
42,765
43,766
44,766
45,765
46,764
47,764
48,762
49,766
50,764
51,764
52,764
53,768
54,768
55,770
56,770
57,768
58,765
59,767
60,767
61,769
62,768
63,768
64,768
65,769
66,766
67,767
68,767
69,768
70,768
71,769
72,772
73,770
74,771
75,769
76,771
77,772
78,773
79,774
80,783
81,785
82,791
83,797
84,791
85,792
86,794
87,797
88,798
89,797
90,797
91,813
92,802
93,807
94,809
95,808
96,809
97,830
98,839
99,847
100,848
101,852
102,855
103,855
104,858
105,859
106,857
107,861
108,862
109,863
110,869
111,869
112,872
113,868
114,869
115,868
116,868
117,869
118,868
119,868
120,869
121,869
122,873
123,875
124,878
125,880
126,885
127,887
128,885
129,889
130,890
131,894
132,900
133,897
134,900
135,902
136,903
137,904
138,910
139,908
140,913
141,917
142,922
143,926
144,929
145,934
146,934
147,937
148,937
149,940
150,943
151,943
152,947
153,983
154,951
155,967
156,967
157,968
158,969
159,967
160,968
161,969
162,968
163,966
164,987
165,993
166,1002
167,998
168,1008
169,1007
170,1008
171,1011
172,1015
173,1017
174,1019
175,1021
176,1019
177,1020
178,1020
179,1019
180,1023
181,1023
182,1022
183,1023
184,1026
185,1025
186,1026
187,1029
188,1028
189,1029
190,1030
191,1032
192,1033
193,1033
194,1031
195,1032
196,1033
197,1033
198,1033
199,1032
200,1033
201,1033
202,1033
203,1033
204,1033
205,1032
206,1041
207,1042
208,1044
209,1049
210,1052
211,1053
212,1057
213,1064
214,1063
215,1070
216,1073
217,1074
218,1078
219,1080
220,1076
221,1077
222,1081
223,1083
224,1082
225,1083
226,1086
227,1088
228,1089
229,1093
230,1093
231,1092
232,1096
233,1096
234,1096
235,1098
236,1098
237,1100
238,1098
239,1099
240,1103
241,1102
242,1104
243,1106
244,1107
245,1105
246,1108
247,1109
248,1107
249,1108
250,1109
251,1107
252,1108
253,1109
254,1108
255,1109
256,1109
257,1110
258,1106
259,1109
260,1111
261,1112
262,1112
263,1111
264,1112
265,1114
266,1113
267,1115
268,1115
269,1115
270,1115
271,1116
272,1196
273,1131
274,1137
275,1142
276,1143
277,1149
278,1149
279,1150
280,1151
281,1152
282,1151
283,1150
284,1151
285,1149
286,1148
287,1152
288,1153
289,1155
290,1154
291,1154
292,1155
293,1153
294,1154
295,1152
296,1153
297,1152
298,1150
299,1152
300,1152
301,1152
302,1153
303,1167
304,1156
305,1159
306,1157
307,1159
308,1159
309,1160
310,1159
311,1160
312,1161
313,1164
314,1166
315,1168
316,1169
317,1173
318,1172
319,1174
320,1177
321,1176
322,1180
323,1180
324,1183
325,1188
326,1190
327,1193
328,1197
329,1198
330,1199
331,1201
332,1206
333,1207
334,1205
335,1207
336,1213
337,1217
338,1216
339,1217
340,1216
341,1216
342,1218
343,1217
344,1218
345,1220
346,1229
347,1231
348,1236
349,1233
350,1232
351,1235
352,1234
353,1237
354,1238
355,1238
356,1238
357,1239
358,1246
359,1252
360,1253
361,1257
362,1259
363,1261
364,1268
365,1261
366,1266
367,1266
368,1269
369,1269
370,1269
371,1270
372,1271
373,1269
374,1267
375,1273
376,1274
377,1275
378,1276
379,1278
380,1275
381,1277
382,1279
383,1280
384,1279
385,1279
386,1279
387,1280
388,1280
389,1281
390,1285
391,1285
392,1284
393,1291
394,1290
395,1289
396,1292
397,1297
398,1298
399,1298
400,1300
401,1299
402,1300
403,1300
404,1299
405,1299
406,1302
407,1305
408,1305
409,1313
410,1325
411,1329
412,1330
413,1340
414,1345
415,1345
416,1357
417,1364
418,1365
419,1364
420,1363
421,1364
422,1364
423,1365
424,1366
425,1364
