day,total_agents
0,0
1,0
2,13
3,5
4,9
5,6
6,8
7,5
8,9
9,8
10,7
11,5
12,7
13,5
14,6
15,6
16,7
17,7
18,4
19,5
20,4
21,4
22,3
23,4
24,2
25,3
26,2
27,3
28,3
29,3
30,4
31,4
32,4
33,4
34,3
35,4
36,1
37,1
38,1
39,1
40,1
41,2
42,2
43,1
44,2
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,2
57,2
58,2
59,1
60,2
61,1
62,3
63,1
64,2
65,1
66,2
67,1
68,2
69,1
70,2
71,1
72,2
73,3
74,3
75,3
76,2
77,1
78,1
79,1
80,1
81,5
82,4
83,3
84,6
85,3
86,3
87,2
88,2
89,1
90,1
91,1
92,8
93,2
94,2
95,2
96,2
97,2
98,9
99,13
100,10
101,5
102,5
103,6
104,6
105,6
106,5
107,3
108,4
109,4
110,2
111,3
112,3
113,3
114,3
115,2
116,2
117,2
118,2
119,2
120,3
121,2
122,2
123,3
124,3
125,3
126,2
127,4
128,5
129,4
130,3
131,4
132,4
133,6
134,4
135,4
136,4
137,4
138,4
139,6
140,5
141,7
142,5
143,6
144,6
145,9
146,8
147,9
148,10
149,9
150,10
151,10
152,9
153,10
154,20
155,11
156,10
157,11
158,11
159,9
160,8
161,7
162,7
163,5
164,5
165,9
166,15
167,14
168,10
169,8
170,8
171,10
172,9
173,9
174,7
175,7
176,6
177,6
178,6
179,6
180,6
181,6
182,6
183,7
184,7
185,7
186,5
187,6
188,5
189,6
190,5
191,7
192,7
193,8
194,7
195,7
196,6
197,6
198,5
199,5
200,5
201,5
202,5
203,5
204,5
205,5
206,5
207,8
208,11
209,9
210,10
211,9
212,10
213,10
214,10
215,7
216,7
217,8
218,8
219,8
220,6
221,6
222,6
223,7
224,6
225,7
226,8
227,8
228,6
229,8
230,7
231,8
232,9
233,10
234,9
235,10
236,10
237,11
238,10
239,11
240,10
241,10
242,10
243,10
244,9
245,9
246,10
247,12
248,12
249,11
250,11
251,11
252,12
253,11
254,11
255,11
256,10
257,10
258,10
259,10
260,10
261,10
262,10
263,10
264,10
265,10
266,10
267,10
268,11
269,11
270,11
271,12
272,13
273,37
274,35
275,43
276,37
277,37
278,37
279,37
280,35
281,35
282,36
283,32
284,32
285,31
286,32
287,31
288,30
289,30
290,30
291,29
292,28
293,29
294,28
295,30
296,28
297,29
298,29
299,28
300,28
301,28
302,28
303,27
304,30
305,29
306,31
307,29
308,30
309,29
310,30
311,29
312,30
313,30
314,30
315,32
316,34
317,36
318,37
319,37
320,40
321,37
322,37
323,37
324,39
325,41
326,42
327,43
328,44
329,44
330,43
331,42
332,44
333,43
334,45
335,44
336,45
337,44
338,46
339,45
340,44
341,45
342,45
343,43
344,43
345,43
346,43
347,46
348,48
349,52
350,52
351,51
352,50
353,50
354,50
355,50
356,50
357,50
358,50
359,51
360,53
361,55
362,56
363,55
364,57
365,57
366,56
367,57
368,54
369,54
370,55
371,55
372,56
373,55
374,55
375,55
376,55
377,55
378,55
379,55
380,56
381,55
382,55
383,55
384,55
385,55
386,55
387,55
388,55
389,55
390,55
391,55
392,55
393,56
394,56
395,57
396,57
397,56
398,56
399,56
400,56
401,56
402,56
403,56
404,56
405,56
406,56
407,56
408,56
409,56
410,55
411,59
412,56
413,57
414,61
415,61
416,62
417,62
418,62
419,62
420,62
421,62
422,62
423,62
424,61
425,61
