time,agent_ref_id,system2_active,cognitive_pressure,connections,conflict_level,movechance,evacuation_timing,destination_chosen,route_length,location,timesteps_since_departure
3,4845647328,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845647680,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845648032,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845648384,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845648736,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845649088,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845649440,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845813824,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
3,4845814176,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845814528,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845814880,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845815232,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845815584,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845815936,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845816288,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
3,4845816640,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845647328,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845647680,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845648032,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845648384,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845648736,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845649088,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845649440,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845813824,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
4,4845814176,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845814528,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845814880,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845815232,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845815584,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845815936,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845816288,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
4,4845816640,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845647328,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845647680,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845648032,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845648384,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845648736,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845649088,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845649440,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845813824,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
5,4845814176,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845814528,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845814880,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845815232,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845815584,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845815936,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845816288,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
5,4845816640,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
6,4845647328,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
6,4845647680,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
6,4845648032,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
6,4845648384,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
