osm_id,building,type,Latitude,Longitude
2474024,residential,8,51.5277322,-0.192102738
2474026,residential,8,51.52792318,-0.191659468
2474027,residential,8,51.52897767,-0.193040148
2474028,residential,8,51.52825168,-0.193623305
2474029,residential,8,51.52753491,-0.192613867
2474030,residential,8,51.52809885,-0.191891696
2474031,residential,8,51.52827319,-0.192125634
2474032,residential,8,51.52797865,-0.193254374
2474034,residential,8,51.52790821,-0.192356202
2474036,residential,8,51.52818541,-0.192008956
2474037,residential,8,51.52815891,-0.192723809
2474038,residential,8,51.52771626,-0.192895889
2474039,residential,8,51.52815166,-0.193497054
2474040,residential,8,51.52788976,-0.193132222
2474042,residential,8,51.52870549,-0.192699972
2474043,residential,8,51.52801111,-0.191775091
2474044,residential,8,51.5278031,-0.193012682
2474045,residential,8,51.5285335,-0.192471117
2474046,residential,8,51.5279932,-0.192479614
2474047,residential,8,51.52841619,-0.193095505
2474048,residential,8,51.52782179,-0.192229391
2474049,residential,8,51.52844575,-0.192354595
2474050,residential,8,51.52807559,-0.192599593
2474053,residential,8,51.52835999,-0.192242375
2474054,residential,8,51.52763185,-0.192778925
2474055,residential,8,51.52888064,-0.192933063
2474058,residential,8,51.52862125,-0.192587906
2474059,residential,8,51.52824499,-0.192848808
2474060,residential,8,51.52850121,-0.193223587
2474065,residential,8,51.52806556,-0.193376421
2474066,residential,8,51.52879397,-0.19281404
2474067,residential,8,51.52833196,-0.19297607
2598783,yes,9,51.59483227,-0.243482187
2679589,yes,9,51.57742146,-0.238483569
2899764,apartments,8,51.54251956,-0.192458287
2909165,school,5,51.54988215,-0.336825629
2910188,,0,51.54370363,-0.33184046
2913623,,0,51.54899672,-0.325982529
2936139,school,5,51.5370328,-0.335428456
2980971,yes,9,51.53492355,-0.285304644
3080003,school,5,51.57980594,-0.327082152
3149293,,0,51.56330841,-0.297628288
3272174,,0,51.54062887,-0.229541512
3272375,,0,51.52983808,-0.192452714
3298704,,0,51.53844149,-0.281980585
3326004,,0,51.53003276,-0.18869477
3481436,,0,51.5568969,-0.283639044
3505824,yes,9,51.55736958,-0.282781014
3513165,yes,9,51.55731881,-0.28384398
3623081,,0,51.55923629,-0.253120008
3808860,train_station,0,51.56343281,-0.279759305
3818678,yes,9,51.54424377,-0.254711391
3906714,yes,9,51.59625725,-0.24144059
3993309,,0,51.53194789,-0.284765576
4090008,,0,51.52948617,-0.208680924
4128586,public,0,51.54742191,-0.261515738
4128587,,0,51.54759044,-0.260797473
4128588,,0,51.54784697,-0.260976506
4128589,,0,51.54773008,-0.260720209
4133774,,0,51.54496969,-0.271243835
5387962,apartments,8,51.52878695,-0.190323754
5415035,apartments,8,51.57307923,-0.188904717
5469626,,0,51.53197474,-0.24423159
5479804,train_station,0,51.53237743,-0.244587489
5659566,,0,51.56119634,-0.281837855
5742640,yes,9,51.58899906,-0.227695134
6006382,school,5,51.53183388,-0.208298659
6097284,yes,9,51.54138184,-0.236578334
6247072,,0,51.59120533,-0.191093988
6457581,,0,51.57165811,-0.254108751
6457582,,0,51.58273065,-0.269201435
6457584,,0,51.58187641,-0.267814935
6457655,,0,51.57665738,-0.264038297
6457656,,0,51.58268556,-0.263651062
6457658,,0,51.56225812,-0.253979937
6457660,,0,51.5582358,-0.194269838
6503134,yes,9,51.53141777,-0.216165785
6703654,,0,51.55866273,-0.235461177
6703655,school,5,51.56149696,-0.232985305
6891640,apartments,8,51.52906555,-0.217612881
6929782,yes,9,51.54486514,-0.192542347
7025757,yes,9,51.5413419,-0.216714058
7025758,yes,9,51.54084813,-0.215964383
7025759,yes,9,51.54040573,-0.215221187
7400774,school,5,51.59881582,-0.302881467
7449391,,0,51.57784635,-0.218414938
7712616,residential,8,51.59310691,-0.239176915
7724029,,0,51.57138639,-0.194741675
7835200,residential,8,51.56509437,-0.194255648
8085265,,0,51.59526128,-0.24970322
8085869,,0,51.54940826,-0.221834204
8085870,,0,51.54934781,-0.222183172
8088380,,0,51.54698945,-0.205411155
8089593,,0,51.53650417,-0.322634946
8118949,,0,51.59182908,-0.334228443
8118950,,0,51.59237691,-0.334746099
8118951,,0,51.59202785,-0.334314109
8126703,,0,51.53508089,-0.194424385
8130329,,0,51.54682043,-0.18986501
8411584,,0,51.53176876,-0.242776159
8411585,,0,51.52940571,-0.244738435
8411586,,0,51.52931108,-0.242171813
8537031,,0,51.54959412,-0.24826701
8537376,yes,9,51.54674478,-0.228986057
8911185,,0,51.59091853,-0.199974334
9818745,apartments,8,51.53487389,-0.190371808
9880524,apartments,8,51.52673383,-0.189238617
10032523,apartments,8,51.52859579,-0.206942262
10041044,,0,51.52841669,-0.208891829
10055672,yes,9,51.52800099,-0.214788236
10055673,apartments,8,51.52754239,-0.2128115
10055674,apartments,8,51.52722956,-0.212559187
10055675,apartments,8,51.52731688,-0.21322161
10055676,apartments,8,51.52741211,-0.21154376
10055677,apartments,8,51.52712907,-0.211619682
10055678,apartments,8,51.52691755,-0.215333441
10058288,apartments,8,51.52700426,-0.210071312
10058289,apartments,8,51.52690369,-0.209074053
10058290,apartments,8,51.52718913,-0.209506316
10059388,apartments,8,51.52685722,-0.208274082
10248429,,0,51.53298881,-0.198887161
10632593,,0,51.5290663,-0.260344879
10783760,commercial,7,51.52621835,-0.209180219
,,0,51.59735883,-0.193715756
,,0,51.5964818,-0.229271854
,,0,51.57059304,-0.247249223
,,0,51.58915746,-0.230755382
,,0,51.57633924,-0.275497288
,,0,51.57814196,-0.194736504
,,0,51.58349217,-0.188945818
,,0,51.58609737,-0.192189964
,,0,51.55463613,-0.197552245
,,0,51.58146163,-0.22117614
,,0,51.55762451,-0.236264685
,,0,51.53583564,-0.21082593
,,0,51.57048067,-0.333219601
,,0,51.55565396,-0.199907641
,,0,51.55686796,-0.203524016
,,0,51.55922923,-0.229818208
,,0,51.53879406,-0.21625336
,,0,51.54026639,-0.219012168
,,0,51.60183356,-0.217328603
,,0,51.53895118,-0.205132313
,,0,51.54417589,-0.221073337
,yes,9,51.54491715,-0.221314497
,,0,51.54001274,-0.233794973
,,0,51.55872908,-0.331293269
,,0,51.56967577,-0.335813309
,,0,51.57193826,-0.332346533
,,0,51.53851235,-0.225984916
,,0,51.54140865,-0.240454505
,yes,9,51.54679028,-0.225526631
,,0,51.54693474,-0.226483537
,,0,51.59250149,-0.249813733
,,0,51.5736537,-0.279005277
,,0,51.56510247,-0.301272355
,,0,51.57063524,-0.302664485
,,0,51.5456074,-0.315471306
,,0,51.52798127,-0.323893867
,,0,51.53078197,-0.318420954
,,0,51.5291523,-0.311644
,,0,51.52936215,-0.309380645
,,0,51.56941561,-0.215260591
,,0,51.5628829,-0.241386913
,,0,51.57836637,-0.336825457
,,0,51.57686012,-0.337044248
,,0,51.57705966,-0.226728199
,,0,51.54064785,-0.229846926
,,0,51.55216286,-0.192595147
,,0,51.56573785,-0.204001227
,,0,51.56733816,-0.200931153
,,0,51.57134464,-0.332081905
,,0,51.57007963,-0.328713138
,,0,51.57200855,-0.325618168
,,0,51.57041255,-0.325147272
,,0,51.55539637,-0.332248836
,,0,51.55591516,-0.337611387
,,0,51.55425696,-0.32134428
,bus_garage,0,51.56206604,-0.222293306
,yes,9,51.57272183,-0.192717343
,hangar,0,51.59726345,-0.240154
,,0,51.56723728,-0.188794287
,,0,51.57426626,-0.214804511
,retail,7,51.57470815,-0.218846372
,retail,7,51.57030423,-0.229605602
,,0,51.57430441,-0.216683851
,,0,51.57539928,-0.217969477
,,0,51.56309434,-0.331621969
,,0,51.549488,-0.330864268
,,0,51.54899555,-0.33232925
,yes,9,51.5488071,-0.3309988
,,0,51.56247845,-0.337471165
,,0,51.57739123,-0.328100412
,,0,51.57499158,-0.337202487
,,0,51.54928965,-0.331539845
,,0,51.54797672,-0.327144615
,,0,51.55687087,-0.31820063
,,0,51.55707005,-0.318992108
,,0,51.54904983,-0.33045024
,,0,51.54976752,-0.336265263
,,0,51.5292065,-0.33943739
,,0,51.53945138,-0.338123796
,,0,51.53462668,-0.318364106
,,0,51.53016753,-0.304257354
,,0,51.54636043,-0.328832758
,,0,51.54381299,-0.30729459
,,0,51.54174145,-0.318484562
,,0,51.53588327,-0.21183523
,,0,51.5729763,-0.33116465
,,0,51.57256508,-0.330670941
,,0,51.56235269,-0.326039576
,,0,51.56618795,-0.33609845
,,0,51.544819,-0.325313509
,,0,51.56903233,-0.333443835
,,0,51.53161839,-0.336349533
,,0,51.53448851,-0.310898682
,,0,51.53304929,-0.313122648
,,0,51.52970742,-0.307751387
,,0,51.52542101,-0.329613218
,,0,51.53248115,-0.337439011
,,0,51.53244126,-0.337444556
,,0,51.53765284,-0.33539872
,,0,51.53806447,-0.335361562
,yes,9,51.55808353,-0.282753049
,,0,51.57534275,-0.321674681
,,0,51.5738315,-0.314339405
,,0,51.57426614,-0.184269724
,,0,51.59915904,-0.197122607
,,0,51.53768061,-0.311121634
,,0,51.60193607,-0.333751971
,,0,51.59328573,-0.336272613
,,0,51.59420419,-0.333746434
,,0,51.59379121,-0.334243338
,sports_centre,6,51.59261208,-0.327596073
,yes,9,51.59316185,-0.3248354
,,0,51.59415807,-0.325947304
,,0,51.57483181,-0.215848551
,,0,51.55551947,-0.207229162
,,0,51.59256742,-0.325600901
,,0,51.5909263,-0.289261009
,,0,51.59420025,-0.322593023
,,0,51.59891487,-0.303905499
,yes,9,51.57187513,-0.224979911
,,0,51.5709752,-0.300729074
,,0,51.57140433,-0.299369943
,,0,51.57757853,-0.300808469
,,0,51.58087267,-0.314673812
,,0,51.58373133,-0.304882205
,,0,51.58349794,-0.297795383
,,0,51.58395311,-0.293330806
,,0,51.58399408,-0.301789188
,,0,51.52636693,-0.259602844
,,0,51.59936162,-0.221240872
,,0,51.53392466,-0.282014929
,,0,51.53628266,-0.280976741
,,0,51.53496627,-0.290056416
,,0,51.53332558,-0.288103075
,,0,51.53334875,-0.293845393
,,0,51.5914239,-0.334339742
,,0,51.58344741,-0.270835026
,,0,51.57843898,-0.252410983
,,0,51.57498676,-0.247060903
,,0,51.57032207,-0.238646918
,,0,51.56799349,-0.233268247
,,0,51.56609546,-0.2247499
,,0,51.55172441,-0.289312811
,,0,51.54273564,-0.288151814
,,0,51.5420794,-0.281648763
,,0,51.53137261,-0.261840321
,,0,51.528327,-0.233400696
,,0,51.59790747,-0.256853606
,,0,51.54344244,-0.292725629
,,0,51.54430978,-0.303562524
,,0,51.54849548,-0.307271003
,,0,51.55300996,-0.310148924
,,0,51.56136599,-0.308871265
,,0,51.56082052,-0.312133689
,,0,51.56934246,-0.310814016
,,0,51.56482471,-0.318113398
,,0,51.56335415,-0.309300273
,,0,51.57218038,-0.320628348
,,0,51.53091967,-0.290161644
,,0,51.54712143,-0.283589235
,yes,9,51.53815074,-0.269247346
,yes,9,51.53915194,-0.273587325
,industrial,4,51.53579056,-0.261145509
,,0,51.58449253,-0.325642116
,,0,51.58734337,-0.319353185
,,0,51.59621799,-0.314712967
,,0,51.59587464,-0.316496388
,,0,51.5983803,-0.307437533
,yes,9,51.59055474,-0.228430599
,yes,9,51.58983075,-0.228962128
,,0,51.60146958,-0.203349408
,,0,51.60170572,-0.227942168
,,0,51.5968862,-0.190383785
,,0,51.58551164,-0.195571415
,,0,51.58572707,-0.333716994
,,0,51.58333698,-0.333039029
,train_station,0,51.5924299,-0.33442464
,,0,51.59771848,-0.190202582
,,0,51.57593379,-0.32011613
,,0,51.58361455,-0.333986889
,,0,51.58602604,-0.316881046
,,0,51.58719853,-0.285508555
,,0,51.60088366,-0.330847993
,,0,51.59132418,-0.304312773
,,0,51.59026498,-0.30480107
,,0,51.59606415,-0.290970495
,,0,51.59289151,-0.20214121
,,0,51.53970355,-0.267947444
,,0,51.53039808,-0.254662973
,,0,51.5255013,-0.253891789
,,0,51.52196909,-0.255442823
,,0,51.59215028,-0.335884216
,,0,51.58941163,-0.32674719
,,0,51.58781536,-0.328488357
,,0,51.58644296,-0.333200555
,,0,51.58791119,-0.327088314
,,0,51.58347233,-0.328867782
,,0,51.59404184,-0.249281335
,,0,51.58340946,-0.238967347
,,0,51.60359637,-0.291290492
,,0,51.59022016,-0.231784544
,,0,51.60274934,-0.212551635
,,0,51.56832598,-0.206041528
,,0,51.57622921,-0.192250936
,,0,51.59789284,-0.254192925
,,0,51.59799047,-0.230840549
,,0,51.57164627,-0.212053509
,,0,51.59783454,-0.208982289
,,0,51.58928612,-0.232136119
,yes,9,51.55364747,-0.259408553
,shop,7,51.5540295,-0.255325706
,,0,51.55296405,-0.26034437
,,0,51.54901192,-0.254281956
,,0,51.54804464,-0.259299406
,,0,51.58839063,-0.204334887
,,0,51.59096112,-0.206502461
,,0,51.5886755,-0.19666183
,,0,51.52662178,-0.29596541
,,0,51.52591609,-0.298218391
,,0,51.5248658,-0.291386774
,,0,51.52716088,-0.280393442
,,0,51.5321945,-0.259027128
,,0,51.54367963,-0.186220941
,,0,51.60139661,-0.319310703
,,0,51.53097067,-0.342174895
,,0,51.52911649,-0.329020127
,,0,51.5333956,-0.302461014
,,0,51.53525458,-0.303137594
,,0,51.53968209,-0.298812814
,,0,51.53875137,-0.298438777
,,0,51.53829007,-0.297944592
,,0,51.53905509,-0.285954498
,,0,51.53404181,-0.26955462
,,0,51.53236462,-0.275588829
,,0,51.53156765,-0.26761192
,,0,51.52940658,-0.264160197
,,0,51.52837393,-0.269492275
,,0,51.52722072,-0.271892402
,,0,51.55132192,-0.325004096
,,0,51.55266137,-0.330817935
,,0,51.54436754,-0.339352287
,retail,7,51.5808045,-0.336667421
,,0,51.53440427,-0.283666326
,,0,51.53211531,-0.296843385
,yes,9,51.53494111,-0.275446536
,yes,9,51.5262668,-0.217720394
,chapel,6,51.52852966,-0.225728901
,chapel,6,51.52692286,-0.21588327
,,0,51.54268288,-0.323167129
,yes,9,51.54294787,-0.323189185
,yes,9,51.54341415,-0.3240897
,yes,9,51.54351832,-0.32347512
,,0,51.54338307,-0.326710494
,,0,51.54520446,-0.321322199
,,0,51.54254597,-0.327486683
,,0,51.54153704,-0.32617197
,,0,51.53675894,-0.322014031
,yes,9,51.59992167,-0.194803488
,,0,51.569037,-0.256633921
,,0,51.56845536,-0.257072622
,,0,51.53653,-0.323732955
,,0,51.5729578,-0.279753049
,yes,9,51.58867042,-0.323829703
,soft_play,6,51.57847965,-0.22529265
,office,4,51.59927111,-0.195639406
,office,4,51.59894044,-0.195980356
,office,4,51.598824,-0.19536245
,office,4,51.5989639,-0.1951476
,office,4,51.59942018,-0.19486673
,office,4,51.59917605,-0.194407798
,warehouse,3,51.5990956,-0.193373074
,office,4,51.5990042,-0.194065087
,office,4,51.59964655,-0.195327104
,apartments,8,51.59856421,-0.196212469
,apartments,8,51.59825338,-0.196492283
,apartments,8,51.59831749,-0.195419702
,apartments,8,51.59794905,-0.195611398
,apartments,8,51.59779449,-0.196157124
,apartments,8,51.59785772,-0.196804913
,yes,9,51.52972272,-0.270596858
,yes,9,51.52938155,-0.271776321
,data_center,4,51.52923013,-0.273022227
,data_center,4,51.52904307,-0.274281374
,yes,9,51.52884031,-0.275947974
,yes,9,51.52886679,-0.277798548
,,0,51.52907664,-0.274464423
,,0,51.52992891,-0.275085413
,,0,51.54684157,-0.289916392
,,0,51.55708599,-0.295293024
,,0,51.54222669,-0.293488855
,,0,51.56670104,-0.29173446
,yes,9,51.59017705,-0.230721744
,yes,9,51.58939335,-0.227240988
,yes,9,51.58862213,-0.227847211
,yes,9,51.58838123,-0.229578842
,,0,51.5898162,-0.23021515
,yes,9,51.58912514,-0.22912789
,,0,51.59035905,-0.229661236
,yes,9,51.59047107,-0.229573275
,yes,9,51.58998656,-0.228070867
,,0,51.58875252,-0.229870954
,yes,9,51.58888279,-0.228623354
,yes,9,51.58858594,-0.228934682
,hotel,7,51.59443672,-0.218762149
,,0,51.55448159,-0.258740843
,,0,51.54890829,-0.25603199
,,0,51.54841948,-0.257221265
,,0,51.52748034,-0.248805444
,,0,51.52649948,-0.253511535
,,0,51.52910882,-0.254850807
,,0,51.54693558,-0.257356687
,,0,51.54486723,-0.303797461
,,0,51.54333878,-0.269056701
,,0,51.52787675,-0.269194081
,store,7,51.52860878,-0.270244664
,,0,51.52895221,-0.268963204
,yes,9,51.52745467,-0.274169252
,yes,9,51.52808305,-0.27459915
,yes,9,51.5317168,-0.271204432
,,0,51.53386417,-0.266673567
,yes,9,51.54316501,-0.271575346
,,0,51.54329112,-0.270961588
,,0,51.53290755,-0.2449341
,,0,51.5369835,-0.256822832
,,0,51.54369491,-0.255064906
,,0,51.548436,-0.250506951
,yes,9,51.53904264,-0.276625926
,yes,9,51.53832065,-0.277299284
,yes,9,51.53812155,-0.277043833
,yes,9,51.5376839,-0.27404575
,yes,9,51.5384214,-0.27423795
,,0,51.53788588,-0.272249822
,,0,51.53628997,-0.27708003
,,0,51.54250645,-0.247017476
,,0,51.5324655,-0.268261018
,yes,9,51.53459192,-0.267308935
,yes,9,51.53440069,-0.266903021
,yes,9,51.5343746,-0.266507
,yes,9,51.5346342,-0.26600555
,yes,9,51.5347736,-0.266940556
,yes,9,51.53479492,-0.26601615
,,0,51.53457707,-0.266535798
,,0,51.53427743,-0.262123509
,,0,51.53424083,-0.261378911
,yes,9,51.53654061,-0.296962042
,yes,9,51.53673666,-0.296118283
