building,type,Latitude,Longitude
,0,51.56227122,-0.392735814
,0,51.52247496,-0.331026555
stadium,6,51.55602697,-0.279577118
,0,51.556057,-0.279522224
university,5,51.55170921,-0.244426484
yes,9,51.5501362,-0.305950196
yes,9,51.55011789,-0.304684597
yes,9,51.54332815,-0.292793591
yes,9,51.54332615,-0.287901193
yes,9,51.51189643,-0.250911163
yes,9,51.53790088,-0.245275408
yes,9,51.54353692,-0.25064183
yes,9,51.5222045,-0.314469961
yes,9,51.53479601,-0.310760317
yes,9,51.51257651,-0.303376834
yes,9,51.49508899,-0.2986757
school,5,51.55757833,-0.388884433
yes,9,51.55929891,-0.389767799
,0,51.5103557,-0.310482276
yes,9,51.51166465,-0.316575956
school,5,51.54988507,-0.336814288
,0,51.54398946,-0.337742586
,0,51.54337577,-0.330923066
,0,51.54899672,-0.325982529
school,5,51.52705105,-0.355619965
school,5,51.52727107,-0.356505843
school,5,51.53702498,-0.335440512
yes,9,51.50591254,-0.351103271
apartments,8,51.50665057,-0.35130419
,0,51.52952608,-0.357980009
school,5,51.51774272,-0.367154116
,0,51.54417995,-0.368294229
,0,51.5511122,-0.357455012
school,5,51.5540667,-0.35016165
school,5,51.55372269,-0.347477678
,0,51.51918606,-0.374945744
school,5,51.52582493,-0.339736553
yes,9,51.53491825,-0.285304119
yes,9,51.50592952,-0.248641175
,0,51.51727894,-0.360924063
school,5,51.5092449,-0.373506789
train_station,0,51.50267715,-0.279956552
,0,51.53844149,-0.281980585
,0,51.48863132,-0.310968163
,0,51.55688763,-0.28354477
yes,9,51.5573456,-0.282808831
yes,9,51.55732201,-0.283854341
,0,51.49319907,-0.346710102
,0,51.56055472,-0.254109454
,0,51.48818591,-0.416468768
yes,9,51.54425555,-0.254723216
,0,51.53194789,-0.284765576
,0,51.51987839,-0.313785696
public,0,51.54742191,-0.261515738
,0,51.54759044,-0.260797473
,0,51.5478408,-0.260968514
,0,51.54766891,-0.260681628
,0,51.50412472,-0.310264077
,0,51.54496969,-0.271243835
school,5,51.52399554,-0.37296268
