zone,t_conflict_onset,t_star,t_starstar,tau_star,ps2_at_onset,ps2_at_tstar,ps2_at_tstarstar,n_agents
inner_3km,1,178,179,321.8181818181818,0.36489071411558544,0.3396838037360684,0.3396838037360684,368
zone_10km,8,198,199,345.45454545454544,0.43176330136237134,0.3607868199014714,0.3607868199014714,880
zone_20km,14,197,198,332.72727272727275,0.3837476501511472,0.35761949068159293,0.3576820337669487,1580
