step,mean_ps2,std_ps2,zone
0,0.6299181258249977,0.2706023842477728,inner_3km
1,0.36489071411558544,0.328944067923378,inner_3km
2,0.49128000347644174,0.328045523171546,inner_3km
3,0.48502706066833545,0.32856045749617474,inner_3km
4,0.4966336237751819,0.32839089253532555,inner_3km
5,0.49812754730757136,0.330369538295216,inner_3km
6,0.4931197328655648,0.33106834243164623,inner_3km
7,0.48565409569124024,0.329236959670608,inner_3km
8,0.4197102726678899,0.339647596048248,inner_3km
9,0.4089657519058683,0.3350184051064406,inner_3km
10,0.4002815238677285,0.33143377574448873,inner_3km
11,0.40702267773949763,0.3310796591188551,inner_3km
12,0.41380406133865394,0.3322740590054953,inner_3km
13,0.4063520652441337,0.3311015187958114,inner_3km
14,0.3706394760838384,0.32882007414534636,inner_3km
15,0.36892216550432444,0.3297359280955762,inner_3km
16,0.3675297539960845,0.32939565033292817,inner_3km
17,0.366008532721402,0.3300393822463385,inner_3km
18,0.36593602928735397,0.3300685674264195,inner_3km
19,0.3670876213255875,0.3296819490320715,inner_3km
20,0.36644012920820995,0.3300481044830931,inner_3km
21,0.36541311841814766,0.3304158924229832,inner_3km
22,0.3672327359553037,0.3297770512858395,inner_3km
23,0.3667750757541351,0.329845103833439,inner_3km
24,0.3659463573314827,0.3302073173004604,inner_3km
25,0.3665871419054915,0.3300906320641584,inner_3km
26,0.36563838924600506,0.3304783752996948,inner_3km
27,0.3656232657306667,0.3304944047516609,inner_3km
28,0.3658606391340715,0.33029901041448906,inner_3km
29,0.36384209081329033,0.32960787776372186,inner_3km
30,0.36375844181037836,0.32969920986782625,inner_3km
31,0.36381273877271036,0.3296193500512962,inner_3km
32,0.36394743996287304,0.3295216844286535,inner_3km
33,0.364129618244773,0.32946969662900716,inner_3km
34,0.3644862411255559,0.32945880015740386,inner_3km
35,0.3640990501248364,0.32941597264747013,inner_3km
36,0.3633781296957784,0.32954805437105966,inner_3km
37,0.3635128308859411,0.3294505457939943,inner_3km
38,0.36317836414067295,0.32964816376651634,inner_3km
39,0.36110678323674783,0.3283103323807082,inner_3km
40,0.361452194081243,0.3281593235665784,inner_3km
41,0.361452194081243,0.3281593235665784,inner_3km
42,0.361452194081243,0.3281593235665784,inner_3km
43,0.361452194081243,0.3281593235665784,inner_3km
44,0.361452194081243,0.3281593235665784,inner_3km
45,0.361452194081243,0.3281593235665784,inner_3km
46,0.36162496238256653,0.32805347182374317,inner_3km
47,0.361452194081243,0.3281593235665784,inner_3km
48,0.3624507076177108,0.32794640229312366,inner_3km
49,0.3614330440313093,0.3283073848154483,inner_3km
50,0.3614330440313093,0.3283073848154483,inner_3km
51,0.3614330440313093,0.3283073848154483,inner_3km
52,0.3614330440313093,0.3283073848154483,inner_3km
53,0.35968012822177503,0.327636595046004,inner_3km
54,0.35871968179646807,0.32783286528072464,inner_3km
