alpha,beta,kappa,max_move_speed,loss,T1_model,T2_model,T3_model,T4_model
0.5,1.0,1.0,5,3.3732305052207607,0.02040816326530612,0.00816326530612245,0.717948717948718,0.12076749435665914
0.5,1.0,1.0,10,3.6847122524661655,0.02857142857142857,0.017857142857142856,0.7727272727272727,0.09272918861959958
0.5,1.0,1.0,20,2.214775522425801,0.028391167192429023,0.025236593059936908,0.6216216216216216,0.058485139022051776
0.5,1.0,1.0,40,2.1186950513892953,0.022388059701492536,0.01990049751243781,0.4678362573099415,0.037933817594834544
0.5,1.0,1.0,60,2.623547922640948,0.014423076923076924,0.021634615384615384,0.38235294117647056,0.035686578743211794
0.5,1.0,3.0,5,4.614235836733798,0.012244897959183673,0.012244897959183673,0.811965811965812,0.1252821670428894
0.5,1.0,3.0,10,2.0522790698346665,0.04285714285714286,0.0035714285714285713,0.5681818181818182,0.07903055848261328
0.5,1.0,3.0,20,2.28963051977991,0.015772870662460567,0.01892744479495268,0.5945945945945946,0.053691275167785234
0.5,1.0,3.0,40,2.3488574445964066,0.012437810945273632,0.007462686567164179,0.5730994152046783,0.05488297013720742
0.5,1.0,3.0,60,2.4273563663393953,0.007211538461538462,0.014423076923076924,0.44607843137254904,0.04034134988363072
0.5,1.0,5.0,5,7.1083746983768075,0.012244897959183673,0.02040816326530612,0.9572649572649573,0.10948081264108352
0.5,1.0,5.0,10,2.5741590179746416,0.02857142857142857,0.02857142857142857,0.6742424242424242,0.0779768177028451
0.5,1.0,5.0,20,1.9807061462440059,0.04100946372239748,0.012618296529968454,0.581081081081081,0.05560882070949185
0.5,1.0,5.0,40,2.1191996756025517,0.022388059701492536,0.012437810945273632,0.49707602339181284,0.04439063761097659
0.5,1.0,5.0,60,2.5672484592460285,0.014423076923076924,0.014423076923076924,0.39705882352941174,0.027928626842513578
0.5,1.0,10.0,5,4.830287543047412,0.012244897959183673,0.004081632653061225,0.8205128205128205,0.1309255079006772
0.5,1.0,10.0,10,2.911455338371832,0.014285714285714285,0.02142857142857143,0.6893939393939394,0.07481559536354057
0.5,1.0,10.0,20,2.1929744786561653,0.012618296529968454,0.022082018927444796,0.5,0.053691275167785234
0.5,1.0,10.0,40,1.9960683175911824,0.024875621890547265,0.022388059701492536,0.5087719298245614,0.033091202582728005
0.5,1.0,10.0,60,3.296134296401882,0.019230769230769232,0.009615384615384616,0.3088235294117647,0.03801396431342126
0.5,1.0,20.0,5,5.496440372701593,0.004081632653061225,0.02040816326530612,0.8717948717948718,0.09932279909706546
0.5,1.0,20.0,10,3.3539663046246515,0.025,0.02142857142857143,0.75,0.0684931506849315
0.5,1.0,20.0,20,2.018903479007564,0.022082018927444796,0.031545741324921134,0.49324324324324326,0.052732502396931925
0.5,1.0,20.0,40,2.1755993031821768,0.014925373134328358,0.017412935323383085,0.5555555555555556,0.02986279257465698
0.5,1.0,20.0,60,3.0587462601725233,0.016826923076923076,0.004807692307692308,0.3382352941176471,0.026377036462373934
0.5,2.0,1.0,5,8.398498300972868,0.012244897959183673,0.0,0.9914529914529915,0.16930022573363432
0.5,2.0,1.0,10,2.8902896054735185,0.02142857142857143,0.007142857142857143,0.6818181818181818,0.08535300316122234
0.5,2.0,1.0,20,3.846621940004494,0.015772870662460567,0.01892744479495268,0.777027027027027,0.07957813998082454
0.5,2.0,1.0,40,3.101692555275373,0.014925373134328358,0.012437810945273632,0.7076023391812866,0.06698950766747377
0.5,2.0,1.0,60,2.3215214892482336,0.019230769230769232,0.021634615384615384,0.43137254901960786,0.0612878200155159
0.5,2.0,3.0,5,8.481658313600027,0.00816326530612245,0.012244897959183673,1.0,0.1580135440180587
0.5,2.0,3.0,10,5.157339729274927,0.02142857142857143,0.017857142857142856,0.8636363636363636,0.10221285563751317
0.5,2.0,3.0,20,3.846435947016964,0.031545741324921134,0.031545741324921134,0.7972972972972973,0.08245445829338446
0.5,2.0,3.0,40,2.226651815406347,0.022388059701492536,0.009950248756218905,0.5847953216374269,0.05004035512510089
0.5,2.0,3.0,60,2.274027635204591,0.009615384615384616,0.019230769230769232,0.49019607843137253,0.05818463925523662
0.5,2.0,5.0,5,7.0385020305229045,0.0163265306122449,0.0163265306122449,0.9487179487179487,0.13544018058690746
0.5,2.0,5.0,10,2.83616012583445,0.03214285714285714,0.02857142857142857,0.696969696969697,0.10853530031612224
0.5,2.0,5.0,20,2.715964367099314,0.03470031545741325,0.00946372239747634,0.6891891891891891,0.06807286673058485
0.5,2.0,5.0,40,2.1236221366813606,0.01990049751243781,0.01990049751243781,0.5555555555555556,0.0516545601291364
0.5,2.0,5.0,60,2.511190216003167,0.007211538461538462,0.016826923076923076,0.4264705882352941,0.0504266873545384
0.5,2.0,10.0,5,8.125618101474197,0.00816326530612245,0.00816326530612245,0.9914529914529915,0.12979683972911965
0.5,2.0,10.0,10,6.1458702697814775,0.02142857142857143,0.010714285714285714,0.9166666666666666,0.09378292939936776
0.5,2.0,10.0,20,3.0625976088932734,0.012618296529968454,0.022082018927444796,0.7027027027027027,0.08053691275167785
0.5,2.0,10.0,40,2.05931533299197,0.02736318407960199,0.017412935323383085,0.5555555555555556,0.05811138014527845
0.5,2.0,10.0,60,2.3434602219546137,0.014423076923076924,0.007211538461538462,0.46078431372549017,0.04809930178432894
0.5,2.0,20.0,5,4.9154124924939975,0.0163265306122449,0.00816326530612245,0.8205128205128205,0.15688487584650113
0.5,2.0,20.0,10,4.46279895847982,0.025,0.017857142857142856,0.8257575757575758,0.09272918861959958
0.5,2.0,20.0,20,3.2096937360688447,0.03785488958990536,0.00946372239747634,0.7432432432432432,0.07094918504314478
0.5,2.0,20.0,40,2.250618206987992,0.014925373134328358,0.024875621890547265,0.5964912280701754,0.042776432606941084
0.5,2.0,20.0,60,2.4012914607185736,0.009615384615384616,0.021634615384615384,0.4362745098039216,0.04965089216446858
0.5,3.0,1.0,5,12.050175178005171,0.024489795918367346,0.0163265306122449,1.1367521367521367,0.16817155756207675
0.5,3.0,1.0,10,4.65719986228546,0.02857142857142857,0.03214285714285714,0.8409090909090909,0.11380400421496312
0.5,3.0,1.0,20,2.8215185551788897,0.025236593059936908,0.006309148264984227,0.6756756756756757,0.09108341323106424
0.5,3.0,1.0,40,2.9084158044536275,0.007462686567164179,0.012437810945273632,0.672514619883041,0.06779661016949153
0.5,3.0,1.0,60,2.400150405061414,0.01201923076923077,0.004807692307692308,0.5735294117647058,0.06594259115593483
0.5,3.0,3.0,5,6.2104848485828885,0.0163265306122449,0.0163265306122449,0.8974358974358975,0.16478555304740405
0.5,3.0,3.0,10,6.642846519439244,0.025,0.010714285714285714,0.9318181818181818,0.14014752370916755
0.5,3.0,3.0,20,3.5611450833538694,0.01892744479495268,0.015772870662460567,0.75,0.09587727708533078
0.5,3.0,3.0,40,2.4891490727426837,0.01990049751243781,0.024875621890547265,0.6491228070175439,0.06295399515738499
0.5,3.0,3.0,60,2.255261096975196,0.014423076923076924,0.01201923076923077,0.5294117647058824,0.06671838634600466
0.5,3.0,5.0,5,8.093196851446926,0.0163265306122449,0.012244897959183673,0.9829059829059829,0.17381489841986456
0.5,3.0,5.0,10,8.983000235403539,0.03571428571428571,0.02142857142857143,1.0454545454545454,0.12223393045310854
0.5,3.0,5.0,20,2.892199083512292,0.025236593059936908,0.01892744479495268,0.6959459459459459,0.08916586768935762
0.5,3.0,5.0,40,2.535471096147148,0.017412935323383085,0.017412935323383085,0.6432748538011696,0.06376109765940274
0.5,3.0,5.0,60,2.2497887883991856,0.01201923076923077,0.019230769230769232,0.5392156862745098,0.06904577191621412
0.5,3.0,10.0,5,10.26970704329482,0.04081632653061224,0.00816326530612245,1.0769230769230769,0.18171557562076748
0.5,3.0,10.0,10,9.39374901662432,0.02142857142857143,0.02142857142857143,1.053030303030303,0.1285563751317176
0.5,3.0,10.0,20,4.342673370881683,0.031545741324921134,0.012618296529968454,0.8243243243243243,0.07766059443911794
0.5,3.0,10.0,40,2.7101896437076514,0.03233830845771144,0.012437810945273632,0.6842105263157895,0.0774818401937046
0.5,3.0,10.0,60,2.3003375213228527,0.01201923076923077,0.019230769230769232,0.46568627450980393,0.05973622963537626
0.5,3.0,20.0,5,9.063655519673876,0.00816326530612245,0.00816326530612245,1.017094017094017,0.17607223476297967
0.5,3.0,20.0,10,7.365212295638917,0.03214285714285714,0.007142857142857143,0.9696969696969697,0.13593256059009484
0.5,3.0,20.0,20,2.9415520581856422,0.03470031545741325,0.022082018927444796,0.7162162162162162,0.08916586768935762
0.5,3.0,20.0,40,2.1943216630182665,0.022388059701492536,0.014925373134328358,0.5730994152046783,0.06618240516545601
0.5,3.0,20.0,60,2.2744298347052174,0.014423076923076924,0.007211538461538462,0.5147058823529411,0.060512024825446084
