step,mean_s2,std_s2,frac_<5km,frac_5–10km,frac_10–15km,frac_15–20km,frac_<20km_combined,frac_Futaba,frac_Okuma,frac_Namie,frac_Tomioka,frac_Naraha,frac_Minamisoma,frac_Kawauchi,frac_Iitate,hours_since_t0
0,0.634206471949808,0.26892418449023414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
1,0.5127632214152199,0.32331580123093756,0.15348837209302327,1.179245283018868,1.1294498381877023,1.3928571428571428,0.8359183673469388,0.17714285714285713,0.13725490196078433,1.179245283018868,1.1294498381877023,1.3928571428571428,0.7452547452547452,1.711111111111111,1.3642857142857143,2
2,0.49824640499798295,0.3233922370605513,0.06744186046511629,1.2106918238993711,1.064724919093851,1.3333333333333333,0.7893877551020408,0.08571428571428572,0.054901960784313725,1.2106918238993711,1.064724919093851,1.3333333333333333,0.5874125874125874,1.8,1.3428571428571427,4
3,0.4942834781240634,0.32330648328188527,0.03953488372093023,1.1635220125786163,0.9288025889967637,1.2678571428571428,0.7240816326530612,0.04,0.0392156862745098,1.1635220125786163,0.9288025889967637,1.2678571428571428,0.4595404595404595,1.9,1.2,6
4,0.48888015195420836,0.32366127799859873,0.04186046511627907,1.069182389937107,0.8478964401294499,1.1607142857142858,0.6653061224489796,0.05142857142857143,0.03529411764705882,1.069182389937107,0.8478964401294499,1.1607142857142858,0.38961038961038963,1.7666666666666666,1.15,8
5,0.48437478973690573,0.32377224781080205,0.020930232558139535,1.0220125786163523,0.7443365695792881,1.0773809523809523,0.6081632653061224,0.03428571428571429,0.011764705882352941,1.0220125786163523,0.7443365695792881,1.0773809523809523,0.35064935064935066,1.6222222222222222,1.042857142857143,10
6,0.4796460431976838,0.3252962629596145,0.044186046511627906,0.9559748427672956,0.6893203883495146,1.0595238095238095,0.5828571428571429,0.07428571428571429,0.023529411764705882,0.9559748427672956,0.6893203883495146,1.0595238095238095,0.2897102897102897,1.511111111111111,0.9571428571428572,12
7,0.4745601296172454,0.32546969440514956,0.03255813953488372,0.9150943396226415,0.6084142394822006,0.9761904761904762,0.5363265306122449,0.03428571428571429,0.03137254901960784,0.9150943396226415,0.6084142394822006,0.9761904761904762,0.24475524475524477,1.4333333333333333,0.8428571428571429,14
8,0.4234906898431462,0.3343448720070512,0.02558139534883721,0.7861635220125787,0.5857605177993528,0.9285714285714286,0.4881632653061225,0.03428571428571429,0.0196078431372549,0.7861635220125787,0.5857605177993528,0.9285714285714286,0.21678321678321677,1.3333333333333333,0.8428571428571429,16
9,0.41904263328508756,0.33401110990792204,0.023255813953488372,0.7264150943396226,0.5792880258899676,0.8452380952380952,0.45877551020408164,0.045714285714285714,0.00784313725490196,0.7264150943396226,0.5792880258899676,0.8452380952380952,0.18081918081918083,1.1333333333333333,0.7214285714285714,18
