#name1,name2,distance,forced_redirection
Bujumbura,Bubanza,48,
Bubanza,Bukinanyana,74,
Bujumbura,Cibitoke,63,
Cibitoke,Bukinanyana,49,
Bujumbura,Muramvya,58,
Muramvya,Gitega,44,
Gitega,Karuzi,54,
Gitega,Ruyigi,55,
Ruyigi,Karuzi,43,
Karuzi,Muyinga,42,
Bujumbura,Kayanza,95,
Kayanza,Ngozi,31,
Ngozi,Gashoho,41,
Kayanza,Kabarore,18,
Gashoho,Kirundo,42,
Gashoho,Muyinga,34,
Bujumbura,Mwaro,67,
Mwaro,Gitega,46,
Bujumbura,Rumonge,75,
Rumonge,Bururi,31,
Rumonge,Burambi,22,
Rumonge,Commune_of_Mabanda,73,
Commune_of_Mabanda,Makamba,18,
Bururi,Rutana,65,
Makamba,Rutana,50,
Rutana,Makebuko,46,
Makebuko,Gitega,24,
Makebuko,Ruyigi,40,
Ruyigi,Cankuzo,51,
Ruyigi,Gisuru,31,
Cankuzo,Muyinga,63,
Muyinga,Mahama,135,
Kirundo,Mahama,183,
Gisuru,Nduta,60,
Commune_of_Mabanda,Kagunga,36,
Commune_of_Mabanda,Nyarugusu,71,
Kagunga,Nyarugusu,91,2
Kirundo,Nakivale,318,
Kayanza,Nakivale,413,
Nduta,Nyarugusu,150,2
Bujumbura,Lusenda,53,
