time,agent_ref_id,system2_active,cognitive_pressure,connections,conflict_level,movechance,evacuation_timing,destination_chosen,route_length,location,timesteps_since_departure
0,4860425872,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860426224,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860426576,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860426928,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860427280,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860427632,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860427984,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860592368,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860592720,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860593072,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
0,4860593424,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860593776,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860594128,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860594480,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860594832,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860595184,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860595536,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860595888,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860596240,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
0,4860596592,True,0.7200000000000001,8,0.9,1.0,-1,,0,Origin,0
1,4860425872,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
1,4860426224,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
1,4860426576,False,0.09000000000000001,1,0.9,1.0,-1,,0,Origin,0
