Day,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,806,0,0
1,0,243,1.0,0,0,0.0,0,0,0.0,0,314,1.0,0,44,1.0,0.7457,601,15,806,0,0
2,0,487,1.0,0,0,0.0,0,0,0.0,0,628,1.0,0,88,1.0,1.4907,1203,5,807,0,0
3,0,487,1.0,0,1,1.0,0,1,1.0,0,652,1.0,0,132,1.0,1.5774,1273,11,807,0,0
4,0,487,1.0,0,1,1.0,0,1,1.0,0,676,1.0,0,177,1.0,1.6629,1342,7,807,0,0
5,0,487,1.0,0,2,1.0,0,1,1.0,0,700,1.0,0,221,1.0,1.7485,1411,12,807,0,0
6,0,487,1.0,0,2,1.0,0,2,1.0,0,723,1.0,0,265,1.0,1.8327,1479,5,807,0,0
7,0,487,1.0,0,3,1.0,0,2,1.0,0,747,1.0,0,310,1.0,1.9195,1549,11,807,0,0
8,0,487,1.0,0,3,1.0,0,2,1.0,0,771,1.0,0,354,1.0,2.0037,1617,7,807,0,0
9,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,398,1.0,2.0905,1687,6,807,0,0
10,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,443,1.0,2.1436,1732,5,808,0,0
11,0,487,1.0,0,5,1.0,0,3,1.0,0,795,1.0,0,487,1.0,2.1965,1777,6,809,0,0
12,0,487,1.0,0,5,1.0,0,4,1.0,0,795,1.0,0,531,1.0,2.2494,1822,8,810,0,0
13,0,487,1.0,0,6,1.0,0,4,1.0,0,795,1.0,0,576,1.0,2.3033,1868,6,811,0,0
14,0,487,1.0,0,6,1.0,0,4,1.0,0,795,1.0,0,620,1.0,2.3576,1912,6,811,0,0
15,0,487,1.0,0,7,1.0,0,5,1.0,0,795,1.0,0,664,1.0,2.4143,1958,5,811,0,0
16,0,488,1.0,0,7,1.0,0,5,1.0,0,795,1.0,0,709,1.0,2.471,2004,8,811,0,0
17,0,488,1.0,0,8,1.0,0,6,1.0,0,795,1.0,0,753,1.0,2.5277,2050,6,811,0,0
18,0,488,1.0,0,8,1.0,0,6,1.0,0,795,1.0,0,797,1.0,2.582,2094,6,811,0,0
19,0,488,1.0,0,9,1.0,0,6,1.0,0,795,1.0,0,842,1.0,2.6387,2140,6,811,0,0
20,0,488,1.0,0,9,1.0,0,7,1.0,0,795,1.0,0,886,1.0,2.6942,2185,8,811,0,0
21,0,488,1.0,0,10,1.0,0,7,1.0,0,795,1.0,0,930,1.0,2.7497,2230,3,811,0,0
22,0,488,1.0,0,10,1.0,0,7,1.0,0,795,1.0,0,974,1.0,2.8039,2274,6,811,0,0
23,0,489,1.0,0,11,1.0,0,8,1.0,0,795,1.0,0,1019,1.0,2.8631,2322,4,811,0,0
24,0,489,1.0,0,11,1.0,0,8,1.0,0,771,1.0,0,1019,1.0,2.8335,2298,5,811,0,0
25,0,489,1.0,0,12,1.0,0,8,1.0,0,747,1.0,0,1019,1.0,2.8052,2275,3,811,0,0
26,0,489,1.0,0,12,1.0,0,9,1.0,0,723,1.0,0,1019,1.0,2.7734,2252,4,812,0,0
27,0,489,1.0,0,13,1.0,0,9,1.0,0,699,1.0,0,1019,1.0,2.7417,2229,3,813,0,0
28,0,489,1.0,0,13,1.0,0,9,1.0,0,675,1.0,0,1020,1.0,2.7067,2206,3,815,0,0
29,0,489,1.0,0,14,1.0,0,10,1.0,0,651,1.0,0,1020,1.0,2.7403,2184,3,797,0,18
30,0,490,1.0,0,14,1.0,0,10,1.0,0,627,1.0,0,1020,1.0,2.7114,2161,2,797,0,18
31,0,490,1.0,0,15,1.0,0,11,1.0,0,650,1.0,0,1020,1.0,2.7428,2186,2,797,0,18
32,0,490,1.0,0,15,1.0,0,11,1.0,0,674,1.0,0,1020,1.0,2.7729,2210,4,797,0,18
33,0,490,1.0,0,16,1.0,0,11,1.0,0,698,1.0,0,1020,1.0,2.8043,2235,4,797,0,18
34,0,490,1.0,0,16,1.0,0,12,1.0,0,721,1.0,0,1020,1.0,2.8344,2259,3,797,0,18
35,1,490,0.998,0,17,1.0,0,12,1.0,0,745,1.0,0,1020,1.0,2.8645,2284,4,797,1,18
36,1,490,0.998,0,17,1.0,0,12,1.0,0,769,1.0,0,1020,1.0,2.8946,2308,3,797,1,18
37,1,491,0.998,0,18,1.0,0,13,1.0,0,793,1.0,0,1020,1.0,2.9285,2335,4,797,1,18
38,1,491,0.998,0,18,1.0,0,13,1.0,0,793,1.0,0,1011,1.0,2.9209,2326,3,796,1,19
39,1,491,0.998,0,19,1.0,0,13,1.0,0,793,1.0,0,1002,1.0,2.9145,2318,3,795,1,20
40,1,491,0.998,0,19,1.0,0,14,1.0,0,793,1.0,0,993,1.0,2.9044,2310,2,795,1,20
41,1,491,0.998,0,20,1.0,0,14,1.0,0,793,1.0,0,984,1.0,2.898,2302,2,794,1,21
42,1,491,0.998,0,20,1.0,0,14,1.0,0,793,1.0,0,975,1.0,2.8866,2293,2,794,1,21
43,1,491,0.998,0,21,1.0,0,15,1.0,0,793,1.0,0,966,1.0,2.8815,2286,2,793,1,22
44,1,492,0.998,0,21,1.0,0,15,1.0,0,794,1.0,0,957,1.0,2.8726,2279,2,793,1,22
45,1,492,0.998,0,22,1.0,0,16,1.0,0,770,1.0,0,957,1.0,2.8449,2257,2,793,1,22
46,1,492,0.998,0,22,1.0,0,16,1.0,0,746,1.0,0,957,1.0,2.8146,2233,2,793,1,22
47,1,492,0.998,0,23,1.0,0,16,1.0,0,722,1.0,0,958,1.0,2.7869,2211,2,793,1,22
48,1,493,0.998,0,23,1.0,0,17,1.0,0,699,1.0,0,958,1.0,2.7604,2190,1,793,1,22
49,1,493,0.998,0,24,1.0,0,17,1.0,0,675,1.0,0,959,1.0,2.7327,2168,2,793,1,22
50,1,493,0.998,0,24,1.0,0,17,1.0,0,651,1.0,0,959,1.0,2.7024,2144,2,793,1,22
51,1,494,0.998,0,25,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.6784,2125,1,793,1,22
52,1,494,0.998,0,25,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.6717,2125,2,795,1,20
53,1,494,0.998,0,26,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.6662,2126,1,797,1,18
54,1,494,0.998,0,26,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6608,2127,3,799,1,16
55,1,494,0.998,0,27,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6521,2128,1,802,1,13
56,1,494,0.998,0,27,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6521,2128,1,802,1,13
57,1,494,0.998,0,28,1.0,0,20,1.0,0,628,1.0,0,960,1.0,2.6546,2130,1,802,1,13
58,1,494,0.998,0,28,1.0,0,20,1.0,0,628,1.0,0,960,1.0,2.6546,2130,1,802,1,13
59,1,494,0.998,0,29,1.0,0,21,1.0,0,636,1.0,0,960,1.0,2.6571,2140,1,805,1,10
60,1,494,0.998,0,29,1.0,0,21,1.0,0,644,1.0,0,960,1.0,2.6539,2148,1,809,1,6
61,1,494,0.998,0,30,1.0,0,21,1.0,0,652,1.0,0,960,1.0,2.6552,2157,1,812,1,3
62,1,494,0.998,0,30,1.0,0,22,1.0,0,660,1.0,0,960,1.0,2.6663,2166,2,812,1,3
63,1,494,0.998,0,31,1.0,0,22,1.0,0,668,1.0,0,961,1.0,2.6753,2176,1,813,1,2
64,1,494,0.998,0,31,1.0,0,22,1.0,0,676,1.0,0,961,1.0,2.6818,2184,1,814,1,1
65,1,494,0.998,0,32,1.0,0,23,1.0,0,684,1.0,0,961,1.0,2.6941,2194,1,814,1,1
66,1,494,0.998,0,32,1.0,0,23,1.0,0,692,1.0,0,961,1.0,2.7006,2202,1,815,1,0
67,1,494,0.998,0,33,1.0,0,23,1.0,0,700,1.0,0,961,1.0,2.7083,2211,1,816,1,0
68,1,494,0.998,0,33,1.0,0,24,1.0,0,708,1.0,0,961,1.0,2.7194,2220,2,816,1,0
69,1,495,0.998,0,34,1.0,0,24,1.0,0,717,1.0,0,962,1.0,2.7307,2232,2,817,1,0
70,1,495,0.998,0,34,1.0,0,24,1.0,0,725,1.0,0,962,1.0,2.7372,2240,3,818,1,0
71,1,495,0.998,0,35,1.0,0,25,1.0,0,733,1.0,0,962,1.0,2.7494,2250,2,818,1,0
72,1,495,0.998,0,35,1.0,0,25,1.0,0,741,1.0,0,962,1.0,2.7558,2258,2,819,1,0
73,1,495,0.998,0,36,1.0,0,26,1.0,0,749,1.0,0,962,1.0,2.7646,2268,1,820,1,0
74,1,495,0.998,0,36,1.0,0,26,1.0,0,757,1.0,0,963,1.0,2.7756,2277,2,820,1,0
75,1,495,0.998,0,37,1.0,0,26,1.0,0,765,1.0,0,963,1.0,2.7832,2286,1,821,1,0
76,1,495,0.998,0,37,1.0,0,27,1.0,0,773,1.0,0,963,1.0,2.7908,2295,1,822,1,0
77,1,495,0.998,0,38,1.0,0,27,1.0,0,781,1.0,0,963,1.0,2.8017,2304,1,822,1,0
78,1,495,0.998,0,38,1.0,0,27,1.0,0,789,1.0,0,963,1.0,2.8114,2312,1,822,1,0
79,1,496,0.998,0,39,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.8238,2325,1,823,1,0
80,1,496,0.998,0,39,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.7933,2325,5,832,1,0
81,1,496,0.998,0,40,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.7613,2326,7,842,1,0
82,1,496,0.998,0,40,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7333,2327,6,851,1,0
83,1,496,0.998,0,41,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7027,2328,6,861,1,0
84,1,496,0.998,0,41,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7027,2328,3,861,1,0
85,1,496,0.998,0,42,1.0,0,30,1.0,0,798,1.0,0,964,1.0,2.705,2330,2,861,1,0
86,1,496,0.998,0,42,1.0,0,30,1.0,0,798,1.0,0,964,1.0,2.705,2330,1,861,1,0
87,1,496,0.998,0,43,1.0,0,31,1.0,0,798,1.0,0,964,1.0,2.7073,2332,1,861,1,0
88,1,496,0.998,0,43,1.0,0,31,1.0,0,798,1.0,0,964,1.0,2.7042,2332,1,862,1,0
89,1,496,0.998,0,44,1.0,0,31,1.0,0,798,1.0,0,964,1.0,2.7053,2333,1,862,1,0
90,1,496,0.998,0,44,1.0,0,32,1.0,0,798,1.0,0,964,1.0,2.7034,2334,1,863,1,0
91,1,496,0.998,0,45,1.0,0,32,1.0,0,799,1.0,0,964,1.0,2.6564,2336,6,879,1,0
92,1,496,0.998,0,45,1.0,0,32,1.0,0,799,1.0,0,964,1.0,2.6564,2336,1,879,1,0
93,1,496,0.998,0,46,1.0,0,33,1.0,0,799,1.0,0,964,1.0,2.6587,2338,1,879,1,0
94,1,496,0.998,0,46,1.0,0,33,1.0,0,799,1.0,0,964,1.0,2.6587,2338,1,879,1,0
95,1,496,0.998,0,47,1.0,0,33,1.0,0,799,1.0,0,964,1.0,2.6598,2339,1,879,1,0
96,1,496,0.998,0,47,1.0,0,34,1.0,0,800,1.0,0,964,1.0,2.6621,2341,1,879,1,0
97,1,496,0.998,0,48,1.0,0,34,1.0,0,800,1.0,0,969,1.0,2.6038,2347,11,901,1,0
98,1,496,0.998,0,48,1.0,0,34,1.0,0,800,1.0,0,974,1.0,2.5471,2352,11,923,1,0
99,1,496,0.998,0,49,1.0,0,35,1.0,0,800,1.0,0,979,1.0,2.4952,2359,18,945,1,0
100,1,496,0.998,0,49,1.0,0,35,1.0,0,800,1.0,0,985,1.0,2.4963,2365,9,947,1,0
101,1,496,0.998,0,50,1.0,0,36,1.0,0,800,1.0,0,990,1.0,2.4958,2372,7,950,1,0
102,1,497,0.998,0,50,1.0,0,36,1.0,0,800,1.0,0,995,1.0,2.4942,2378,7,953,1,0
103,1,497,0.998,0,51,1.0,0,36,1.0,0,800,1.0,0,1001,1.0,2.4963,2385,6,955,1,0
104,1,497,0.998,0,51,1.0,0,37,1.0,0,800,1.0,0,1006,1.0,2.4948,2391,6,958,1,0
105,1,497,0.998,0,52,1.0,0,37,1.0,0,800,1.0,0,1011,1.0,2.4932,2397,5,961,1,0
106,1,497,0.998,0,52,1.0,0,37,1.0,0,800,1.0,0,1016,1.0,2.4933,2402,4,963,1,0
107,1,498,0.998,0,53,1.0,0,38,1.0,0,800,1.0,0,1022,1.0,2.4948,2411,6,966,1,0
108,1,498,0.998,0,53,1.0,0,38,1.0,0,800,1.0,0,1027,1.0,2.4923,2416,6,969,1,0
109,1,498,0.998,0,54,1.0,0,38,1.0,0,800,1.0,0,1032,1.0,2.4933,2422,3,971,1,0
110,1,498,0.998,0,54,1.0,0,39,1.0,0,800,1.0,0,1037,1.0,2.4918,2428,4,974,1,0
111,1,498,0.998,0,55,1.0,0,39,1.0,0,800,1.0,0,1043,1.0,2.4913,2435,4,977,1,0
112,1,499,0.998,0,55,1.0,0,39,1.0,0,800,1.0,0,1048,1.0,2.4898,2441,4,980,1,0
113,1,499,0.998,0,56,1.0,0,40,1.0,0,800,1.0,0,1053,1.0,2.4969,2448,4,980,1,0
114,1,499,0.998,0,56,1.0,0,40,1.0,0,800,1.0,0,1059,1.0,2.5031,2454,4,980,1,0
115,1,499,0.998,0,57,1.0,0,41,1.0,0,800,1.0,0,1064,1.0,2.5102,2461,3,980,1,0
116,1,499,0.998,0,57,1.0,0,41,1.0,0,800,1.0,0,1069,1.0,2.5153,2466,2,980,1,0
117,1,500,0.998,0,58,1.0,0,41,1.0,0,800,1.0,0,1074,1.0,2.5224,2473,1,980,1,0
118,1,500,0.998,0,58,1.0,0,42,1.0,0,800,1.0,0,1080,1.0,2.5296,2480,1,980,1,0
119,1,500,0.998,0,59,1.0,0,42,1.0,0,800,1.0,0,1085,1.0,2.5357,2486,1,980,1,0
120,1,500,0.998,0,59,1.0,0,42,1.0,0,800,1.0,0,1090,1.0,2.5408,2491,1,980,1,0
121,1,500,0.998,0,60,1.0,0,43,1.0,0,800,1.0,0,1096,1.0,2.549,2499,1,980,1,0
122,1,501,0.998,0,60,1.0,0,43,1.0,0,800,1.0,0,1101,1.0,2.5447,2505,2,984,1,0
123,2,501,0.996,0,61,1.0,0,43,1.0,0,800,1.0,0,1106,1.0,2.5395,2511,4,988,2,0
124,2,501,0.996,0,61,1.0,0,44,1.0,0,800,1.0,0,1111,1.0,2.5327,2517,3,993,2,0
125,2,501,0.996,0,62,1.0,0,44,1.0,0,800,1.0,0,1117,1.0,2.5296,2524,4,997,2,0
126,2,501,0.996,0,62,1.0,0,44,1.0,0,800,1.0,0,1122,1.0,2.5245,2529,5,1001,2,0
127,2,501,0.996,0,63,1.0,0,45,1.0,0,800,1.0,0,1127,1.0,2.5189,2536,6,1006,2,0
128,2,502,0.996,0,63,1.0,0,45,1.0,0,800,1.0,0,1133,1.0,2.5158,2543,5,1010,2,0
129,2,502,0.996,0,64,1.0,0,45,1.0,0,800,1.0,0,1138,1.0,2.5118,2549,6,1014,2,0
130,2,502,0.996,0,64,1.0,0,46,1.0,0,800,1.0,0,1143,1.0,2.5054,2555,5,1019,2,0
131,2,502,0.996,0,65,1.0,0,46,1.0,0,800,1.0,0,1148,1.0,2.5015,2561,5,1023,2,0
132,2,502,0.996,0,65,1.0,0,47,1.0,0,800,1.0,0,1154,1.0,2.4961,2568,6,1028,2,0
133,2,503,0.996,0,66,1.0,0,47,1.0,0,800,1.0,0,1159,1.0,2.5005,2575,4,1029,2,0
134,2,503,0.996,0,66,1.0,0,47,1.0,0,800,1.0,0,1164,1.0,2.5005,2580,4,1031,2,0
135,2,503,0.996,0,67,1.0,0,48,1.0,0,800,1.0,0,1169,1.0,2.5024,2587,5,1033,2,0
136,2,503,0.996,0,67,1.0,0,48,1.0,0,800,1.0,0,1175,1.0,2.5034,2593,4,1035,2,0
137,2,503,0.996,0,68,1.0,0,48,1.0,0,800,1.0,0,1180,1.0,2.5043,2599,4,1037,2,0
138,2,504,0.996,0,68,1.0,0,49,1.0,0,800,1.0,0,1185,1.0,2.4943,2606,5,1044,2,0
139,2,504,0.996,0,69,1.0,0,49,1.0,0,800,1.0,0,1191,1.0,2.4819,2613,6,1052,2,0
140,2,504,0.996,0,69,1.0,0,49,1.0,0,800,1.0,0,1196,1.0,2.4679,2618,8,1060,2,0
141,2,504,0.996,0,70,1.0,0,50,1.0,0,800,1.0,0,1201,1.0,2.456,2625,7,1068,2,0
142,2,504,0.996,0,70,1.0,0,50,1.0,0,800,1.0,0,1206,1.0,2.4447,2630,4,1075,2,0
143,2,505,0.996,0,71,1.0,0,50,1.0,0,800,1.0,0,1212,1.0,2.434,2638,5,1083,2,0
144,2,505,0.996,0,71,1.0,0,51,1.0,0,800,1.0,0,1217,1.0,2.4216,2644,7,1091,2,0
145,2,505,0.996,0,72,1.0,0,51,1.0,1,800,0.9988,0,1222,1.0,2.4086,2650,9,1099,3,0
146,2,505,0.996,0,72,1.0,0,52,1.0,1,800,0.9988,0,1228,1.0,2.4062,2657,8,1103,3,0
147,2,505,0.996,0,73,1.0,0,52,1.0,1,800,0.9988,0,1233,1.0,2.4007,2663,8,1108,3,0
148,2,506,0.996,0,73,1.0,0,52,1.0,1,800,0.9988,0,1238,1.0,2.3975,2669,9,1112,3,0
149,2,506,0.996,0,74,1.0,0,53,1.0,1,800,0.9988,0,1243,1.0,2.393,2676,9,1117,3,0
150,2,506,0.996,0,74,1.0,0,53,1.0,1,800,0.9988,0,1249,1.0,2.3898,2682,10,1121,3,0
151,2,506,0.996,0,75,1.0,0,53,1.0,1,800,0.9988,0,1254,1.0,2.3845,2688,10,1126,3,0
