Day,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,806,0,0
1,0,243,1.0,0,0,0.0,0,0,0.0,0,314,1.0,0,44,1.0,0.7457,601,15,806,0,0
2,0,487,1.0,0,0,0.0,0,0,0.0,0,628,1.0,0,88,1.0,1.4907,1203,4,807,0,0
3,0,487,1.0,0,1,1.0,0,1,1.0,0,652,1.0,0,132,1.0,1.5774,1273,11,807,0,0
4,0,487,1.0,0,1,1.0,0,1,1.0,0,676,1.0,0,177,1.0,1.6629,1342,6,807,0,0
5,0,487,1.0,0,2,1.0,0,1,1.0,0,700,1.0,0,221,1.0,1.7485,1411,12,807,0,0
6,0,487,1.0,0,2,1.0,0,2,1.0,0,723,1.0,0,265,1.0,1.8327,1479,6,807,0,0
7,0,487,1.0,0,3,1.0,0,2,1.0,0,747,1.0,0,310,1.0,1.9195,1549,12,807,0,0
8,0,487,1.0,0,3,1.0,0,2,1.0,0,771,1.0,0,354,1.0,2.0037,1617,8,807,0,0
9,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,398,1.0,2.0905,1687,7,807,0,0
10,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,443,1.0,2.1436,1732,6,808,0,0
11,0,487,1.0,0,5,1.0,0,3,1.0,0,795,1.0,0,487,1.0,2.1965,1777,7,809,0,0
12,0,487,1.0,0,5,1.0,0,4,1.0,0,795,1.0,0,531,1.0,2.2494,1822,8,810,0,0
13,0,487,1.0,0,6,1.0,0,4,1.0,0,795,1.0,0,576,1.0,2.3033,1868,7,811,0,0
14,0,487,1.0,0,6,1.0,0,4,1.0,0,795,1.0,0,620,1.0,2.3576,1912,7,811,0,0
15,0,487,1.0,0,7,1.0,0,5,1.0,0,795,1.0,0,664,1.0,2.4143,1958,6,811,0,0
16,0,488,1.0,0,7,1.0,0,5,1.0,0,795,1.0,0,709,1.0,2.471,2004,9,811,0,0
17,0,488,1.0,0,8,1.0,0,6,1.0,0,795,1.0,0,753,1.0,2.5277,2050,8,811,0,0
18,0,488,1.0,0,8,1.0,0,6,1.0,0,795,1.0,0,797,1.0,2.582,2094,7,811,0,0
19,0,488,1.0,0,9,1.0,0,6,1.0,0,795,1.0,0,842,1.0,2.6387,2140,7,811,0,0
20,0,488,1.0,0,9,1.0,0,7,1.0,0,795,1.0,0,886,1.0,2.6942,2185,10,811,0,0
21,0,488,1.0,0,10,1.0,0,7,1.0,0,795,1.0,0,930,1.0,2.7497,2230,5,811,0,0
22,0,488,1.0,0,10,1.0,0,7,1.0,0,795,1.0,0,974,1.0,2.8039,2274,8,811,0,0
23,0,489,1.0,0,11,1.0,0,8,1.0,0,795,1.0,0,1019,1.0,2.8631,2322,6,811,0,0
24,0,489,1.0,0,11,1.0,0,8,1.0,0,771,1.0,0,1019,1.0,2.8335,2298,6,811,0,0
25,0,489,1.0,0,12,1.0,0,8,1.0,0,747,1.0,0,1019,1.0,2.8052,2275,4,811,0,0
26,0,489,1.0,0,12,1.0,0,9,1.0,0,723,1.0,0,1019,1.0,2.7734,2252,4,812,0,0
27,0,489,1.0,0,13,1.0,0,9,1.0,0,699,1.0,0,1019,1.0,2.7417,2229,3,813,0,0
28,0,489,1.0,0,13,1.0,0,9,1.0,0,675,1.0,0,1020,1.0,2.7067,2206,4,815,0,0
29,0,489,1.0,0,14,1.0,0,10,1.0,0,651,1.0,0,1020,1.0,2.7403,2184,4,797,0,18
30,0,490,1.0,0,14,1.0,0,10,1.0,0,627,1.0,0,1020,1.0,2.7114,2161,3,797,0,18
31,0,490,1.0,0,15,1.0,0,11,1.0,0,650,1.0,0,1020,1.0,2.7428,2186,3,797,0,18
32,0,490,1.0,0,15,1.0,0,11,1.0,0,674,1.0,0,1020,1.0,2.7729,2210,4,797,0,18
33,0,490,1.0,0,16,1.0,0,11,1.0,0,698,1.0,0,1020,1.0,2.8043,2235,4,797,0,18
34,0,490,1.0,0,16,1.0,0,12,1.0,0,721,1.0,0,1020,1.0,2.8344,2259,3,797,0,18
35,0,490,1.0,0,17,1.0,0,12,1.0,0,745,1.0,0,1020,1.0,2.8657,2284,3,797,0,18
36,0,490,1.0,0,17,1.0,0,12,1.0,0,769,1.0,0,1020,1.0,2.8959,2308,1,797,0,18
37,0,491,1.0,0,18,1.0,0,13,1.0,0,793,1.0,0,1020,1.0,2.9297,2335,2,797,0,18
38,0,491,1.0,0,18,1.0,0,13,1.0,0,793,1.0,0,1011,1.0,2.9221,2326,2,796,0,19
39,0,491,1.0,0,19,1.0,0,13,1.0,0,793,1.0,0,1002,1.0,2.9157,2318,2,795,0,20
40,0,491,1.0,0,19,1.0,0,14,1.0,0,793,1.0,0,993,1.0,2.9057,2310,1,795,0,20
41,0,491,1.0,0,20,1.0,0,14,1.0,0,793,1.0,0,984,1.0,2.8992,2302,1,794,0,21
42,0,491,1.0,0,20,1.0,0,14,1.0,0,793,1.0,0,975,1.0,2.8879,2293,1,794,0,21
43,0,491,1.0,0,21,1.0,0,15,1.0,0,793,1.0,0,966,1.0,2.8827,2286,1,793,0,22
44,0,492,1.0,0,21,1.0,0,15,1.0,0,794,1.0,0,957,1.0,2.8739,2279,1,793,0,22
45,0,492,1.0,0,22,1.0,0,16,1.0,0,770,1.0,0,957,1.0,2.8462,2257,1,793,0,22
46,0,492,1.0,0,22,1.0,0,16,1.0,0,746,1.0,0,957,1.0,2.8159,2233,1,793,0,22
47,0,492,1.0,0,23,1.0,0,16,1.0,0,722,1.0,0,958,1.0,2.7881,2211,2,793,0,22
48,0,493,1.0,0,23,1.0,0,17,1.0,0,699,1.0,0,958,1.0,2.7617,2190,2,793,0,22
49,0,493,1.0,0,24,1.0,0,17,1.0,0,675,1.0,0,959,1.0,2.7339,2168,3,793,0,22
50,0,493,1.0,0,24,1.0,0,17,1.0,0,651,1.0,0,959,1.0,2.7037,2144,3,793,0,22
51,0,494,1.0,0,25,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.6797,2125,2,793,0,22
52,0,494,1.0,0,25,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.673,2125,3,795,0,20
53,0,494,1.0,0,26,1.0,0,18,1.0,0,628,1.0,0,960,1.0,2.6675,2126,2,797,0,18
54,0,494,1.0,0,26,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6621,2127,4,799,0,16
55,0,494,1.0,0,27,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6534,2128,1,802,0,13
56,0,494,1.0,0,27,1.0,0,19,1.0,0,628,1.0,0,960,1.0,2.6534,2128,1,802,0,13
57,0,494,1.0,0,28,1.0,0,20,1.0,0,628,1.0,0,960,1.0,2.6559,2130,0,802,0,13
58,0,494,1.0,0,28,1.0,0,20,1.0,0,628,1.0,0,960,1.0,2.6559,2130,0,802,0,13
59,0,494,1.0,0,29,1.0,0,21,1.0,0,636,1.0,0,960,1.0,2.6584,2140,0,805,0,10
60,0,494,1.0,0,29,1.0,0,21,1.0,0,644,1.0,0,960,1.0,2.6551,2148,0,809,0,6
61,0,494,1.0,0,30,1.0,0,21,1.0,0,652,1.0,0,960,1.0,2.6564,2157,0,812,0,3
62,0,494,1.0,0,30,1.0,0,22,1.0,0,660,1.0,0,960,1.0,2.6675,2166,1,812,0,3
63,0,494,1.0,0,31,1.0,0,22,1.0,0,668,1.0,0,961,1.0,2.6765,2176,0,813,0,2
64,0,494,1.0,0,31,1.0,0,22,1.0,0,676,1.0,0,961,1.0,2.683,2184,0,814,0,1
65,0,494,1.0,0,32,1.0,0,23,1.0,0,684,1.0,0,961,1.0,2.6953,2194,0,814,0,1
66,0,494,1.0,0,32,1.0,0,23,1.0,0,692,1.0,0,961,1.0,2.7018,2202,0,815,0,0
67,0,494,1.0,0,33,1.0,0,23,1.0,0,700,1.0,0,961,1.0,2.7096,2211,0,816,0,0
68,0,494,1.0,0,33,1.0,0,24,1.0,0,708,1.0,0,961,1.0,2.7206,2220,1,816,0,0
69,0,495,1.0,0,34,1.0,0,24,1.0,0,717,1.0,0,962,1.0,2.7319,2232,1,817,0,0
70,0,495,1.0,0,34,1.0,0,24,1.0,0,725,1.0,0,962,1.0,2.7384,2240,1,818,0,0
71,0,495,1.0,0,35,1.0,0,25,1.0,0,733,1.0,0,962,1.0,2.7506,2250,0,818,0,0
72,0,495,1.0,0,35,1.0,0,25,1.0,0,741,1.0,0,962,1.0,2.757,2258,1,819,0,0
73,0,495,1.0,0,36,1.0,0,26,1.0,0,749,1.0,0,962,1.0,2.7659,2268,0,820,0,0
74,0,495,1.0,0,36,1.0,0,26,1.0,0,757,1.0,0,963,1.0,2.7768,2277,1,820,0,0
75,0,495,1.0,0,37,1.0,0,26,1.0,0,765,1.0,0,963,1.0,2.7844,2286,1,821,0,0
76,0,495,1.0,0,37,1.0,0,27,1.0,0,773,1.0,0,963,1.0,2.792,2295,1,822,0,0
77,0,495,1.0,0,38,1.0,0,27,1.0,0,781,1.0,0,963,1.0,2.8029,2304,1,822,0,0
78,0,495,1.0,0,38,1.0,0,27,1.0,0,789,1.0,0,963,1.0,2.8127,2312,1,822,0,0
79,0,496,1.0,0,39,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.825,2325,1,823,0,0
80,0,496,1.0,0,39,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.7945,2325,5,832,0,0
81,0,496,1.0,0,40,1.0,0,28,1.0,0,798,1.0,0,964,1.0,2.7625,2326,8,842,0,0
82,0,496,1.0,0,40,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7344,2327,6,851,0,0
83,0,496,1.0,0,41,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7038,2328,8,861,0,0
84,0,496,1.0,0,41,1.0,0,29,1.0,0,798,1.0,0,964,1.0,2.7038,2328,5,861,0,0
85,0,496,1.0,0,42,1.0,0,30,1.0,0,798,1.0,0,964,1.0,2.7062,2330,1,861,0,0
86,0,496,1.0,0,42,1.0,0,30,1.0,0,798,1.0,0,964,1.0,2.7062,2330,1,861,0,0
87,0,496,1.0,0,43,1.0,0,31,1.0,0,798,1.0,0,964,1.0,2.7085,2332,1,861,0,0
88,0,496,1.0,0,43,1.0,0,31,1.0,1,798,0.9987,0,964,1.0,2.7042,2332,1,862,1,0
89,0,496,1.0,0,44,1.0,0,31,1.0,1,798,0.9987,0,964,1.0,2.7053,2333,1,862,1,0
90,0,496,1.0,0,44,1.0,0,32,1.0,1,798,0.9987,0,964,1.0,2.7034,2334,1,863,1,0
91,0,496,1.0,0,45,1.0,0,32,1.0,1,799,0.9987,0,964,1.0,2.6564,2336,6,879,1,0
92,0,496,1.0,0,45,1.0,0,32,1.0,1,799,0.9987,0,964,1.0,2.6564,2336,1,879,1,0
93,0,496,1.0,0,46,1.0,0,33,1.0,1,799,0.9987,0,964,1.0,2.6587,2338,1,879,1,0
94,0,496,1.0,0,46,1.0,0,33,1.0,1,799,0.9987,0,964,1.0,2.6587,2338,1,879,1,0
95,0,496,1.0,0,47,1.0,0,33,1.0,1,799,0.9987,0,964,1.0,2.6598,2339,1,879,1,0
96,0,496,1.0,0,47,1.0,0,34,1.0,1,800,0.9988,0,964,1.0,2.6621,2341,1,879,1,0
97,0,496,1.0,0,48,1.0,0,34,1.0,1,800,0.9988,0,969,1.0,2.6038,2347,9,901,1,0
98,0,496,1.0,0,48,1.0,0,34,1.0,1,800,0.9988,0,974,1.0,2.5471,2352,13,923,1,0
99,0,496,1.0,0,49,1.0,0,35,1.0,1,800,0.9988,0,979,1.0,2.4952,2359,13,945,1,0
100,0,496,1.0,0,49,1.0,0,35,1.0,1,800,0.9988,0,985,1.0,2.4963,2365,2,947,1,0
101,0,496,1.0,0,50,1.0,0,36,1.0,1,800,0.9988,0,990,1.0,2.4958,2372,3,950,1,0
102,0,497,1.0,0,50,1.0,0,36,1.0,1,800,0.9988,0,995,1.0,2.4942,2378,3,953,1,0
103,0,497,1.0,0,51,1.0,0,36,1.0,1,800,0.9988,0,1001,1.0,2.4963,2385,3,955,1,0
104,0,497,1.0,0,51,1.0,0,37,1.0,1,800,0.9988,0,1006,1.0,2.4948,2391,3,958,1,0
105,0,497,1.0,0,52,1.0,0,37,1.0,1,800,0.9988,0,1011,1.0,2.4932,2397,3,961,1,0
106,0,497,1.0,0,52,1.0,0,37,1.0,1,800,0.9988,0,1016,1.0,2.4933,2402,3,963,1,0
107,0,498,1.0,0,53,1.0,0,38,1.0,1,800,0.9988,0,1022,1.0,2.4948,2411,4,966,1,0
108,0,498,1.0,0,53,1.0,0,38,1.0,1,800,0.9988,0,1027,1.0,2.4923,2416,5,969,1,0
109,0,498,1.0,0,54,1.0,0,38,1.0,1,800,0.9988,0,1032,1.0,2.4933,2422,2,971,1,0
110,0,498,1.0,0,54,1.0,0,39,1.0,1,800,0.9988,0,1037,1.0,2.4918,2428,2,974,1,0
111,0,498,1.0,0,55,1.0,0,39,1.0,1,800,0.9988,0,1043,1.0,2.4913,2435,2,977,1,0
112,0,499,1.0,0,55,1.0,0,39,1.0,1,800,0.9988,0,1048,1.0,2.4898,2441,2,980,1,0
113,0,499,1.0,0,56,1.0,0,40,1.0,1,800,0.9988,0,1053,1.0,2.4969,2448,2,980,1,0
114,0,499,1.0,0,56,1.0,0,40,1.0,1,800,0.9988,0,1059,1.0,2.5031,2454,2,980,1,0
115,0,499,1.0,0,57,1.0,0,41,1.0,1,800,0.9988,0,1064,1.0,2.5102,2461,2,980,1,0
116,0,499,1.0,0,57,1.0,0,41,1.0,1,800,0.9988,0,1069,1.0,2.5153,2466,2,980,1,0
117,0,500,1.0,0,58,1.0,0,41,1.0,1,800,0.9988,0,1074,1.0,2.5224,2473,2,980,1,0
118,0,500,1.0,0,58,1.0,0,42,1.0,1,800,0.9988,0,1080,1.0,2.5296,2480,2,980,1,0
119,0,500,1.0,0,59,1.0,0,42,1.0,1,800,0.9988,0,1085,1.0,2.5357,2486,2,980,1,0
120,0,500,1.0,0,59,1.0,0,42,1.0,1,800,0.9988,0,1090,1.0,2.5408,2491,2,980,1,0
121,0,500,1.0,0,60,1.0,0,43,1.0,1,800,0.9988,0,1096,1.0,2.549,2499,2,980,1,0
122,0,501,1.0,0,60,1.0,0,43,1.0,1,800,0.9988,0,1101,1.0,2.5447,2505,3,984,1,0
123,0,501,1.0,0,61,1.0,0,43,1.0,1,800,0.9988,0,1106,1.0,2.5405,2511,3,988,1,0
124,0,501,1.0,0,61,1.0,0,44,1.0,1,800,0.9988,0,1111,1.0,2.5337,2517,2,993,1,0
125,0,501,1.0,0,62,1.0,0,44,1.0,1,800,0.9988,0,1117,1.0,2.5306,2524,3,997,1,0
126,0,501,1.0,0,62,1.0,0,44,1.0,1,800,0.9988,0,1122,1.0,2.5255,2529,2,1001,1,0
127,0,501,1.0,0,63,1.0,0,45,1.0,1,800,0.9988,0,1127,1.0,2.5199,2536,4,1006,1,0
128,0,502,1.0,0,63,1.0,0,45,1.0,1,800,0.9988,0,1133,1.0,2.5168,2543,3,1010,1,0
129,0,502,1.0,0,64,1.0,0,45,1.0,1,800,0.9988,0,1138,1.0,2.5128,2549,4,1014,1,0
130,0,502,1.0,0,64,1.0,0,46,1.0,1,800,0.9988,0,1143,1.0,2.5064,2555,2,1019,1,0
131,0,502,1.0,0,65,1.0,0,46,1.0,1,800,0.9988,0,1148,1.0,2.5024,2561,3,1023,1,0
132,0,502,1.0,0,65,1.0,0,47,1.0,1,800,0.9988,0,1154,1.0,2.4971,2568,4,1028,1,0
133,0,503,1.0,0,66,1.0,0,47,1.0,1,800,0.9988,0,1159,1.0,2.5015,2575,4,1029,1,0
134,0,503,1.0,0,66,1.0,0,47,1.0,1,800,0.9988,0,1164,1.0,2.5015,2580,3,1031,1,0
135,0,503,1.0,0,67,1.0,0,48,1.0,1,800,0.9988,0,1169,1.0,2.5034,2587,3,1033,1,0
136,0,503,1.0,0,67,1.0,0,48,1.0,1,800,0.9988,0,1175,1.0,2.5043,2593,3,1035,1,0
137,0,503,1.0,0,68,1.0,0,48,1.0,1,800,0.9988,0,1180,1.0,2.5053,2599,3,1037,1,0
138,0,504,1.0,0,68,1.0,0,49,1.0,1,800,0.9988,0,1185,1.0,2.4952,2606,5,1044,1,0
139,0,504,1.0,0,69,1.0,0,49,1.0,1,800,0.9988,0,1191,1.0,2.4829,2613,7,1052,1,0
140,0,504,1.0,0,69,1.0,0,49,1.0,1,800,0.9988,0,1196,1.0,2.4689,2618,7,1060,1,0
141,0,504,1.0,0,70,1.0,0,50,1.0,1,800,0.9988,0,1201,1.0,2.4569,2625,10,1068,1,0
142,0,504,1.0,0,70,1.0,0,50,1.0,1,800,0.9988,0,1206,1.0,2.4456,2630,7,1075,1,0
143,0,505,1.0,0,71,1.0,0,50,1.0,1,800,0.9988,0,1212,1.0,2.4349,2638,6,1083,1,0
144,0,505,1.0,0,71,1.0,0,51,1.0,1,800,0.9988,0,1217,1.0,2.4225,2644,6,1091,1,0
145,0,505,1.0,0,72,1.0,0,51,1.0,1,800,0.9988,1,1222,0.9992,2.4095,2650,6,1099,2,0
146,0,505,1.0,0,72,1.0,0,52,1.0,1,800,0.9988,1,1228,0.9992,2.4071,2657,4,1103,2,0
147,0,505,1.0,0,73,1.0,0,52,1.0,1,800,0.9988,1,1233,0.9992,2.4016,2663,4,1108,2,0
148,0,506,1.0,0,73,1.0,0,52,1.0,1,800,0.9988,1,1238,0.9992,2.3984,2669,6,1112,2,0
149,0,506,1.0,0,74,1.0,0,53,1.0,1,800,0.9988,1,1243,0.9992,2.3939,2676,7,1117,2,0
150,0,506,1.0,0,74,1.0,0,53,1.0,1,800,0.9988,1,1249,0.9992,2.3907,2682,7,1121,2,0
