Time,Nakivale,
0,0,0
1,0,186
2,0,373
3,1,560
4,3,747
5,3,934
6,6,1120
7,7,1307
8,12,1494
9,17,1681
10,24,1868
11,30,2055
12,38,2241
13,43,2428
14,52,2615
15,59,2802
16,69,2989
17,77,3175
18,87,3362
19,103,3549
20,114,3736
21,136,3923
22,151,4110
23,165,4296
24,184,4483
25,199,4670
26,222,4857
27,245,5044
28,270,5230
29,287,5417
30,312,5604
31,341,5791
32,356,5978
33,388,6165
34,424,6351
35,450,6538
36,483,6725
37,518,6912
38,552,7099
39,588,7285
40,623,7472
41,664,7659
42,704,7846
43,746,8033
44,781,8220
45,821,8304
46,852,8389
47,884,8474
48,923,8559
49,964,8627
50,1006,8695
51,1044,8764
52,1083,8832
53,1122,8901
54,1161,8969
55,1195,9038
56,1258,9070
57,1297,9103
58,1316,9135
59,1352,9168
60,1382,9201
61,1424,9232
62,1480,9264
63,1517,9296
64,1562,9328
65,1605,9360
66,1653,9392
67,1704,9424
68,1758,9456
69,1795,9488
70,1965,9555
71,2042,9623
72,2114,9691
73,2213,9759
74,2283,9827
75,2398,9895
76,2507,9963
77,2606,10030
78,2682,10098
79,2761,10166
80,2852,10234
81,2910,10302
82,3058,10370
83,3214,10438
84,3279,10444
85,3356,10450
86,3426,10456
87,3539,10462
88,3641,10468
89,3776,10474
90,3915,10480
91,4001,10489
92,4103,10498
93,4288,10507
94,4449,10516
95,4541,10525
96,4634,10535
97,4751,10527
98,4855,10519
99,4981,10511
100,5120,10504
101,5218,10496
102,5311,10488
103,5433,10481
104,5518,10473
105,5593,10465
106,5695,10458
107,5765,10450
108,5864,10442
109,5952,10435
110,6060,10432
111,6128,10430
112,6239,10428
113,6351,10426
114,6470,10424
115,6539,10422
116,6650,10420
117,6722,10441
118,6832,10462
119,6923,10483
120,7022,10504
121,7111,10525
122,7199,10546
123,7274,10567
124,7353,10588
125,7431,10610
126,7513,10618
127,7603,10626
128,7672,10634
129,7754,10642
130,7816,10650
131,7886,10658
132,7938,10666
133,8015,10674
134,8073,10682
135,8158,10690
136,8225,10698
137,8307,10706
138,8391,10734
139,8459,10763
140,8530,10792
141,8596,10820
142,8649,10849
143,8718,10878
144,8795,10907
145,8864,10929
146,8913,10952
147,8961,10974
148,9014,10997
149,9068,11019
150,9130,11042
151,9201,11064
152,9246,11087
153,9415,11110
154,9485,11149
155,9549,11189
156,9605,11229
157,9688,11269
158,9753,11309
159,9818,11325
160,9910,11342
161,9999,11359
162,10091,11376
163,10194,11393
164,10298,11410
165,10364,11427
166,10436,11456
167,10519,11486
168,10590,11516
169,10662,11546
170,10720,11576
171,10774,11606
172,10866,11636
173,10935,11665
174,10987,11695
175,11048,11725
176,11096,11755
177,11148,11785
178,11197,11815
179,11274,11845
180,11376,11851
181,11475,11858
182,11604,11864
183,11760,11871
184,11827,11877
185,11910,11884
186,11994,11891
187,12067,11913
188,12136,11936
189,12205,11959
190,12282,11982
191,12332,12005
192,12419,12028
193,12502,12051
194,12571,12081
195,12642,12112
196,12722,12142
197,12779,12173
198,12822,12203
199,12868,12234
200,12935,12265
201,13017,12303
202,13086,12341
203,13139,12379
204,13196,12417
205,13261,12455
206,13324,12493
207,13379,12531
208,13432,12569
209,13511,12607
210,13551,12645
211,13622,12683
212,13682,12721
213,13725,12759
214,13816,12798
215,13885,12817
216,13923,12837
217,13973,12857
218,13998,12877
219,14029,12896
220,14084,12916
221,14130,12936
222,14179,12956
223,14239,12976
224,14355,13014
225,14424,13052
226,14469,13090
227,14535,13128
228,14596,13166
229,14663,13204
230,14733,13237
231,14779,13270
232,14815,13303
233,14889,13336
234,14931,13369
235,14987,13402
236,15058,13435
237,15108,13468
238,15172,13501
239,15221,13534
240,15269,13567
241,15320,13600
242,15362,13633
243,15401,13666
244,15457,13699
245,15514,13732
246,15574,13765
247,15633,13798
248,15672,13831
249,15732,13864
250,15795,13902
251,15843,13940
252,15889,13978
253,15935,14017
254,15982,14055
255,16017,14093
256,16086,14131
257,16137,14170
258,16166,14245
259,16208,14320
260,16229,14396
261,16264,14471
262,16308,14546
263,16371,14622
264,16432,14678
265,16475,14734
266,16498,14790
267,16527,14846
268,16571,14903
269,16602,14959
270,16639,15015
271,16684,15071
272,16763,15128
273,16799,15168
274,16839,15208
275,16874,15248
276,16916,15289
277,16940,15329
278,16992,15369
279,17048,15410
280,17097,15504
281,17139,15599
282,17188,15693
283,17222,15788
284,17253,15883
285,17290,15914
286,17333,15945
287,17359,15976
288,17396,16007
289,17424,16038
290,17454,16069
291,17487,16100
292,17629,16132
293,17669,16163
294,17731,16194
295,17755,16225
296,17800,16256
297,17868,16287
298,17906,16318
299,17960,16350
300,18003,16413
301,18047,16476
