#time,rank-agentid,original_location,current_location,gps_x,gps_y,is_travelling,distance_travelled,places_travelled,distance_moved_this_timestep,timesteps_since_departure,connections,
0,0-0,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-1,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-2,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-3,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-4,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-5,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-6,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-7,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-8,Facility,Ring2_Node4,-45.0,0.0,False,45.0,3,45.0,1,0,
0,0-9,Facility,Ring2_Node3,-31.82,31.82,False,45.0,3,45.0,1,0,
0,0-10,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-11,Facility,Ring1_Node3,-0.0,-20.0,False,48.28,3,48.27999999999997,1,0,
0,0-12,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-13,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-14,Facility,Ring2_Node7,31.82,-31.82,False,45.0,3,45.0,1,0,
0,0-15,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-16,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-17,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-18,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-19,Facility,Ring2_Node6,-0.0,-45.0,False,45.0,3,45.0,1,0,
0,0-20,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-21,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-22,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-23,Facility,Ring2_Node4,-45.0,0.0,False,45.0,3,45.0,1,0,
0,0-24,Facility,Ring1_Node0,20.0,0.0,False,48.28,3,48.27999999999997,1,0,
0,0-25,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-26,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-27,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-28,Facility,Ring2_Node6,-0.0,-45.0,False,45.0,3,45.0,1,0,
0,0-29,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-30,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-31,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-32,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-33,Facility,Ring1_Node0,20.0,0.0,False,60.0,4,60.0,1,0,
0,0-34,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-35,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-36,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-37,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-38,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-39,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-40,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-41,Facility,Ring2_Node7,31.82,-31.82,False,45.0,3,45.0,1,0,
0,0-42,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-43,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-44,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-45,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-46,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-47,Facility,Ring1_Node0,20.0,0.0,False,88.28,5,88.27999999999997,1,0,
0,0-48,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-49,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-50,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-51,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-52,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-53,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-54,Facility,Ring2_Node3,-31.82,31.82,False,45.0,3,45.0,1,0,
0,0-55,Facility,Ring1_Node1,0.0,20.0,False,116.56,6,116.55999999999995,1,0,
0,0-56,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-57,Facility,Ring2_Node2,0.0,45.0,False,79.44,4,79.44,1,0,
0,0-58,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-59,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-60,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-61,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-62,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-63,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-64,Facility,Ring3_Node8,-37.5,-64.95,False,75.0,4,75.0,1,0,
0,0-65,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-66,Facility,Ring2_Node1,31.82,31.82,False,73.28,4,73.27999999999997,1,0,
0,0-67,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-68,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-69,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-70,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-71,Facility,Ring2_Node6,-0.0,-45.0,False,73.28,4,73.27999999999997,1,0,
0,0-72,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-73,Facility,Ring2_Node6,-0.0,-45.0,False,73.28,4,73.27999999999997,1,0,
0,0-74,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-75,Facility,Ring1_Node3,-0.0,-20.0,False,48.28,3,48.27999999999997,1,0,
0,0-76,Facility,Ring2_Node5,-31.82,-31.82,False,45.0,3,45.0,1,0,
0,0-77,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-78,Facility,Ring1_Node3,-0.0,-20.0,False,48.28,3,48.27999999999997,1,0,
0,0-79,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-80,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-81,Facility,Ring2_Node5,-31.82,-31.82,False,45.0,3,45.0,1,0,
0,0-82,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-83,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-84,Facility,Ring1_Node0,20.0,0.0,False,48.28,3,48.27999999999997,1,0,
0,0-85,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-86,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-87,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-88,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-89,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-90,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-91,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-92,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-93,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-94,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-95,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-96,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-97,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-98,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-99,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-100,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-101,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-102,Facility,Ring2_Node1,31.82,31.82,False,45.0,3,45.0,1,0,
0,0-103,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-104,Facility,Ring1_Node1,0.0,20.0,False,70.0,4,70.0,1,0,
0,0-105,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-106,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-107,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-108,Facility,Ring1_Node3,-0.0,-20.0,False,60.0,4,60.0,1,0,
0,0-109,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-110,Facility,Ring1_Node1,0.0,20.0,False,48.28,3,48.27999999999997,1,0,
0,0-111,Facility,Ring2_Node3,-31.82,31.82,False,45.0,3,45.0,1,0,
0,0-112,Facility,Ring1_Node0,20.0,0.0,False,48.28,3,48.27999999999997,1,0,
0,0-113,Facility,Ring1_Node1,0.0,20.0,False,20.0,2,20.0,1,0,
0,0-114,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-115,Facility,Ring1_Node3,-0.0,-20.0,False,48.28,3,48.27999999999997,1,0,
0,0-116,Facility,Ring2_Node5,-31.82,-31.82,False,45.0,3,45.0,1,0,
0,0-117,Facility,Ring1_Node2,-20.0,0.0,False,48.28,3,48.27999999999997,1,0,
0,0-118,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-119,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-120,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-121,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-122,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
0,0-123,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-124,Facility,Ring1_Node3,-0.0,-20.0,False,20.0,2,20.0,1,0,
0,0-125,Facility,Ring1_Node0,20.0,0.0,False,20.0,2,20.0,1,0,
0,0-126,Facility,Ring1_Node2,-20.0,0.0,False,20.0,2,20.0,1,0,
