Time,Bangui,Bangassou,Mobaye,Sibut,Bouar,Bossangoa,Nola,Mbaiki,Bimbo,Bozoum,Obo,Bambari,Bria,Ndele,Birao,Kaga Bandoro,Berberati,Melego,Rafai,Ippy,Mbres,Bossembele,Yaloke,Katakpo,Banga,Kago,Yapara,Beboura III,Gamboula,Baboua,Belom,Dosseye,East,Adamaoua,Monga,Mole,Gbadolite,Inke,Betou,Brazaville
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,926,3126,0,0,0,6758,2042,0,1023,0,0,0,0,951,0,0,0,0,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2539,0,0,1698,5341,254,0,438,11533,3572,0,1834,0,0,0,91,1615,55,0,111,0,1925,270,0,172,0,0,120,95,279,0,0,0,0,0,0,0,0,0,0
3,4215,5,8,2451,7721,572,6,1105,15861,5216,0,2692,14,0,0,223,2247,165,2,257,15,2655,674,60,384,17,15,297,229,661,0,18,44,23,0,0,0,0,61,0
4,5919,12,26,2196,6826,1015,24,1874,13345,4920,0,2442,41,0,0,424,1914,302,10,477,35,2431,1120,200,681,36,50,531,335,1069,1,61,150,73,1,0,1,0,223,0
5,5133,39,70,2118,6624,1327,62,2196,12392,4871,1,2413,77,4,0,566,1875,385,22,608,82,2449,1381,390,829,58,105,687,401,1327,8,152,302,156,2,0,4,0,501,0
6,4915,61,122,2028,6359,1522,120,2363,11481,4846,1,2318,110,5,0,676,1808,447,28,729,143,2401,1591,573,937,114,159,811,458,1466,12,272,476,276,11,0,10,0,820,0
7,4604,69,153,2004,6123,1751,165,2451,10629,4869,3,2254,171,16,0,751,1785,495,62,822,184,2471,1694,755,1050,167,216,918,492,1502,27,402,687,389,29,0,19,0,1141,1
8,4255,91,189,1930,5820,1837,226,2458,10082,4828,4,2207,203,30,1,871,1785,541,77,880,236,2517,1835,960,1110,230,259,1011,546,1551,55,560,927,522,45,0,25,0,1467,2
9,4146,98,211,1921,5673,1911,295,2417,9362,4832,6,2109,241,33,3,951,1776,602,85,944,280,2519,1997,1095,1206,301,300,1016,551,1539,86,759,1176,646,72,0,36,0,1822,8
10,3894,120,232,1907,5404,1964,343,2312,8919,4715,13,2119,261,54,3,989,1785,612,94,995,334,2609,2095,1297,1290,322,384,1100,569,1575,146,912,1398,761,98,0,56,0,2185,11
11,3798,137,259,1863,5177,2021,407,2217,8481,4652,11,2036,275,61,3,1051,1722,654,118,1085,385,2686,2138,1411,1450,354,453,1119,572,1560,194,1091,1626,897,129,0,79,0,2542,15
12,3623,144,287,1850,5097,2130,447,2160,8082,4606,8,2028,296,71,7,1105,1695,673,146,1089,428,2651,2149,1593,1528,398,507,1155,562,1514,254,1250,1883,1012,161,0,102,0,2866,24
13,3545,166,321,1769,4898,2175,489,2069,7798,4550,11,2005,326,77,6,1172,1699,655,140,1137,453,2683,2168,1694,1553,421,583,1202,621,1493,319,1425,2104,1133,198,0,120,0,3221,34
14,3363,188,335,1739,4770,2162,573,2047,7560,4464,22,1980,376,79,7,1245,1723,662,138,1149,490,2677,2165,1760,1610,453,640,1221,619,1487,399,1641,2343,1243,229,0,149,0,3530,47
15,3274,181,360,1736,4696,2246,646,1936,7379,4437,29,1942,368,85,7,1305,1668,678,160,1213,536,2628,2176,1815,1697,484,666,1210,607,1395,490,1818,2584,1356,271,0,172,0,3829,57
16,3183,204,363,3764,11094,2227,679,1875,21785,8641,27,4204,393,91,9,1338,3783,682,180,1194,564,5241,2165,1924,1748,524,704,1229,637,1375,576,2022,2789,1465,312,0,199,0,4112,66
17,8532,209,369,5260,16069,2776,740,2771,31791,12030,41,5949,414,103,12,1611,5091,842,171,1446,568,6831,2825,1968,2174,573,712,1467,876,1923,668,2208,2976,1581,352,0,234,0,4360,76
18,12214,229,394,4758,13952,3580,780,4127,26268,11109,42,5336,450,112,13,1875,4464,1129,174,1793,641,6149,3641,2163,2642,575,829,1820,1120,2657,809,2468,3301,1728,410,0,263,0,4743,89
19,10515,249,463,4632,13309,4083,845,4683,24087,10907,42,5079,495,109,12,2049,4273,1305,204,2039,767,6078,4109,2446,2898,699,893,2023,1302,3002,906,2758,3708,1937,457,0,297,0,5330,105
20,9868,295,549,4366,12492,4351,927,4888,21984,10667,36,4891,569,130,14,2296,4158,1364,215,2173,867,5920,4453,2792,3065,788,1020,2223,1380,3179,1017,3076,4214,2155,506,1,332,0,6001,121
21,9071,331,615,4204,11785,4544,1039,4973,20239,10520,46,4750,594,144,17,2439,3975,1381,243,2300,958,5911,4562,2986,3392,888,1121,2308,1392,3324,1170,3462,4708,2408,574,1,374,1,6706,135
22,8490,332,665,4087,11270,4670,1103,4919,18769,10093,49,4596,663,165,23,2619,3928,1447,291,2406,1005,5745,4639,3310,3493,984,1233,2426,1445,3300,1326,3826,5241,2640,666,1,419,1,7401,153
23,7861,361,725,3975,10725,4717,1185,4763,17423,9889,52,4435,735,169,28,2796,3829,1467,326,2439,1073,5693,4747,3657,3587,1071,1332,2485,1459,3201,1513,4236,5786,2887,745,1,470,1,8076,167
24,7540,406,736,3836,10177,4811,1278,4556,16155,9519,65,4294,819,167,29,2838,3790,1528,328,2459,1167,5690,4764,3913,3625,1128,1478,2502,1474,3150,1710,4672,6313,3121,846,1,506,2,8748,194
25,7002,450,733,3746,9755,4827,1371,4336,15079,9300,68,4190,831,187,32,2901,3799,1553,337,2539,1196,5627,4824,4031,3738,1174,1617,2468,1449,3069,1914,5087,6852,3360,945,1,565,3,9414,213
26,6857,466,789,3675,9166,4842,1449,4067,14321,8829,63,4085,846,221,26,2960,3784,1541,364,2546,1288,5573,4859,4175,3893,1218,1680,2548,1412,2998,2119,5495,7344,3601,1049,1,618,4,9825,234
27,6490,469,793,3579,8801,4748,1549,3900,13991,8612,72,3987,837,247,29,3037,3753,1544,394,2560,1312,5572,4739,4413,3961,1303,1774,2487,1431,2832,2347,5925,7821,3838,1163,1,681,5,9825,257
28,6322,482,812,3431,8374,4647,1625,3750,13550,8290,67,3906,850,266,36,3160,3666,1545,410,2628,1365,5528,4736,4676,4028,1374,1798,2395,1493,2678,2613,6366,8274,4074,1261,1,746,5,9825,274
29,6190,518,839,3364,7883,4557,1713,3622,13039,8048,65,3834,874,293,39,3195,3614,1525,401,2664,1379,5473,4685,4852,4123,1478,1858,2417,1517,2598,2844,6748,8718,4283,1373,2,816,6,9825,303
30,5859,481,865,3286,7592,4555,1796,3489,12691,7830,64,3733,899,302,45,3231,3653,1515,448,2607,1448,5381,4632,5013,4197,1451,1914,2382,1527,2496,3118,7128,9174,4484,1494,2,881,7,9825,328
31,17343,517,858,4089,3149,2377,1825,5357,3284,4115,78,1014,846,334,53,3623,3626,2142,428,3632,1474,5839,5445,5129,4289,1916,1990,3986,1580,3786,3364,7525,9637,4673,1608,2,942,8,9825,363
32,6301,566,943,4549,4776,1799,1879,4565,8600,4243,82,2012,1020,347,50,3751,4239,1938,478,3257,1621,6807,5459,5465,4376,1914,2159,3971,1572,3544,3717,8207,10184,4969,1728,2,1002,9,9825,393
33,11623,604,989,4383,2719,1880,1956,5206,3606,3079,84,1202,1037,322,62,3859,4113,2057,527,3476,1670,6502,5744,5606,4594,1954,2288,3927,1679,3804,4046,8852,10716,5238,1856,2,1055,9,9825,416
34,6206,628,1037,4404,3368,1750,2033,4617,6091,3247,102,1657,1102,367,55,3870,4358,1979,516,3368,1744,6842,5613,5871,4742,1916,2465,3661,1653,3417,4397,9495,11330,5519,1990,2,1122,11,9825,445
35,8706,664,1004,4193,2429,1668,2163,4641,3647,2683,113,1209,1153,359,59,3950,4294,2101,531,3382,1797,6665,5622,6008,4919,2020,2528,3476,1702,3302,4720,10076,11855,5789,2138,2,1192,13,9825,465
36,6045,685,1036,4060,2803,1667,2279,4180,4698,2766,113,1318,1179,376,66,4031,4313,1970,585,3316,1837,6494,5597,6203,5049,2034,2567,3329,1741,2965,5046,10578,12421,6060,2281,2,1274,13,9825,509
37,6906,705,1065,3940,2211,1607,2355,4144,3524,2504,119,1128,1187,385,67,4074,4142,1916,584,3341,1932,6237,5581,6326,5285,2066,2557,3136,1754,2867,5381,11094,12948,6287,2429,2,1374,13,9825,561
38,5712,727,1062,3796,2213,1549,2410,3833,3856,2395,122,1257,1180,393,76,4103,4156,1807,571,3345,1920,6126,5494,6436,5377,2045,2623,2953,1841,2587,5728,11620,13459,6529,2608,2,1456,13,9825,602
