cmc,hayano_t4_mean,hayano_t4_std,corridor_inland_pct_mean,corridor_inland_pct_std,L1_mean,L1_std
0.1,0.2875,0.04159219535304327,0.44600899651940057,0.06007182780116865,0.005720962667610913,0.006001450612388778
0.11,0.2875,0.037563721371361845,0.4390623209243213,0.051794205231726856,0.005633586355925523,0.00540320084680065
0.12000000000000001,0.32142857142857145,0.03340765523905304,0.41369503118728546,0.030268361225333443,0.0073688834899695455,0.00413484371387193
0.13,0.325,0.06846531968814575,0.4274917107547111,0.060492599798077355,0.010117633641677158,0.007274188418026037
0.14,0.3678571428571429,0.050270315215211595,0.4359851309230115,0.038359834801148504,0.010744115393604403,0.004093570077643732
0.15000000000000002,0.32142857142857145,0.05467611032998165,0.39645066273932256,0.045491175010601265,0.011310763476436825,0.004422817681460604
0.16,0.33571428571428574,0.022410536425019868,0.40479269580357125,0.023584082530326823,0.008536140967990487,0.0035580268445454155
0.17,0.31607142857142856,0.013540849007234918,0.42032598021774714,0.038008195771823454,0.005950278777904097,0.004361385234203799
0.18,0.39107142857142857,0.02131667211841666,0.36022458051082695,0.0882221747243744,0.02453487869191391,0.021495579889400963
0.19,0.38392857142857145,0.021870444131992677,0.3824421779300977,0.08945007078917672,0.02008826143524825,0.01022567007184082
0.2,0.35714285714285715,0.040425826509542045,0.38806546297416655,0.04103805635592652,0.013949713939532043,0.006760631904187362
0.21000000000000002,0.4196428571428571,0.02961272134245893,0.3741686912061358,0.11037109423530332,0.030522040566895996,0.020786486765384526
0.22,0.41785714285714287,0.04346664801656461,0.3148632938795727,0.0340720543051857,0.036906681767085205,0.014189556286162423
0.23,0.4035714285714286,0.04159219535304325,0.377169363982716,0.03913472136629291,0.022923875246872984,0.008208125240817423
0.24000000000000002,0.4321428571428571,0.019561519910898786,0.36290657081691235,0.04844436825302553,0.03104577261528193,0.010458906966465852
0.25,0.43392857142857144,0.04874051451412919,0.3627651948448105,0.029222896424476723,0.03254035549524907,0.013083376301666335
0.26,0.4267857142857142,0.05902319243228004,0.352319359595534,0.054038277427210166,0.03408805989700311,0.02249314366022565
0.27,0.41785714285714287,0.048658666405138246,0.35539706183380043,0.05371379975310857,0.030485571315549888,0.015256589965988953
0.28,0.4553571428571429,0.03458020844828052,0.33150616449615883,0.05955302318702539,0.04427606252955625,0.019435455364860212
0.29000000000000004,0.4375,0.03156726701725658,0.35559220809912057,0.04261293460817703,0.03394474977478078,0.013789431450001884
0.30000000000000004,0.5053571428571428,0.06140624594303358,0.3125193296651922,0.06496584774732297,0.06840047658580399,0.034943365901602255
0.31,0.4482142857142857,0.04865866640513825,0.31745701917130487,0.04452241469696395,0.0451663348485231,0.018324680879889376
0.32,0.4714285714285714,0.07013334602376957,0.30326609793715054,0.01439151643825832,0.05689234253148413,0.02195347157239885
0.33,0.4607142857142857,0.0381950886360847,0.32730789344649347,0.02682378152208683,0.045849103535459575,0.015451158281520374
0.33999999999999997,0.5071428571428571,0.019356681597034645,0.2917527283489939,0.03169029375875069,0.06965802655873579,0.01331448894893826
0.35,0.5339285714285714,0.04699177631050277,0.2998569624404301,0.0565376083126888,0.08199923711773004,0.03247805053924764
0.36,0.5178571428571429,0.05751829788716574,0.2963301740710379,0.03965241151171531,0.07575143937837084,0.029910333868799936
0.37,0.4892857142857142,0.03243911093675883,0.34471896715233147,0.02639278003584041,0.05231127014062777,0.008595539064081163
0.38,0.5464285714285715,0.054089754395932006,0.3182898663890389,0.06921032817220844,0.08532711885177414,0.037210565709993565
0.39,0.5339285714285714,0.051831875977499976,0.30832556388673676,0.03051644284245777,0.0796473459899266,0.024608131881623325
0.4,0.5357142857142858,0.04419417382415924,0.27687672346380215,0.04515291050109827,0.08749370241733227,0.0261889032708905
0.41000000000000003,0.5428571428571429,0.04253974731989856,0.30693613239245116,0.04962508473846079,0.0841104613724307,0.03043179038611079
0.42000000000000004,0.5821428571428571,0.021316672118416632,0.3365252033074372,0.0748104989485226,0.09903825705675735,0.016766346104715328
0.43000000000000005,0.5875,0.0478324829856388,0.32721194802867853,0.0685132488939602,0.10494784974390792,0.03579985270081625
0.44000000000000006,0.5625,0.01894036021035398,0.2483428189958481,0.038405584967598175,0.10668204737416101,0.016069490134029873
0.45000000000000007,0.6178571428571429,0.04699177631050276,0.28914391154333163,0.029807222686378757,0.1298023998964259,0.029790154268809873
0.45999999999999996,0.5553571428571429,0.024775780224127884,0.30091292871663716,0.04039446054940062,0.0903505992157262,0.019988069257731583
0.47,0.6017857142857143,0.0687557975292088,0.30267209440195725,0.026817654284616944,0.11875988901038843,0.047508673586721104
0.48,0.5839285714285715,0.0487405145141292,0.31426309146996245,0.03298972012412836,0.10411511029684686,0.018120279607192476
0.49,0.5982142857142858,0.0267857142857143,0.2822581599165136,0.03811317761126067,0.11834737678211038,0.022302113651359343
0.5,0.65,0.037563721371361825,0.2731754063094812,0.04031492787862783,0.15474013391980068,0.03209983402860123
