alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.5,1.0,1.0,0,0.11008192345850487,0.11315610556357528,0.020934540700314096
0.5,1.0,1.0,1,0.09900265959757999,0.11665625138466006,0.023912002380327292
0.5,1.0,1.0,2,0.12712981546433455,0.09666954262393578,0.017941219931768684
0.5,1.0,3.111111111111111,0,0.10339764966161634,0.11991050562234083,0.022397626796641357
0.5,1.0,3.111111111111111,1,0.10172906680447655,0.11522547852863846,0.023193536974233563
0.5,1.0,3.111111111111111,2,0.09941573689788645,0.11552197336814927,0.02386435461443316
0.5,1.0,5.222222222222222,0,0.10226930593940141,0.1144086691544441,0.023091100798983993
0.5,1.0,5.222222222222222,1,0.1035906727008071,0.11588402130275499,0.02259959112267307
0.5,1.0,5.222222222222222,2,0.0995157330564882,0.11443479679635568,0.02391039827644263
0.5,1.0,7.333333333333334,0,0.11119807752804617,0.10487636524703695,0.021302116095229095
0.5,1.0,7.333333333333334,1,0.09570865987401153,0.11738113058221178,0.024869808279968177
0.5,1.0,7.333333333333334,2,0.10231590594904275,0.11414423379905578,0.02309622760550876
0.5,1.0,9.444444444444445,0,0.09603970740820802,0.11318367763652507,0.0250592132873215
0.5,1.0,9.444444444444445,1,0.09818824037330594,0.11378376606390035,0.024358425961467436
0.5,1.0,9.444444444444445,2,0.09602569115266368,0.11503685642995468,0.02493050919331451
0.5,1.0,11.555555555555555,0,0.1131090012395898,0.10769983842329349,0.020528449211038108
0.5,1.0,11.555555555555555,1,0.10647980821455842,0.10604555448978258,0.0225300387302406
0.5,1.0,11.555555555555555,2,0.09915610688614988,0.1161956863572944,0.023896611710597045
0.5,1.0,13.666666666666668,0,0.10580847634463604,0.10881839532308059,0.02248712005782146
0.5,1.0,13.666666666666668,1,0.10737377757490701,0.11349278230463675,0.02167501626710874
0.5,1.0,13.666666666666668,2,0.0961616406181471,0.12027259552068055,0.024549959394377197
0.5,1.0,15.777777777777779,0,0.09634782412679294,0.11764461016660527,0.024655862401841897
0.5,1.0,15.777777777777779,1,0.10807042792038679,0.11398648872590911,0.021440976424991192
0.5,1.0,15.777777777777779,2,0.10148549313450056,0.108831544096092,0.023751400511014497
0.5,1.0,17.88888888888889,0,0.0968724609963665,0.10940722494983059,0.02509581658758296
0.5,1.0,17.88888888888889,1,0.10596532248136767,0.11317373480396567,0.02210216213618506
0.5,1.0,17.88888888888889,2,0.10586686847876682,0.11105029561844322,0.022291439073527767
0.5,1.0,20.0,0,0.10207928689863957,0.11366824019393967,0.023200534135020243
0.5,1.0,20.0,1,0.10316944599211451,0.1141185625540219,0.022846689143452212
0.5,1.0,20.0,2,0.10404782563074724,0.11863214936065183,0.022285979256845216
0.5,2.0,1.0,0,0.14823262771907247,0.06488383373312674,0.017601359820934907
0.5,2.0,1.0,1,0.15711190318029622,0.06199725516184571,0.016372681629835954
0.5,2.0,1.0,2,0.14829542557540246,0.0628152037844508,0.017945009150035343
0.5,2.0,3.111111111111111,0,0.1562987639786883,0.06187661966808964,0.016545651793044087
0.5,2.0,3.111111111111111,1,0.1620354183769514,0.06437384942626755,0.01506960528219348
0.5,2.0,3.111111111111111,2,0.1510838916340035,0.06518347739360411,0.01697823900131483
0.5,2.0,5.222222222222222,0,0.15239809486199088,0.058502755359342413,0.017897877663401274
0.5,2.0,5.222222222222222,1,0.14542249883386293,0.06727315134335524,0.017780185238812807
0.5,2.0,5.222222222222222,2,0.15809833824874509,0.06331257341514311,0.015960625360547022
0.5,2.0,7.333333333333334,0,0.1496266344686382,0.06523794203535632,0.017259418978493986
0.5,2.0,7.333333333333334,1,0.15908872023210457,0.06438948233185772,0.015594021524443853
0.5,2.0,7.333333333333334,2,0.15746651291472846,0.06476513425342213,0.015827428570997268
0.5,2.0,9.444444444444445,0,0.15213220329394286,0.06166725036658043,0.01738078028989851
0.5,2.0,9.444444444444445,1,0.15820029923683845,0.06012724131767259,0.01650429781337786
0.5,2.0,9.444444444444445,2,0.14424894865688354,0.06795781329134322,0.017914205260112552
0.5,2.0,11.555555555555555,0,0.1600173783882251,0.06943379699221118,0.014587785259220097
0.5,2.0,11.555555555555555,1,0.15410532212267108,0.06373814366799711,0.016636897103039783
0.5,2.0,11.555555555555555,2,0.14864767663749967,0.06142029074863292,0.018118658342033557
0.5,2.0,13.666666666666668,0,0.15920683805002828,0.06341499675974716,0.01574036104298839
0.5,2.0,13.666666666666668,1,0.1567496571544681,0.06623691347880056,0.015711881104367185
0.5,2.0,13.666666666666668,2,0.1594643653382818,0.0642175945932199,0.015555322220973285
0.5,2.0,15.777777777777779,0,0.15074898234411893,0.06311367072230575,0.017399998721079925
0.5,2.0,15.777777777777779,1,0.15996125314973536,0.06353061125016801,0.015583931125135609
0.5,2.0,15.777777777777779,2,0.15664605981079457,0.06584795366744728,0.015796525050805844
0.5,2.0,17.88888888888889,0,0.15073035731939236,0.06600680636582665,0.016909318534803257
0.5,2.0,17.88888888888889,1,0.1539319964057222,0.06413606104687995,0.0166016773271353
0.5,2.0,17.88888888888889,2,0.1565654403201749,0.0607264704327369,0.016699780023959797
0.5,2.0,20.0,0,0.16284687071866172,0.06079376752191849,0.015553419856463187
0.5,2.0,20.0,1,0.15292552956764865,0.0630098525318237,0.016990738566256512
0.5,2.0,20.0,2,0.14651443793897098,0.06328255206092764,0.01822917733215281
0.5,3.0,1.0,0,0.18337611062889017,0.03623965437763981,0.017380158871052723
0.5,3.0,1.0,1,0.18186232340147737,0.035242468792193025,0.017812033941155648
0.5,3.0,1.0,2,0.18427955479745853,0.03435711902867867,0.01769245283696745
0.5,3.0,3.111111111111111,0,0.182403882284977,0.036115024534568066,0.017539022766905277
0.5,3.0,3.111111111111111,1,0.1778880300201461,0.03709252297409648,0.017948234582730274
0.5,3.0,3.111111111111111,2,0.18975241263101683,0.03465786475824544,0.016933579945910455
0.5,3.0,5.222222222222222,0,0.1775324665764925,0.038373320937365035,0.017712058879039684
0.5,3.0,5.222222222222222,1,0.18253803613868946,0.033425983613359495,0.018140617864537495
0.5,3.0,5.222222222222222,2,0.172997726742538,0.03691087483653308,0.018718500317055135
0.5,3.0,7.333333333333334,0,0.1848066277530054,0.03688360230825861,0.0170454952116914
0.5,3.0,7.333333333333334,1,0.17675385506132815,0.03634964010826721,0.018281402051897305
0.5,3.0,7.333333333333334,2,0.17399608213486645,0.03601977891152274,0.01876808633022812
0.5,3.0,9.444444444444445,0,0.17262082765533532,0.03361078591592106,0.019533985467854877
0.5,3.0,9.444444444444445,1,0.17573537042226345,0.037148621952931365,0.018250668733440827
0.5,3.0,9.444444444444445,2,0.19148237200832408,0.03689051091701013,0.01621806930638718
0.5,3.0,11.555555555555555,0,0.17613064650677485,0.03510087802539689,0.01865848961604178
0.5,3.0,11.555555555555555,1,0.17438086340231396,0.038953452505621065,0.018049589530200853
0.5,3.0,11.555555555555555,2,0.1821728771564662,0.03742123611210241,0.017274496671758816
0.5,3.0,13.666666666666668,0,0.17767514079900334,0.03401320501969274,0.01868382186824782
0.5,3.0,13.666666666666668,1,0.1862681231189227,0.03547243653100051,0.017178314924930497
0.5,3.0,13.666666666666668,2,0.18375283715558158,0.034738982713518,0.017673788690849596
0.5,3.0,15.777777777777779,0,0.1755505232765118,0.03593441440735856,0.01855368240099342
0.5,3.0,15.777777777777779,1,0.17555684301647118,0.03460053249488976,0.01885882072213731
0.5,3.0,15.777777777777779,2,0.1836391591419988,0.03709857843941891,0.017150492189781003
0.5,3.0,17.88888888888889,0,0.17313624071117642,0.03465962623011721,0.01921143931338648
0.5,3.0,17.88888888888889,1,0.17594083515888453,0.035291319735950046,0.018642841224883556
0.5,3.0,17.88888888888889,2,0.17384533796732954,0.03639381734266617,0.018705897287281757
0.5,3.0,20.0,0,0.18336265434114174,0.037659463166123744,0.017060932052581662
0.5,3.0,20.0,1,0.1879824914745033,0.033855970931502236,0.017335606851974106
0.5,3.0,20.0,2,0.18298564281415108,0.03624654932277578,0.017430771610008222
0.5,4.0,1.0,0,0.2011716960105751,0.021273552905439076,0.018954701452072474
0.5,4.0,1.0,1,0.20435616682622404,0.022624882228870623,0.018307780134004567
0.5,4.0,1.0,2,0.19657280924949722,0.019585787226120536,0.019862331604921315
0.5,4.0,3.111111111111111,0,0.1974654354968975,0.021282568921254852,0.019328057531042143
0.5,4.0,3.111111111111111,1,0.2045091045916097,0.0209745188991527,0.018716996338362206
0.5,4.0,3.111111111111111,2,0.20752858619121414,0.023364350215970497,0.017840408787140497
0.5,4.0,5.222222222222222,0,0.2030317825136382,0.018521563252294666,0.01949259278346653
0.5,4.0,5.222222222222222,1,0.19817266913085688,0.020638549756518604,0.019420457034116347
0.5,4.0,5.222222222222222,2,0.1824304349639329,0.018102953373837834,0.021962477027867296
0.5,4.0,7.333333333333334,0,0.19680615363461257,0.017780949656766926,0.02031146256481084
0.5,4.0,7.333333333333334,1,0.19249425143321403,0.022872829499405348,0.019468228597713664
0.5,4.0,7.333333333333334,2,0.21223682606293065,0.019461351534499884,0.01846639604900077
0.5,4.0,9.444444444444445,0,0.19206607480590032,0.02020049027798656,0.0202042524124706
0.5,4.0,9.444444444444445,1,0.20414665018502137,0.02158818631127803,0.01859212358408184
0.5,4.0,9.444444444444445,2,0.19353323501720726,0.021225026500249086,0.0197714893474835
0.5,4.0,11.555555555555555,0,0.19840830967193718,0.01949227626795429,0.019693968464626694
0.5,4.0,11.555555555555555,1,0.1939823870820385,0.02139051152744304,0.01967837348219933
0.5,4.0,11.555555555555555,2,0.18560884891508728,0.01979696643121793,0.02109905028855345
0.5,4.0,13.666666666666668,0,0.19187414735951536,0.017973178406222458,0.020809696365338498
0.5,4.0,13.666666666666668,1,0.21336548446517237,0.02245945932238503,0.017608677244809887
0.5,4.0,13.666666666666668,2,0.18614805826016737,0.020875371025941006,0.020750240271635374
0.5,4.0,15.777777777777779,0,0.20407091780766737,0.023193730859133503,0.018189310484455913
0.5,4.0,15.777777777777779,1,0.2146964220976046,0.02151012347154585,0.017755990983007893
0.5,4.0,15.777777777777779,2,0.19701192882254576,0.020849497451379043,0.019487587995668305
0.5,4.0,17.88888888888889,0,0.19579803886038913,0.019980643981957348,0.019842885530726412
0.5,4.0,17.88888888888889,1,0.19613324742798335,0.021619274086263022,0.01938323781879292
0.5,4.0,17.88888888888889,2,0.19526286616488317,0.0218376667305454,0.01942173748955424
0.5,4.0,20.0,0,0.18899597011312844,0.017831968652283654,0.02118988017276925
0.5,4.0,20.0,1,0.197627736153195,0.020746251242150834,0.019449385588396553
0.5,4.0,20.0,2,0.21372038798191043,0.012849049794416229,0.020126593390477628
0.5,5.0,1.0,0,0.2035552494472891,0.022904260336210694,0.01831044189458924
0.5,5.0,1.0,1,0.20860038127225236,0.01264294685654846,0.020580888479055842
0.5,5.0,1.0,2,0.20355540685553575,0.01355708814160788,0.02077376842875177
0.5,5.0,3.111111111111111,0,0.21278091713538838,0.012761249386664375,0.020219734799192157
0.5,5.0,3.111111111111111,1,0.20009149641309049,0.012844661600950817,0.02130244558164225
0.5,5.0,3.111111111111111,2,0.20491810771876712,0.0109437617706181,0.021369014402163298
0.5,5.0,5.222222222222222,0,0.2057269341326011,0.013378908655511208,0.020625426961458193
0.5,5.0,5.222222222222222,1,0.21247912186046064,0.01112903862676893,0.0206929602090876
0.5,5.0,5.222222222222222,2,0.21569467769710415,0.013104249748824964,0.01991730157513765
0.5,5.0,7.333333333333334,0,0.202822486549388,0.011779492798869008,0.02133062638632058
0.5,5.0,7.333333333333334,1,0.20115085712768407,0.011857429692399342,0.021469608490550327
0.5,5.0,7.333333333333334,2,0.20782152194346976,0.013156277529858562,0.020505228390650294
0.5,5.0,9.444444444444445,0,0.2026140939015888,0.011812948487442028,0.021341085302501794
0.5,5.0,9.444444444444445,1,0.20934809201080068,0.009669421124637536,0.02134524899065665
0.5,5.0,9.444444444444445,2,0.19859624733190212,0.012049734963745768,0.02167262141193577
0.5,5.0,11.555555555555555,0,0.20493270719110435,0.010762849696259997,0.021418044905829024
0.5,5.0,11.555555555555555,1,0.20376936782145158,0.011948593091849055,0.021195462300948098
0.5,5.0,11.555555555555555,2,0.2051841146879707,0.012107555800821719,0.02102278974352446
0.5,5.0,13.666666666666668,0,0.20409877438702684,0.012747377293391694,0.02094520495261563
0.5,5.0,13.666666666666668,1,0.21255308263101372,0.010236419727630366,0.020936129990990794
0.5,5.0,13.666666666666668,2,0.2090308216736084,0.012803118196522885,0.020501457949336943
0.5,5.0,15.777777777777779,0,0.20175580279325755,0.010180169944820466,0.02187708744078234
0.5,5.0,15.777777777777779,1,0.20129140077445232,0.011423169657398946,0.02157606554631706
0.5,5.0,15.777777777777779,2,0.2052151100659424,0.012862902144887126,0.020812269974528456
0.5,5.0,17.88888888888889,0,0.20443291074633976,0.012839427624976672,0.02088938223729505
0.5,5.0,17.88888888888889,1,0.19617771681117854,0.011124897840848169,0.02218313216737255
0.5,5.0,17.88888888888889,2,0.20284917508279565,0.01288269393765106,0.021024355912168727
0.5,5.0,20.0,0,0.207803278956393,0.013393624694671681,0.0204418650408922
0.5,5.0,20.0,1,0.20749200234924509,0.012272427738657124,0.020775814025280004
0.5,5.0,20.0,2,0.2103635551746147,0.01085422107355033,0.02093259555144422
0.5,6.0,1.0,0,0.209836924366266,0.007129184987312052,0.022025142426750736
0.5,6.0,1.0,1,0.21079956451796936,0.006685013440818824,0.022075859514439126
0.5,6.0,1.0,2,0.2084081918365231,0.007503122472019466,0.022035238611531744
0.5,6.0,3.111111111111111,0,0.21620877003238248,0.007083012134970313,0.021567112643137456
0.5,6.0,3.111111111111111,1,0.21103622654661175,0.0077087478789274145,0.021764976071909605
0.5,6.0,3.111111111111111,2,0.21198195410188736,0.00695904742615406,0.021906085927144242
0.5,6.0,5.222222222222222,0,0.21681122168535813,0.006898700523671049,0.021579476917832425
0.5,6.0,5.222222222222222,1,0.2026959964598074,0.007060063327407423,0.02266949424689533
0.5,6.0,5.222222222222222,2,0.21110786727501615,0.007523482468218042,0.02181215603588193
0.5,6.0,7.333333333333334,0,0.2040508379080405,0.006868832599328652,0.02259785657843217
0.5,6.0,7.333333333333334,1,0.20194920903518024,0.0070496375381286,0.022743684640325217
0.5,6.0,7.333333333333334,2,0.2066011858223053,0.006675915286220035,0.02242525033107285
0.5,6.0,9.444444444444445,0,0.210427604318817,0.007126790307841518,0.021978728547687596
0.5,6.0,9.444444444444445,1,0.2152121257008149,0.007246792985744039,0.021588674311110917
0.5,6.0,9.444444444444445,2,0.20145211028851948,0.007440528645121866,0.022680100468420394
0.5,6.0,11.555555555555555,0,0.2155596427139649,0.0073373545839348926,0.021538768607099672
0.5,6.0,11.555555555555555,1,0.20536755672780121,0.007578246417431254,0.02227601088597997
0.5,6.0,11.555555555555555,2,0.20969971713468896,0.007337032939572466,0.021976834969508714
0.5,6.0,13.666666666666668,0,0.2074917973225338,0.006782696853135511,0.022318143215529423
0.5,6.0,13.666666666666668,1,0.21330895091414348,0.007052700196867799,0.02178016360402729
0.5,6.0,13.666666666666668,2,0.20822137539411312,0.007102971858907144,0.022165014125515897
0.5,6.0,15.777777777777779,0,0.20998355670555874,0.0066161256659812775,0.022160251152970906
0.5,6.0,15.777777777777779,1,0.19855464038607226,0.007777417967316245,0.022873887865849808
0.5,6.0,15.777777777777779,2,0.2195089260367497,0.0069790380798181945,0.021384701140006488
0.5,6.0,17.88888888888889,0,0.2084754449447637,0.006894833541616072,0.022203377339617122
0.5,6.0,17.88888888888889,1,0.21461829527447393,0.007638885448326428,0.02151855196567904
0.5,6.0,17.88888888888889,2,0.21131740564938,0.006306752906505258,0.02214409236596675
0.5,6.0,20.0,0,0.1916480146920209,0.006469725922892277,0.02400589376603227
0.5,6.0,20.0,1,0.21056972575958763,0.003800671014864006,0.022928990322378152
0.5,6.0,20.0,2,0.22588530195934187,0.007472668298450465,0.020895558943555645
0.5,7.0,1.0,0,0.20812643726035607,0.006741824839742845,0.02227630000675782
0.5,7.0,1.0,1,0.20232473681324326,0.004619973037628459,0.0234082829595064
0.5,7.0,1.0,2,0.2169420324947308,0.004165906636373682,0.022360412002770315
0.5,7.0,3.111111111111111,0,0.2195262526515085,0.004620022602434326,0.0220639871055764
0.5,7.0,3.111111111111111,1,0.20936917025748203,0.004201557563425921,0.02290805014249649
0.5,7.0,3.111111111111111,2,0.22037240675282205,0.004373977042536562,0.022084732844027892
