cmc,rep,hayano_t4,corridor_inland_pct,L1
0.1,0,0.32142857142857145,0.49473684210526314,0.0007782972468765924
0.1,1,0.23214285714285715,0.43157894736842106,0.008513733110972919
0.1,2,0.29464285714285715,0.5048543689320388,0.00014339404981523207
0.1,3,0.25892857142857145,0.4444444444444444,0.00454118323255228
0.1,4,0.33035714285714285,0.35443037974683544,0.014628205697837543
0.11,0,0.33035714285714285,0.37777777777777777,0.011035136369362564
0.11,1,0.2767857142857143,0.43209876543209874,0.00440221658050509
0.11,2,0.23214285714285715,0.4020618556701031,0.011559294780724488
0.11,3,0.2857142857142857,0.49473684210526314,0.0005231952060602644
0.11,4,0.3125,0.48863636363636365,0.0006480888429752071
0.12000000000000001,0,0.29464285714285715,0.4444444444444444,0.002883019967246161
0.12000000000000001,1,0.3392857142857143,0.4418604651162791,0.004596260802860899
0.12000000000000001,2,0.2767857142857143,0.4157303370786517,0.005974984364090288
0.12000000000000001,3,0.3482142857142857,0.37755102040816324,0.01247047324031654
0.12000000000000001,4,0.3482142857142857,0.3888888888888889,0.01091967907533384
0.13,0,0.22321428571428573,0.3804347826086957,0.015635270871108362
0.13,1,0.36607142857142855,0.35106382978723405,0.018635148476547705
0.13,2,0.38392857142857145,0.449438202247191,0.009533488753094984
0.13,3,0.2857142857142857,0.5,0.0004040816326530617
0.13,4,0.36607142857142855,0.45652173913043476,0.006380178474981677
0.14,0,0.39285714285714285,0.44680851063829785,0.011300946037083918
0.14,1,0.3392857142857143,0.43617021276595747,0.005057083960791199
0.14,2,0.39285714285714285,0.47191011235955055,0.009778767626227366
0.14,3,0.29464285714285715,0.37142857142857144,0.01106543367346939
0.14,4,0.41964285714285715,0.4536082474226804,0.01651834567045014
0.15000000000000002,0,0.30357142857142855,0.36082474226804123,0.01268113643905857
0.15000000000000002,1,0.26785714285714285,0.36904761904761907,0.012426473922902494
0.15000000000000002,2,0.2767857142857143,0.41836734693877553,0.0057035011453561
0.15000000000000002,3,0.38392857142857145,0.4666666666666667,0.008466227324263045
0.15000000000000002,4,0.375,0.3673469387755102,0.017276478550603915
0.16,0,0.36607142857142855,0.38144329896907214,0.01396441337375635
0.16,1,0.3392857142857143,0.42391304347826086,0.006159718953744073
0.16,2,0.30357142857142855,0.3804347826086957,0.009751980054781836
0.16,3,0.33035714285714285,0.43157894736842106,0.0048306973966872075
0.16,4,0.3392857142857143,0.4065934065934066,0.007973895060982977
0.17,0,0.29464285714285715,0.4574468085106383,0.0019851498623442146
0.17,1,0.32142857142857145,0.41346153846153844,0.0061344055669605175
0.17,2,0.32142857142857145,0.36,0.013259183673469396
0.17,3,0.33035714285714285,0.44680851063829785,0.0036000531799410605
0.17,4,0.3125,0.42391304347826086,0.004772601606805296
0.18,0,0.39285714285714285,0.3979591836734694,0.01606942940441483
0.18,1,0.375,0.35789473684210527,0.018764058171745156
0.18,2,0.41964285714285715,0.21052631578947367,0.06220139387472442
0.18,3,0.36607142857142855,0.4368932038834951,0.007818803453844543
0.18,4,0.4017857142857143,0.3978494623655914,0.01782070855484061
0.19,0,0.41964285714285715,0.4606741573033708,0.016074191071138725
0.19,1,0.38392857142857145,0.3956043956043956,0.014781138298514681
0.19,2,0.36607142857142855,0.2903225806451613,0.030741292154218607
0.19,3,0.38392857142857145,0.47560975609756095,0.008029251978899836
0.19,4,0.36607142857142855,0.29,0.030815433673469395
0.2,0,0.3125,0.4339622641509434,0.0038574959950160204
0.2,1,0.32142857142857145,0.37362637362637363,0.011171802922352377
0.2,2,0.4017857142857143,0.41935483870967744,0.01542505587823059
0.2,3,0.39285714285714285,0.3838383838383838,0.01789244183746349
