Day,Al-Anbar sim,Al-Anbar data,Al-Anbar error,Babil sim,Babil data,Babil error,Baghdad sim,Baghdad data,Baghdad error,Al-Basrah sim,Al-Basrah data,Al-Basrah error,Thi Qar sim,Thi Qar data,Thi Qar error,Al-Qadisiyah sim,Al-Qadisiyah data,Al-Qadisiyah error,Diyala sim,Diyala data,Diyala error,Dohuk sim,Dohuk data,Dohuk error,Arbil sim,Arbil data,Arbil error,Halabja sim,Halabja data,Halabja error,Karbala sim,Karbala data,Karbala error,Kirkuk sim,Kirkuk data,Kirkuk error,Misan sim,Misan data,Misan error,Al-Muthanna sim,Al-Muthanna data,Al-Muthanna error,Al-Najaf sim,Al-Najaf data,Al-Najaf error,Nineveh sim,Nineveh data,Nineveh error,Salah Al-Din sim,Salah Al-Din data,Salah Al-Din error,Al-Sulaimaniyah sim,Al-Sulaimaniyah data,Al-Sulaimaniyah error,Wasit sim,Wasit data,Wasit error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,3750,52697.0,0.928838453802,3862,235.0,15.4340425532,12158,9433.0,0.288879465706,50,50.0,0.0,27,27.0,0.0,1940,40.0,47.5,2954,120.0,23.6166666667,7024,520.0,12.5076923077,1293,3328.0,0.611478365385,394,0.0,0.0,10843,600.0,17.0716666667,995,2665.0,0.626641651032,6,6.0,0.0,3,0.0,0.0,11796,138.0,84.4782608696,4112,311.0,12.2218649518,4211,5540.0,0.239891696751,15671,4067.0,2.85320875338,3460,33.0,103.848484848,112701.0,79810,84549,0,84549,0
1,2546,52763,0.951746489017,2490,260,8.57692307692,4003,9621,0.583930984305,50,54,0.0740740740741,31,30,0.0333333333333,3229,49,64.8979591837,1973,181,9.90055248619,10982,723,14.1894882434,933,3432,0.728146853147,748,0,0.0,13885,629,21.0747217806,350,2827,0.876193845065,7,9,0.222222222222,5,1,4.0,15116,175,85.3771428571,1340,395,2.39240506329,2648,5586,0.525957751522,22750,4134,4.50314465409,6202,48,128.208333333,135881.0,80917,89288,0,89288,0
2,1174,52830,0.977777777778,1223,286,3.27622377622,2587,9809,0.736262615965,50,59,0.152542372881,37,34,0.0882352941176,3945,59,65.8644067797,947,243,2.89711934156,13082,927,13.1121898598,476,3536,0.865384615385,962,0,0.0,15705,659,22.8315629742,213,2989,0.928738708598,7,12,0.416666666667,9,3,2.0,17047,213,79.0328638498,746,480,0.554166666667,1245,5632,0.778941761364,26895,4201,5.40204713164,7677,63,120.857142857,150222.0,82035,94027,0,94027,0
3,756,52897,0.985708074182,757,312,1.42628205128,1639,9998,0.836067213443,50,64,0.21875,44,38,0.157894736842,4398,68,63.6764705882,592,305,0.940983606557,14537,1130,11.8646017699,312,3640,0.914285714286,1084,0,0.0,16798,688,23.4156976744,144,3152,0.954314720812,8,16,0.5,9,5,0.8,18249,250,71.996,510,565,0.0973451327434,838,5679,0.85243880965,29474,4268,5.90581068416,8567,78,108.833333333,159121.0,83153,98766,0,98766,0
4,616,52963,0.988369238903,622,338,0.840236686391,1268,10186,0.875515413312,50,69,0.275362318841,47,42,0.119047619048,4712,78,59.4102564103,442,366,0.207650273224,15711,1334,10.7773613193,237,3744,0.936698717949,1182,0,0.0,17623,718,23.5445682451,98,3314,0.970428485214,10,19,0.473684210526,14,7,1.0,19219,288,65.7326388889,395,650,0.392307692308,633,5725,0.88943231441,31459,4335,6.25697808535,9167,94,96.5212765957,165961.0,84270,103505,0,103505,0
5,513,53030,0.990326230436,513,364,0.409340659341,1077,10375,0.896192771084,50,74,0.324324324324,48,46,0.0434782608696,4995,88,55.7613636364,419,428,0.0210280373832,16767,1537,9.90891346779,217,3848,0.943607068607,1266,0,0.0,18349,747,23.5635876841,75,3477,0.978429680759,10,22,0.545454545455,18,8,1.25,20054,325,60.7046153846,336,735,0.542857142857,545,5771,0.90556229423,33270,4402,6.55792821445,9722,109,88.1926605505,171894.0,85386,108244,0,108244,0
6,453,53097,0.991468444545,470,390,0.205128205128,1029,10563,0.902584493042,50,79,0.367088607595,52,50,0.04,5240,97,53.0206185567,368,490,0.248979591837,17733,1741,9.18552556002,230,3952,0.941801619433,1350,0,0.0,18988,777,23.4375804376,97,3639,0.973344325364,14,26,0.461538461538,20,10,1.0,20861,363,56.4683195592,292,820,0.643902439024,510,5818,0.912341010657,34981,4469,6.82747818304,10245,124,81.6209677419,177360.0,86505,112983,0,112983,0
7,449,53164,0.991554435332,456,416,0.0961538461538,945,10752,0.912109375,50,84,0.404761904762,57,54,0.0555555555556,5478,107,50.1962616822,341,551,0.38112522686,18749,1944,8.6445473251,189,4056,0.953402366864,1421,0,0.0,19638,806,23.364764268,74,3802,0.980536559705,15,29,0.48275862069,23,12,0.916666666667,21623,400,53.0575,321,905,0.645303867403,470,5864,0.919849931787,36682,4536,7.08686067019,10741,140,75.7214285714,182806.0,87622,117722,0,117722,0
8,446,53230,0.991621266203,412,442,0.0678733031674,961,10940,0.912157221207,50,89,0.438202247191,62,57,0.0877192982456,5699,117,47.7094017094,349,613,0.430668841762,19693,2148,8.16806331471,211,4161,0.949291035809,1496,0,0.0,20300,836,23.2822966507,86,3964,0.978304742684,19,33,0.424242424242,31,14,1.21428571429,22334,438,49.9908675799,341,990,0.655555555556,511,5911,0.913551006598,38275,4603,7.31522919835,11185,155,71.1612903226,187694.0,88741,122461,0,122461,0
9,438,53297,0.99178190142,450,468,0.0384615384615,947,11128,0.914899352983,50,94,0.468085106383,66,61,0.0819672131148,5926,126,46.0317460317,364,675,0.460740740741,20678,2351,7.79540621012,165,4265,0.961313012896,1557,0,0.0,20968,865,23.2404624277,69,4127,0.983280833535,20,36,0.444444444444,35,16,1.1875,23037,475,47.4989473684,334,1075,0.689302325581,495,5957,0.916904482122,39952,4671,7.55320059944,11649,170,67.5235294118,192923.0,89857,127200,0,127200,0
10,474,53364,0.991117607376,441,494,0.107287449393,996,11317,0.911990810285,50,99,0.494949494949,68,65,0.0461538461538,6158,136,44.2794117647,346,736,0.529891304348,21641,2555,7.47005870841,209,4369,0.952162966354,1638,0,0.0,21588,895,23.1206703911,68,4289,0.984145488459,21,39,0.461538461538,39,17,1.29411764706,23776,513,45.3469785575,303,1159,0.738567730802,496,6003,0.91737464601,41507,4738,7.76044744618,12120,186,64.1612903226,197895.0,90974,131939,0,131939,0
11,458,53431,0.991428197114,395,520,0.240384615385,940,11505,0.918296392873,50,103,0.514563106796,73,69,0.0579710144928,6396,145,43.1103448276,312,798,0.609022556391,22610,2759,7.19499818775,207,4473,0.953722334004,1719,0,0.0,22255,925,23.0594594595,100,4452,0.977538185085,22,43,0.488372093023,43,19,1.26315789474,24538,551,43.5335753176,334,1244,0.731511254019,496,6050,0.918016528926,43148,4805,7.97981269511,12583,201,61.6019900498,203196.0,92093,136679,0,136679,0
12,455,53497,0.991494850179,429,546,0.214285714286,928,11694,0.92064306482,50,108,0.537037037037,76,73,0.041095890411,6576,155,41.4258064516,350,860,0.593023255814,23563,2962,6.95509790682,176,4577,0.961546864759,1799,0,0.0,22912,954,23.0167714885,75,4614,0.983745123537,24,46,0.478260869565,46,21,1.19047619048,25304,588,42.0340136054,341,1329,0.743416102333,480,6096,0.92125984252,44776,4872,8.19047619048,13058,216,59.4537037037,208328.0,93208,141418,0,141418,0
13,461,53564,0.991393473228,419,572,0.267482517483,954,11882,0.91971048645,51,113,0.548672566372,78,77,0.012987012987,6763,165,39.9878787879,342,921,0.628664495114,24498,3166,6.73783954517,187,4681,0.960051271096,1870,0,0.0,23582,984,22.9654471545,80,4777,0.983253087712,29,50,0.42,46,23,1.0,26040,626,40.5974440895,323,1414,0.771570014144,486,6143,0.920885560801,46426,4939,8.39987851792,13522,232,57.2844827586,213398.0,94329,146157,0,146157,0
14,435,53631,0.99188901941,450,598,0.247491638796,1003,12071,0.916908292602,50,118,0.576271186441,84,81,0.037037037037,6970,174,39.0574712644,362,983,0.631739572737,25436,3369,6.5500148412,191,4785,0.960083594566,1947,0,0.0,24207,1013,22.8963474827,76,4939,0.98461226969,30,53,0.433962264151,53,24,1.20833333333,26771,663,39.3785822021,325,1499,0.783188792528,474,6189,0.923412506059,48021,5006,8.59268877347,14011,247,55.7246963563,218393.0,95443,150896,0,150896,0
15,440,53697,0.991805873699,409,624,0.344551282051,1005,12259,0.918019414308,50,123,0.593495934959,91,84,0.0833333333333,7180,184,38.0217391304,327,1045,0.687081339713,26383,3573,6.38399104394,214,4889,0.956228267539,2000,0,0.0,24882,1043,22.8561840844,76,5102,0.985103880831,33,56,0.410714285714,60,26,1.30769230769,27540,701,38.2867332382,325,1584,0.794823232323,493,6235,0.920930232558,49622,5073,8.78158880347,14505,262,54.3625954198,223559.0,96560,155635,0,155635,0
16,438,53764,0.991853284726,455,650,0.3,975,12448,0.921674164524,50,128,0.609375,96,88,0.0909090909091,7373,194,37.0051546392,362,1106,0.672694394213,27415,3776,6.26032838983,155,4994,0.968962755306,2064,0,0.0,25502,1072,22.7891791045,71,5264,0.986512158055,35,60,0.416666666667,66,28,1.35714285714,28327,738,37.3834688347,350,1669,0.790293588975,477,6282,0.924068767908,51200,5140,8.96108949416,14963,278,52.8237410072,228689.0,97679,160374,0,160374,0
17,473,53831,0.991213241441,401,675,0.405925925926,1020,12636,0.919278252612,50,133,0.624060150376,104,92,0.130434782609,7601,203,36.4433497537,354,1168,0.696917808219,28368,3980,6.12763819095,182,5098,0.964299725383,2139,0,0.0,26171,1102,22.7486388385,90,5426,0.983413195724,37,63,0.412698412698,69,30,1.3,29040,776,36.4226804124,320,1754,0.81755986317,517,6328,0.918299620733,52759,5207,9.1323218744,15418,293,51.6211604096,233654.0,98795,165113,0,165113,0
18,498,53898,0.990760325058,431,701,0.385164051355,982,12824,0.923424828447,50,138,0.63768115942,108,96,0.125,7828,213,35.7511737089,372,1230,0.69756097561,29332,4183,6.01219220655,189,5202,0.963667820069,2205,0,0.0,26860,1131,22.7488947834,81,5589,0.985507246377,39,67,0.417910447761,73,32,1.28125,29738,813,35.5781057811,345,1839,0.812398042414,490,6375,0.923137254902,54346,5275,9.30255924171,15885,308,50.5746753247,238710.0,99914,169852,0,169852,0
19,483,53964,0.991049588615,438,727,0.397524071527,1018,13013,0.921770537155,50,143,0.65034965035,117,100,0.17,8057,223,35.130044843,362,1292,0.719814241486,30353,4387,5.91885115113,188,5306,0.964568413117,2287,0,0.0,27486,1161,22.6744186047,80,5751,0.986089375761,42,70,0.4,77,33,1.33333333333,30460,851,34.7931844888,304,1923,0.841913676547,456,6421,0.928983024451,55926,5342,9.46911269188,16407,323,49.7956656347,243939.0,101030,174591,0,174591,0
20,429,54031,0.992060113638,465,753,0.382470119522,967,13201,0.926747973638,50,148,0.662162162162,124,104,0.192307692308,8292,232,34.7413793103,390,1353,0.711751662971,31307,4591,5.81921150076,195,5410,0.963955637708,2368,0,0.0,28120,1191,22.610411419,75,5914,0.987318227934,45,73,0.383561643836,83,35,1.37142857143,31181,888,34.1137387387,315,2008,0.84312749004,458,6467,0.929178908304,57567,5409,9.64281752634,16899,339,48.8495575221,249121.0,102147,179330,0,179330,0
21,474,54098,0.991238123406,408,779,0.476251604621,990,13390,0.926064227035,50,152,0.671052631579,132,108,0.222222222222,8537,242,34.2768595041,329,1415,0.767491166078,32268,4794,5.73091364205,198,5514,0.9640914037,2437,0,0.0,28822,1220,22.6245901639,88,6076,0.98551678736,49,77,0.363636363636,90,37,1.43243243243,31883,926,33.4308855292,313,2093,0.850453893932,447,6514,0.931378569235,59177,5476,9.80661066472,17377,354,48.0875706215,254328.0,103265,184069,0,184069,0
22,451,54165,0.991673589957,453,805,0.437267080745,978,13578,0.927971718957,50,157,0.68152866242,138,111,0.243243243243,8759,251,33.8964143426,340,1477,0.76980365606,33215,4998,5.64565826331,188,5618,0.966536133855,2503,0,0.0,29489,1250,22.5912,78,6239,0.987497996474,53,80,0.3375,95,39,1.4358974359,32609,964,32.8267634855,302,2178,0.861340679522,504,6560,0.923170731707,60787,5543,9.96644416381,17817,369,47.2845528455,259347.0,104382,188809,0,188809,0
23,443,54231,0.991831240434,445,831,0.464500601685,995,13767,0.927725720927,50,162,0.691358024691,147,115,0.278260869565,8989,261,33.4406130268,359,1538,0.766579973992,34153,5201,5.5666218035,183,5723,0.96802376376,2575,0,0.0,30079,1279,22.5175918686,89,6401,0.986095922512,56,84,0.333333333333,100,41,1.43902439024,33361,1001,32.3276723277,319,2263,0.859036676977,482,6607,0.927047071288,62406,5610,10.1240641711,18317,385,46.5766233766,264420.0,105500,193548,0,193548,0
24,414,54298,0.992375409776,439,857,0.487747957993,1024,13955,0.926621282694,50,167,0.700598802395,155,119,0.302521008403,9234,271,33.073800738,377,1600,0.764375,35094,5405,5.49287696577,190,5827,0.967393169727,2644,0,0.0,30759,1309,22.4980901451,85,6564,0.987050578915,58,87,0.333333333333,108,42,1.57142857143,34099,1039,31.8190567854,290,2348,0.876490630324,429,6653,0.935517811514,64038,5677,10.2802536551,18800,400,46.0,269669.0,106618,198287,0,198287,0
25,438,54365,0.991943345903,446,883,0.494903737259,979,14143,0.930778476985,50,172,0.709302325581,168,123,0.365853658537,9456,280,32.7714285714,362,1662,0.782190132371,36070,5608,5.43188302425,183,5931,0.969145169449,2716,0,0.0,31412,1338,22.4768310912,90,6726,0.986619090098,61,90,0.322222222222,122,44,1.77272727273,34791,1076,31.3336431227,313,2433,0.871352240033,472,6699,0.929541722645,65618,5744,10.4237465181,19279,415,45.4554216867,274714.0,107732,203026,0,203026,0
26,456,54432,0.991622574956,434,909,0.522552255226,1014,14332,0.929249232487,50,177,0.717514124294,177,127,0.393700787402,9674,290,32.3586206897,364,1723,0.788740568775,37001,5812,5.36631108052,205,6035,0.966031483016,2780,0,0.0,32041,1368,22.4217836257,92,6889,0.986645376687,63,94,0.329787234043,128,46,1.78260869565,35558,1114,30.9192100539,311,2518,0.876489277204,426,6746,0.936851467536,67221,5811,10.5678884874,19770,431,44.8700696056,279791.0,108854,207765,0,207765,0
27,448,54498,0.991779514845,456,935,0.512299465241,963,14520,0.93367768595,50,182,0.725274725275,182,131,0.389312977099,9917,300,32.0566666667,315,1785,0.823529411765,37977,6015,5.31371571072,196,6139,0.968072976055,2872,0,0.0,32709,1397,22.4137437366,74,7051,0.989505034747,69,97,0.288659793814,136,48,1.83333333333,36293,1151,30.5317115552,322,2603,0.876296580868,475,6792,0.930064782097,68797,5879,10.7021602313,20253,446,44.4103139013,285003.0,109969,212504,0,212504,0
28,449,54565,0.991771281957,414,961,0.569198751301,959,14709,0.934801822014,50,187,0.732620320856,191,135,0.414814814815,10115,309,31.7346278317,339,1847,0.816459122902,38898,6219,5.25470332851,163,6243,0.973890757649,2937,0,0.0,33391,1427,22.3994393833,85,7214,0.988217355143,73,101,0.277227722772,142,49,1.89795918367,37117,1189,30.2169890664,321,2687,0.880535913658,482,6839,0.929521859921,70368,5946,10.8345105954,20749,461,44.0086767896,290191.0,111088,217243,0,217243,0
29,465,54632,0.991488504906,432,987,0.562310030395,1011,14897,0.932133986709,49,192,0.744791666667,207,138,0.5,10340,319,31.4137931034,324,1908,0.830188679245,39877,6423,5.20846956251,213,6347,0.966440838191,3013,0,0.0,34011,1457,22.3431708991,84,7376,0.988611713666,76,104,0.269230769231,150,51,1.94117647059,37808,1226,29.8384991843,323,2772,0.883477633478,488,6885,0.929121278141,71909,6013,10.9589223349,21202,477,43.4486373166,295048.0,112204,221982,0,221982,0
30,298,54698,0.994551903177,319,1013,0.685093780849,572,15086,0.962084051438,49,197,0.751269035533,214,142,0.507042253521,10498,329,30.9088145897,250,1970,0.873096446701,40626,6626,5.13130093571,145,6451,0.977522864672,3053,0,0.0,34380,1486,22.135935397,39,7539,0.994826900119,79,107,0.261682242991,156,53,1.94339622642,38164,1264,29.1930379747,166,2857,0.941897094855,363,6931,0.947626605107,72876,6080,10.9861842105,21519,492,42.737804878,299583.0,113321,223766,0,223766,0
31,217,54765,0.996037615265,200,1039,0.807507218479,436,15274,0.971454759722,49,201,0.756218905473,226,146,0.547945205479,10618,338,30.4142011834,178,2032,0.912401574803,41255,6830,5.04026354319,110,6556,0.98322147651,3089,0,0.0,34656,1516,21.8601583113,44,7701,0.994286456304,84,111,0.243243243243,159,55,1.89090909091,38459,1301,28.5611068409,138,2942,0.953093133923,270,6978,0.961306964746,73635,6147,10.9790141532,21728,507,41.8560157791,302858.0,114439,225551,0,225551,0
32,224,54832,0.995914794281,198,1065,0.814084507042,344,15463,0.977753346699,49,206,0.76213592233,237,150,0.58,10704,348,29.7586206897,141,2093,0.932632584806,41830,7033,4.94767524527,102,6660,0.984684684685,3113,0,0.0,34852,1545,21.5579288026,30,7864,0.996185147508,86,114,0.245614035088,165,57,1.89473684211,38702,1339,27.9036594473,109,3027,0.963990749917,241,7024,0.965689066059,74286,6214,10.9546186032,21923,523,40.9177820268,305427.0,115557,227336,0,227336,0
33,201,54899,0.996338731124,177,1091,0.837763519707,309,15651,0.980256852597,49,211,0.767772511848,255,154,0.655844155844,10790,357,29.2240896359,154,2155,0.928538283063,42416,7237,4.86099212381,100,6764,0.98521584861,3157,0,0.0,35055,1575,21.2571428571,28,8026,0.996511338151,94,118,0.203389830508,170,58,1.93103448276,38926,1377,27.2687000726,116,3112,0.962724935733,198,7071,0.971998302927,74884,6281,10.9223053654,22042,538,39.970260223,307790.0,116675,229121,0,229121,0
34,203,54965,0.996306740653,152,1116,0.863799283154,322,15839,0.97967043374,49,216,0.773148148148,269,158,0.70253164557,10864,367,28.6021798365,132,2217,0.940460081191,43017,7440,4.78185483871,95,6868,0.986167734421,3192,0,0.0,35221,1604,20.9582294264,38,8188,0.995359062042,95,121,0.214876033058,176,60,1.93333333333,39123,1414,26.6683168317,109,3197,0.96590553644,194,7117,0.972741323591,75466,6348,10.8881537492,22189,553,39.1247739602,310028.0,117788,230906,0,230906,0
35,179,55032,0.996747346998,179,1142,0.843257443082,302,16028,0.981157973546,48,221,0.782805429864,281,162,0.734567901235,10963,377,28.0795755968,152,2278,0.933274802458,43565,7644,4.69924123496,87,6972,0.98752151463,3209,0,0.0,35403,1634,20.6664626683,24,8351,0.997126092684,99,124,0.201612903226,186,62,2.0,39317,1452,26.0778236915,112,3282,0.965874466789,213,7163,0.970263855926,76059,6415,10.8564302416,22313,568,38.2834507042,312180.0,118907,232691,0,232691,0
36,174,55099,0.99684204795,158,1168,0.864726027397,301,16216,0.981438085841,48,226,0.787610619469,290,165,0.757575757576,11070,386,27.6787564767,143,2340,0.938888888889,44194,7847,4.63196125908,77,7076,0.989118145845,3239,0,0.0,35582,1663,20.396271798,31,8513,0.996358510513,104,128,0.1875,193,64,2.015625,39483,1489,25.516453996,95,3367,0.971784971785,169,7210,0.976560332871,76655,6483,10.824001234,22469,584,37.4743150685,314537.0,120024,234475,0,234475,0
37,178,55166,0.996773374905,166,1194,0.860971524288,317,16405,0.980676622981,49,231,0.787878787879,300,169,0.775147928994,11155,396,27.1691919192,135,2402,0.94379683597,44771,8051,4.56092410881,88,7180,0.987743732591,3257,0,0.0,35740,1693,20.1104548139,34,8676,0.996081143384,108,131,0.175572519084,199,66,2.01515151515,39661,1527,24.9731499673,101,3451,0.970733120835,204,7256,0.971885336273,77164,6550,10.7807633588,22634,599,36.7863105175,316542.0,121143,236261,0,236261,0
38,199,55232,0.996397016222,179,1220,0.853278688525,287,16593,0.98270354969,49,236,0.792372881356,310,173,0.791907514451,11231,406,26.6625615764,131,2464,0.946834415584,45340,8255,4.49242883101,86,7285,0.988194921071,3289,0,0.0,35900,1722,19.8478513357,29,8838,0.996718714641,113,135,0.162962962963,206,67,2.07462686567,39863,1564,24.4878516624,98,3536,0.972285067873,227,7303,0.968916883473,77716,6617,10.7448995013,22792,614,36.1205211726,318673.0,122260,238045,0,238045,0
39,179,55299,0.996763051773,176,1246,0.858747993579,314,16782,0.98128947682,49,241,0.796680497925,327,177,0.847457627119,11305,415,26.2409638554,156,2525,0.938217821782,45906,8458,4.42752423741,85,7389,0.988496413588,3318,0,0.0,36041,1752,19.571347032,35,9001,0.996111543162,123,138,0.108695652174,216,69,2.13043478261,40073,1602,24.0143570537,108,3621,0.970173985087,208,7349,0.971696829501,78285,6684,10.7122980251,22927,630,35.3920634921,320769.0,123378,239831,0,239831,0
40,200,55366,0.996387674746,158,1272,0.875786163522,325,16970,0.980848556276,50,246,0.79674796748,337,181,0.861878453039,11384,425,25.7858823529,161,2587,0.937765751836,46491,8662,4.36723620411,96,7493,0.987188042173,3335,0,0.0,36208,1782,19.3187429854,21,9163,0.997708174179,124,141,0.120567375887,221,71,2.11267605634,40293,1639,23.5838926174,95,3706,0.974365893146,209,7395,0.971737660581,78841,6751,10.6784180121,23066,645,34.7612403101,322920.0,124495,241615,0,241615,0
41,200,55433,0.996392040842,178,1298,0.862865947612,316,17159,0.981584008392,49,250,0.804,343,185,0.854054054054,11463,434,25.4124423963,133,2649,0.949792374481,47059,8865,4.30840383531,104,7597,0.986310385679,3365,0,0.0,36394,1811,19.0960795141,21,9326,0.997748230753,127,145,0.124137931034,228,73,2.12328767123,40495,1677,23.1472868217,92,3791,0.975731996835,198,7442,0.973394248858,79417,6818,10.6481372837,23218,660,34.1787878788,325131.0,125613,243400,0,243400,0
42,203,55499,0.996342276437,165,1324,0.875377643505,318,17347,0.981668299994,50,255,0.803921568627,353,189,0.867724867725,11534,444,24.9774774775,140,2710,0.948339483395,47633,9069,4.25228801411,90,7701,0.988313206077,3385,0,0.0,36568,1841,18.8631178707,23,9488,0.997575885329,131,148,0.114864864865,231,74,2.12162162162,40660,1714,22.7222870478,109,3876,0.971878224974,219,7488,0.970753205128,80018,6885,10.6220769789,23355,676,33.548816568,327233.0,126728,245185,0,245185,0
43,201,55566,0.996382680056,186,1350,0.862222222222,305,17535,0.982606216139,50,260,0.807692307692,364,192,0.895833333333,11608,454,24.5682819383,158,2772,0.943001443001,48176,9272,4.19585849871,93,7805,0.988084561179,3420,0,0.0,36733,1870,18.643315508,29,9651,0.996995130038,133,152,0.125,240,76,2.15789473684,40863,1752,22.323630137,82,3961,0.979298157031,203,7535,0.973059057731,80624,6952,10.5972382048,23502,691,33.011577424,329418.0,127846,246970,0,246970,0
44,210,55633,0.996225261985,163,1376,0.881540697674,330,17724,0.981381178064,51,265,0.807547169811,377,196,0.923469387755,11690,463,24.2483801296,130,2834,0.954128440367,48746,9476,4.14415365133,72,7909,0.990896447086,3453,0,0.0,36911,1900,18.4268421053,28,9813,0.997146642209,136,155,0.122580645161,250,78,2.20512820513,41042,1790,21.9284916201,111,4046,0.972565496787,208,7581,0.972562986413,81189,7019,10.5670323408,23658,706,32.5099150142,331585.0,128964,248755,0,248755,0
45,174,55699,0.996876065998,163,1402,0.883737517832,299,17912,0.983307280036,51,270,0.811111111111,402,200,1.01,11774,473,23.8921775899,128,2895,0.955785837651,49294,9679,4.09288149602,87,8013,0.989142643205,3475,0,0.0,37064,1929,18.2141005702,28,9976,0.997193263833,140,158,0.113924050633,256,80,2.2,41242,1827,21.5736179529,115,4131,0.972161704188,210,7627,0.972466238364,81807,7087,10.5432482009,23831,722,32.0069252078,333836.0,130080,250540,0,250540,0
46,184,55766,0.996700498512,188,1428,0.868347338936,315,18101,0.982597646539,51,275,0.814545454545,418,204,1.04901960784,11848,483,23.5300207039,149,2957,0.949611092323,49841,9883,4.04310432055,78,8118,0.990391722099,3503,0,0.0,37244,1959,18.011740684,27,10138,0.997336752811,145,162,0.104938271605,267,82,2.25609756098,41410,1865,21.2037533512,119,4215,0.971767497034,186,7674,0.975762314308,82383,7154,10.5156555773,23968,737,31.5210312076,335907.0,131201,252324,0,252324,0
47,178,55833,0.996811921265,182,1454,0.874828060523,336,18289,0.981628301165,52,280,0.814285714286,431,208,1.07211538462,11920,492,23.2276422764,127,3019,0.957933090427,50414,10087,3.99791811242,98,8222,0.988080758939,3532,0,0.0,37447,1988,17.8365191147,27,10301,0.997378895253,153,165,0.0727272727273,274,83,2.30120481928,41591,1902,20.8669821241,101,4300,0.976511627907,194,7720,0.974870466321,82938,7221,10.4856668052,24115,752,31.0678191489,338064.0,132316,254110,0,254110,0
48,174,55900,0.996887298748,186,1480,0.874324324324,334,18478,0.981924450698,53,285,0.814035087719,441,212,1.08018867925,11989,502,22.8824701195,118,3080,0.961688311688,51001,10290,3.9563654033,97,8326,0.988349747778,3557,0,0.0,37604,2018,17.6342913776,33,10463,0.996846028864,155,169,0.0828402366864,278,85,2.27058823529,41797,1940,20.5448453608,91,4385,0.979247434436,215,7767,0.972318784602,83509,7288,10.4584248079,24262,768,30.5911458333,340212.0,133436,255894,0,255894,0
49,182,55966,0.996748025587,167,1506,0.889110225764,339,18666,0.981838637094,53,290,0.81724137931,454,216,1.10185185185,12065,512,22.564453125,132,3142,0.95798854233,51571,10494,3.91433199924,92,8430,0.989086595492,3579,0,0.0,37789,2048,17.4516601562,29,10625,0.997270588235,157,172,0.0872093023256,285,87,2.27586206897,41974,1977,20.2311583207,116,4470,0.974049217002,235,7813,0.969921924997,84040,7355,10.4262406526,24421,783,30.1890166028,342284.0,134552,257680,0,257680,0
50,189,56033,0.996626987668,188,1532,0.8772845953,306,18854,0.983770022276,54,295,0.816949152542,468,219,1.13698630137,12148,521,22.3166986564,135,3204,0.957865168539,52127,10697,3.87304851828,93,8534,0.989102413874,3599,0,0.0,37965,2077,17.2787674531,34,10788,0.996848350019,162,175,0.0742857142857,298,89,2.34831460674,42172,2015,19.9290322581,94,4555,0.979363336992,223,7859,0.971624888663,84639,7422,10.403799515,24570,798,29.7894736842,344499.0,135667,259464,0,259464,0
51,200,56100,0.996434937611,186,1557,0.880539499037,338,19043,0.982250695794,54,299,0.819397993311,482,223,1.16143497758,12230,531,22.0320150659,145,3265,0.955589586524,52678,10901,3.83240069718,99,8638,0.988539013661,3627,0,0.0,38145,2107,17.1039392501,31,10950,0.997168949772,165,179,0.0782122905028,303,91,2.32967032967,42372,2052,19.649122807,98,4640,0.978879310345,209,7906,0.973564381482,85182,7489,10.3742822807,24706,813,29.3886838868,346570.0,136784,261250,0,261250,0
52,203,56167,0.996385778126,190,1583,0.879974731522,315,19231,0.983620196558,54,304,0.822368421053,496,227,1.18502202643,12319,540,21.812962963,151,3327,0.954613766156,53254,11104,3.79592939481,84,8742,0.990391214825,3649,0,0.0,38323,2136,16.9414794007,25,11113,0.997750382435,169,182,0.0714285714286,307,92,2.33695652174,42579,2090,19.3727272727,110,4725,0.97671957672,197,7952,0.975226358149,85753,7556,10.3489941768,24856,829,28.9831121834,348790.0,137900,263034,0,263034,0
53,207,56233,0.996318887486,171,1609,0.893722809198,293,19420,0.98491246138,53,309,0.828478964401,517,231,1.2380952381,12388,550,21.5236363636,130,3389,0.961640601947,53822,11308,3.75963919349,101,8847,0.988583700689,3675,0,0.0,38489,2166,16.769621422,30,11275,0.99733924612,175,186,0.0591397849462,313,94,2.32978723404,42784,2128,19.1052631579,110,4810,0.977130977131,206,7999,0.974246780848,86339,7624,10.3246327387,25016,844,28.6398104265,350999.0,139022,264819,0,264819,0
54,198,56300,0.99648312611,176,1635,0.892354740061,326,19608,0.983374133007,52,314,0.834394904459,529,235,1.25106382979,12474,560,21.275,162,3450,0.953043478261,54406,11511,3.72643558336,75,8951,0.991621047928,3712,0,0.0,38662,2195,16.613667426,36,11438,0.996852596608,180,189,0.047619047619,325,96,2.38541666667,42956,2165,18.841108545,113,4895,0.976915219612,163,8045,0.979738968303,86888,7691,10.2973605513,25171,859,28.302677532,353155.0,140137,266604,0,266604,0
