Day,Date,Origin sim,Close_Safe sim,Medium_Balanced sim,Far_Excellent sim,Risky_Close sim,Total refugees
0,Day0,25,0,0,0,0,25
1,Day1,0,11,4,7,3,25
2,Day2,0,11,4,7,3,25
3,Day3,0,11,4,7,3,25
4,Day4,0,11,4,7,3,25
5,Day5,0,11,4,7,3,25
6,Day6,0,11,4,7,3,25
7,Day7,0,11,4,7,3,25
8,Day8,0,11,4,7,3,25
9,Day9,0,11,4,7,3,25
10,Day10,0,11,4,7,3,25
11,Day11,0,11,4,7,3,25
