kappa,dip_mean,dip_std,trough_mean,trough_std,L2_mean,L2_std
10.0,0.3130212016410206,0.01000518394078395,0.11063812198675678,0.005342996794330398,0.00012065647661984758,9.34286915722429e-05
11.0,0.3103970387287712,0.01865121738864244,0.11227378464249416,0.005504048296729927,0.000367898169036654,0.0006161757862344478
12.0,0.309808822263969,0.01741132820187677,0.11325089976921043,0.007378428205188037,0.0003619132946782319,0.00040983065409769265
13.0,0.3197551506417565,0.011509196438848568,0.10448574847574266,0.016006928109840512,0.0003978100902552599,0.0005492396954617436
14.0,0.3104943709508909,0.011306160483871468,0.11441426004700686,0.004969095998404479,0.00018262833787125585,0.00019572195982890558
15.0,0.3181151267230832,0.015431780620664732,0.1091271285100663,0.008387775733140632,0.000290730474268429,0.00020793765715064556
16.0,0.3233748745354751,0.017624142079862872,0.1012988660249543,0.011604984518173501,0.0005388283072684437,0.000681253713562218
17.0,0.3176897242964829,0.014127811772556311,0.11021865239123918,0.009059275684330821,0.0002651584420031855,0.0002160760753087219
18.0,0.3113623622188744,0.012954893056030724,0.11585108771814459,0.007207729032161967,0.0002545847244720955,0.00023619948852051902
19.0,0.32006625055186444,0.010903632369458348,0.10897247217476314,0.0072875115043877295,0.00018578122348468867,0.0002466552017229124
20.0,0.30748613213187814,0.014529827009251381,0.11166713325324311,0.0043769384918418705,0.0002635540593941519,0.00018046154961219045
21.0,0.32068013430025016,0.03280087977001845,0.0990471990642686,0.02506873974702523,0.0016711577900075827,0.004159774139108846
22.0,0.3202510793208573,0.01016735575619538,0.10730369720290042,0.012149021294506969,0.0002618288138729212,0.0003916330115189857
23.0,0.31735756322144726,0.015120769121645028,0.10914874546031712,0.012560731550689576,0.00035595646510325717,0.00034742913923969655
24.0,0.3110673216321243,0.011384403448576894,0.11193704263658337,0.008663210123617949,0.0002045997665997239,0.00013006217917079527
25.0,0.31741097058376344,0.017632860221228508,0.10758424244323865,0.006689419470630375,0.0003305776023909511,0.00025506060541388633
26.0,0.3300225134308803,0.01667115795838369,0.10739778233781253,0.015387164756045313,0.0007067386368616417,0.0008751934612730516
27.0,0.31535710793971317,0.01645180619972436,0.1059480237135616,0.006194068712835224,0.00028817476628065317,0.00039094287723311506
28.0,0.3120687680675286,0.016544499996853014,0.10825061108831961,0.008307635754916656,0.00031493603523443314,0.00033992070640762636
29.0,0.31926661622000907,0.01685339621645868,0.1085161971498858,0.00912619589011886,0.000353546669295022,0.000402041027397771
30.0,0.32165416582653106,0.016713348153556132,0.1057497523695529,0.011143067348144615,0.0004248997591172701,0.001004733723471934
31.0,0.3173570792107693,0.018780253124191713,0.10265672192215602,0.01476445050935933,0.0005620182940162961,0.00098471182912571
32.0,0.32435854133709546,0.02095369518493063,0.1040577361340104,0.01715581254360579,0.0007816581307571802,0.0018699003150506092
33.0,0.32154729712562763,0.0140452889050416,0.10932605061097303,0.0070587153481912225,0.00027215674829138324,0.0003521434620102891
34.0,0.32474644602563796,0.016432853729772413,0.10100244957484436,0.013763849432083353,0.0005824844785630592,0.0007145250228543068
35.0,0.32006026058209835,0.013584629986029868,0.10786286820920503,0.007210376580811275,0.0002450880985154815,0.0002825799439688813
