kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
10.0,0,0.32373889837690517,0.10803312715469313,8.629208631777279e-05
10.0,1,0.3142163434589314,0.11241714728875658,1.1757356626347471e-05
10.0,2,0.3025953922712801,0.10700238664997677,0.0001457101442708893
10.0,3,0.3224342098867745,0.11160745632234848,6.975051500034546e-05
10.0,4,0.3090690285641391,0.10674849492562657,3.456472583706639e-05
10.0,5,0.30752911708720726,0.10259929268581676,8.956226270570466e-05
10.0,6,0.31729040467503367,0.12277707077641746,0.00019759403742886574
10.0,7,0.32843916655103433,0.11184135704924911,0.00020237367401879195
10.0,8,0.29687751017940195,0.1106514763732973,0.0003132795216886412
10.0,9,0.30802194535949856,0.11270341064138567,5.568044230405088e-05
11.0,0,0.3213616589870479,0.10509383088401197,6.234052121723361e-05
11.0,1,0.3190929065479005,0.10814370306739783,2.1828034994531265e-05
11.0,2,0.29090260860032546,0.1196370922304251,0.0006699846119880039
11.0,3,0.319447330200906,0.11585420228479085,7.145616507762853e-05
11.0,4,0.2955138008440043,0.1194404265635801,0.00046947826522064076
11.0,5,0.3222712924199048,0.11489211907407569,9.511005305875666e-05
11.0,6,0.269720070201639,0.11108470321673825,0.0020095881002480166
11.0,7,0.3277895093047488,0.10382718078435146,0.00020336911619878807
11.0,8,0.3169871580903989,0.11411505472188704,3.234974017453565e-05
11.0,9,0.3208840520908369,0.11064953359768319,4.347708218840493e-05
12.0,0,0.3252123424554054,0.10615441910072126,0.00012285161153622142
12.0,1,0.3301172800557377,0.11548658535318472,0.00028597522588349317
12.0,2,0.3266558501635495,0.12437961582780216,0.0003842972762094485
12.0,3,0.2847713602563805,0.11364110759414621,0.0009053319007063545
12.0,4,0.27905309192744565,0.11163122013415518,0.0012634066112985024
12.0,5,0.29993712889703555,0.12057292117732994,0.0003460097193382488
12.0,6,0.30644064890618783,0.09830898466956753,0.0001792509488488736
12.0,7,0.3184213057343116,0.11062107374168392,1.8004518737922133e-05
12.0,8,0.31576488757479515,0.11355207501850204,2.2321327550941464e-05
