cmc,alpha,beta,kappa,rep,mid_ps2_dip,mid_ps2_trough,L2
0.2,1.25,1.625,11.25,0,0.27651104149622235,0.08797753031441559,0.0018851051998830556
0.2,1.25,1.625,11.25,1,0.22158410333990824,0.14754240546275316,0.010118880871004116
0.2,1.25,1.625,11.25,2,0.23295270836499332,0.13704900333152226,0.007436707360896577
0.2,1.25,1.625,11.25,3,0.23110814697598164,0.11641810865063175,0.007009229486732058
0.2,1.25,1.625,11.25,4,0.24366297604026307,0.12617358934830522,0.005312816134576566
0.2,1.25,1.625,11.25,5,0.2408668283280464,0.1210589879960839,0.005567263161961085
0.2,1.25,1.625,11.25,6,0.2534412408697254,0.11174974858050357,0.0037357331837848716
0.2,1.25,1.625,12.5,0,0.2718739554573578,0.11849131519754255,0.0019070647375304178
0.2,1.25,1.625,12.5,1,0.25523202726424965,0.09825888297320176,0.003628064187189022
0.2,1.25,1.625,12.5,2,0.22466664621939558,0.14116896301311416,0.00910487363281034
0.2,1.25,1.625,12.5,3,0.2158865584257443,0.12875793466607113,0.010114986841387877
0.2,1.25,1.625,12.5,4,0.2439790323622266,0.13201330627383653,0.0055028191422212885
0.2,1.25,1.625,12.5,5,0.2308404280907375,0.13093669491980994,0.007480142556045881
0.2,1.25,1.625,12.5,6,0.2222105989600095,0.13764002877410142,0.009337584792501557
0.2,1.25,1.625,13.75,0,0.21956309020987097,0.12892502479861373,0.00941002345372447
0.2,1.25,1.625,13.75,1,0.22835571331126905,0.1266008743893319,0.007730628908379307
0.2,1.25,1.625,13.75,2,0.23131511772219884,0.13765425921068877,0.00774079121048498
0.2,1.25,1.625,13.75,3,0.23650518119667546,0.1288014311205899,0.0064752884345868926
0.2,1.25,1.625,13.75,4,0.22824007095244658,0.1222158785958939,0.007615434806350357
0.2,1.25,1.625,13.75,5,0.27123339055784007,0.10102573826436029,0.0019355883428488906
0.2,1.25,1.625,13.75,6,0.2644433987781707,0.12637069900965,0.0028074045099650996
0.2,1.25,1.625,15.0,0,0.22986947132789476,0.12029318763842815,0.007289862470356775
0.2,1.25,1.625,15.0,1,0.2500002973709571,0.12919311418796878,0.004567973499843313
0.2,1.25,1.625,15.0,2,0.22830947737096707,0.13145143333269255,0.007932873049758175
0.2,1.25,1.625,15.0,3,0.23741495333099963,0.1350111711476303,0.006618685444433281
0.2,1.25,1.625,15.0,4,0.24109793029171098,0.10913841983269021,0.005387882997510604
0.2,1.25,1.625,15.0,5,0.23413550673757758,0.1315044736781322,0.006964903112855685
0.2,1.25,1.625,15.0,6,0.27218788580573894,0.10208425957117272,0.0018381424732671046
0.2,1.25,1.625,16.25,0,0.2908128179426277,0.05677306471457507,0.0032887353631270637
0.2,1.25,1.625,16.25,1,0.25496506284153464,0.09585104727292255,0.003717303700281337
0.2,1.25,1.625,16.25,2,0.22926056754814597,0.1286378114599405,0.007651404483650356
0.2,1.25,1.625,16.25,3,0.2842687647920514,0.08577160632284254,0.001453485855019321
0.2,1.25,1.625,16.25,4,0.24660100665963286,0.12232596106309507,0.0047878545348903475
0.2,1.25,1.625,16.25,5,0.2648293523177304,0.1203599368077444,0.002596221405452099
0.2,1.25,1.625,16.25,6,0.24581360059162666,0.1209646136988679,0.004860973444649728
0.2,1.25,1.625,17.5,0,0.24682407831919573,0.11550923920469648,0.004622400570370312
0.2,1.25,1.625,17.5,1,0.21502690668758673,0.1286306964257264,0.010280260535299105
0.2,1.25,1.625,17.5,2,0.2258933180082145,0.122798515893581,0.008041543134458814
0.2,1.25,1.625,17.5,3,0.22056122507548348,0.1382204652282663,0.009678329022475295
0.2,1.25,1.625,17.5,4,0.2428340048585987,0.12424094057582061,0.005368301129243048
0.2,1.25,1.625,17.5,5,0.2316326780360085,0.13345212017685676,0.007464899230627272
0.2,1.25,1.625,17.5,6,0.24872001239408836,0.13712369511967337,0.005117948996618229
0.2,1.25,1.625,18.75,0,0.22314572598586208,0.13331255039835777,0.008936703487522882
0.2,1.25,1.625,18.75,1,0.22635454951094683,0.13004226986558612,0.008212397563014277
0.2,1.25,1.625,18.75,2,0.2882592639185499,0.08414951328385577,0.0013061229201255786
0.2,1.25,1.625,18.75,3,0.23989680824142526,0.13093577712657103,0.006046814538713272
0.2,1.25,1.625,18.75,4,0.24852846960082473,0.1356502303101915,0.005062477598795557
0.2,1.25,1.625,18.75,5,0.24679660099305945,0.10202801628193027,0.004632358794058029
0.2,1.25,1.625,18.75,6,0.23616918959754796,0.1347812182302533,0.006800387071740834
0.2,1.25,1.8055555555555556,11.25,0,0.25600899968233315,0.10479829068398182,0.003438851479337618
0.2,1.25,1.8055555555555556,11.25,1,0.258940766126921,0.11797127605097901,0.003167312262546357
0.2,1.25,1.8055555555555556,11.25,2,0.23854458178884586,0.11336197948136352,0.005788252420627163
0.2,1.25,1.8055555555555556,11.25,3,0.2322089173880003,0.1246287031850712,0.0070160786407020125
0.2,1.25,1.8055555555555556,11.25,4,0.2608273607725878,0.12006982312569618,0.003003293185670147
0.2,1.25,1.8055555555555556,11.25,5,0.2374120373025279,0.1163727919970327,0.005996912054678358
