Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,2,11,0.8182,0,0,0.0,0,34,1.0,0,2,1.0,0,0,0.0,0,0,0.0,1,4,0.75,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,1.0,1.12,59,29,50,3,0
2,4,23,0.8261,0,0,0.0,0,69,1.0,0,5,1.0,0,0,0.0,0,0,0.0,3,9,0.6667,0,0,0.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,15,1.0,1.17,124,53,100,7,0
3,5,34,0.8529,0,0,0.0,0,103,1.0,0,8,1.0,0,0,0.0,0,0,0.0,6,14,0.5714,0,0,0.0,0,4,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,23,1.0,1.4957,186,67,117,11,0
4,8,46,0.8261,0,0,0.0,1,138,0.9928,0,11,1.0,3,0,0.0,0,0,0.0,7,19,0.6316,0,0,0.0,1,6,0.8333,0,0,0.0,0,0,0.0,0,0,0.0,0,31,1.0,1.7687,251,84,134,20,0
5,9,58,0.8448,0,1,1.0,1,172,0.9942,0,14,1.0,3,0,0.0,0,0,0.0,9,24,0.625,0,0,0.0,2,8,0.75,0,0,0.0,0,0,0.0,0,0,0.0,0,39,1.0,1.9735,316,101,151,24,0
6,10,69,0.8551,0,1,1.0,3,207,0.9855,0,17,1.0,4,0,0.0,0,0,0.0,11,28,0.6071,0,0,0.0,2,9,0.7778,0,0,0.0,0,0,0.0,0,0,0.0,0,47,1.0,2.119,378,123,168,30,0
7,17,81,0.7901,0,1,1.0,4,242,0.9835,0,20,1.0,5,0,0.0,0,0,0.0,17,33,0.4848,0,0,0.0,4,11,0.6364,0,0,0.0,0,0,0.0,0,0,0.0,0,55,1.0,2.1946,443,141,185,47,0
8,20,92,0.7826,0,1,1.0,4,276,0.9855,0,23,1.0,7,0,0.0,0,0,0.0,21,38,0.4474,0,0,0.0,4,13,0.6923,0,0,0.0,0,0,0.0,0,0,0.0,0,62,1.0,2.2921,505,147,202,56,0
9,21,104,0.7981,0,1,1.0,5,311,0.9839,0,26,1.0,9,0,0.0,0,0,0.0,29,43,0.3256,0,0,0.0,7,14,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,70,1.0,2.3455,569,162,220,71,0
10,25,116,0.7845,0,2,1.0,7,345,0.9797,0,28,1.0,10,0,0.0,0,0,0.0,29,48,0.3958,0,0,0.0,7,16,0.5625,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,2.3279,633,182,247,78,0
11,29,127,0.7717,0,2,1.0,7,380,0.9816,1,31,0.9677,11,0,0.0,0,0,0.0,32,53,0.3962,0,0,0.0,7,17,0.5882,0,0,0.0,0,0,0.0,0,0,0.0,0,86,1.0,2.2945,696,195,275,87,0
12,34,139,0.7554,0,2,1.0,8,415,0.9807,1,34,0.9706,13,0,0.0,0,0,0.0,34,57,0.4035,0,0,0.0,11,19,0.4211,0,0,0.0,0,0,0.0,0,0,0.0,0,94,1.0,2.2682,760,216,302,101,0
13,40,151,0.7351,0,2,1.0,9,449,0.98,1,37,0.973,14,0,0.0,0,0,0.0,41,62,0.3387,0,0,0.0,13,21,0.381,0,0,0.0,0,0,0.0,0,0,0.0,0,102,1.0,2.2242,824,242,330,118,0
14,49,162,0.6975,0,3,1.0,9,484,0.9814,2,40,0.95,16,0,0.0,0,0,0.0,46,67,0.3134,0,0,0.0,14,22,0.3636,0,0,0.0,0,0,0.0,0,0,0.0,0,110,1.0,1.7043,888,322,460,136,0
15,60,174,0.6552,0,3,1.0,11,518,0.9788,2,43,0.9535,16,0,0.0,0,0,0.0,52,72,0.2778,0,0,0.0,22,24,0.0833,0,0,0.0,0,0,0.0,0,0,0.0,0,115,1.0,1.5731,949,362,520,163,0
16,70,185,0.6216,0,3,1.0,11,553,0.9801,3,46,0.9348,19,0,0.0,0,0,0.0,56,77,0.2727,0,0,0.0,25,26,0.0385,0,0,0.0,0,0,0.0,0,0,0.0,0,120,1.0,1.4897,1010,431,580,184,0
17,81,197,0.5888,0,3,1.0,13,587,0.9779,4,49,0.9184,22,0,0.0,0,0,0.0,65,82,0.2073,0,0,0.0,29,27,0.0741,0,0,0.0,0,0,0.0,0,0,0.0,0,125,1.0,1.4125,1070,474,640,214,0
18,93,209,0.555,1,3,0.6667,15,622,0.9759,6,52,0.8846,26,0,0.0,0,0,0.0,68,86,0.2093,0,0,0.0,32,29,0.1034,0,0,0.0,0,0,0.0,0,0,0.0,0,130,1.0,1.3543,1131,517,700,241,0
19,104,220,0.5273,2,3,0.3333,18,657,0.9726,6,55,0.8909,28,0,0.0,0,0,0.0,73,91,0.1978,0,0,0.0,39,31,0.2581,0,0,0.0,0,0,0.0,0,0,0.0,0,136,1.0,1.3092,1193,585,760,270,0
20,116,232,0.5,3,3,0.0,23,691,0.9667,9,57,0.8421,30,0,0.0,0,0,0.0,79,96,0.1771,0,0,0.0,40,32,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,141,1.0,1.2537,1252,664,820,300,0
21,129,244,0.4713,3,3,0.0,28,726,0.9614,10,60,0.8333,35,0,0.0,0,0,0.0,83,101,0.1782,0,0,0.0,44,34,0.2941,0,0,0.0,0,0,0.0,0,0,0.0,0,146,1.0,1.2182,1314,710,880,332,0
22,144,255,0.4353,3,3,0.0,32,760,0.9579,11,63,0.8254,38,0,0.0,0,0,0.0,87,106,0.1792,0,0,0.0,49,35,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,151,1.0,1.184,1373,749,940,364,0
23,155,267,0.4195,3,3,0.0,41,795,0.9484,12,66,0.8182,41,0,0.0,0,0,0.0,96,110,0.1273,0,0,0.0,59,37,0.5946,0,0,0.0,0,0,0.0,0,0,0.0,0,156,1.0,1.153,1434,801,1000,407,0
