Day,Adjumani sim,Adjumani data,Adjumani error,East_Darfur sim,East_Darfur data,East_Darfur error,Haut-Uele sim,Haut-Uele data,Haut-Uele error,Ituri sim,Ituri data,Ituri error,Kakuma sim,Kakuma data,Kakuma error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Meri sim,Meri data,Meri error,North_Darfur sim,North_Darfur data,North_Darfur error,Rhino sim,Rhino data,Rhino error,South_Darfur sim,South_Darfur data,South_Darfur error,South_Kordofan sim,South_Kordofan data,South_Kordofan error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,White_Nile sim,White_Nile data,White_Nile error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0
1,1,11,0.9091,0,0,0.0,0,34,1.0,0,2,1.0,0,0,0.0,0,0,0.0,0,4,1.0,0,0,0.0,0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,7,1.0,1.16,59,31,50,1,0
2,5,23,0.7826,0,0,0.0,0,69,1.0,0,5,1.0,0,0,0.0,0,0,0.0,2,9,0.7778,0,0,0.0,0,3,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,15,1.0,1.17,124,56,100,7,0
3,6,34,0.8235,0,0,0.0,1,103,0.9903,0,8,1.0,0,0,0.0,0,0,0.0,4,14,0.7143,0,0,0.0,3,4,0.25,0,0,0.0,0,0,0.0,0,0,0.0,0,23,1.0,1.4701,186,72,117,14,0
4,7,46,0.8478,0,0,0.0,1,138,0.9928,1,11,0.9091,0,0,0.0,0,0,0.0,6,19,0.6842,0,0,0.0,4,6,0.3333,0,0,0.0,0,0,0.0,0,0,0.0,0,31,1.0,1.7313,251,85,134,19,0
5,13,58,0.7759,0,1,1.0,1,172,0.9942,1,14,0.9286,0,0,0.0,0,0,0.0,6,24,0.75,0,0,0.0,4,8,0.5,0,0,0.0,0,0,0.0,0,0,0.0,0,39,1.0,1.9272,316,103,151,25,0
6,19,69,0.7246,0,1,1.0,1,207,0.9952,1,17,0.9412,0,0,0.0,0,0,0.0,6,28,0.7857,0,0,0.0,4,9,0.5556,0,0,0.0,0,0,0.0,0,0,0.0,0,47,1.0,2.0655,378,120,168,31,0
7,22,81,0.7284,0,1,1.0,1,242,0.9959,2,20,0.9,1,0,0.0,0,0,0.0,10,33,0.697,0,0,0.0,4,11,0.6364,0,0,0.0,0,0,0.0,0,0,0.0,0,55,1.0,2.1892,443,133,185,40,0
8,26,92,0.7174,0,1,1.0,2,276,0.9928,2,23,0.913,2,0,0.0,0,0,0.0,17,38,0.5526,0,0,0.0,5,13,0.6154,0,0,0.0,0,0,0.0,0,0,0.0,0,62,1.0,2.2525,505,142,202,54,0
9,37,104,0.6442,0,1,1.0,2,311,0.9936,2,26,0.9231,2,0,0.0,0,0,0.0,18,43,0.5814,0,0,0.0,5,14,0.6429,0,0,0.0,0,0,0.0,0,0,0.0,0,70,1.0,2.3045,569,160,220,66,0
10,42,116,0.6379,0,2,1.0,6,345,0.9826,2,28,0.9286,2,0,0.0,0,0,0.0,20,48,0.5833,0,0,0.0,6,16,0.625,0,0,0.0,0,0,0.0,0,0,0.0,0,78,1.0,2.2632,633,176,247,78,0
11,46,127,0.6378,0,2,1.0,7,380,0.9816,2,31,0.9355,3,0,0.0,0,0,0.0,21,53,0.6038,0,0,0.0,6,17,0.6471,0,0,0.0,0,0,0.0,0,0,0.0,0,86,1.0,2.2436,696,203,275,85,0
12,47,139,0.6619,0,2,1.0,8,415,0.9807,2,34,0.9412,4,0,0.0,0,0,0.0,22,57,0.614,0,0,0.0,9,19,0.5263,0,0,0.0,0,0,0.0,0,0,0.0,0,94,1.0,2.2384,760,223,302,92,0
13,50,151,0.6689,0,2,1.0,9,449,0.98,3,37,0.9189,5,0,0.0,0,0,0.0,25,62,0.5968,0,0,0.0,12,21,0.4286,0,0,0.0,0,0,0.0,0,0,0.0,0,102,1.0,2.2121,824,242,330,104,0
14,54,162,0.6667,0,3,1.0,10,484,0.9793,5,40,0.875,7,0,0.0,0,0,0.0,28,67,0.5821,0,0,0.0,13,22,0.4091,0,0,0.0,0,0,0.0,0,0,0.0,0,110,1.0,1.7065,888,324,460,117,0
15,63,174,0.6379,0,3,1.0,12,518,0.9768,6,43,0.8605,11,0,0.0,0,0,0.0,32,72,0.5556,0,0,0.0,16,24,0.3333,0,0,0.0,0,0,0.0,0,0,0.0,0,115,1.0,1.5981,949,359,520,140,0
16,74,185,0.6,0,3,1.0,13,553,0.9765,6,46,0.8696,13,0,0.0,0,0,0.0,39,77,0.4935,0,0,0.0,17,26,0.3462,0,0,0.0,0,0,0.0,0,0,0.0,0,120,1.0,1.5069,1010,418,580,162,0
17,81,197,0.5888,0,3,1.0,15,587,0.9744,6,49,0.8776,15,0,0.0,0,0,0.0,43,82,0.4756,0,0,0.0,21,27,0.2222,0,0,0.0,0,0,0.0,1,0,0.0,0,125,1.0,1.4375,1070,461,640,182,0
18,91,209,0.5646,0,3,1.0,15,622,0.9759,6,52,0.8846,19,0,0.0,0,0,0.0,54,86,0.3721,0,0,0.0,29,29,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,130,1.0,1.3657,1131,508,700,215,0
