#name1,name2,distance,forced_redirection,link_type
Juba,Bahr_al_Jabal,32,0,
Bahr_al_Jabal,Lainya,79,0,
Lainya,Nahr_Yei,20,0,
Nahr_Yei,Yei,27,0,
Yei,Morobo,64,0,
Nahr_Yei,Kajo-Keji,125,0,
Bahr_al_Jabal,Kajo-Keji,103,0,
Juba,Lopeja,24,0,
Lopeja,Magwi,161,0,
Kajo-Keji,Magwi,115,0,
Lopeja,Mogiri,26,0,
Mogiri,Mongalla,62,0,
Mongalla,Terekeka,39,0,
Mogiri,Torit,81,0,
Torit,Lafon,100,0,
Torit,Lugurren,42,0,
Lugurren,Ikotos,52,0,
Lugurren,Chukudum,57,0,
Chukudum,Budi,35,0,
Chukudum,Lafon,171,0,
Chukudum,Kapoeta_South,48,0,
Kapoeta_South,Kapoeta_East,74,0,
Juba,Mundri_East,145,0,
Mundri_East,Mundri_West,60,0,
Mundri_West,Maridi,93,0,
Maridi,Yambio,140,0,
Mundri_West,Mvolo,73,0,
Mvolo,Rumbek_Centre,170,0,
Rumbek_Centre,Karich,37,0,
Karich,Rumbek_East,33,0,
Karich,Yirol_West,75,0,
Rumbek_Centre,Cueibet,56,0,
Cueibet,Mondi,71,0,
Mondi,Rumbek_North,173,0,
Mondi,Jur_River,55,0,
Jur_River,Wau,50,0,
Wau,Tambura,258,0,
Tambura,Ezo,103,0,
Wau,Raja,421,0,
Wau,Aweil_East,235,0,
Yirol_West,Panyijiar,122,0,
Rumbek_Centre,Mayendit,167,0,
Mayendit,Leer,34,0,
Leer,Koch,81,0,
Koch,Rubkona,128,0,
Rubkona,Rabkona,34,0,
Rabkona,Pariang,83,0,
Rabkona,Mayom,101,0,
Wau,Gogrial_East,84,0,
Gogrial_East,Gogrial_West,96,0,
Gogrial_West,Aweil_East,95,0,
Gogrial_West,Twic,117,0,
Twic,Mayom,84,0,
Twic,Abyei,57,0,
Abyei,Aweil_East,161,0,
Kapoeta_East,Pochalla,373,0,
Terekeka,Bor,127,0,
Pariang,Panyikang,161,0,
Yambio,Haut-Uele,376,0,
Yei,Aba,60,0,
Aba,Faradje,66,0,
Faradje,Haut-Uele,179,0,
Faradje,Djugu,248,0,
Aba,Meri,92,0,
Meri,Vurra,94,0,
Morobo,Vurra,390,0,
Vurra,Djugu,277,0,
Djugu,Ituri,94,0,
Kajo-Keji,Adjumani,62,0,
Adjumani,Katrini,132,0,
Morobo,Katrini,95,0,
Katrini,Rhino,63,0,
Katrini,Vurra,21,0,
Vurra,Rhino,66,0,
Kajo-Keji,Karuma,295,0,
Karuma,Kiryandongo,42,0,
Vurra,Karuma,230,0,
Abyei,Al_Mijlad,200,0,
Al_Mijlad,East_Darfur,101,0,
Al_Mijlad,South_Darfur,418,0,
East_Darfur,South_Darfur,350,0,
Al_Mijlad,En_Nuhud,220,0,
En_Nuhud,South_Darfur,813,0,
En_Nuhud,Barah,270,0,
Barah,Junction,251,0,
Junction,Khartoum,167,0,
Junction,West_Kordofan,533,0,
Barah,West_Kordofan,455,0,
En_Nuhud,West_Kordofan,434,0,
Barah,Meshaqqa,295,0,
Meshaqqa,White_Nile,181,0,
Khartoum,White_Nile,394,0,
Meshaqqa,Alwaral,456,0,
White_Nile,Alwaral,87,0,
Pariang,Barah,503,0,
Pariang,En_Nuhud,644,0,
Kapoeta_East,Kakuma,211,0,
Al_Mijlad,West_Kordofan,776,0,drive
Pariang,Khartoum,852,0,drive
Pariang,White_Nile,580,0,drive
Pariang,Alwaral,340,0,drive
Panyikang,Khartoum,955,0,drive
Panyikang,White_Nile,437,0,drive
Panyikang,Alwaral,443,0,drive
Panyikang,Renk,773,0,drive
Renk,Khartoum,474,0,drive
Renk,White_Nile,252,0,drive
Renk,Alwaral,157,0,drive
Yambio,Faradje,302,0,drive
Yambio,Ituri,578,0,drive
Adjumani,Kiryandongo,233,0,drive
Aba,Rhino,215,0,drive
Aba,Ituri,545,0,drive
Adjumani,Rhino,117,0,drive
Yei,Rhino,191,0,drive
Yei,Adjumani,215,0,drive
Faradje,Ituri,479,0,drive
Katrini,Kiryandongo,301,0,drive
Barah,Khartoum,350,0,drive
Juba,Bor,199,0,drive
