name,male,female,children,total
Ningi_West,29,39,38,68
Ningi_East,19,18,21,37
Gongola,71,98,93,169
Danina,37,24,38,61
Filin_Shagari,404,464,652,868
Masallacin_Idi,230,250,295,480
Katirje,76,82,88,158
Kyawawa,71,68,75,139
Ariya,34,34,53,68
Kore,3,1,2,4
Kubdiya,14,19,23,33
Nasarawa,45,55,44,100
