#name1,name2,distance,forced_redirection
Alto Ligonha,Alto Molocue,62168,0
Alto Ligonha,Gile,54944,0
Alto Ligonha,Naburi,114327,0
Alto Ligonha,Nauela,86925,0
Alto Molocue,Gile,65699,0
Alto Molocue,Ile,52583,0
Alto Molocue,Mulevala,63713,0
Alto Molocue,Nauela,55152,0
Alto Molocue,Socone,52071,0
Bajone,Maganja,36316,0
Bajone,Mocubela,44835,0
Bajone,Pebane,39230,0
Campo,Derre,87515,0
Campo,Gonhane,55561,0
Campo,Inhassunge,53975,0
Campo,Micaune,55162,0
Campo,Mopeia,55776,0
Campo,Nicoadala,44321,0
Chinde,Luabo,45994,0
Chinde,Micaune,49805,0
Chire,Derre,75204,0
Chire,Majaua,53419,0
Chire,Megaza,73113,0
Chire,Milange,70536,0
Chire,Mongue,33337,0
Chire,Morrumbala,64289,0
Cidade De Quelimane,Maquival,15014,0
Cidade De Quelimane,Nicoadala,41297,0
Derre,Milange,98893,0
Derre,Mopeia,93447,0
Derre,Morrumbala,46772,0
Derre,Namanjavira,48308,0
Derre,Nicoadala,78896,0
Gile,Mualama,75870,0
Gile,Mulevala,72870,0
Gile,Naburi,73286,0
Gile,Pebane,94747,0
Gonhane,Inhassunge,13771,0
Gonhane,Micaune,35495,0
Gurue,Lioma,26492,0
Gurue,Mepuagiua,25735,0
Gurue,Nauela,58119,0
Gurue,Regone,46555,0
Ile,Mugeba,62559,0
Ile,Mulevala,44403,0
Ile,Munhamade,59663,0
Ile,Namarroi,42907,0
Ile,Socone,36316,0
Inhassunge,Nicoadala,53420,0
Lioma,Molumbo,85118,0
Lioma,Nauela,73330,0
Lioma,Regone,62866,0
Luabo,Micaune,38470,0
Luabo,Mopeia,61849,0
Lugela,Muabanama,41054,0
Lugela,Munhamade,24527,0
Lugela,Namarroi,40637,0
Lugela,Tacuane,34647,0
Macuze,Maquival,30424,0
Macuze,Namacurra,29261,0
Macuze,Nante,31245,0
Maganja,Mocubela,51145,0
Maganja,Nante,28641,0
Majaua,Milange,54321,0
Majaua,Mongue,31406,0
Maquival,Namacurra,43069,0
Maquival,Nicoadala,46707,0
Megaza,Mopeia,67913,0
Megaza,Morrumbala,30304,0
Mepuagiua,Namarroi,51782,0
Mepuagiua,Nauela,46915,0
Mepuagiua,Regone,47850,0
Mepuagiua,Socone,26217,0
Micaune,Mopeia,85797,0
Milange,Molumbo,69536,0
Milange,Mongue,39690,0
Milange,Muabanama,54971,0
Milange,Namanjavira,85118,0
Milange,Tacuane,55192,0
Mocuba,Mocubela,79578,0
Mocuba,Mugeba,58377,0
Mocuba,Munhamade,61288,0
Mocuba,Namacurra,47979,0
Mocuba,Namanjavira,50528,0
Mocuba,Nante,50693,0
Mocuba,Nicoadala,68379,0
Mocubela,Mugeba,48513,0
Mocubela,Mulevala,58932,0
Mocubela,Nante,65024,0
Mocubela,Pebane,45144,0
Molumbo,Muabanama,57917,0
Molumbo,Regone,52270,0
Mopeia,Morrumbala,68766,0
Muabanama,Namarroi,48389,0
Muabanama,Regone,48032,0
Muabanama,Tacuane,33953,0
Mualama,Naburi,48674,0
Mualama,Pebane,39757,0
Mugeba,Mulevala,46090,0
Mugeba,Munhamade,39440,0
Mulevala,Pebane,82113,0
Munhamade,Namanjavira,60364,0
Munhamade,Namarroi,56158,0
Munhamade,Tacuane,50995,0
Namacurra,Nante,31018,0
Namacurra,Nicoadala,37435,0
Namanjavira,Nicoadala,89739,0
Namanjavira,Tacuane,46523,0
Namarroi,Regone,37730,0
Namarroi,Socone,40303,0
Nauela,Socone,54520,0
