,DRC,Uganda,Sudan,Kenya,Total
May,11966,224420,231572,103104,
2016-06-01,,,,,
2016-06-03,,,,,
2016-06-10,,,,,
2016-06-14,,,,,
2016-06-15,11966,229006,231581,103173,
2016-06-24,,,,,
2016-06-27,,,,,
2016-06-29,,,,,
2016-06-30,,,,,
2016-07-01,,,,,
2016-07-08,,,,,
2016-07-15,,,,,
2016-07-22,,,,,
2016-07-26,,,,,
2016-07-29,,,,,
2016-07-31,15764,299238,246209,88032,
2016-08-01,,,,,
2016-08-16,,,,,
2016-08-19,,,,,
2016-08-2122372,,315827,246809,88622,
2016-08-26,,,,,
2016-08-30,,,,,
2016-08-31,29042,326844,246809,89245,
2016-09-05,,,,,
2016-09-08,,,,,
2016-09-15,27250,369961,247317,91111,
2016-09-30,53974,420476,250178,91191,
2016-10-11,,,,,
2016-10-16,60171,450783,254757,89845,
2016-10-24,,,,,
2016-10-31,60211,520577,261794,90181,
2016-11-01,,,,,
2016-11-11,,,,,
2016-11-14,,,,,
2016-11-15,,,,,
2016-11-23,,,,,
2016-11-30,,,,,
2016-12-05,,,,,
2016-12-11,,,,,
2016-12-23,,,,,
2016-12-31,,,,,
2017-01-31,,,,,
2017-02-03,,,,,
2017-02-06,,,,,
2017-02-17,,,,,
2017-02-27,,,,,
2017-02-28,,,,,
2017-03-01,,,,,
2017-03-08,,,,,
2017-03-15,,,,,
2017-03-19,,,,,
2017-03-30,,,,,
2017-03-31,,,,,
2017-04-09,,,,,
2017-04-30,,,,,
2017-05-12,,,,,
2017-05-15,,,,,
2017-05-24,,,,,
2017-05-31,,,,,
2017-06-10,,,,,
2017-06-15,,,,,
2017-06-25,,,,,
2017-06-30,,,,,
2017-07-02,,,,,
2017-07-13,,,,,
2017-07-14,,,,,
2017-07-15,,,,,
2017-07-20,,,,,
2017-07-23,,,,,
2017-07-24,,,,,
2017-07-30,,,,,
