#"name1","name2","distance",forced_redirection
"okuma","futaba",14,0
"okuma","tomioka",10,0
"okuma","kawauchi",24,0
"futaba","namie",8,0
"futaba","kawauchi",25,0
"namie","minamisoma_south",14,0
"namie","iitate",55,0
"tomioka","naraha",9,0
"tomioka","kawauchi",22,0
"naraha","hirono",12,0
"naraha","iwaki_north",30,0
"hirono","iwaki_city",24,0
"iwaki_north","iwaki_city",10,0
"kawauchi","tamura",17,0
"minamisoma_south","minamisoma_north",14,0
"minamisoma_north","fukushima_city",61,0
"iitate","fukushima_city",52,0
"iitate","tamura",58,0
"tamura","koriyama",52,0
"kawauchi","koriyama",66,0
"hirono","iwaki_north",19,0
