"#name","region","country","latitude","longitude","location_type","conflict_date","population"
"Adigrat","Tigray","Ethiopia",14.2778,39.4611,"conflict_zone",0,86100
"Axum","Tigray","Ethiopia",14.122015,38.7305334,"conflict_zone",2,66818
"Dansha","Tigray","Ethiopia",13.5662655,36.9730465,"conflict_zone",4,407560
"Humera","Tigray","Ethiopia",14.2652,36.585,"conflict_zone",5,32600
"May_Cadera","Tigray","Ethiopia",14.0747,36.5685,"conflict_zone",7,19300
"Sheraro","Tigray","Ethiopia",14.4,37.9333,"conflict_zone",9,26893
"Maychew","Tigray","Ethiopia",12.7875,39.5422,"conflict_zone",11,35067
"Mekele","Tigray","Ethiopia",13.5,39.4667,"conflict_zone",16,500000
"Shire","Tigray","Ethiopia",14.1014,38.2828,"conflict_zone",16,74503
"Idaga_Hamus","Tigray","Ethiopia",14.18722,39.56389,"conflict_zone",18,10000
"Wukro","Tigray","Ethiopia",13.786854,39.602968,"conflict_zone",21,45214
"Hawzen","Tigray","Ethiopia",13.9797481,39.4308798,"conflict_zone",21,134856
"Dinglet","Tigray","Ethiopia",13.90892,39.51265,"conflict_zone",27,10000
"Adwa","Tigray","Ethiopia",14.1646303,38.895478,"conflict_zone",29,108872
"Dangur","Benshangul_Gumaz","Ethiopia",11.79,36.1952,"conflict_zone",5,48537
"Dibate","Benshangul_Gumaz","Ethiopia",10.65,36.2155,"conflict_zone",11,89087
"Bulen","Benshangul_Gumaz","Ethiopia",10.5833,35.9167,"conflict_zone",23,62228
"Genete_Mariam","Benshangul_Gumaz","Ethiopia",11.0167,36.1,"conflict_zone",23,276367
"Gilgel_Belles","Benshangul_Gumaz","Ethiopia",11.1618,36.344,"conflict_zone",51,10000
"Wembera","Benshangul_Gumaz","Ethiopia",10.5667,35.55,"conflict_zone",64,79084
"Gubba","Benshangul_Gumaz","Ethiopia",11.2664729,35.2916214,"conflict_zone",69,20567
"Nazret","Oromia","Ethiopia",8.55,39.267,"conflict_zone",4,324000
"Negele","Oromia","Ethiopia",5.3328174,39.5806628,"conflict_zone",7,56897
"Ambo","Oromia","Ethiopia",8.982104,37.8554406,"conflict_zone",21,77735
"Dilla","Oromia","Ethiopia",6.4099614,38.3102763,"conflict_zone",26,79892
"Gimbi","Oromia","Ethiopia",8.8062736,37.7881935,"conflict_zone",31,94917
"Shambu","Oromia","Ethiopia",9.566466,37.100363,"conflict_zone",34,24196
"Nedjo","Oromia","Ethiopia",9.5046429,35.501912,"conflict_zone",41,174888
"Dambidollo","Oromia","Ethiopia",8.5333,34.8,"conflict_zone",55,43300
"Shashamane","Oromia","Ethiopia",7.2,38.6,"conflict_zone",56,162127
"Mieso","Oromia","Ethiopia",9.2351,40.7548,"conflict_zone",59,174916
"Siero","Tigray","Ethiopia",14.3205,39.2253,"town",0,10000
"Adi_Ramets","Tigray","Ethiopia",13.7519496,37.3201834,"town",0,15000
"Adi_Goshu","Tigray","Ethiopia",14.1642,37.3081,"town",0,10000
"Alamata","Tigray","Ethiopia",12.415682,39.558081,"town",0,95094
"Aba_Guna","Tigray","Ethiopia",13.9491,38.1837,"town",0,10000
"Dedebit","Tigray","Ethiopia",14.0746,37.7639,"town",0,10000
"Denbe_Khabela","Tigray","Ethiopia",14.298,37.7147,"town",0,10000
"Adi_Harush","Tigray","Ethiopia",13.592,38.1311,"town",0,32167
"Mai_Aini","Tigray","Ethiopia",13.6565,38.1541,"town",0,21682
"Hitsats","Tigray","Ethiopia",14.1063655,37.9561525,"town",0,25248
"Shimelba","Tigray","Ethiopia",14.1768,37.7231,"town",0,8702
"Gerhu_Sirnay","Tigray","Ethiopia",14.4911,39.1735,"town",0,10000
"Rama","Tigray","Ethiopia",14.4114,38.7842,"town",0,10000
"Adebay","Tigray","Ethiopia",14.2024117,36.7576796,"town",0,31653
"Fireselam","Tigray","Ethiopia",14.1125,36.9471,"town",0,10000
"Korem","Tigray","Ethiopia",12.507546,39.522289,"town",0,30633
"Adiy_Addi","Tigray","Ethiopia",13.622985,38.999479,"town",0,26759
"Mehoni","Tigray","Ethiopia",12.8022,39.6457,"town",0,20700
"Inticho","Tigray","Ethiopia",14.2779207,39.1506252,"town",0,19000
"Hagere_Selam","Tigray","Ethiopia",13.6489,39.1724,"town",0,5169
"Freweyni","Tigray","Ethiopia",14.054186,39.577254,"town",0,10000
"Atsbi","Tigray","Ethiopia",13.8721,39.7381,"town",0,130575
"Bako","Oromia","Ethiopia",9.1217306,37.065626,"town",0,164298
"Mojo","Oromia","Ethiopia",8.5869874,39.125,"town",0,43500
"Asosa","Benshangul_Gumaz","Ethiopia",10.0646352,34.5437024,"town",0,151075
"Bambasi","Benshangul_Gumaz","Ethiopia",9.7604225,34.7298772,"town",0,68594
"Arema","Amhara","Ethiopia",13.36337,37.01777,"town",0,10000
"Wereta","Amhara","Ethiopia",11.9503,37.7101,"town",0,33200
"Shehibi","Amhara","Ethiopia",12.7807,36.4046,"town",0,10000
"Almahal","Amhara","Ethiopia",11.5456,35.157,"town",0,10000
"Woldia","Amhara","Ethiopia",11.8284,39.5973,"town",0,72300
"Midre_Genet","Amhara","Ethiopia",13.6944786,36.4734299,"town",0,10000
"Metema","Amhara","Ethiopia",12.9543849,36.1550794,"town",0,144843
"Enjebara","Amhara","Ethiopia",10.95855,36.934574,"town",0,35846
"Semera","Afar","Ethiopia",11.7922,41.0088,"town",0,100000
"Awash","Afar","Ethiopia",8.992496,40.167674,"town",0,46909
"Addis_Ababa","Addis_Ababa","Ethiopia",9.0107934,38.7612525,"town",0,4793699
"Bahir_Dar","Amhara","Ethiopia",11.6,37.3833,"camp",0,750991
"Gondar","Amhara","Ethiopia",12.6,37.4667,"camp",0,740859
"Hamdayet","Kassala","Sudan",14.26856,36.53171,"camp",0,1000000
"Lugdi","Gedaref","Sudan",14.15507,36.4792871,"camp",0,1000000
"Abderafi","Gedaref","Sudan",13.7377,36.4334,"camp",0,1000000
"Wad_Al_Mahi","Blue_Nile","Sudan",11.416667,34.616667,"camp",0,1000000
"Sehra","Debub","Eritrea",14.5465,39.3904,"camp",0,1000000
"Tsorona","Debub","Eritrea",14.6231,39.1972,"camp",0,1000000
"Galafi","Dikhil","Djibouti",11.7169,41.8375,"camp",0,1000000
