Day,Kule sim,Kule data,Kule error,Nguenyyiel sim,Nguenyyiel data,Nguenyyiel error,Okugo sim,Okugo data,Okugo error,Pugnido sim,Pugnido data,Pugnido error,Tierkidi sim,Tierkidi data,Tierkidi error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,806,0,0
1,0,243,1.0,0,0,0.0,0,0,0.0,0,314,1.0,0,44,1.0,0.7457,601,13,806,0,0
2,0,487,1.0,0,0,0.0,0,0,0.0,0,628,1.0,0,88,1.0,1.4907,1203,5,807,0,0
3,0,487,1.0,0,1,1.0,0,1,1.0,0,652,1.0,0,132,1.0,1.5774,1273,11,807,0,0
4,0,487,1.0,0,1,1.0,0,1,1.0,0,676,1.0,0,177,1.0,1.6629,1342,8,807,0,0
5,0,487,1.0,0,2,1.0,0,1,1.0,0,700,1.0,0,221,1.0,1.7485,1411,11,807,0,0
6,0,487,1.0,0,2,1.0,0,2,1.0,0,723,1.0,0,265,1.0,1.8327,1479,8,807,0,0
7,0,487,1.0,0,3,1.0,0,2,1.0,0,747,1.0,0,310,1.0,1.9195,1549,12,807,0,0
8,0,487,1.0,0,3,1.0,0,2,1.0,0,771,1.0,0,354,1.0,2.0037,1617,10,807,0,0
9,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,398,1.0,2.0905,1687,9,807,0,0
10,0,487,1.0,0,4,1.0,0,3,1.0,0,795,1.0,0,443,1.0,2.1436,1732,7,808,0,0
11,0,487,1.0,0,5,1.0,0,3,1.0,0,795,1.0,0,487,1.0,2.1965,1777,8,809,0,0
12,0,487,1.0,0,5,1.0,0,4,1.0,0,795,1.0,0,531,1.0,2.2494,1822,8,810,0,0
13,0,487,1.0,0,6,1.0,0,4,1.0,0,795,1.0,0,576,1.0,2.3033,1868,8,811,0,0
