#name,region,country,lat,lon,location_type,conflict_date,population
Torit,Eastern_Equatoria,South_Sudan,4.4182,32.5767,conflict_zone,413,175900
Turalei,Warrap,South_Sudan,9.084,28.435,conflict_zone,330,512640
Waat,Jonglei,South_Sudan,8.1972,32.15,conflict_zone,319,26250
Wadakona,Upper_Nile,South_Sudan,11.6173,32.7305,conflict_zone,145,18040
Walgak,Jonglei,South_Sudan,8.1593,32.2418,conflict_zone,319,10940
Wau,Western_Bahr_el_Ghazal,South_Sudan,7.6552,27.9726,conflict_zone,409,215030
Wau_Shilluk,Upper_Nile,South_Sudan,9.649,31.3367,conflict_zone,254,5000
Yambio,Western_Equatoria,South_Sudan,4.571,28.4104,conflict_zone,414,243870
Yei,Central_Equatoria,South_Sudan,4.0914753,30.67854881,conflict_zone,424,288170
Yirol_West,Lakes,South_Sudan,6.5525,30.4981,conflict_zone,385,122110
Yuai,Jonglei,South_Sudan,7.901,31.8883,conflict_zone,270,36180
Aba,Haut-Uele,DRC,3.86362,30.239644,town,,
Abyei,Abyei,Sudan,9.510293,28.47441,town,,
Al_Mijlad,East_Darfur,Sudan,11.033941,27.740201,town,,
Bahr_al_Jabal,Central_Equatoria,South_Sudan,4.71045,31.421875,town,,
Barah,Northern_Kordofan,Sudan,13.69227,30.366655,town,,
Bentiu,Unity,South_Sudan,9.229,29.799,town,,
Boma,Jonglei,South_Sudan,6.182,34.39,town,,
Djugu,Haut-Uele,DRC,2.095252,30.105073,town,,
Eruba,Nile,Uganda,2.95628954,30.91646612,town,,
Faradje,Haut-Uele,DRC,3.731145,29.710347,town,,
Hilal_Camp,Eastern_Equatoria,South_Sudan,4.507397,33.313692,town,,
Kadugli,South_Kordofan,Sudan,11.01,29.697,town,,
Karich,Lakes,South_Sudan,6.612523,29.911425,town,,
Karuma,Northern,Uganda,2.25403,32.243201,town,,
Keyala,Eastern_Equatoria,South_Sudan,4.461397,32.872917,town,,
Kosti,White_Nile,Sudan,13.137,32.649,town,,
Limbe,Central_Equatoria,South_Sudan,4.157967,30.857986,town,,
Mongalla,Central_Equatoria,South_Sudan,5.1989,31.77152,town,,
Narir_Junction,Unity,South_Sudan,9.481851,29.69,town,,
Nesutu,Central_Equatoria,South_Sudan,4.691,31.704,town,,
Ngangala,Central_Equatoria,South_Sudan,4.70466,31.920437,town,,
Nyala,South_Darfur,Sudan,12.049,24.879,town,,
Pochalla,Jonglei,South_Sudan,7.1783,34.0967,town,,
Tonga,Upper_Nile,South_Sudan,9.4744,31.0451,town,,
Tonj,Warrap,South_Sudan,7.274683,28.686728,town,,
Wandi,Nile,Uganda,3.099716,30.978993,town,,
