Day,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Pugnido sim,Pugnido data,Pugnido error,Teirkidi sim,Teirkidi data,Teirkidi error,Dadaab sim,Dadaab data,Dadaab error,Kakuma sim,Kakuma data,Kakuma error,EastDarfur sim,EastDarfur data,EastDarfur error,Khartoum sim,Khartoum data,Khartoum error,WestKordofan sim,WestKordofan data,WestKordofan error,WhiteNile sim,WhiteNile data,WhiteNile error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
27,0,459,1.0,0,300,1.0,0,42032,1.0,0,8810,1.0,4529,49,91.4285714286,73529,45993,0.598699802144,0,43,1.0,0,14,1.0,0,1515,1.0,0,5958,1.0,0.8666387761117397,105173,128270,95335
28,0,476,1.0,0,311,1.0,0,42032,1.0,0,9136,1.0,4534,50,89.68,75772,46158,0.641578924563,0,45,1.0,0,14,1.0,0,1571,1.0,0,6178,1.0,0.8857234526427041,105971,130013,95859
29,0,493,1.0,0,323,1.0,0,42031,1.0,0,9462,1.0,4530,52,86.1153846154,77994,46324,0.683662896123,0,47,1.0,0,15,1.0,0,1628,1.0,0,6399,1.0,0.9042088898046341,106774,131712,96336
30,0,510,1.0,0,334,1.0,0,42030,1.0,0,9788,1.0,4528,54,82.8518518519,80200,46598,0.721103910039,0,48,1.0,0,15,1.0,0,1684,1.0,0,6620,1.0,0.9203573518076541,107681,134213,97619
31,0,527,1.0,0,345,1.0,0,42029,1.0,0,10115,1.0,4526,56,79.8214285714,82425,46899,0.757500159918,0,50,1.0,0,16,1.0,0,1740,1.0,0,6840,1.0,0.9359308395555024,108617,135507,97693
32,0,544,1.0,0,356,1.0,0,42028,1.0,0,10441,1.0,4524,58,77.0,84876,47338,0.792978157083,0,52,1.0,0,16,1.0,0,1796,1.0,0,7061,1.0,0.9508432856231197,109690,137646,98613
33,0,561,1.0,0,367,1.0,0,42027,1.0,0,10767,1.0,4520,60,74.3333333333,86935,47442,0.832448041819,0,53,1.0,0,17,1.0,0,1852,1.0,0,7282,1.0,0.9678614119607346,110428,139415,99163
34,0,578,1.0,0,378,1.0,0,42026,1.0,0,11094,1.0,4516,61,73.0327868852,89266,47830,0.866318210328,0,55,1.0,0,17,1.0,0,1908,1.0,0,7502,1.0,0.9820545720464069,111449,141351,99880
35,0,594,1.0,0,389,1.0,0,42026,1.0,0,11420,1.0,4509,63,70.5714285714,90004,48313,0.862935441807,0,56,1.0,0,18,1.0,0,1964,1.0,0,7723,1.0,0.9801094469022618,112566,143453,100763
36,1,612,0.998366013072,0,401,1.0,6,42025,0.999857227841,8,11746,0.999318917078,4503,65,68.2769230769,90034,48975,0.838366513527,0,58,1.0,0,18,1.0,0,2021,1.0,1,7944,0.999874118832,0.9687436877003469,113865,145567,101655
37,4,629,0.993640699523,1,412,0.997572815534,17,42024,0.999595469256,17,12073,0.998591899279,4498,67,66.1343283582,90072,49625,0.815052896725,0,60,1.0,0,19,1.0,0,2077,1.0,1,8164,0.999877511024,0.9578462874511506,115150,147615,102483
38,5,646,0.99226006192,1,423,0.997635933806,32,42023,0.999238512243,27,12399,0.997822405033,4494,69,64.1304347826,90208,50259,0.794862611672,1,61,0.983606557377,0,20,1.0,0,2133,1.0,3,8385,0.999642218247,0.9482640141558866,116418,149680,103349
39,9,663,0.986425339367,2,434,0.995391705069,55,42022,0.998691161772,45,12725,0.996463654224,4491,71,62.2535211268,90340,51031,0.770296486449,3,63,0.952380952381,1,65,0.984615384615,0,2189,1.0,4,8606,0.999535207994,0.9364379098830057,117869,151911,104315
40,16,680,0.976470588235,5,445,0.988764044944,78,42021,0.99814378525,62,13051,0.995249406176,4489,72,61.3472222222,90458,51567,0.754183877286,3,65,0.953846153846,1,110,0.990909090909,0,2245,1.0,5,8826,0.999433491956,0.9286122167917905,119082,153832,104888
41,26,697,0.962697274032,9,456,0.980263157895,117,42021,0.997215677875,87,13378,0.993496785768,4482,74,59.5675675676,90610,52149,0.737521333103,3,66,0.954545454545,1,155,0.993548387097,0,2301,1.0,5,9047,0.999447330607,0.920212058764874,120344,155780,105484
42,39,714,0.945378151261,13,467,0.972162740899,177,42020,0.995787720133,111,13704,0.991900175131,4479,76,57.9342105263,90779,52523,0.728366620338,3,68,0.955882352941,1,200,0.995,0,2357,1.0,7,9268,0.999244712991,0.9152285476576851,121397,157516,106049
43,54,731,0.926128590971,24,479,0.949895615866,222,42019,0.99471667579,149,14030,0.989379900214,4477,78,56.3974358974,90936,52974,0.716615698267,3,69,0.95652173913,1,205,0.99512195122,0,2413,1.0,8,9488,0.99915682968,0.9089528599186846,122486,159289,106512
