Day,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Pugnido sim,Pugnido data,Pugnido error,Teirkidi sim,Teirkidi data,Teirkidi error,Dadaab sim,Dadaab data,Dadaab error,Kakuma sim,Kakuma data,Kakuma error,EastDarfur sim,EastDarfur data,EastDarfur error,Khartoum sim,Khartoum data,Khartoum error,WestKordofan sim,WestKordofan data,WestKordofan error,WhiteNile sim,WhiteNile data,WhiteNile error,Total error,refugees in camps (UNHCR),refugees in camps (simulation),raw UNHCR refugee count
179,10381,3043,2.41143608281,9614,7134,0.347631062518,23372,44548,0.475352428841,20397,51376,0.60298582996,3897,325,10.9907692308,93024,82559,0.126757833792,612,68,8.0,445,24587,0.981901004596,1464,3327,0.55996393147,740,7169,0.896777793277,0.4862583431488025,224136,343054,338337
180,10424,3060,2.40653594771,9653,7660,0.260182767624,23464,44552,0.473334530436,20470,51476,0.602338954076,3891,327,10.8990825688,92942,82618,0.124960662325,618,68,8.08823529412,447,24605,0.98183296078,1476,3327,0.556357078449,743,7169,0.896359324871,0.4817354644181765,224862,343444,347298
181,10468,3077,2.40201494963,9707,8296,0.170081967213,23553,44557,0.471396189151,20553,51476,0.60072655218,3884,329,10.8054711246,92834,82677,0.122851579036,621,68,8.13235294118,453,24623,0.981602566706,1485,3327,0.553651938683,748,7169,0.895661877528,0.47618562139016574,225599,343847,347887
182,10517,3094,2.39915966387,9752,8933,0.0916825254674,23648,44562,0.469323638975,20652,51476,0.598803325822,3880,331,10.7220543807,92732,82737,0.120804476836,628,68,8.23529411765,458,24641,0.981413092001,1497,3327,0.550045085663,756,7169,0.89454596178,0.47057939895200984,226338,344245,347887
183,10567,3111,2.39665702347,9808,9570,0.0248693834901,23740,44566,0.467306915586,20725,51476,0.597385189214,3875,333,10.6366366366,92632,82796,0.118798009566,635,68,8.33823529412,461,24659,0.981305000203,1509,3327,0.546438232642,760,7169,0.893988003906,0.46522514587691294,227075,344642,347887
184,10611,3128,2.39226342711,9847,10207,0.0352699128049,23847,44571,0.464966009289,20798,51476,0.595967052607,3869,334,10.5838323353,92550,82856,0.116998165492,640,68,8.41176470588,464,24677,0.981197066094,1527,3327,0.541027953111,766,7169,0.893151067094,0.4629323172953256,227813,345040,347887
185,10647,3144,2.38645038168,9885,10844,0.0884360014755,23928,44575,0.463196859226,20880,51476,0.59437407724,3865,336,10.5029761905,92471,82915,0.1152505578,646,68,8.5,471,24695,0.980927313221,1545,3327,0.53561767358,778,7169,0.891477193472,0.4627672840397464,228549,345437,348139
186,10697,3162,2.38298545225,9927,11481,0.135354063235,24014,44580,0.461327949753,20959,51476,0.592839381459,3860,338,10.4201183432,92392,82975,0.113492015667,651,68,8.57352941176,476,24710,0.980736543909,1549,3327,0.53441538924,784,7169,0.890640256661,0.46270160411015065,229286,345835,348555
187,10748,3179,2.3809374017,9974,12118,0.176926885625,24098,44585,0.459504317596,21046,51476,0.591149273448,3857,340,10.3441176471,92284,83058,0.111079005033,656,68,8.64705882353,478,24725,0.980667340748,1562,3327,0.530507965134,792,7169,0.889524340912,0.46230085418070377,230045,346254,353192
188,10804,3196,2.38047559449,10025,12697,0.21044341183,24194,44585,0.457351127061,21116,51476,0.589789416427,3855,342,10.2719298246,92198,83142,0.108922085107,658,68,8.67647058824,479,24741,0.980639424437,1575,3327,0.526600541028,797,7169,0.88882689357,0.46188183390178683,230743,346612,353192
189,10849,3213,2.37659508248,10072,13277,0.241394893425,24263,44585,0.455803521364,21192,51476,0.588313000233,3850,344,10.1918604651,92097,83226,0.106589287002,662,68,8.73529411765,483,24756,0.980489578284,1596,3327,0.520288548242,799,7169,0.888547914632,0.46142213350270694,231441,346971,353303
190,10892,3230,2.37213622291,10127,13857,0.269178032763,24345,44586,0.453976584578,21264,51476,0.586914290155,3848,345,10.1536231884,92000,83310,0.104309206578,665,68,8.77941176471,484,24771,0.98046102297,1608,3327,0.516681695221,804,7169,0.88785046729,0.4609565820478248,232139,347326,353303
191,10945,3247,2.37080381891,10165,14436,0.295857578277,24443,44586,0.451778585206,21331,51476,0.58561271272,3847,347,10.0864553314,91915,83394,0.102177614697,669,68,8.83823529412,486,24787,0.980392947916,1615,3327,0.514577697625,809,7169,0.887153019947,0.46063125705965974,232837,347682,354574
192,10989,3264,2.36672794118,10217,15016,0.319592434736,24516,44586,0.45014129996,21410,51476,0.58407801694,3845,349,10.0171919771,91834,83478,0.100098229474,674,68,8.91176470588,489,24802,0.980283848077,1625,3327,0.511571986775,814,7169,0.886455572604,0.46026505662962724,233535,348011,354574
193,11026,3281,2.36056080463,10270,15596,0.341497819954,24587,44587,0.448561239823,21488,51476,0.582562747688,3842,351,9.94586894587,91740,83562,0.0978674517125,680,68,9.0,493,24817,0.980134585163,1633,3327,0.509167418094,822,7026,0.883005977797,0.4594879768978731,234091,348199,358641
194,11054,3298,2.35172832019,10310,18028,0.428111826048,24666,44587,0.446789422926,21558,51476,0.581202890667,3841,353,9.88101983003,92116,83622,0.10157614025,683,68,9.04411764706,496,24833,0.980026577538,1647,3327,0.504959422904,831,6883,0.879267761151,0.4650766465799767,236475,350216,358641
195,11082,3315,2.34298642534,10360,20460,0.493646138807,24755,44587,0.444793325409,21634,51476,0.579726474474,3837,355,9.80845070423,92820,83682,0.10919911092,689,68,9.13235294118,496,24848,0.9800386349,1657,3327,0.501953712053,843,6740,0.874925816024,0.4718326369642214,238858,352230,358641
196,11114,3331,2.3365355749,10415,22892,0.545037567709,24816,44587,0.443425213627,21713,51476,0.578191778693,3835,356,9.77247191011,93621,83743,0.117956127676,692,68,9.17647058824,498,24863,0.979970236898,1665,3327,0.499549143372,850,6597,0.871153554646,0.47897943956226163,241240,354244,358641
197,11158,3349,2.33174081815,10460,25325,0.586969397828,24900,44588,0.441553781286,21777,51476,0.576948480845,3831,358,9.70111731844,93891,83803,0.120377552116,696,68,9.23529411765,498,24879,0.979983118293,1667,3327,0.498948001202,863,6454,0.866284474744,0.48386262606361363,243627,356264,368370
198,11215,3366,2.33184789067,10500,25417,0.586890663729,24997,44588,0.439378308065,21854,51476,0.575452638123,3825,360,9.625,93801,83863,0.118502796227,703,68,9.33823529412,500,24894,0.979914838917,1670,3327,0.498046287947,868,6311,0.862462367295,0.4822546887183486,243670,356264,368370
199,11261,3383,2.32870233521,10541,25509,0.5867732957,25059,44588,0.437987799408,21921,51476,0.574151060688,3822,362,9.55801104972,93709,83924,0.116593584672,705,68,9.36764705882,503,24910,0.979807306303,1679,3327,0.495341148182,875,6169,0.858161776625,0.48072756815309625,243716,356264,367585
200,11312,3400,2.32705882353,10567,25601,0.587242685833,25127,44588,0.436462725397,21996,51476,0.572694071023,3818,364,9.48901098901,93611,83984,0.114628976948,708,68,9.41176470588,509,24910,0.979566439181,1689,3327,0.492335437331,882,6169,0.857027070838,0.4794597498021625,243887,356371,367861
201,11341,3417,2.31899326895,10603,28681,0.630312750601,25220,44589,0.434389647671,22091,51476,0.570848550781,3815,365,9.45205479452,93514,84045,0.11266583378,715,68,9.51470588235,516,24910,0.979285427539,1697,3327,0.48993086865,886,6169,0.856378667531,0.4842357931891502,247047,359469,368344
202,11382,3434,2.31450203844,10650,31762,0.664693659089,25296,44589,0.432685191415,22174,51476,0.569236148885,3811,367,9.38419618529,93424,84757,0.102257040716,720,68,9.58823529412,523,24910,0.979004415897,1709,3327,0.48632401563,898,6169,0.854433457611,0.4851091649093714,250859,363218,368344
203,11432,3451,2.31266299623,10685,34842,0.693329889214,25371,44589,0.431003162215,22237,51476,0.568012277566,3805,369,9.31165311653,93331,85470,0.0919737919738,727,68,9.69117647059,530,24910,0.978723404255,1725,3327,0.481514878269,905,6169,0.853298751824,0.48610560291513366,254671,366967,369769
204,11466,3468,2.3062283737,10737,37923,0.716873665058,25463,44589,0.428939873063,22300,51476,0.566788406248,3801,371,9.24528301887,93235,85207,0.0942176112291,730,68,9.73529411765,533,24910,0.978602970695,1741,3327,0.476705740908,907,6169,0.85297455017,0.4925322708420709,257508,369740,369769
205,11509,3485,2.30243902439,10774,41004,0.737245146815,25557,44590,0.426844583987,22386,51476,0.565117724765,3796,373,9.17694369973,93125,84944,0.0963105104539,733,68,9.77941176471,538,24910,0.978402248093,1751,3327,0.473700030057,912,6169,0.852164046037,0.4987631843777127,260346,372516,369769
206,11580,3502,2.30668189606,10821,44084,0.754536793394,25658,44590,0.424579502131,22492,51476,0.563058512705,3793,375,9.11466666667,93028,84681,0.0985699271383,737,68,9.83823529412,543,24910,0.978201525492,1758,3327,0.471596032462,921,6169,0.850705138596,0.5048787531062154,263182,375289,369769
207,11628,3518,2.30528709494,10860,47165,0.76974451394,25788,44590,0.421664050235,22577,51476,0.561407257751,3788,376,9.07446808511,92916,84419,0.100652696668,745,68,9.95588235294,545,24910,0.978121236451,1773,3327,0.467087466186,927,6169,0.849732533636,0.5107285973129638,266018,378062,368718
208,11669,3536,2.30005656109,10908,50246,0.782908092186,25902,44590,0.419107423189,22694,51476,0.559134353874,3782,378,9.00529100529,92826,84594,0.0973118660898,750,68,10.0294117647,547,24910,0.978040947411,1785,3327,0.463480613165,933,6169,0.848759928676,0.5139364412129495,269294,381275,393363
209,11729,3553,2.3011539544,10962,50255,0.781872450502,26004,44591,0.416832993205,22819,51476,0.556706037765,3780,380,8.94736842105,92721,84770,0.0937949746373,754,68,10.0882352941,550,24910,0.97792051385,1800,3327,0.458972046889,947,6169,0.846490517102,0.511538076208075,269499,381417,393363
210,11780,3570,2.29971988796,11008,50265,0.78100069631,26131,44591,0.413984884842,22927,51476,0.554607972647,3775,382,8.88219895288,92630,84946,0.0904574670967,761,68,10.1911764706,556,24910,0.977679646728,1806,3327,0.457168620379,951,6169,0.845842113795,0.5092212203007742,269704,381559,393363
211,11841,3587,2.30108725955,11043,50275,0.78034808553,26283,44591,0.410576125227,23052,51476,0.552179656539,3770,384,8.81770833333,92549,85122,0.0872512393976,762,68,10.2058823529,558,24910,0.977599357688,1817,3327,0.453862338443,954,6169,0.845355811315,0.506844899577265,269909,381701,393363
212,11896,3604,2.30077691454,11089,50285,0.779476981207,26414,44591,0.407638312664,23178,51476,0.549731913902,3766,385,8.78181818182,92449,85298,0.0838354943844,771,68,10.3382352941,563,24910,0.977398635086,1830,3327,0.449954914337,967,6169,0.843248500567,0.5043963082117484,270113,381842,393363
213,11959,3621,2.30267881801,11142,50295,0.778467044438,26546,44592,0.404691424471,23284,51476,0.547672701842,3761,387,8.71834625323,92361,85474,0.0805742097012,776,68,10.4117647059,565,24910,0.977318346046,1839,3327,0.447249774572,976,6169,0.841789593127,0.5020882734842907,270319,381986,393363
214,12028,3638,2.30621220451,11205,50305,0.777258721797,26703,44592,0.401170613563,23414,51476,0.545147253089,3757,389,8.65809768638,92277,85650,0.0773730297723,784,68,10.5294117647,568,24910,0.977197912485,1853,3327,0.443041779381,980,6169,0.84114118982,0.49961186438171845,270524,382127,393363
215,12089,3655,2.30752393981,11257,50315,0.776269502137,26883,44592,0.39713401507,23525,51476,0.542990908384,3755,391,8.60358056266,92180,85826,0.0740335096591,787,68,10.5735294118,571,24910,0.977077478924,1861,3327,0.4406372107,988,6169,0.839844383206,0.4970837996668255,270729,382270,395806
216,12127,3672,2.30255991285,11311,50324,0.775236467689,26999,44592,0.394532651597,23635,51476,0.540853990209,3752,393,8.54707379135,92084,86002,0.070719285598,793,68,10.6617647059,574,24910,0.976957045363,1869,3327,0.43823264202,991,6169,0.839358080726,0.49473486064820454,270933,382385,395806
217,12195,3689,2.30577392247,11378,50334,0.773950013907,27131,44593,0.391586123383,23738,51476,0.538853057736,3746,395,8.4835443038,91990,86178,0.0674418064935,797,68,10.7205882353,579,24910,0.976756322762,1885,3327,0.433423504659,997,6169,0.838385475766,0.49236369537395946,271139,382503,395806
218,12260,3706,2.30814894765,11437,50344,0.772822977912,27268,44593,0.388513892315,23826,51476,0.537143523195,3741,396,8.44696969697,91893,86354,0.0641429464761,801,68,10.7794117647,584,24910,0.976555600161,1895,3327,0.430417793808,1005,6169,0.837088669152,0.4900623933545365,271343,382619,397741
219,12318,3723,2.30862207897,11496,50354,0.771696389562,27386,44593,0.385867737089,23916,51476,0.535395135597,3735,398,8.38442211055,91776,86382,0.0624435646315,810,68,10.9117647059,587,24910,0.9764351666,1905,3327,0.427412082958,1011,6169,0.836116064192,0.4885630066322771,271400,382619,397741
220,12370,3740,2.30748663102,11573,50364,0.770212850449,27521,44593,0.38284035611,24055,51476,0.532694848085,3728,400,8.32,91690,86410,0.0611040388844,816,68,11.0,589,24910,0.976354877559,1915,3327,0.424406372107,1022,6169,0.834332955098,0.4868174333319826,271457,382729,397741
221,12424,3757,2.30689379824,11628,50374,0.769166633581,27657,44594,0.379804457999,24176,51476,0.530344238092,3724,402,8.26368159204,92115,86439,0.0656648040815,821,68,11.0735294118,593,25244,0.976509269529,1922,3327,0.422302374512,1032,6169,0.832711946831,0.4877469192569432,271850,383174,397741
222,12481,3774,2.30710121887,11689,50384,0.768001746586,27761,44594,0.377472305691,24270,51476,0.528518144378,3719,404,8.20544554455,93010,86467,0.0756704870066,825,68,11.1323529412,599,25578,0.976581437173,1934,3327,0.418695521491,1038,6169,0.831739341871,0.4905910571883001,272241,383617,397741
223,12541,3791,2.30809812714,11742,50393,0.766991447225,27878,44594,0.374848634345,24401,51476,0.525973269096,3716,405,8.17530864198,93883,86496,0.0854027931927,832,68,11.2352941176,602,25912,0.97676752084,1951,3327,0.413585813045,1044,6169,0.83076673691,0.4932124373237086,272631,384059,397741
224,12583,3808,2.3043592437,11801,50403,0.765867111085,27958,44594,0.373054671032,24495,51476,0.524147175383,3712,407,8.12039312039,94132,86524,0.0879293606398,838,68,11.3235294118,608,26247,0.976835447861,1961,3327,0.410580102194,1053,6169,0.82930782947,0.49372397197305723,273023,384504,397741
225,12639,3825,2.30431372549,11860,50413,0.764743220995,28066,44595,0.370646933513,24597,51476,0.522165669438,3704,409,8.05623471883,94052,86553,0.0866405554978,841,68,11.3676470588,608,26581,0.977126518942,1971,3327,0.407574391344,1061,6169,0.828011022856,0.49294481668958656,273416,384948,397940
226,12698,3842,2.30504945341,11910,50423,0.763798266664,28169,44595,0.36833725754,24698,51476,0.520203590023,3701,411,8.00486618005,93951,86652,0.0842334856668,841,68,11.3676470588,610,26915,0.97733605796,1977,3327,0.405770964833,1066,6169,0.827200518723,0.4917992682873396,273878,385462,397940
227,12736,3859,2.30033687484,11961,50433,0.762833858783,28285,44595,0.365736069066,24802,51476,0.51818323102,3694,413,7.94430992736,93854,86752,0.0818655477684,847,68,11.4558823529,616,27250,0.977394495413,1982,3327,0.404268109408,1078,6169,0.825255308802,0.49050090762624754,274342,385978,400280
228,12800,3876,2.30237358101,12020,50443,0.761711238428,28404,44595,0.363067608476,24915,51476,0.515988033258,3692,415,7.89638554217,93753,86851,0.0794694361608,852,68,11.5294117647,618,27306,0.977367611514,1991,3327,0.401562969642,1083,6169,0.824444804669,0.4887405928764489,274526,386215,400280
229,12856,3893,2.3023375289,12072,50453,0.760727806077,28542,44596,0.35998744282,25012,51476,0.514103659958,3687,416,7.86298076923,93655,86951,0.0771008959069,858,68,11.6176470588,621,27363,0.977305120053,2003,3327,0.397956116622,1084,6169,0.824282703842,0.48697545065377557,274712,386452,400496
230,12909,3910,2.30153452685,12130,50453,0.759578221315,28661,44596,0.357319042067,25101,51331,0.510997253122,3681,418,7.80622009569,93548,87050,0.0746467547387,866,68,11.7352941176,624,27420,0.977242888403,2015,3327,0.394349263601,1091,6169,0.823147998055,0.4849349571598081,274742,386534,400496
231,12979,3927,2.30506748154,12178,50453,0.758626840822,28773,44597,0.354822073234,25184,51186,0.507990466143,3678,420,7.75714285714,93450,87150,0.0722891566265,872,68,11.8235294118,628,27477,0.977144520872,2033,3327,0.38893898407,1102,6169,0.821364888961,0.48303332920873154,274774,386619,400496
232,13023,3944,2.30197768763,12231,50453,0.757576358195,28883,44598,0.352370061438,25288,51041,0.504555161537,3671,422,7.6990521327,93363,87250,0.0700630372493,875,68,11.8676470588,630,27534,0.977119198082,2038,3327,0.387436128644,1112,6169,0.819743880694,0.48102297620867085,274806,386703,401193
233,13071,3961,2.29992426155,12287,50453,0.756466414287,28960,44599,0.350658086504,25354,50897,0.501856690964,3666,424,7.64622641509,93258,87303,0.0682107144084,881,68,11.9558823529,633,27591,0.977057736218,2048,3327,0.384430417794,1121,6169,0.818284973253,0.47946446767009226,274792,386741,401193
234,13128,3978,2.30015082956,12337,50453,0.75547539294,29058,44600,0.348475336323,25452,50752,0.498502522068,3665,426,7.60328638498,93196,87357,0.0668406653159,882,68,11.9705882353,639,27648,0.976888020833,2064,3327,0.379621280433,1127,6169,0.817312368293,0.4778912431126218,274778,386778,401193
235,13185,3995,2.30037546934,12393,50453,0.754365449032,29148,44601,0.346472052196,25545,50607,0.495227932895,3664,427,7.58079625293,93112,87410,0.0652328108912,887,68,12.0441176471,643,27705,0.976791192925,2074,3327,0.376615569582,1137,6169,0.815691360026,0.476303127797876,274762,386815,401648
236,13238,4012,2.29960119641,12448,50453,0.753275325551,29237,44602,0.344491278418,25641,50463,0.491885143571,3660,429,7.53146853147,93038,87464,0.063729077106,888,68,12.0588235294,645,27734,0.976743347516,2088,3393,0.384615384615,1145,6169,0.814394553412,0.47477136836895484,274787,386892,401648
237,13293,4029,2.29932985853,12494,50453,0.752363585912,29306,44603,0.34295899379,25712,50318,0.489009897055,3657,431,7.4849187935,92952,87518,0.0620900843255,894,68,12.1470588235,648,27764,0.97666042357,2091,3459,0.395490026019,1151,6169,0.813421948452,0.4734654964120926,274812,386969,401648
238,13327,4046,2.29387048937,12537,50453,0.751511307554,29392,44604,0.34104564613,25776,50173,0.486257548881,3653,433,7.43648960739,92862,87571,0.0604195452833,899,68,12.2205882353,650,27794,0.976613657624,2102,3525,0.403687943262,1155,6169,0.812773545145,0.47202331572283107,274836,387045,401648
239,13377,4063,2.29239478218,12584,50453,0.750579747488,29479,44605,0.339109965251,25834,50028,0.48360917886,3651,435,7.39310344828,92766,87625,0.0586704707561,904,68,12.2941176471,654,27824,0.976495112133,2116,3592,0.410913140312,1166,6169,0.810990436051,0.4705816009488398,274862,387124,401648
240,13423,4080,2.28995098039,12636,50453,0.749549085287,29561,44605,0.337271606322,25885,49884,0.481096143052,3648,436,7.36697247706,92674,87679,0.0569691716375,906,68,12.3235294118,656,27854,0.976448624973,2124,3658,0.41935483871,1174,6169,0.809693629438,0.46919450244828764,274886,387200,402077
241,13480,4097,2.2902123505,12697,50345,0.747800178767,29623,44606,0.335896516164,25973,49739,0.477814190072,3644,438,7.3196347032,92596,87724,0.0555378231727,906,68,12.3235294118,661,27884,0.976294649261,2139,3724,0.425617615467,1181,6169,0.808558923651,0.46759390670829787,274794,387200,402077
242,13530,4114,2.28877005348,12739,50237,0.74642195991,29692,44607,0.334364561616,26031,49594,0.475117957817,3637,440,7.26590909091,92500,87769,0.0539028586403,906,68,12.3235294118,663,27914,0.976248477467,2157,3791,0.431020838829,1188,6169,0.807424217864,0.4660451469405139,274703,387200,404151
243,13567,4131,2.28419268942,12798,50129,0.744698677412,29758,44608,0.332899928264,26097,49450,0.472254802831,3633,442,7.21945701357,92402,87814,0.0522467943608,916,68,12.4705882353,667,27944,0.976130833095,2169,3857,0.437645838735,1195,6169,0.806289512077,0.4644225306978573,274612,387200,404151
244,13613,4148,2.28182256509,12848,50021,0.743147877891,29821,44609,0.331502611581,26148,49305,0.46966839063,3631,444,7.17792792793,92320,87859,0.0507745364732,920,68,12.5294117647,673,27974,0.975941946093,2178,3923,0.444812643385,1202,6169,0.80515480629,0.4629753752003497,274520,387200,404151
245,13662,4165,2.28019207683,12909,49913,0.741369983772,29890,44610,0.329970858552,26216,49160,0.46672091131,3628,446,7.13452914798,92234,87904,0.0492582817619,925,68,12.6029411765,678,28004,0.975789172975,2189,3990,0.451378446115,1211,6169,0.803695898849,0.46139074223205273,274429,387215,404151
246,13698,4182,2.27546628407,12948,49805,0.740026101797,29968,44611,0.32823743023,26271,49015,0.464021217994,3625,447,7.1096196868,92137,87950,0.0476065946561,930,68,12.6764705882,680,28034,0.975743739745,2202,4056,0.457100591716,1218,6169,0.802561193062,0.4598213146604359,274337,387229,404422
247,13735,4199,2.27101690879,12992,49697,0.738575769161,30035,44612,0.326750650049,26330,48871,0.461234679053,3620,449,7.06236080178,92039,87875,0.0473854907539,934,68,12.7352941176,685,28064,0.975591505131,2209,4122,0.464095099466,1224,6169,0.801588588102,0.45890211070821446,274126,387229,404422
248,13786,4216,2.26992409867,13032,49589,0.73719978221,30103,44613,0.32524152153,26380,48726,0.458605262078,3616,451,7.0177383592,91944,87800,0.0471981776765,934,68,12.7352941176,689,28094,0.975475190432,2213,4189,0.471711625686,1230,6169,0.800615983142,0.4580910136356169,273915,387229,405673
249,13823,4233,2.26553271911,13079,49481,0.735676320204,30157,44614,0.324046263505,26427,48581,0.456021901566,3614,453,6.97792494481,91852,87726,0.0470328066936,939,81,10.5925925926,697,28117,0.975210726607,2222,4169,0.467018469657,1244,6169,0.798346571568,0.45697745811770896,273624,387229,406416
250,13872,4250,2.264,13108,49373,0.734510764993,30212,44615,0.322828645075,26475,48437,0.453413712658,3612,455,6.93846153846,91779,87651,0.0470958688435,945,95,8.94736842105,699,28140,0.975159914712,2236,4150,0.461204819277,1250,6169,0.797373966607,0.4560740483289736,273335,387229,403377
251,13917,4267,2.26154206703,13143,49265,0.733218309144,30277,44615,0.321371735963,26521,48437,0.452464025435,3610,456,6.91666666667,92138,87576,0.0520918973235,948,109,7.69724770642,699,28163,0.975180200973,2249,4131,0.455579762769,1253,6169,0.796887664127,0.4569856655489992,273188,387229,403377
252,13955,4284,2.25746965453,13187,49158,0.731742544449,30325,44616,0.320311099157,26576,48437,0.451328529843,3606,458,6.87336244541,92999,87502,0.0628214212247,951,122,6.79508196721,706,28187,0.974952992514,2258,4112,0.450875486381,1263,6169,0.79526665586,0.4596641579226867,273045,387229,403377
253,13980,4301,2.25040688212,13230,49050,0.730275229358,30384,44617,0.319003967098,26635,48438,0.450121805194,3603,460,6.83260869565,93861,87427,0.0735928260148,955,136,6.02205882353,710,28210,0.974831619993,2273,4093,0.444661617396,1271,6169,0.793969849246,0.46225187888648267,272901,387229,403377
254,14009,4318,2.24432607689,13278,48942,0.728699276695,30425,44618,0.318100318257,26694,48438,0.448903753252,3598,462,6.78787878788,94173,87352,0.0780863632201,957,150,5.38,713,28233,0.974745864768,2288,4074,0.438389788905,1272,6169,0.79380774842,0.46290090777104814,272756,387229,403377
255,14036,4335,2.23783160323,13304,48834,0.727566859156,30489,44619,0.316681234452,26733,48438,0.448098600273,3596,464,6.75,94086,87278,0.0780036206146,961,164,4.85975609756,721,28257,0.974484198606,2302,4055,0.432305795314,1279,6169,0.792673042633,0.4621276314775891,272613,387229,403636
256,14071,4352,2.23322610294,13338,48726,0.726265238271,30547,44620,0.315396683102,26778,48439,0.447180990524,3591,466,6.70600858369,93973,87203,0.0776349437519,963,164,4.87195121951,724,28257,0.974378030223,2319,4036,0.425421209118,1284,6169,0.791862538499,0.4612894226816233,272432,387229,404452
257,14103,4369,2.22796978714,13384,48618,0.724711012382,30593,44621,0.314381120997,26823,48439,0.446251987035,3589,467,6.6852248394,93875,87129,0.0774254266662,967,164,4.89634146341,727,28257,0.97427186184,2331,4017,0.419716206124,1292,6169,0.790565731885,0.46051790633608813,272250,387229,403631
258,14139,4386,2.22366621067,13428,48510,0.72319109462,30643,44622,0.31327596253,26874,48440,0.445210569777,3583,469,6.63965884861,93795,87185,0.0758157940013,972,164,4.92682926829,733,28257,0.974059525073,2335,3998,0.415957978989,1299,6169,0.789431026098,0.45910727406318885,272200,387229,403631
259,14169,4403,2.21803315921,13470,48402,0.72170571464,30681,44623,0.312439773211,26908,48440,0.44450867052,3581,471,6.60297239915,93686,87241,0.0738758152703,976,164,4.9512195122,734,28257,0.974024135612,2339,3979,0.412163860266,1309,6169,0.787810017831,0.45769780524639075,272149,387229,403631
260,14191,4420,2.21063348416,13502,48294,0.720420756202,30711,44624,0.311782897096,26946,48441,0.443735678454,3578,473,6.5644820296,93589,87298,0.0720635066095,981,164,4.98170731707,739,28257,0.973847188307,2351,3960,0.406313131313,1317,6169,0.786513211217,0.456313855200294,272100,387229,403631
261,14221,4437,2.20509353167,13559,48186,0.718611214876,30753,44624,0.310841699534,26975,48441,0.443137012035,3576,475,6.52842105263,93494,87354,0.0702887103052,985,164,5.00609756098,746,28257,0.97359946208,2356,3941,0.402182187262,1328,6169,0.784730102124,0.4548719343645239,272048,387229,403631
262,14231,4454,2.19510552313,13600,48078,0.71712633637,30777,44625,0.310319327731,27002,48442,0.44259113992,3573,477,6.49056603774,93399,87410,0.0685161880792,992,164,5.0487804878,747,28257,0.973564072619,2362,3922,0.397756246813,1327,6169,0.78489220295,0.4535621585452834,271998,387229,403631
263,14261,4471,2.18966674122,13619,47971,0.71609931,30823,44626,0.309303993188,27036,48442,0.441889269642,3568,478,6.46443514644,93305,87467,0.066745172465,996,164,5.07317073171,749,28257,0.973493293697,2373,3903,0.392006149116,1334,6169,0.783757497163,0.452233515230853,271948,387229,404240
264,14286,4488,2.18315508021,13657,47863,0.714664772371,30864,44627,0.308400743944,27065,48443,0.441302148917,3564,480,6.425,93225,87489,0.0655625278606,1000,164,5.09756097561,752,28257,0.973387125314,2378,3884,0.387744593203,1334,6169,0.783757497163,0.45113365506282554,271864,387229,404558
265,14303,4505,2.17491675916,13684,47755,0.713454088577,30915,44628,0.307273460608,27091,48443,0.440765435667,3562,482,6.39004149378,93126,87512,0.0641512021209,1004,164,5.12195121951,756,28257,0.97324556747,2388,3865,0.382147477361,1338,6169,0.783109093856,0.44991169328133046,271780,387229,404558
266,14320,4522,2.16674038036,13715,47647,0.712153965622,30944,44629,0.306639180802,27123,48444,0.440116423086,3560,484,6.35537190083,93032,87535,0.0627977380476,1005,164,5.12804878049,761,28257,0.973068620165,2398,3846,0.376495059802,1343,6169,0.782298589723,0.44873517190105155,271697,387229,404558
267,14342,4539,2.15972681207,13728,47539,0.711226571867,30990,44630,0.305624019718,27165,48444,0.439249442655,3557,486,6.31893004115,92943,87558,0.0615020900432,1011,164,5.16463414634,760,28257,0.973104009626,2411,3827,0.370002613013,1347,6169,0.781650186416,0.4475890329255227,271613,387229,404558
268,14362,4556,2.15232660228,13757,47431,0.709957622652,31017,44631,0.305034617194,27205,48445,0.438435339044,3552,487,6.29363449692,92845,87580,0.0601164649463,1011,164,5.16463414634,765,28257,0.972927062321,2422,3808,0.363970588235,1354,6169,0.780515480629,0.4463775374915294,271528,387229,404558
269,14377,4572,2.14457567804,13807,47323,0.708239122625,31026,44632,0.304848539165,27234,48445,0.437836722056,3548,489,6.25562372188,92738,87603,0.0586167140395,1012,164,5.17073170732,768,28257,0.972820893938,2426,3789,0.359725521246,1358,6169,0.779867077322,0.44518738740730096,271443,387229,404158
270,14389,4590,2.1348583878,13828,47215,0.70712697236,31047,44633,0.304393610109,27260,48446,0.437311645956,3544,491,6.21792260692,92638,87626,0.057197635405,1020,164,5.21951219512,771,28299,0.972755221033,2434,3789,0.357614146213,1364,6169,0.778894472362,0.4442049649623096,271422,387229,404158
271,14406,4607,2.12698068157,13849,47107,0.706009722547,31085,44634,0.303557825873,27280,48447,0.436910438211,3542,493,6.1845841785,92559,87649,0.0560188935413,1025,164,5.25,775,28341,0.972654458205,2442,3789,0.35550277118,1374,6169,0.777273464095,0.4432608695652174,271400,387229,404348
272,14425,4624,2.11959342561,13886,46999,0.704546905253,31109,44634,0.303020119192,27308,48457,0.436448810285,3540,495,6.15151515152,92463,87694,0.0543822838507,1029,164,5.2743902439,777,28383,0.972624458303,2453,3789,0.352599630509,1375,6169,0.777111363268,0.44214982609208275,271408,387229,404348
