agent_id,initial_zone,camp_node,arrival_timestep,path_length_km,experience_x,decision_mode
333,outer,fukushima_city,1,61.0,0.05025859397448933,original
344,outer,fukushima_city,1,61.0,0.6001741981966855,original
393,outer,fukushima_city,1,61.0,0.40378983958389975,original
396,outer,fukushima_city,1,61.0,0.04463412421489743,original
406,outer,fukushima_city,1,61.0,0.2852104977017609,original
422,outer,fukushima_city,1,61.0,0.29259595956696605,original
424,outer,fukushima_city,1,61.0,0.15920478287661116,original
433,outer,fukushima_city,1,61.0,0.4259059824210775,original
447,outer,fukushima_city,1,61.0,0.653262272605416,original
449,outer,fukushima_city,1,89.0,0.2464855888875706,original
450,outer,fukushima_city,1,89.0,0.2820845249990463,original
468,outer,fukushima_city,1,61.0,0.2420630629734408,original
474,outer,fukushima_city,1,61.0,0.46176607599741826,original
487,outer,fukushima_city,1,61.0,0.2557410897487061,original
505,outer,fukushima_city,1,61.0,0.28415603927543803,original
517,outer,fukushima_city,1,61.0,0.039176755008908416,original
519,outer,fukushima_city,1,89.0,0.46466905583415924,original
521,outer,fukushima_city,1,61.0,0.16102921282616,original
538,outer,fukushima_city,1,61.0,0.42694911536685115,original
567,outer,fukushima_city,1,61.0,0.11822358074246957,original
577,outer,fukushima_city,1,61.0,0.23017223355397423,original
578,outer,fukushima_city,1,61.0,0.06670898559083685,original
617,mid,fukushima_city,1,75.0,0.5062932257695176,original
649,mid,fukushima_city,1,75.0,0.15083083058524147,original
660,mid,fukushima_city,1,75.0,0.8104671463120968,original
666,mid,fukushima_city,1,75.0,0.3015096926687941,original
724,mid,fukushima_city,1,89.0,0.2675377646276868,original
730,mid,koriyama,1,193.0,0.1598899301665868,original
739,mid,fukushima_city,1,89.0,0.16822110923642117,original
775,mid,fukushima_city,1,107.0,0.09516627982820208,original
836,mid,iwaki_city,1,40.0,0.42012931305738005,original
854,inner,iwaki_city,1,59.0,0.18548700949567662,original
861,inner,koriyama,1,105.0,0.3962390962160618,original
868,inner,koriyama,1,90.0,0.13427171241368896,original
869,inner,iwaki_city,1,60.0,0.3229230693911672,original
880,inner,koriyama,1,90.0,0.039233186895554335,original
888,inner,koriyama,1,93.0,0.5316399327434104,original
909,outer,koriyama,1,52.0,0.09254075952586457,original
911,outer,fukushima_city,1,110.0,0.3372472939297104,original
946,outer,koriyama,1,83.0,0.48730015844784513,original
965,outer,koriyama,1,52.0,0.3151424066735618,original
987,outer,koriyama,1,52.0,0.36800815608867454,original
995,outer,koriyama,1,83.0,0.262808837457445,original
1004,outer,koriyama,1,52.0,0.08093294422457019,original
1008,outer,koriyama,1,52.0,0.25400483321392725,original
1069,outer,fukushima_city,1,110.0,0.17078243106385294,original
1076,outer,fukushima_city,1,110.0,0.21030816901036953,original
1079,outer,fukushima_city,1,110.0,0.362350590065105,original
1096,outer,koriyama,1,52.0,0.10621120284209633,original
1098,outer,fukushima_city,1,110.0,0.17139867474093015,original
1107,outer,koriyama,1,117.0,0.5068968230114718,original
