qoi,parameter,S1,S1_conf,ST,ST_conf
hayano_t4,alpha,0.4035812597398555,0.5202911226212783,0.3951210608046622,0.2618079096155546
hayano_t4,beta,-0.42644067430040694,0.2355475445326026,0.269716882666347,0.15597834775917171
hayano_t4,kappa,0.0,0.0,0.0,0.0
mid_ps2_trough,alpha,0.23942730494780254,0.40094743333130783,0.15874723320946746,0.16919108271257197
mid_ps2_trough,beta,0.5566451564629408,0.5247317727289234,0.8004843535964641,0.5155637568164027
mid_ps2_trough,kappa,0.0,0.0,0.0,0.0
mid_ps2_dip,alpha,0.5316525759011183,0.48633079061043316,0.6585324995060052,0.38773973469806267
mid_ps2_dip,beta,0.27501269480558094,0.2500525348228717,0.21340191740949646,0.15636830844443192
mid_ps2_dip,kappa,0.0,0.0,0.0,0.0
mid_ps2_recovery,alpha,0.08688199345294238,0.38599111687548915,0.6157921456533756,0.43634893198161645
mid_ps2_recovery,beta,0.23082984094584064,0.6603752500090164,0.8617056646696611,0.4003381738690679
mid_ps2_recovery,kappa,0.0,0.0,0.0,0.0
blend_inner_t7,alpha,-0.053122087604846234,0.3763703072740426,0.6017496918498032,0.47756810372799824
blend_inner_t7,beta,-0.07999879746264625,0.36717786254758256,0.665243664131317,0.4347954520495605
blend_inner_t7,kappa,0.0,0.0,0.0,0.0
