agent_id,initial_zone,camp_node,arrival_timestep,path_length_km,experience_x,decision_mode
633,mid,fukushima_city,1,121.0,0.25476309221973575,switch
659,mid,fukushima_city,1,103.0,0.2879054378265683,switch
662,mid,fukushima_city,1,75.0,0.11147658369583816,switch
669,mid,fukushima_city,1,75.0,0.30807839685574206,switch
679,mid,koriyama,1,99.0,0.2223668302580205,switch
709,mid,fukushima_city,1,107.0,0.1582662521260867,switch
712,mid,fukushima_city,1,107.0,0.37980082028449685,switch
723,mid,fukushima_city,1,89.0,0.10680711806152557,switch
779,mid,fukushima_city,1,89.0,0.3074523932630419,switch
820,mid,iwaki_city,1,40.0,0.5554252546261353,switch
837,mid,iwaki_city,1,40.0,0.005733078329736931,switch
840,inner,koriyama,1,90.0,0.2416613506549737,switch
851,inner,koriyama,1,90.0,0.2113471178701141,switch
875,inner,koriyama,1,90.0,0.2970037239290446,switch
904,outer,koriyama,1,83.0,0.6666911149449901,switch
919,outer,fukushima_city,1,110.0,0.26489286096592873,switch
944,outer,koriyama,1,52.0,0.11662809906980227,switch
948,outer,koriyama,1,83.0,0.6798164146743195,switch
954,outer,fukushima_city,1,110.0,0.3684974516119727,switch
960,outer,fukushima_city,1,110.0,0.5248502072402792,switch
974,outer,koriyama,1,52.0,0.7523691317255372,switch
984,outer,koriyama,1,168.0,0.1648588595425525,switch
1004,outer,koriyama,1,83.0,0.08093294422457019,switch
1021,outer,koriyama,1,52.0,0.27685130250150586,switch
1038,outer,koriyama,1,52.0,0.4288057992064724,switch
1040,outer,koriyama,1,52.0,0.19382531603779915,switch
1048,outer,koriyama,1,52.0,0.16506929168388568,switch
1051,outer,fukushima_city,1,226.0,0.2849323027928061,switch
1052,outer,koriyama,1,52.0,0.2304986586622606,switch
1053,outer,koriyama,1,52.0,0.14232778844637728,switch
1065,outer,koriyama,1,52.0,0.08313617900913325,switch
1089,outer,koriyama,1,83.0,0.3459646306333117,switch
1098,outer,koriyama,1,52.0,0.17139867474093015,switch
1122,mid,koriyama,1,88.0,0.03832161316719323,switch
1174,mid,koriyama,1,88.0,0.2723669553891564,switch
7,inner,koriyama,2,91.0,0.15089426689933477,switch
23,inner,koriyama,2,104.0,0.11293331963858236,switch
25,inner,iwaki_city,2,74.0,0.29892066136433687,switch
26,inner,koriyama,2,110.0,0.09624516671128007,switch
29,inner,koriyama,2,208.0,0.6281818928514328,switch
32,inner,koriyama,2,91.0,0.1640564553357773,switch
34,inner,fukushima_city,2,97.0,0.5079425083905975,switch
35,inner,koriyama,2,94.0,0.04625077045058682,switch
43,outer,iwaki_city,2,24.0,0.052897264407406976,switch
47,outer,iwaki_city,2,24.0,0.5640587698096096,switch
68,outer,fukushima_city,2,52.0,0.16759708002585516,switch
71,outer,fukushima_city,2,52.0,0.25345658923641035,switch
86,outer,koriyama,2,110.0,0.325338840592838,switch
89,outer,fukushima_city,2,52.0,0.311867577054864,switch
92,outer,fukushima_city,2,52.0,0.06881685718489745,switch
101,outer,koriyama,2,110.0,0.33338728049763183,switch
105,outer,iwaki_city,2,72.0,0.5581949104795468,switch
106,outer,iwaki_city,2,10.0,0.2406864018990516,switch
111,outer,iwaki_city,2,10.0,0.1830446419482492,switch
114,outer,iwaki_city,2,72.0,0.12758667085044484,switch
116,outer,iwaki_city,2,48.0,0.28413911856577007,switch
121,outer,iwaki_city,2,43.0,0.2448553811054104,switch
140,outer,iwaki_city,2,10.0,0.32584569387566037,switch
143,outer,iwaki_city,2,10.0,0.41876730875098594,switch
146,outer,iwaki_city,2,10.0,0.49469960814466146,switch
155,outer,iwaki_city,2,10.0,0.11861578841183525,switch
162,outer,iwaki_city,2,43.0,0.03497046698601967,switch
163,outer,iwaki_city,2,10.0,0.1714927584151397,switch
165,outer,iwaki_city,2,10.0,0.3666980040518771,switch
167,outer,iwaki_city,2,10.0,0.6671149717480449,switch
174,outer,iwaki_city,2,48.0,0.4373517725352685,switch
184,outer,iwaki_city,2,66.0,0.4408177547382989,switch
185,outer,koriyama,2,130.0,0.27984942792705586,switch
188,outer,iwaki_city,2,48.0,0.1199660531959114,switch
213,outer,iwaki_city,2,66.0,0.5076989649403628,switch
219,outer,iwaki_city,2,43.0,0.16149510616758178,switch
235,outer,iwaki_city,2,10.0,0.4471054876698191,switch
248,outer,iwaki_city,2,10.0,0.09646449456989085,switch
260,outer,iwaki_city,2,70.0,0.33166697819882224,switch
276,mid,koriyama,2,66.0,0.3853752110628194,switch
290,outer,fukushima_city,2,89.0,0.1737119924601446,switch
293,outer,fukushima_city,2,61.0,0.5718941974825725,switch
300,outer,fukushima_city,2,89.0,0.6597044487461476,switch
305,outer,fukushima_city,2,61.0,0.25547158030177286,switch
310,outer,koriyama,2,130.0,0.12243374616874377,switch
320,outer,fukushima_city,2,61.0,0.15696694698233177,switch
321,outer,fukushima_city,2,61.0,0.5050397022085158,switch
322,outer,fukushima_city,2,61.0,0.35830594516209324,switch
326,outer,fukushima_city,2,61.0,0.3261853580478449,switch
330,outer,fukushima_city,2,61.0,0.4913346709759323,switch
345,outer,fukushima_city,2,61.0,0.30138409289552465,switch
352,outer,fukushima_city,2,61.0,0.14901276044395,switch
359,outer,fukushima_city,2,61.0,0.2729112002234095,switch
367,outer,fukushima_city,2,89.0,0.3292217843945704,switch
371,outer,fukushima_city,2,61.0,0.453930713632701,switch
375,outer,fukushima_city,2,61.0,0.18997697939753433,switch
378,outer,fukushima_city,2,61.0,0.24529500404115914,switch
379,outer,fukushima_city,2,89.0,0.6160752426083786,switch
383,outer,fukushima_city,2,61.0,0.4490111999182814,switch
390,outer,fukushima_city,2,61.0,0.41607793667792425,switch
405,outer,fukushima_city,2,61.0,0.18334716891870095,switch
411,outer,fukushima_city,2,61.0,0.08064545376380255,switch
413,outer,fukushima_city,2,61.0,0.3707360991713588,switch
428,outer,fukushima_city,2,89.0,0.02573075636180386,switch
435,outer,fukushima_city,2,61.0,0.17355142621320543,switch
437,outer,fukushima_city,2,61.0,0.23449613073705433,switch
438,outer,fukushima_city,2,61.0,0.2178861664450674,switch
443,outer,fukushima_city,2,89.0,0.21183719216963057,switch
453,outer,fukushima_city,2,61.0,0.3072082556233288,switch
456,outer,fukushima_city,2,61.0,0.23235592276297312,switch
458,outer,fukushima_city,2,117.0,0.31757066664879197,switch
470,outer,fukushima_city,2,61.0,0.4655665325903658,switch
475,outer,fukushima_city,2,61.0,0.4412246169516684,switch
476,outer,fukushima_city,2,61.0,0.10284644000815171,switch
480,outer,fukushima_city,2,61.0,0.1650174548583944,switch
481,outer,fukushima_city,2,61.0,0.42138235805915963,switch
486,outer,fukushima_city,2,61.0,0.5270730437649593,switch
488,outer,fukushima_city,2,89.0,0.13461122513441637,switch
489,outer,fukushima_city,2,61.0,0.18837780541054958,switch
492,outer,fukushima_city,2,61.0,0.4313149019111292,switch
496,outer,fukushima_city,2,61.0,0.07109767229612997,switch
513,outer,fukushima_city,2,61.0,0.24138264860940684,switch
514,outer,fukushima_city,2,61.0,0.07197675039691202,switch
521,outer,fukushima_city,2,151.0,0.16102921282616,switch
524,outer,fukushima_city,2,61.0,0.18117147468569977,switch
526,outer,fukushima_city,2,117.0,0.24302814003089274,switch
528,outer,fukushima_city,2,61.0,0.24711959652865476,switch
535,outer,fukushima_city,2,89.0,0.1554111870587404,switch
542,outer,fukushima_city,2,61.0,0.27982972662391736,switch
543,outer,fukushima_city,2,89.0,0.7853462862804328,switch
556,outer,fukushima_city,2,89.0,0.14429307905995137,switch
564,outer,fukushima_city,2,89.0,0.2788913836385008,switch
565,outer,fukushima_city,2,61.0,0.2685207561832771,switch
566,outer,fukushima_city,2,89.0,0.431943731716513,switch
570,outer,fukushima_city,2,61.0,0.2291930313814119,switch
573,outer,fukushima_city,2,61.0,0.17649287418679083,switch
577,outer,fukushima_city,2,89.0,0.23017223355397423,switch
578,outer,fukushima_city,2,61.0,0.06670898559083685,switch
587,outer,fukushima_city,2,89.0,0.5396547124540491,switch
589,outer,fukushima_city,2,89.0,0.2230991296974255,switch
597,mid,fukushima_city,2,75.0,0.17885448769100606,switch
607,mid,fukushima_city,2,75.0,0.3802453307196963,switch
632,mid,fukushima_city,2,75.0,0.05038655334268652,switch
638,mid,fukushima_city,2,75.0,0.15623273758404346,switch
641,mid,fukushima_city,2,75.0,0.2567983999987067,switch
657,mid,fukushima_city,2,75.0,0.28573474114624015,switch
678,mid,fukushima_city,2,107.0,0.43801540836802877,switch
684,mid,fukushima_city,2,89.0,0.49554826701546295,switch
685,mid,fukushima_city,2,117.0,0.4229344576652333,switch
691,mid,koriyama,2,102.0,0.1013194943377103,switch
710,mid,koriyama,2,118.0,0.2781000282381391,switch
713,mid,fukushima_city,2,89.0,0.1498694315313752,switch
717,mid,fukushima_city,2,89.0,0.1603434701156615,switch
721,mid,fukushima_city,2,107.0,0.2743145561653664,switch
722,mid,koriyama,2,99.0,0.2104781530021754,switch
732,mid,koriyama,2,165.0,0.5689878613817724,switch
735,mid,fukushima_city,2,89.0,0.3615433248343228,switch
747,mid,fukushima_city,2,89.0,0.06831007128190811,switch
753,mid,fukushima_city,2,107.0,0.581395946828916,switch
756,mid,fukushima_city,2,105.0,0.27243568849156813,switch
778,mid,koriyama,2,196.0,0.24379789705901656,switch
780,mid,koriyama,2,99.0,0.3943921564916687,switch
785,mid,fukushima_city,2,105.0,0.40215624915597314,switch
790,mid,fukushima_city,2,107.0,0.08076135377426959,switch
792,mid,koriyama,2,99.0,0.256084566007227,switch
800,mid,koriyama,2,97.0,0.18862027941691667,switch
824,mid,iwaki_city,2,36.0,0.35773585230684496,switch
862,inner,koriyama,2,93.0,0.3219993424931282,switch
863,inner,koriyama,2,93.0,0.43256524539044344,switch
864,inner,koriyama,2,93.0,0.22379889921232385,switch
869,inner,koriyama,2,108.0,0.3229230693911672,switch
870,inner,koriyama,2,93.0,0.41587382861196226,switch
880,inner,koriyama,2,90.0,0.039233186895554335,switch
897,inner,koriyama,2,93.0,0.10972810800673147,switch
906,outer,koriyama,2,52.0,0.3861467523376394,switch
909,outer,koriyama,2,52.0,0.09254075952586457,switch
