run_id,alpha,beta,kappa,hayano_t4,mid_ps2_trough,mid_ps2_dip,mid_ps2_recovery,blend_inner_t7
0,3.310171876102686,5.829317616298795,4.730285318568349,0.5212,0.0249,0.584,0.2603,0.1515
1,2.801965540740639,5.829317616298795,4.730285318568349,0.5457,0.0223,0.5334,0.0426,0.1313
2,3.310171876102686,6.626558941788971,4.730285318568349,0.5301,0.0167,0.5922,0.0804,0.1717
3,3.310171876102686,5.829317616298795,12.77130038663745,0.5212,0.0249,0.584,0.2603,0.1515
4,3.310171876102686,6.626558941788971,12.77130038663745,0.5301,0.0167,0.5922,0.0804,0.1717
5,2.801965540740639,5.829317616298795,12.77130038663745,0.5457,0.0223,0.5334,0.0426,0.1313
6,2.801965540740639,6.626558941788971,4.730285318568349,0.5145,0.0146,0.5412,0.053,0.1313
7,2.801965540740639,6.626558941788971,12.77130038663745,0.5145,0.0146,0.5412,0.053,0.1313
8,1.2210545991547406,4.201494964770973,13.506406119093299,0.4967,0.0325,0.315,0.0413,0.101
9,0.9338694824837148,4.201494964770973,13.506406119093299,0.5301,0.0312,0.2697,0.0798,0.0707
10,1.2210545991547406,3.415727517567575,13.506406119093299,0.5301,0.055,0.2925,0.0905,0.1313
11,1.2210545991547406,4.201494964770973,8.052554284222424,0.4967,0.0325,0.315,0.0413,0.101
12,1.2210545991547406,3.415727517567575,8.052554284222424,0.5301,0.055,0.2925,0.0905,0.1313
13,0.9338694824837148,4.201494964770973,8.052554284222424,0.5301,0.0312,0.2697,0.0798,0.0707
14,0.9338694824837148,3.415727517567575,13.506406119093299,0.4744,0.047,0.2539,0.0612,0.0909
15,0.9338694824837148,3.415727517567575,8.052554284222424,0.4744,0.047,0.2539,0.0612,0.0909
16,2.0676041757687926,9.344535725191236,10.24492912273854,0.5657,0.0033,0.4767,0.0152,0.1515
17,3.951112383045256,9.344535725191236,10.24492912273854,0.5902,0.0045,0.6551,0.0208,0.1515
18,2.0676041757687926,1.570112687535584,10.24492912273854,0.539,0.1394,0.3406,0.2562,0.1616
19,2.0676041757687926,9.344535725191236,1.4248772095888853,0.5657,0.0033,0.4767,0.0152,0.1515
20,2.0676041757687926,1.570112687535584,1.4248772095888853,0.539,0.1394,0.3406,0.2562,0.1616
21,3.951112383045256,9.344535725191236,1.4248772095888853,0.5902,0.0045,0.6551,0.0208,0.1515
22,3.951112383045256,1.570112687535584,10.24492912273854,0.5523,0.2484,0.4113,0.2751,0.1414
23,3.951112383045256,1.570112687535584,1.4248772095888853,0.5523,0.2484,0.4113,0.2751,0.1414
24,4.718124974053353,3.2178100971505046,18.09450140502304,0.5924,0.1152,0.5895,0.1396,0.1717
25,2.153310602530837,3.2178100971505046,18.09450140502304,0.5813,0.0832,0.4071,0.0397,0.1818
26,4.718124974053353,9.597213468514383,18.09450140502304,0.6036,0.0043,0.7004,0.115,0.1111
27,4.718124974053353,3.2178100971505046,15.557836229912937,0.5924,0.1152,0.5895,0.1396,0.1717
28,4.718124974053353,9.597213468514383,15.557836229912937,0.6036,0.0043,0.7004,0.115,0.1111
29,2.153310602530837,3.2178100971505046,15.557836229912937,0.5813,0.0832,0.4071,0.0397,0.1818
30,2.153310602530837,9.597213468514383,18.09450140502304,0.5724,0.0027,0.4876,0.0243,0.101
31,2.153310602530837,9.597213468514383,15.557836229912937,0.5724,0.0027,0.4876,0.0243,0.101
32,4.094772361218929,8.128874051384628,12.323509736917913,0.5679,0.0084,0.6678,0.0407,0.1313
33,2.437597252894193,8.128874051384628,12.323509736917913,0.5367,0.0063,0.508,0.0389,0.0909
34,4.094772361218929,8.289951372891665,12.323509736917913,0.5679,0.0078,0.6685,0.0319,0.1313
35,4.094772361218929,8.128874051384628,13.521736789494753,0.5679,0.0084,0.6678,0.0407,0.1313
36,4.094772361218929,8.289951372891665,13.521736789494753,0.5679,0.0078,0.6685,0.0319,0.1313
37,2.437597252894193,8.128874051384628,13.521736789494753,0.5367,0.0063,0.508,0.0389,0.0909
38,2.437597252894193,8.289951372891665,12.323509736917913,0.5367,0.0059,0.5084,0.0035,0.1313
39,2.437597252894193,8.289951372891665,13.521736789494753,0.5367,0.0059,0.5084,0.0035,0.1313
40,2.6508259964175522,1.862491013482213,1.1723887948319316,0.5434,0.1825,0.3565,0.312,0.1212
41,4.795666396152228,1.862491013482213,1.1723887948319316,0.539,0.2431,0.4663,0.2102,0.1111
42,2.6508259964175522,2.5433549862354994,1.1723887948319316,0.539,0.1284,0.4106,0.1049,0.1414
43,2.6508259964175522,1.862491013482213,8.805306625552475,0.5434,0.1825,0.3565,0.312,0.1212
44,2.6508259964175522,2.5433549862354994,8.805306625552475,0.539,0.1284,0.4106,0.1049,0.1414
45,4.795666396152228,1.862491013482213,8.805306625552475,0.539,0.2431,0.4663,0.2102,0.1111
46,4.795666396152228,2.5433549862354994,1.1723887948319316,0.559,0.173,0.5364,0.2183,0.1212
47,4.795666396152228,2.5433549862354994,8.805306625552475,0.559,0.173,0.5364,0.2183,0.1212
48,0.6836994243785739,7.144092696718872,16.902325307950377,0.5212,0.0055,0.2475,0.0209,0.0303
49,1.213764845393598,7.144092696718872,16.902325307950377,0.5189,0.0074,0.3389,0.0232,0.101
50,0.6836994243785739,5.4791234619915485,16.902325307950377,0.5212,0.0126,0.2403,0.0303,0.0303
51,0.6836994243785739,7.144092696718872,4.828372603282332,0.5212,0.0055,0.2475,0.0209,0.0303
52,0.6836994243785739,5.4791234619915485,4.828372603282332,0.5212,0.0126,0.2403,0.0303,0.0303
53,1.213764845393598,7.144092696718872,4.828372603282332,0.5189,0.0074,0.3389,0.0232,0.101
54,1.213764845393598,5.4791234619915485,16.902325307950377,0.5367,0.0168,0.3295,0.0712,0.101
55,1.213764845393598,5.4791234619915485,4.828372603282332,0.5367,0.0168,0.3295,0.0712,0.101
56,3.816246576141566,5.378805609419942,6.677753167226911,0.5568,0.0318,0.6207,0.0747,0.1111
57,3.642130345106125,5.378805609419942,6.677753167226911,0.5568,0.0323,0.6001,0.1032,0.1616
58,3.816246576141566,6.479214010760188,6.677753167226911,0.559,0.0177,0.6348,0.086,0.101
59,3.816246576141566,5.378805609419942,18.963652092032135,0.5568,0.0318,0.6207,0.0747,0.1111
60,3.816246576141566,6.479214010760188,18.963652092032135,0.559,0.0177,0.6348,0.086,0.101
61,3.642130345106125,5.378805609419942,18.963652092032135,0.5568,0.0323,0.6001,0.1032,0.1616
62,3.642130345106125,6.479214010760188,6.677753167226911,0.5702,0.018,0.6143,0.0827,0.1515
63,3.642130345106125,6.479214010760188,18.963652092032135,0.5702,0.018,0.6143,0.0827,0.1515
64,3.58184134401381,9.602114610373974,15.318938435055315,0.5991,0.004,0.6179,0.0298,0.202
65,4.499459045007825,9.602114610373974,15.318938435055315,0.6036,0.0042,0.6976,0.0311,0.1414
66,3.58184134401381,4.328152285888791,15.318938435055315,0.5434,0.0543,0.5676,0.1334,0.1313
67,3.58184134401381,9.602114610373974,17.111376038752496,0.5991,0.004,0.6179,0.0298,0.202
68,3.58184134401381,4.328152285888791,17.111376038752496,0.5434,0.0543,0.5676,0.1334,0.1313
69,4.499459045007825,9.602114610373974,17.111376038752496,0.6036,0.0042,0.6976,0.0311,0.1414
70,4.499459045007825,4.328152285888791,15.318938435055315,0.5857,0.0653,0.6365,0.151,0.1111
71,4.499459045007825,4.328152285888791,17.111376038752496,0.5857,0.0653,0.6365,0.151,0.1111
72,0.9489006907679141,2.3667294019833207,7.693195802159607,0.5011,0.0781,0.2255,0.2051,0.1111
73,2.6420751931145787,2.3667294019833207,7.693195802159607,0.5345,0.1394,0.3991,0.2372,0.1414
74,0.9489006907679141,7.5422628447413445,7.693195802159607,0.4833,0.0055,0.2981,0.0232,0.101
75,0.9489006907679141,2.3667294019833207,2.820730486884713,0.5011,0.0781,0.2255,0.2051,0.1111
76,0.9489006907679141,7.5422628447413445,2.820730486884713,0.4833,0.0055,0.2981,0.0232,0.101
77,2.6420751931145787,2.3667294019833207,2.820730486884713,0.5345,0.1394,0.3991,0.2372,0.1414
78,2.6420751931145787,7.5422628447413445,7.693195802159607,0.5546,0.0088,0.5297,0.0514,0.101
79,2.6420751931145787,7.5422628447413445,2.820730486884713,0.5546,0.0088,0.5297,0.0514,0.101
80,2.356786691583693,6.086071990430355,11.557405058294535,0.5768,0.0187,0.4886,0.0984,0.1616
81,3.403060508426279,6.086071990430355,11.557405058294535,0.5835,0.0215,0.591,0.1011,0.1515
82,2.356786691583693,9.387911604717374,11.557405058294535,0.5256,0.0036,0.5038,0.0343,0.1212
83,2.356786691583693,6.086071990430355,5.914585986174643,0.5768,0.0187,0.4886,0.0984,0.1616
84,2.356786691583693,9.387911604717374,5.914585986174643,0.5256,0.0036,0.5038,0.0343,0.1212
85,3.403060508426279,6.086071990430355,5.914585986174643,0.5835,0.0215,0.591,0.1011,0.1515
86,3.403060508426279,9.387911604717374,11.557405058294535,0.588,0.0039,0.6087,0.0486,0.1717
87,3.403060508426279,9.387911604717374,5.914585986174643,0.588,0.0039,0.6087,0.0486,0.1717
88,4.428328131791204,3.351788097061217,2.5574636682868004,0.5835,0.1033,0.5944,0.3548,0.2222
89,1.6159709342755377,3.351788097061217,2.5574636682868004,0.5724,0.0635,0.36,0.1128,0.1616
90,4.428328131791204,1.3575324937701225,2.5574636682868004,0.5657,0.3147,0.383,0.0337,0.1818
91,4.428328131791204,3.351788097061217,10.772520557045937,0.5835,0.1033,0.5944,0.3548,0.2222
92,4.428328131791204,1.3575324937701225,10.772520557045937,0.5657,0.3147,0.383,0.0337,0.1818
93,1.6159709342755377,3.351788097061217,10.772520557045937,0.5724,0.0635,0.36,0.1128,0.1616
94,1.6159709342755377,1.3575324937701225,2.5574636682868004,0.5234,0.1641,0.2594,0.1559,0.1313
95,1.6159709342755377,1.3575324937701225,10.772520557045937,0.5234,0.1641,0.2594,0.1559,0.1313
96,4.930521046742797,7.441049763001502,8.885369457304478,0.5457,0.0123,0.6967,0.0514,0.0909
97,0.7686746306717396,7.441049763001502,8.885369457304478,0.4788,0.0052,0.2638,0.0166,0.0808
98,4.930521046742797,2.757028113119304,8.885369457304478,0.5546,0.1515,0.5576,0.1957,0.1313
99,4.930521046742797,7.441049763001502,18.75479273404926,0.5457,0.0123,0.6967,0.0514,0.0909
100,4.930521046742797,2.757028113119304,18.75479273404926,0.5546,0.1515,0.5576,0.1957,0.1313
101,0.7686746306717396,7.441049763001502,18.75479273404926,0.4788,0.0052,0.2638,0.0166,0.0808
102,0.7686746306717396,2.757028113119304,8.885369457304478,0.4944,0.0535,0.2155,0.0551,0.1414
103,0.7686746306717396,2.757028113119304,18.75479273404926,0.4944,0.0535,0.2155,0.0551,0.1414
104,1.8155543082393706,4.567379094660282,18.886112231761217,0.5256,0.0356,0.4095,0.0379,0.1616
105,3.120426098816097,4.567379094660282,18.886112231761217,0.5612,0.0448,0.5476,0.1623,0.1919
106,1.8155543082393706,8.498148367740214,18.886112231761217,0.539,0.0046,0.4405,0.0274,0.0606
107,1.8155543082393706,4.567379094660282,4.461824448779225,0.5256,0.0356,0.4095,0.0379,0.1616
108,1.8155543082393706,8.498148367740214,4.461824448779225,0.539,0.0046,0.4405,0.0274,0.0606
109,3.120426098816097,4.567379094660282,4.461824448779225,0.5612,0.0448,0.5476,0.1623,0.1919
110,3.120426098816097,8.498148367740214,18.886112231761217,0.5857,0.0057,0.5867,0.0518,0.1414
111,3.120426098816097,8.498148367740214,4.461824448779225,0.5857,0.0057,0.5867,0.0518,0.1414
112,1.5370987551286817,8.425007679499686,3.740362492389977,0.5367,0.005,0.4064,0.019,0.1212
113,1.799159515183419,8.425007679499686,3.740362492389977,0.5501,0.0047,0.4461,0.0822,0.1717
114,1.5370987551286817,5.562414358370006,3.740362492389977,0.5947,0.0183,0.3932,0.0132,0.1313
115,1.5370987551286817,8.425007679499686,9.61723975930363,0.5367,0.005,0.4064,0.019,0.1212
116,1.5370987551286817,5.562414358370006,9.61723975930363,0.5947,0.0183,0.3932,0.0132,0.1313
117,1.799159515183419,8.425007679499686,9.61723975930363,0.5501,0.0047,0.4461,0.0822,0.1717
118,1.799159515183419,5.562414358370006,3.740362492389977,0.5122,0.023,0.4279,0.0647,0.0606
119,1.799159515183419,5.562414358370006,9.61723975930363,0.5122,0.023,0.4279,0.0647,0.0606
120,2.963469014968723,1.0524372532963753,15.11530374083668,0.5702,0.3111,0.2525,0.0553,0.1717
121,4.221207339782268,1.0524372532963753,15.11530374083668,0.608,0.356,0.3166,0.2427,0.1717
122,2.963469014968723,4.5677996734157205,15.11530374083668,0.5612,0.046,0.5176,0.1046,0.1717
123,2.963469014968723,1.0524372532963753,14.472856126725674,0.5702,0.3111,0.2525,0.0553,0.1717
124,2.963469014968723,4.5677996734157205,14.472856126725674,0.5612,0.046,0.5176,0.1046,0.1717
125,4.221207339782268,1.0524372532963753,14.472856126725674,0.608,0.356,0.3166,0.2427,0.1717
126,4.221207339782268,4.5677996734157205,15.11530374083668,0.6214,0.0506,0.6221,0.1296,0.1616
127,4.221207339782268,4.5677996734157205,14.472856126725674,0.6214,0.0506,0.6221,0.1296,0.1616
128,2.7554825064726174,8.826165196485817,7.3142806282266974,0.5813,0.0053,0.545,0.0289,0.1313
129,1.139326169155538,8.826165196485817,7.3142806282266974,0.5056,0.003,0.3333,0.0721,0.1212
130,2.7554825064726174,9.92082129046321,7.3142806282266974,0.5813,0.0031,0.5472,0.0316,0.1313
131,2.7554825064726174,8.826165196485817,3.810184675268829,0.5813,0.0053,0.545,0.0289,0.1313
132,2.7554825064726174,9.92082129046321,3.810184675268829,0.5813,0.0031,0.5472,0.0316,0.1313
133,1.139326169155538,8.826165196485817,3.810184675268829,0.5056,0.003,0.3333,0.0721,0.1212
134,1.139326169155538,9.92082129046321,7.3142806282266974,0.5056,0.0017,0.3346,0.0586,0.1212
135,1.139326169155538,9.92082129046321,3.810184675268829,0.5056,0.0017,0.3346,0.0586,0.1212
136,1.4594406485557556,1.450844433158636,16.42380483727902,0.5367,0.1313,0.2658,0.0,0.1313
137,3.84016977250576,1.450844433158636,16.42380483727902,0.5412,0.2882,0.3665,0.164,0.1212
138,1.4594406485557556,1.879301255568862,16.42380483727902,0.5345,0.1258,0.2713,0.0503,0.1414
139,1.4594406485557556,1.450844433158636,17.940824395045638,0.5367,0.1313,0.2658,0.0,0.1313
140,1.4594406485557556,1.879301255568862,17.940824395045638,0.5345,0.1258,0.2713,0.0503,0.1414
141,3.84016977250576,1.450844433158636,17.940824395045638,0.5412,0.2882,0.3665,0.164,0.1212
142,3.84016977250576,1.879301255568862,16.42380483727902,0.5835,0.2258,0.4289,0.201,0.1717
143,3.84016977250576,1.879301255568862,17.940824395045638,0.5835,0.2258,0.4289,0.201,0.1717
144,1.743387236725539,7.560133841820061,3.0598786678165197,0.5256,0.0083,0.4308,0.0286,0.202
145,2.2401245762594044,7.560133841820061,3.0598786678165197,0.5189,0.0083,0.4979,0.0555,0.0707
146,1.743387236725539,3.725058477371931,3.0598786678165197,0.5234,0.0573,0.3819,0.053,0.1818
147,1.743387236725539,7.560133841820061,15.175421667285264,0.5256,0.0083,0.4308,0.0286,0.202
148,1.743387236725539,3.725058477371931,15.175421667285264,0.5234,0.0573,0.3819,0.053,0.1818
149,2.2401245762594044,7.560133841820061,15.175421667285264,0.5189,0.0083,0.4979,0.0555,0.0707
150,2.2401245762594044,3.725058477371931,3.0598786678165197,0.5167,0.0365,0.4697,0.0,0.101
151,2.2401245762594044,3.725058477371931,15.175421667285264,0.5167,0.0365,0.4697,0.0,0.101
152,4.7258325992152095,4.685909029096365,10.574887873604894,0.6102,0.0548,0.6504,0.1405,0.1616
153,4.870637490879744,4.685909029096365,10.574887873604894,0.5813,0.0532,0.6564,0.1597,0.1515
154,4.7258325992152095,6.950035100802779,10.574887873604894,0.5835,0.0154,0.6898,0.094,0.1313
155,4.7258325992152095,4.685909029096365,10.454356122761965,0.6102,0.0548,0.6504,0.1405,0.1616
156,4.7258325992152095,6.950035100802779,10.454356122761965,0.5835,0.0154,0.6898,0.094,0.1313
157,4.870637490879744,4.685909029096365,10.454356122761965,0.5813,0.0532,0.6564,0.1597,0.1515
158,4.870637490879744,6.950035100802779,10.574887873604894,0.5768,0.0168,0.6928,0.0982,0.202
159,4.870637490879744,6.950035100802779,10.454356122761965,0.5768,0.0168,0.6928,0.0982,0.202
160,4.210180275607854,6.520150136202574,19.98170136101544,0.5902,0.0206,0.6517,0.0747,0.1717
161,4.025538184680045,6.520150136202574,19.98170136101544,0.6013,0.019,0.6426,0.0935,0.1515
162,4.210180275607854,6.165756707079709,19.98170136101544,0.5724,0.0248,0.6476,0.1212,0.0909
163,4.210180275607854,6.520150136202574,2.480174477212131,0.5902,0.0206,0.6517,0.0747,0.1717
164,4.210180275607854,6.165756707079709,2.480174477212131,0.5724,0.0248,0.6476,0.1212,0.0909
165,4.025538184680045,6.520150136202574,2.480174477212131,0.6013,0.019,0.6426,0.0935,0.1515
166,4.025538184680045,6.165756707079709,19.98170136101544,0.5768,0.023,0.6386,0.0918,0.101
167,4.025538184680045,6.165756707079709,2.480174477212131,0.5768,0.023,0.6386,0.0918,0.101
168,2.289290066808462,3.7875179471448064,8.497177010402083,0.5568,0.0578,0.4523,0.1391,0.1414
169,1.9552926328033209,3.7875179471448064,8.497177010402083,0.5635,0.0597,0.4057,0.0918,0.1515
170,2.289290066808462,5.159760772250593,8.497177010402083,0.5457,0.0292,0.481,0.0903,0.101
171,2.289290066808462,3.7875179471448064,16.61777333728969,0.5568,0.0578,0.4523,0.1391,0.1414
172,2.289290066808462,5.159760772250593,16.61777333728969,0.5457,0.0292,0.481,0.0903,0.101
173,1.9552926328033209,3.7875179471448064,16.61777333728969,0.5635,0.0597,0.4057,0.0918,0.1515
174,1.9552926328033209,5.159760772250593,8.497177010402083,0.5367,0.026,0.4394,0.0478,0.1111
175,1.9552926328033209,5.159760772250593,16.61777333728969,0.5367,0.026,0.4394,0.0478,0.1111
176,0.8846978354267776,9.754118245095015,14.142063829116523,0.4944,0.0017,0.2894,0.0123,0.1616
177,2.999451091978699,9.754118245095015,14.142063829116523,0.5256,0.0032,0.5653,0.0287,0.1313
178,0.8846978354267776,2.224401299841702,14.142063829116523,0.5033,0.0827,0.2084,0.0765,0.0909
179,0.8846978354267776,9.754118245095015,11.154724990017712,0.4944,0.0017,0.2894,0.0123,0.1616
180,0.8846978354267776,2.224401299841702,11.154724990017712,0.5033,0.0827,0.2084,0.0765,0.0909
181,2.999451091978699,9.754118245095015,11.154724990017712,0.5256,0.0032,0.5653,0.0287,0.1313
182,2.999451091978699,2.224401299841702,14.142063829116523,0.5768,0.1585,0.41,0.3194,0.1818
183,2.999451091978699,2.224401299841702,11.154724990017712,0.5768,0.1585,0.41,0.3194,0.1818
184,3.3691888144239783,2.5225830795243382,4.252054764889181,0.5367,0.1355,0.4746,0.1715,0.0606
185,0.8588769300840795,2.5225830795243382,4.252054764889181,0.4855,0.0727,0.2163,0.0313,0.0909
186,3.3691888144239783,7.976078628562391,4.252054764889181,0.5813,0.0081,0.6021,0.0833,0.1414
187,3.3691888144239783,2.5225830795243382,6.440614055842161,0.5367,0.1355,0.4746,0.1715,0.0606
188,3.3691888144239783,7.976078628562391,6.440614055842161,0.5813,0.0081,0.6021,0.0833,0.1414
189,0.8588769300840795,2.5225830795243382,6.440614055842161,0.4855,0.0727,0.2163,0.0313,0.0909
190,0.8588769300840795,7.976078628562391,4.252054764889181,0.4989,0.0042,0.2848,0.0211,0.1212
191,0.8588769300840795,7.976078628562391,6.440614055842161,0.4989,0.0042,0.2848,0.0211,0.1212
