Time  Mahama comparison Error
0 0 0.0 0.0
1 0 773.0 1.0
2 0 1547.0 1.0
3 0 2321.0 1.0
4 0 3094.0 1.0
5 0 3868.0 1.0
6 0 4642.0 1.0
7 0 5415.0 1.0
8 0 6189.0 1.0
9 0 6963.0 1.0
10 1 7736.0 0.99987073423
11 2 8510.0 0.999764982374
12 2 9284.0 0.999784575614
13 3 10057.0 0.999701700308
14 3 10831.0 0.999723017265
15 3 11605.0 0.999741490737
16 5 12378.0 0.999596057521
17 8 13152.0 0.999391727494
18 11 13926.0 0.999210110585
19 13 14699.0 0.999115586094
20 15 15473.0 0.999030569379
21 20 16247.0 0.998769003508
22 24 17020.0 0.998589894242
23 29 17794.0 0.998370237159
24 37 18568.0 0.998007324429
25 43 19341.0 0.997776743705
26 47 20115.0 0.997663435247
27 55 20889.0 0.997367035282
28 62 21662.0 0.997137845074
29 68 22436.0 0.996969156712
30 79 23210.0 0.996596294701
31 90 23984.0 0.996247498332
32 103 24212.0 0.995745911118
33 119 24441.0 0.995131132114
34 130 24670.0 0.994730441832
35 139 24899.0 0.994417446484
36 160 25127.0 0.993632347674
37 176 25356.0 0.993058842089
38 201 25585.0 0.992143834278
39 222 25814.0 0.991400015495
40 230 26042.0 0.991168113048
41 244 26271.0 0.990712192151
42 272 26500.0 0.989735849057
43 299 26729.0 0.988813648098
44 325 26958.0 0.987944209511
45 352 27024.0 0.986974541149
46 372 27091.0 0.986268502455
47 390 27158.0 0.985639590544
48 420 27224.0 0.984572436086
49 441 27291.0 0.983840826646
50 469 27358.0 0.982856933986
51 502 27424.0 0.981694865811
52 539 27491.0 0.980393583355
53 557 27558.0 0.979788083315
54 587 27625.0 0.978751131222
55 614 27841.0 0.977946194461
56 639 28057.0 0.977224934954
57 667 28274.0 0.976409422084
58 712 28490.0 0.975008775009
59 741 28707.0 0.974187480405
60 764 28980.0 0.973636991028
61 794 29254.0 0.972858412525
62 826 29410.0 0.971914314859
63 863 29441.0 0.970687136986
64 897 29472.0 0.969564332248
65 937 29504.0 0.96824159436
66 979 29563.0 0.966884281027
67 1012 29623.0 0.965837356108
68 1039 29719.0 0.965039200511
69 1092 29816.0 0.963375368929
70 1130 29866.0 0.962164334025
71 1189 29916.0 0.960255381736
72 1226 29966.0 0.959086965227
73 1268 30016.0 0.957755863539
74 1314 30066.0 0.956296148473
75 1368 30116.0 0.954575640855
76 1405 30166.0 0.953424385069
77 1429 30216.0 0.952707175007
78 1460 30266.0 0.951761052006
79 1516 30316.0 0.949993402824
80 1573 30367.0 0.948200349063
81 1605 30647.0 0.947629458022
82 1659 30701.0 0.945962672226
83 1705 30756.0 0.944563662375
84 1773 30810.0 0.942453748783
85 1818 30865.0 0.941098331443
86 1850 30920.0 0.940168175938
87 1923 30974.0 0.937915671208
88 1992 31029.0 0.935801991685
89 2047 31084.0 0.934146184532
90 2079 31114.0 0.933181204602
91 2148 31145.0 0.931032268422
92 2206 31176.0 0.929240441365
93 2256 31206.0 0.927706210344
94 2323 31237.0 0.925633063354
95 2360 31268.0 0.924523474479
96 2420 31299.0 0.922681235822
97 2475 31329.0 0.920999712726
98 2530 31360.0 0.919323979592
99 2577 31391.0 0.917906406295
100 2626 31422.0 0.916427980396
101 2685 32524.0 0.91744557865
102 2743 32794.0 0.916356650607
103 2789 32878.0 0.915171239126
104 2856 33431.0 0.914570308995
105 2922 33977.0 0.914000647497
106 2980 34523.0 0.913680734583
107 3053 35070.0 0.912945537496
108 3136 35710.0 0.912181461775
109 3194 36231.0 0.91184344898
110 3243 36753.0 0.911762305118
111 3306 37643.0 0.912174906357
112 3367 38334.0 0.912166744926
113 3423 39025.0 0.912286995516
114 3497 39717.0 0.91195206083
115 3573 40157.0 0.911024229898
116 3632 41176.0 0.911793277637
117 3691 42172.0 0.912477473205
118 3734 42268.0 0.911658938204
119 3801 42364.0 0.910277594184
120 3867 42460.0 0.908926048045
121 3935 42557.0 0.907535775548
122 3987 42653.0 0.906524746208
123 4041 42749.0 0.905471473017
124 4104 42845.0 0.90421286031
125 4149 42942.0 0.903381305016
126 4205 43038.0 0.902295645708
127 4275 43134.0 0.900890248992
128 4352 43230.0 0.899329169558
129 4426 43327.0 0.89784660835
130 4464 43430.0 0.897213907437
131 4524 43534.0 0.896081223871
132 4592 43567.0 0.89459912319
133 4640 43600.0 0.893577981651
134 4700 43633.0 0.892283363509
135 4774 43667.0 0.890672590286
136 4832 43716.0 0.889468386861
