Time  Mahama comparison Error
137 4871 43741.0 0.888639948789
138 4923 43779.0 0.887548824779
139 4977 43817.0 0.886413948924
140 5028 43856.0 0.885352061291
141 5093 43894.0 0.883970474325
142 5143 43932.0 0.882932714195
143 5189 43971.0 0.881990402765
144 5253 44010.0 0.880640763463
145 5283 44050.0 0.880068104427
146 5346 44090.0 0.878748015423
147 5422 44124.0 0.877119028193
148 5484 44159.0 0.875812405172
149 5522 44193.0 0.875048084538
150 5582 44228.0 0.873790359049
151 5645 44330.0 0.872659598466
152 5697 44182.0 0.871056086189
153 5758 44035.0 0.869240376973
154 5813 43887.0 0.867546198191
155 5861 43740.0 0.866003657979
156 5921 43593.0 0.864175441011
157 5963 43786.0 0.86381491801
158 6025 43879.0 0.862690580916
159 6061 43973.0 0.862165419689
160 6104 44067.0 0.861483649897
161 6174 44161.0 0.860193383302
162 6217 44255.0 0.859518698452
163 6279 44349.0 0.858418453629
164 6343 44443.0 0.85727786153
165 6382 44484.0 0.85653268591
166 6440 44523.0 0.855355658873
167 6480 44626.0 0.854793169901
168 6542 44627.0 0.853407130213
169 6578 44629.0 0.852607049228
170 6615 44631.0 0.851784633999
171 6664 44633.0 0.85069343311
172 6711 44715.0 0.849916135525
173 6756 44765.0 0.849078521166
174 6778 44781.0 0.84864116478
175 6804 44839.0 0.848257097616
176 6840 44857.0 0.847515437947
177 6876 44876.0 0.846777787682
178 6917 44895.0 0.845929390801
179 6952 45153.0 0.846034593493
180 6981 45154.0 0.845395756744
181 7029 45155.0 0.844336175396
182 7079 45157.0 0.843235821689
183 7138 45158.0 0.841932769387
184 7192 45159.0 0.840740494697
185 7235 45161.0 0.839795398685
186 7287 45254.0 0.838975560171
187 7327 45348.0 0.838427273529
188 7359 45393.0 0.837882492895
189 7418 45451.0 0.836791269719
190 7473 45510.0 0.835794330916
191 7545 45569.0 0.834426913033
192 7582 45591.0 0.833695246869
193 7609 45613.0 0.833183522241
194 7635 45635.0 0.83269420401
195 7687 45658.0 0.831639581234
196 7739 45682.0 0.830589728996
197 7795 45707.0 0.82945719474
198 7843 45732.0 0.828500830928
199 7907 45803.0 0.827369386285
200 7934 45875.0 0.827051771117
201 8010 45947.0 0.825668705247
202 8025 46019.0 0.825615506639
203 8090 46036.0 0.824267964202
204 8167 46054.0 0.822664697963
205 8204 46072.0 0.82193089078
206 8256 46090.0 0.820872206552
207 8305 46108.0 0.819879413551
208 8375 46161.0 0.818569788349
209 8408 46194.0 0.8179850197
210 8447 46227.0 0.817271291669
211 8511 46260.0 0.816018158236
212 8543 46293.0 0.815458060614
213 8570 46327.0 0.815010684914
214 8599 46433.0 0.814808433657
215 8644 46631.0 0.81462975274
216 8706 46399.0 0.812366645833
217 8753 46167.0 0.810405701042
218 8840 45935.0 0.807554152607
219 8916 45703.0 0.804914338227
220 8961 45471.0 0.802929339579
221 8996 45240.0 0.801149425287
222 9054 45098.0 0.799237216728
223 9088 45120.0 0.798581560284
224 9136 45143.0 0.797620893605
225 9184 45166.0 0.796661205331
226 9235 45189.0 0.795636106132
227 9270 45212.0 0.794965938246
228 9283 46075.0 0.798524145415
229 9328 45989.0 0.797168888212
230 9351 45903.0 0.796287824325
231 9402 45818.0 0.794796804749
232 9425 45732.0 0.793907985656
233 9437 45647.0 0.793261331522
234 9499 45561.0 0.791510282917
235 9539 45476.0 0.790241006245
236 9553 45476.0 0.789933151552
237 9589 45476.0 0.7891415252
238 9635 45476.0 0.788130002639
239 9676 45476.0 0.787228428182
240 9706 45476.0 0.786568739555
241 9758 45476.0 0.785425279268
242 9776 45565.0 0.78544935806
243 9820 45655.0 0.78490855328
244 9867 45517.0 0.78322385043
245 9905 45379.0 0.781727230657
246 9909 45241.0 0.780973011207
247 9969 45103.0 0.778972573886
248 10017 44965.0 0.777226731903
249 10048 45018.0 0.776800390955
250 10092 45071.0 0.77608661889
251 10130 45090.0 0.775338212464
252 10161 45109.0 0.774745616174
253 10197 45128.0 0.774042722921
254 10237 45148.0 0.773256844157
255 10266 45236.0 0.77305685737
256 10343 45298.0 0.771667623295
257 10386 45360.0 0.771031746032
258 10402 45422.0 0.770992030294
259 10421 45431.0 0.770619180736
260 10470 45441.0 0.769591338219
261 10511 45450.0 0.768734873487
262 10562 45460.0 0.767663880334
263 10603 45545.0 0.767197277418
264 10631 45631.0 0.76702241897
265 10671 45657.0 0.766278993364
266 10670 45683.0 0.766433903203
267 10697 45709.0 0.765976065983
268 10754 45735.0 0.764862796545
269 10803 45762.0 0.763930772256
270 10824 45817.0 0.763755811162
271 10892 45579.0 0.761030299041
272 10906 45644.0 0.761063885724
273 10927 45759.0 0.761205445923
274 10988 45874.0 0.760474342765
275 10995 45989.0 0.760921089826
276 10998 46104.0 0.761452368558
277 11047 46219.0 0.760985741795
278 11060 46334.0 0.761298398584
279 11085 46449.0 0.761351159336
280 11118 46564.0 0.761231852934
281 11158 46679.0 0.760963174018
282 11188 46794.0 0.760909518314
283 11227 46909.0 0.760664264853
284 11262 47024.0 0.760505273903
285 11276 47139.0 0.760792549693
286 11297 47167.0 0.760489325164
287 11295 47196.0 0.760678871091
288 11340 47224.0 0.759867863798
289 11391 47253.0 0.758935940575
290 11436 47282.0 0.758132058712
291 11432 47299.0 0.758303558215
292 11467 47364.0 0.757896292543
293 11499 47430.0 0.757558507274
294 11551 47442.0 0.756523755322
295 11583 47455.0 0.755916131072
296 11633 47468.0 0.754929636808
297 11652 47481.0 0.754596575472
298 11677 47494.0 0.75413736472
299 11712 47507.0 0.753467909992
300 11739 47520.0 0.752967171717
301 11767 47533.0 0.752445669324
302 11803 47546.0 0.751756194002
303 11814 47559.0 0.751592758468
304 11816 47572.0 0.751618599176
305 11849 47585.0 0.750992959966
306 11887 47598.0 0.750262616076
307 11933 47611.0 0.749364642625
308 11946 47624.0 0.749160087351
309 11957 47637.0 0.748997627894
310 11980 47650.0 0.748583420776
311 12000 47721.0 0.74853837933
312 12057 47792.0 0.747719283562
313 12056 47863.0 0.748114409878
314 12091 47934.0 0.747757333
315 12130 47956.0 0.747059804821
316 12149 47978.0 0.746779774063
317 12166 48000.0 0.746541666667
318 12197 48022.0 0.746012244388
319 12227 48091.0 0.745752843567
320 12240 48160.0 0.74584717608
321 12298 48188.0 0.744791234332
322 12321 48217.0 0.744467718854
323 12349 48246.0 0.744040956763
324 12363 48275.0 0.743904712584
325 12395 48318.0 0.743470342315
326 12446 48362.0 0.742649187379
327 12477 48406.0 0.742242697186
328 12509 48409.0 0.741597636803
329 12561 48413.0 0.740544894966
330 12582 48417.0 0.740132598054
331 12585 48421.0 0.740092108796
332 12616 48292.0 0.738755901599
333 12662 48164.0 0.737106552612
334 12704 48036.0 0.73553168457
335 12719 47908.0 0.734511981297
336 12750 47927.0 0.733970413337
337 12798 47946.0 0.733074709048
338 12837 47965.0 0.732367351194
339 12852 47985.0 0.732166301969
340 12863 48004.0 0.73204316307
341 12904 48023.0 0.731295420944
342 12920 48043.0 0.731074245988
343 12947 48071.0 0.730669218448
344 12955 48100.0 0.730665280665
345 12998 48129.0 0.729934135345
346 13043 48158.0 0.729162340629
347 13065 48187.0 0.728868782037
348 13078 48216.0 0.728762236602
349 13088 48245.0 0.728718001865
350 13119 48258.0 0.728148700734
351 13141 48272.0 0.727771793172
352 13171 48286.0 0.727229424678
353 13199 48300.0 0.726728778468
354 13204 48350.0 0.726907962771
355 13205 48400.0 0.727169421488
356 13241 48450.0 0.726707946336
357 13261 48444.0 0.726261250103
358 13304 48438.0 0.725339609398
359 13326 48433.0 0.724857018975
360 13365 48427.0 0.724017593491
361 13372 48422.0 0.723844533477
362 13380 48416.0 0.723645076008
363 13416 48411.0 0.722872900787
364 13425 48424.0 0.722761440608
365 13469 48437.0 0.721927452154
366 13476 48450.0 0.721857585139
367 13514 48463.0 0.721148092359
368 13579 48476.0 0.719882003466
369 13590 48489.0 0.719730248098
370 13616 48503.0 0.719275096386
371 13661 48518.0 0.718434395482
372 13702 48532.0 0.717670815132
373 13732 48547.0 0.717140091046
374 13757 48562.0 0.716712655986
375 13781 48622.0 0.716568631484
376 13800 48682.0 0.716527669364
377 13822 48742.0 0.71642525953
378 13834 48767.0 0.716324563742
379 13861 48793.0 0.715922365913
380 13885 48819.0 0.715582047973
381 13936 48845.0 0.71468932337
382 13969 48871.0 0.714165865237
383 13971 48897.0 0.714276949506
384 13983 48923.0 0.714183512867
385 14027 48915.0 0.713237248288
386 14049 48908.0 0.71274638096
387 14050 48901.0 0.712684812172
388 14077 48894.0 0.712091463165
389 14103 49037.0 0.712400840182
390 14120 49181.0 0.712897257071
391 14132 49325.0 0.713492143943
392 14120 49327.0 0.713747035092
393 14155 49330.0 0.713054936144
394 14157 49333.0 0.71303184481
395 14146 49336.0 0.713272255554
