Time  Lusenda comparison Error
0 0 0.0 0.0
1 210 78.0 1.69230769231
2 366 156.0 1.34615384615
3 575 233.0 1.4678111588
4 810 312.0 1.59615384615
5 1071 390.0 1.74615384615
6 1362 467.0 1.9164882227
7 1667 546.0 2.05311355311
8 1973 624.0 2.16185897436
9 2276 702.0 2.24216524217
10 2665 780.0 2.41666666667
11 2991 858.0 2.48601398601
12 3378 935.0 2.6128342246
13 3744 1014.0 2.69230769231
14 4151 1092.0 2.80128205128
15 4637 1170.0 2.96324786325
16 5114 1248.0 3.09775641026
17 5537 1326.0 3.17571644042
18 6001 1404.0 3.27421652422
19 6504 1482.0 3.38866396761
20 7021 1560.0 3.50064102564
21 7563 1638.0 3.61721611722
22 8088 1716.0 3.71328671329
23 8648 1794.0 3.82051282051
24 9250 1871.0 3.94388027793
25 9581 1950.0 3.91333333333
26 9961 2028.0 3.9117357002
27 10329 2106.0 3.90455840456
28 10635 2184.0 3.86950549451
29 10932 2262.0 3.83289124668
30 11237 2340.0 3.80213675214
31 13456 2418.0 4.56492969396
32 13673 2496.0 4.47796474359
33 14253 2574.0 4.5372960373
34 14673 2652.0 4.53280542986
35 15082 2730.0 4.52454212454
36 15473 2808.0 4.51032763533
37 15847 2886.0 4.49099099099
38 16135 2964.0 4.44365721997
39 16470 3042.0 4.41420118343
40 16748 3120.0 4.36794871795
41 17225 3198.0 4.38617886179
42 17775 3276.0 4.42582417582
43 18340 3354.0 4.46809779368
44 18877 3432.0 4.50029137529
45 19191 3510.0 4.46752136752
46 19556 3588.0 4.45039018952
47 19887 3666.0 4.42471358429
48 20190 3743.0 4.39406892867
49 20425 3822.0 4.3440607012
50 20644 3900.0 4.29333333333
51 20848 3977.0 4.24214231833
52 21051 4056.0 4.1900887574
53 21248 4134.0 4.13981615868
54 22861 4212.0 4.42758784425
55 23037 4290.0 4.36993006993
56 23573 4368.0 4.39674908425
57 24035 4446.0 4.40598290598
58 24347 4524.0 4.3817418214
59 24648 4602.0 4.35593220339
60 25909 4680.0 4.53611111111
61 26114 4758.0 4.48844052123
62 26568 4836.0 4.49379652605
63 27245 4914.0 4.54436304436
64 27903 4992.0 4.58954326923
65 28607 5070.0 4.64240631164
66 29022 5148.0 4.63752913753
67 29567 5226.0 4.6576731726
68 30063 5304.0 4.66798642534
69 30609 5382.0 4.6872909699
70 31004 5460.0 4.67838827839
71 31409 5538.0 4.67154207295
72 31822 5616.0 4.66631054131
73 32310 5694.0 4.67439409905
74 32670 5772.0 4.66008316008
75 33185 5850.0 4.67264957265
76 33665 5928.0 4.67898110661
77 33965 6006.0 4.65517815518
78 34335 6084.0 4.64349112426
79 34634 6162.0 4.6205777345
80 34918 6240.0 4.59583333333
81 35196 6318.0 4.57075023742
82 35788 6396.0 4.59537210757
83 36281 6474.0 4.60410874266
84 36526 6552.0 4.57478632479
85 36785 6630.0 4.54826546003
86 37015 6708.0 4.51803816339
87 37461 6786.0 4.52033598585
88 37882 6864.0 4.51893939394
89 38354 6942.0 4.52492077211
90 38900 7020.0 4.54131054131
91 39095 7098.0 4.50788954635
92 39355 7176.0 4.48425306577
93 40018 7254.0 4.51668045216
94 40650 7332.0 4.5441898527
95 40935 7208.0 4.67910654828
96 41266 7084.0 4.82523997741
97 41694 6960.0 4.99051724138
98 42019 6837.0 5.1458241919
99 42429 6713.0 5.32042305973
100 42787 6589.0 5.49370162392
101 43009 6465.0 5.65259087394
102 43233 6342.0 5.81693472091
103 43538 6218.0 6.00192988099
104 43712 6094.0 6.17295700689
105 43906 5970.0 6.35443886097
106 44068 5847.0 6.53685650761
107 44269 5723.0 6.73527869998
108 44564 5599.0 6.95927844258
109 44719 5475.0 7.16785388128
110 45041 5352.0 7.41573243647
111 45216 5228.0 7.64881407804
112 45533 5104.0 7.92104231975
113 45768 4980.0 8.19036144578
114 46045 4857.0 8.48013176858
115 46141 4733.0 8.74878512571
116 46649 4609.0 9.12128444348
117 46807 4485.0 9.43634336678
118 47009 4362.0 9.77693718478
119 47142 4238.0 10.1236432279
120 47369 4114.0 10.5140982013
121 47535 3990.0 10.9135338346
122 47655 3867.0 11.3235065943
123 47849 3743.0 11.783596046
124 47966 3619.0 12.2539375518
125 48060 3496.0 12.7471395881
126 48232 3372.0 13.3036773428
127 48339 3248.0 13.8826970443
128 48418 3124.0 14.4987195903
129 48481 3001.0 15.1549483505
130 48571 2877.0 15.8825165103
131 48614 2753.0 16.6585543044
132 48694 2629.0 17.521871434
133 48785 2506.0 18.4672785315
134 48874 2382.0 19.5180520571
135 48915 2258.0 20.662976085
136 48979 2134.0 21.9517338332
137 49161 2011.0 23.4460467429
138 49168 1887.0 25.0561738209
139 49237 1763.0 26.9279636982
140 49301 1639.0 29.0799267846
141 49316 1516.0 31.5303430079
142 49325 1392.0 34.4346264368
143 49325 1268.0 37.8998422713
144 49372 1144.0 42.1573426573
145 49321 1021.0 47.3065621939
146 49304 897.0 53.9654403567
147 49304 773.0 62.7826649418
148 49276 649.0 74.9260400616
149 49264 526.0 92.6577946768
150 49206 402.0 121.402985075
151 49273 278.0 176.241007194
152 49291 155.0 317.006451613
153 49924 488.0 101.303278689
154 49969 822.0 59.7895377129
155 50020 1156.0 42.2698961938
156 50082 1490.0 32.6120805369
157 50250 1824.0 26.5493421053
158 50347 2158.0 22.3303985171
159 50455 2492.0 19.2467897271
160 50644 2826.0 16.9207360226
161 50908 3160.0 15.1101265823
162 51141 3494.0 13.6368059531
163 51440 3827.0 12.4413378626
164 51738 4161.0 11.4340302812
165 51839 4495.0 10.5325917686
166 51952 4829.0 9.75833505902
167 52059 5163.0 9.08309122603
168 52136 5497.0 8.48444606149
169 52181 5831.0 7.94889384325
170 52262 6165.0 7.47721005677
171 52310 6499.0 7.04893060471
172 52399 6833.0 6.66852041563
173 52443 7166.0 6.31830867988
174 52461 7500.0 5.9948
175 52451 7834.0 5.69530252744
176 52518 8168.0 5.42972575906
177 52514 8502.0 5.17666431428
178 52485 8836.0 4.93990493436
179 52624 9170.0 4.7387131952
180 53012 9504.0 4.57786195286
181 53327 9838.0 4.42051229925
182 53734 10172.0 4.28254030672
183 54117 10506.0 4.15105653912
184 54247 10538.0 4.14775099639
185 54345 10570.0 4.14143803217
186 54515 10603.0 4.14146939545
187 54710 10635.0 4.14433474377
188 54815 10668.0 4.138263967
189 54938 10700.0 4.13439252336
190 55083 10733.0 4.13211590422
191 55164 10765.0 4.12438457966
192 55369 10798.0 4.12770883497
193 55566 10830.0 4.13074792244
194 55655 10863.0 4.12335450612
195 55721 10895.0 4.11436438733
196 55779 10928.0 4.10422767204
197 55821 10960.0 4.09315693431
198 55914 10993.0 4.08632766306
199 55973 11025.0 4.07691609977
200 56005 11058.0 4.06465907036
201 56088 11090.0 4.05752930568
202 56169 11123.0 4.04980670682
203 56179 11155.0 4.03621694307
204 56153 11188.0 4.01903825527
205 56169 11220.0 4.00614973262
206 56244 11252.0 3.99857803057
207 56284 11285.0 3.98750553833
208 56281 11317.0 3.97313775736
209 56368 11350.0 3.96634361233
210 56356 11382.0 3.95132665612
211 56395 11415.0 3.94042925975
212 56396 11447.0 3.92670568708
213 56420 11480.0 3.91463414634
214 56591 11512.0 3.91582696317
215 56631 11545.0 3.90524036379
216 56714 11577.0 3.89885117042
217 56750 11610.0 3.88802756245
218 56806 11642.0 3.87940216458
219 56840 11675.0 3.86852248394
220 56878 11707.0 3.85846074998
221 56914 11740.0 3.84787052811
222 56945 11772.0 3.83732585797
223 56911 11805.0 3.82092333757
224 56958 11837.0 3.81186111346
225 56974 11870.0 3.799831508
226 56949 11902.0 3.78482607965
227 56930 11934.0 3.77040388805
228 57029 11967.0 3.76552185176
229 57080 11999.0 3.75706308859
230 57179 12032.0 3.75224401596
231 57174 12064.0 3.73922413793
232 57166 12097.0 3.72563445482
233 57191 12129.0 3.71522796603
234 57133 12162.0 3.69766485775
235 57172 12194.0 3.68853534525
236 57245 12227.0 3.68185163981
237 57243 12259.0 3.66946733012
238 57175 12292.0 3.65139928409
239 57161 12324.0 3.63818565401
240 57110 12357.0 3.62167192684
241 57094 12389.0 3.60844297361
242 57098 12422.0 3.59652229915
243 57052 12454.0 3.58101814678
244 57061 12487.0 3.56963241771
245 57070 12519.0 3.55867082035
246 57078 12552.0 3.54732313576
247 57106 12584.0 3.53798474253
248 57079 12617.0 3.52397558849
249 57141 12649.0 3.51743220808
250 57131 12681.0 3.50524406593
251 57091 12714.0 3.49040427875
252 57105 12746.0 3.48022909148
253 57119 12779.0 3.46975506691
254 57094 12811.0 3.45663882601
255 57080 12844.0 3.44409841171
256 57086 12876.0 3.43351972662
257 57052 12909.0 3.41955225037
258 57019 12941.0 3.40607371919
259 56992 12974.0 3.39278557114
260 56974 13006.0 3.3805935722
261 56943 13039.0 3.36712938109
262 56906 13071.0 3.35360722209
263 56963 13104.0 3.34699328449
264 57003 13136.0 3.33944884287
265 56994 13169.0 3.32789125978
266 56955 13201.0 3.31444587531
267 56914 13234.0 3.30058939096
268 56918 13266.0 3.29051711141
269 56863 13299.0 3.27573501767
270 56796 13331.0 3.26044557798
271 56745 13363.0 3.24642670059
272 56853 13396.0 3.24402806808
273 56835 13428.0 3.23257372654
274 56874 13461.0 3.22509471807
275 56910 13493.0 3.21774253317
276 56858 13526.0 3.20360786633
277 56859 13558.0 3.19376014161
278 56804 13591.0 3.1795305717
279 56840 13623.0 3.17235557513
280 56844 13656.0 3.1625659051
281 56773 13688.0 3.14764757452
282 56738 13721.0 3.13512134684
283 56755 13753.0 3.12673598488
284 56727 13786.0 3.11482663572
285 56703 13818.0 3.10356057317
286 56661 13851.0 3.09075157028
287 56657 13883.0 3.08103435857
288 56611 13916.0 3.06805116413
289 56550 13948.0 3.05434470892
290 56536 13981.0 3.04377369287
291 56510 14013.0 3.03268393634
292 56880 14046.0 3.04955147373
293 56843 14167.0 3.01235265053
294 56948 14288.0 2.98572228443
295 56996 14409.0 2.95558331598
296 57002 14530.0 2.92305574673
297 57127 14651.0 2.89918776875
298 57186 14772.0 2.87124289196
299 57304 14805.0 2.87058426207
300 57302 14839.0 2.86158096907
301 57376 14873.0 2.85772877025
302 57436 14907.0 2.85295498759
303 57415 14941.0 2.84278160766
304 57421 14975.0 2.83445742905
305 57448 15009.0 2.82757012459
306 57469 15043.0 2.82031509672
307 57470 15077.0 2.8117662665
308 57461 15111.0 2.80259413672
309 57513 15145.0 2.7974909211
310 57529 15179.0 2.79003886949
311 57602 15213.0 2.78636692303
312 57597 15247.0 2.77759559258
313 57659 15281.0 2.7732478241
314 57727 15315.0 2.76931113288
315 57712 15355.0 2.75851514165
316 57733 15396.0 2.74987009613
317 57737 15436.0 2.74041202384
318 57847 15477.0 2.73761064806
319 57867 15517.0 2.72926467745
320 57906 15558.0 2.72194369456
321 57927 15598.0 2.71374535197
322 57952 15639.0 2.70560777543
323 58008 15679.0 2.69972574782
324 57974 15720.0 2.68791348601
325 58123 15760.0 2.68800761421
326 58164 15801.0 2.68103284602
327 58100 15841.0 2.66769774635
328 58061 15882.0 2.65577383201
329 58012 15922.0 2.64351212159
330 58003 15963.0 2.63359017728
331 57981 16004.0 2.62290677331
332 57986 16030.0 2.61734248284
333 57973 16057.0 2.61045027091
334 58008 16084.0 2.60656553096
335 58060 16111.0 2.60374899137
336 58056 16137.0 2.5976947388
337 58006 16164.0 2.58859193269
338 57925 16191.0 2.5776048422
339 57983 16218.0 2.57522505858
340 58019 16245.0 2.57149892275
341 58000 16271.0 2.56462417799
342 57985 16298.0 2.55779850288
343 57966 16325.0 2.55075038285
344 57925 16352.0 2.54238013699
345 57896 16379.0 2.53477013249
346 57865 16405.0 2.52727826882
347 57899 16432.0 2.52355160662
348 57865 16459.0 2.51570569293
349 57813 16486.0 2.50679364309
350 57803 16513.0 2.50045418761
351 57766 16539.0 2.4927141907
352 57718 16566.0 2.48412410962
353 57720 16593.0 2.47857530284
354 57807 16620.0 2.47815884477
355 57783 16647.0 2.47107586953
356 57765 16673.0 2.46458345829
357 57779 16700.0 2.45982035928
358 57758 16727.0 2.45298021163
359 57731 16754.0 2.44580398711
360 57680 16781.0 2.43722066623
361 57629 16807.0 2.42886892366
362 57630 16834.0 2.4234287751
363 57614 16861.0 2.41699780559
364 57620 16888.0 2.41189009948
365 57664 16915.0 2.40904522613
366 57704 16924.0 2.40959584023
367 57683 16934.0 2.40634226999
368 57736 16943.0 2.40766098094
369 57745 16953.0 2.40618179673
370 57684 16962.0 2.40077821012
371 57662 16972.0 2.39747819939
372 57631 16981.0 2.39385195218
373 57668 16991.0 2.39403213466
374 57627 17000.0 2.38982352941
375 57631 17010.0 2.38806584362
376 57550 17019.0 2.3815147776
377 57519 17029.0 2.37770861472
378 57505 17038.0 2.37510271159
379 57473 17048.0 2.37124589395
380 57455 17057.0 2.36841179574
381 57467 17067.0 2.36714126677
382 57436 17076.0 2.36355118295
383 57467 17086.0 2.36339693316
384 57452 17095.0 2.36074875695
385 57410 17105.0 2.3563285589
386 57455 17114.0 2.35719294145
387 57438 17124.0 2.35423966363
388 57408 17133.0 2.35072666783
389 57465 17143.0 2.35209706586
