#name1,name2,distance,forced_redirection
Douentza,Mentao,487,0
Mopti,Mentao,360,0
Mopti,Bobo-Dioulasso,462,0
Segou,Bobo-Dioulasso,376,0
Mentao,Bobo-Dioulasso,475,0
Menaka,Abala,172,0
Menaka,Mangaize,305,0
Ansongo,Tabareybarey,148,0
Menaka,Tabareybarey,361,0
Abala,Mangaize,256,0
Abala,Niamey,253,0
Abala,Tabareybarey,412,0
Mangaize,Niamey,159,0
Mangaize,Tabareybarey,217,0
Niamey,Tabareybarey,205,0
Kidal,Bourem,308,0
Gao,Bourem,97,0
Timbuktu,Bourem,314,0
Timbuktu,Konna,303,0
Gao,Douentza,397,0
Douentza,Konna,121,0
Konna,Mopti,70,0
Mopti,Segou,401,0
Ansongo,Menaka,191,0
Gao,Ansongo,100,0
Dire,Goundam,42,0
Goundam,Timbuktu,85,0
Goundam,Niafounke,78,0
Niafounke,Konna,153,0
Niafounke,Lere,140,0
Tenenkou,Niafounke,308,0
Tenenkou,Lere,295,0
Tenenkou,Segou,228,0
Segou,Bamako,240,0
Lere,Fassala-Mbera,98,0
