Time  Nakivale comparison Error
0 0 0.0 0.0
1 0 186.0 1.0
2 0 373.0 1.0
3 1 560.0 0.998214285714
4 2 747.0 0.997322623829
5 2 934.0 0.997858672377
6 4 1120.0 0.996428571429
7 8 1307.0 0.993879112471
8 9 1494.0 0.993975903614
9 10 1681.0 0.994051160024
10 15 1868.0 0.991970021413
11 20 2055.0 0.990267639903
12 27 2241.0 0.987951807229
13 33 2428.0 0.986408566722
14 44 2615.0 0.983173996176
15 55 2802.0 0.980371163455
16 64 2989.0 0.978588156574
17 79 3175.0 0.975118110236
18 90 3362.0 0.973230220107
19 101 3549.0 0.971541279234
20 116 3736.0 0.968950749465
21 129 3923.0 0.967117002294
22 143 4110.0 0.965206812652
23 162 4296.0 0.962290502793
24 185 4483.0 0.9587329913
25 202 4670.0 0.956745182013
26 231 4857.0 0.952439777641
27 250 5044.0 0.950436161776
28 272 5230.0 0.947992351816
29 290 5417.0 0.946464832933
30 309 5604.0 0.944860813704
31 332 5791.0 0.942669659817
32 346 5978.0 0.942121110739
33 376 6165.0 0.93901054339
34 410 6351.0 0.935443237285
35 435 6538.0 0.93346589171
36 470 6725.0 0.930111524164
37 496 6912.0 0.928240740741
38 511 7099.0 0.928018030709
39 551 7285.0 0.924365133837
40 582 7472.0 0.922109207709
41 615 7659.0 0.919702311007
42 657 7846.0 0.916263063982
43 699 8033.0 0.912983941242
44 729 8220.0 0.911313868613
45 749 8304.0 0.909802504817
46 786 8389.0 0.906305876743
47 816 8474.0 0.903705451971
48 836 8559.0 0.902325037972
49 871 8627.0 0.899037904254
50 903 8695.0 0.896147211041
51 938 8764.0 0.892971246006
52 976 8832.0 0.889492753623
53 1009 8901.0 0.886641950343
54 1045 8969.0 0.883487568291
55 1077 9038.0 0.880836468245
56 1109 9070.0 0.877728776185
57 1148 9103.0 0.87388772932
58 1190 9135.0 0.869731800766
59 1225 9168.0 0.866383071553
60 1275 9201.0 0.861428105641
61 1315 9232.0 0.857560658579
62 1352 9264.0 0.854058721934
63 1392 9296.0 0.850258175559
64 1434 9328.0 0.846269296741
65 1477 9360.0 0.842200854701
66 1510 9392.0 0.839224872232
67 1552 9424.0 0.835314091681
68 1595 9456.0 0.831324027073
69 1634 9488.0 0.827782462057
70 1677 9555.0 0.824489795918
71 1719 9623.0 0.821365478541
72 1760 9691.0 0.818388195233
73 1792 9759.0 0.816374628548
74 1821 9827.0 0.81469420983
75 1872 9895.0 0.810813542193
76 1929 9963.0 0.806383619392
77 1982 10030.0 0.802392821535
78 2024 10098.0 0.799564270153
79 2071 10166.0 0.796281723392
80 2129 10234.0 0.791967949971
81 2177 10302.0 0.788681809357
82 2199 10370.0 0.787945998071
83 2262 10438.0 0.783291818356
84 2289 10444.0 0.780831099196
85 2330 10450.0 0.777033492823
86 2371 10456.0 0.773240244836
87 2424 10462.0 0.768304339514
88 2471 10468.0 0.763947267864
