Date,Refugee_numbers
2016-06-01,225700
2016-06-03,225900
2016-06-10,226025
2016-06-14,230680
2016-06-15,230546
2016-06-24,230738
2016-06-27,231738
2016-06-29,233991
2016-06-30,216675
2016-07-01,216617
2016-07-08,216759
2016-07-15,212215
2016-07-22,212618
2016-07-26,221117
2016-07-29,221113
2016-07-31,228459
2016-08-01,230969
2016-08-16,241569
2016-08-19,242659
2016-08-23,280452
2016-08-26,280540
2016-08-30,282195
2016-08-31,298022
2016-09-05,298536
2016-09-08,302934
2016-09-21,307500
2016-09-30,307577
2016-10-11,310339
2016-10-16,310714
2016-10-24,310729
2016-10-31,310813
2016-11-01,310972
2016-11-11,310032
2016-11-14,310174
2016-11-15,310175
2016-11-23,310976
2016-11-30,311077
2016-12-05,311178
2016-12-11,312079
2016-12-23,312280
2016-12-31,312381
2017-01-31,312482
2017-02-03,312583
2017-02-06,312784
2017-02-17,312985
2017-02-27,313386
2017-02-28,313487
2017-03-01,313788
2017-03-08,313989
2017-03-15,314090
2017-03-19,314191
2017-03-30,314692
2017-03-31,314893
2017-04-09,315594
2017-04-30,315795
2017-05-12,315996
2017-05-15,316197
2017-05-24,317898
2017-05-31,318399
2017-06-10,321405
2017-06-15,321451
2017-06-25,321503
2017-06-30,321602
2017-07-02,321801
2017-07-13,321851
2017-07-14,322006
2017-07-15,322107
2017-07-20,322308
2017-07-23,322609
2017-07-24,322710
2017-07-31,322860
