Day,Ituri sim,Ituri data,Ituri error,Tierkidi sim,Tierkidi data,Tierkidi error,Pugnido sim,Pugnido data,Pugnido error,Jewi sim,Jewi data,Jewi error,Kule sim,Kule data,Kule error,Kakuma sim,Kakuma data,Kakuma error,Khartoum sim,Khartoum data,Khartoum error,West_Kordofan sim,West_Kordofan data,West_Kordofan error,Adjumani sim,Adjumani data,Adjumani error,Rhino sim,Rhino data,Rhino error,Kiryandongo sim,Kiryandongo data,Kiryandongo error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,1257,1258.0,0.000794912559618,45396,45440.9745124,0.000989734768603,41057,41106.6092851,0.00120684449477,8766,8764.98755865,0.000115509730352,1712,1701.76502884,0.00601432688287,44634,44682.7090324,0.00109010920474,11,11.5284062343,0.0458351504579,2712,2716.71401349,0.00173518944828,52032,52081.0,0.000940842149728,4986,4993.97949674,0.00159782328769,14,14.6974456477,0.0474535279395,0.0010773657336257793,202772,405538,202772,202577,0
1,1254,1258.0,0.00317965023847,45353,45440.9745124,0.0019360172914,41018,41105,0.00211653083566,8769,8764.98755865,0.000457780609795,1731,1701.76502884,0.0171792055107,44603,44793,0.00424173419954,11,11.5284062343,0.0458351504579,2712,2716.71401349,0.00173518944828,51984,52081.0,0.00186248343926,7848,5073,0.547013601419,14,18,0.222222222222,0.016177649840755943,202963,405729,202963,205297,0
2,1253,1258.0,0.00397456279809,45312,45440.9745124,0.0028382866736,40985,41104,0.00289509536785,8783,8764.98755865,0.00205504471386,1746,1701.76502884,0.0259935833747,44575,44847,0.00606506566771,11,11.5284062343,0.0458351504579,2709,2716.71401349,0.0028394646812,51932,52081.0,0.00286092816958,10875,5106,1.12984723854,80,18,3.44444444444,0.03238363323448699,203049,405815,203049,208261,0
3,1253,1258.0,0.00397456279809,45295,45440.9745124,0.00321239836866,40945,41104,0.00386823666796,8793,8764.98755865,0.00319594764533,1761,1701.76502884,0.0348079612388,44604,44864,0.00579529243937,11,11.5284062343,0.0458351504579,2706,2716.71401349,0.00394373991411,51876,52081.0,0.0039361763407,14283,5117,1.79128395544,279,50,4.58,0.05055642214096544,203109,405875,203109,211806,0
4,1255,1258.0,0.00238473767886,45253,45440.9745124,0.00413667432116,40909,41103,0.00471985013259,8800,8764.98755865,0.00399457969736,1777,1701.76502884,0.0442099642937,44713,44876,0.00363223103663,11,11.5284062343,0.0458351504579,2704,2716.71401349,0.00467992340271,51836,52081.0,0.00470421074864,17679,5171,2.41887449236,547,82,5.67073170732,0.0683516448561034,203206,405972,203206,215484,0
5,1266,1258.0,0.00635930047695,45239,45440.9745124,0.00444476630533,40876,41102,0.0054985158873,8805,8764.98755865,0.0045650311631,1781,1701.76502884,0.0465604650575,44857,44925,0.00151363383417,11,11.5284062343,0.0458351504579,2701,2716.71401349,0.00578419863563,51785,52081.0,0.00568345461877,18198,5179,2.51380575401,887,98,8.05102040816,0.07252857832440966,203278,406044,203278,216406,0
6,1273,1258.0,0.0119236883943,45193,45440.9745124,0.00545706853902,40828,41101,0.00664217415635,8822,8764.98755865,0.00650456614661,1805,1701.76502884,0.0606634696399,45064,44938,0.00280386310027,11,11.5284062343,0.0458351504579,2699,2716.71401349,0.00652038212423,51746,52081.0,0.00643228816651,18401,5272,2.4903262519,1275,139,8.1726618705,0.07590286467982808,203424,406190,203424,217117,0
7,1272,1258.0,0.0111287758347,45165,45440.9745124,0.00607325250736,40783,41100,0.00771289537713,8836,8764.98755865,0.00810183025067,1815,1701.76502884,0.0665397215493,45273,44988,0.00633502267271,11,11.5284062343,0.0458351504579,2694,2716.71401349,0.00836084084575,51703,52081.0,0.00725792515505,18641,5295,2.52049102927,1808,156,10.5897435897,0.08095534115574607,203513,406279,203513,218001,0
8,1272,1258.0,0.0111287758347,45133,45440.9745124,0.00677746275688,40757,41099,0.00832137034964,8845,8764.98755865,0.009128642889,1831,1701.76502884,0.0759417246043,45560,45038,0.0115902127093,11,11.5284062343,0.0458351504579,2692,2716.71401349,0.00909702433436,51656,52081.0,0.00816036558438,18965,5427,2.49456421596,2374,255,8.30980392157,0.08588354037984303,203793,406559,203793,219096,0
9,1272,1258.0,0.0111287758347,45100,45440.9745124,0.0075036795767,40728,41099,0.00902698362491,8860,8764.98755865,0.0108399972862,1849,1701.76502884,0.0865189780411,45872,45046,0.0183368112596,11,11.5284062343,0.0458351504579,2690,2716.71401349,0.00983320782297,51599,52081.0,0.00925481461569,19371,5754,2.36652763295,3064,371,7.25876010782,0.09113346950034933,204244,407010,204244,220416,0
