#time,x,y,location_type
-15,-0.4028874608754464,51.59851201660928,house
-15,-0.3626117008969162,51.57636402123028,house
-15,-0.3129417700864198,51.591361239697065,house
-15,-0.37887433508388246,51.59995746355946,house
-15,-0.38667869045501546,51.60585328251812,house
-15,-0.3908945979712551,51.58592258858297,house
-15,-0.28377383880631657,51.60118539047592,house
-15,-0.35644320177965816,51.59961143803901,house
-15,-0.36620387188125364,51.58734680083212,house
-15,-0.32532780339397654,51.60655582749768,house
-15,-0.3210359901426659,51.5815216678343,house
-15,-0.286616239593917,51.59683170127956,house
-15,-0.34040738382556546,51.561678200354635,house
-15,-0.30838142256094137,51.588389584199,house
-15,-0.3654898072350285,51.61409378795601,house
-15,-0.3420238000228376,51.59990637901568,house
-15,-0.31155139304687024,51.609558330727744,house
-16,-0.37684653568578474,51.55388671286262,house
-16,-0.38043266996236735,51.566872683836664,house
-16,-0.38046204207451445,51.60380387816842,house
-16,-0.31469501698576713,51.615845551250985,house
-16,-0.3652243075875948,51.57581356090059,house
-16,-0.2726557767541708,51.59725104305816,house
-16,-0.2889848020025144,51.61628838683197,house
-16,-0.34008295378290215,51.59605288942719,house
-16,-0.3634502010427327,51.61621455857253,house
-16,-0.33314531729718566,51.576451954442916,house
-16,-0.34352200128894805,51.60431776490748,house
-16,-0.37687942297519883,51.5888703950419,house
-16,-0.39155272472284014,51.5778400052111,house
-16,-0.29667241014317147,51.61529999267339,house
-16,-0.2844327151343279,51.61367939518298,house
-16,-0.37841490805022626,51.5760846221433,house
-16,-0.3096989474007067,51.60875734147313,house
-15,-0.372478115376355,51.55206282548402,house
-15,-0.3669713300579097,51.57210103944308,house
-15,-0.3934846366195909,51.5797354905889,house
-15,-0.36199170984275036,51.56943211070163,house
-15,-0.3986515328208064,51.59731730237248,house
-15,-0.30102254746403,51.591507179433826,house
-15,-0.31655562756374644,51.6248979540417,house
-15,-0.38255397880367437,51.56791039683173,house
-15,-0.3082651654170433,51.58784485865195,house
-15,-0.29743250770263197,51.59722252798385,house
-15,-0.2990476121592481,51.597426347347266,house
-15,-0.29584717181996595,51.62402302086961,house
-15,-0.35955996825087505,51.59507343540612,house
-15,-0.3659840500024296,51.58196708256707,house
-15,-0.3412460409980999,51.57767817555548,house
-15,-0.35909776711943003,51.58333130337573,house
-15,-0.3283243248835504,51.60058142036736,house
-18,-0.37346316693817505,51.55330638513736,house
-18,-0.38679863449456753,51.60883117750287,house
-18,-0.36153213991206307,51.57700707580265,house
-18,-0.30155002947922965,51.61569997107498,house
-18,-0.3356611193236813,51.566356502127185,house
-18,-0.3158324521220347,51.61106494429367,house
-18,-0.3771411816477744,51.57479413499183,house
-18,-0.2992241605380367,51.61204122700157,house
-18,-0.317281862124293,51.59721421847022,house
-18,-0.3875710588690107,51.60900116786111,house
-18,-0.33184883271424076,51.5884112972012,house
-18,-0.36226004030967823,51.55454394683588,house
-18,-0.31549881881420316,51.593853318895334,house
-18,-0.3200329406907532,51.58894283683551,house
-18,-0.2892555235838429,51.61300031100781,house
-18,-0.32663916672558374,51.59128923926232,house
-18,-0.28349221002656955,51.60354976051915,house
-14,-0.3679212478062502,51.57603113349942,house
-14,-0.3431558223130676,51.58970645895392,house
-14,-0.34971155677658444,51.58285211269561,house
-14,-0.2969720385983031,51.619527842054694,house
-14,-0.32785679528891637,51.579449565622944,house
