"Tierkidi","2014-08-08"
"Pugnido","2015-06-26"
"Jewi","2015-07-31"
"Kule","2014-09-12"
"Kakuma","2014-06-26"
"Khartoum","2014-04-27"
"West_Kordofan","2015-08-05"
"Rhino","2014-05-21"
"Kiryandongo","2014-05-27"

